x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.131724,1.44644,0.323595,-0.0213601,-0.302923,1.27266,1598537681.604629760
0.112137,1.56267,0.316314,-0.00694999,-0.289986,1.21878,1598537681.705216768
0.0926225,1.60141,0.359832,-0.0131775,-0.274019,1.19264,1598537681.804939776
0.110079,1.67229,0.327188,-0.0112341,-0.273697,1.14767,1598537681.904721408
0.070572,1.66833,0.386804,-0.00259404,-0.288259,1.15262,1598537682.003880704
0.0676172,1.71661,0.409821,-0.0232867,-0.302367,1.15395,1598537682.103325952
0.0739129,1.7554,0.371097,-0.0192875,-0.337858,1.17706,1598537682.202600960
0.0486767,1.72336,0.374182,-0.0043385,-0.36526,1.23006,1598537682.301754880
0.0830359,1.76494,0.388098,0.0126341,-0.418247,1.26263,1598537682.401594880
0.0657157,1.71997,0.464802,0.0352698,-0.440971,1.30019,1598537682.501441280
0.0579558,1.64406,0.507856,0.037303,-0.460484,1.30697,1598537682.601820160
0.0513971,1.67024,0.524291,0.0255184,-0.43708,1.34695,1598537682.702421504
0.0490999,1.68592,0.564534,0.0192833,-0.406811,1.35377,1598537682.802942464
0.0328519,1.69643,0.553503,-0.00399713,-0.36327,1.40483,1598537682.903083008
0.0095854,1.69379,0.507733,-0.024792,-0.322048,1.44816,1598537683.003108864
0.00800456,1.69779,0.455301,-0.040181,-0.276557,1.48129,1598537683.103367680
-0.0161547,1.69231,0.449739,-0.0428012,-0.23105,1.51195,1598537683.203568896
-0.0444391,1.6777,0.45325,-0.0409259,-0.191382,1.54739,1598537683.303637760
-0.105985,1.60718,0.388731,-0.0392001,-0.176269,1.55241,1598537683.403665152
-0.144566,1.57627,0.367878,-0.0381467,-0.150749,1.5587,1598537683.504374784
-0.197933,1.52376,0.353957,-0.0605078,-0.133405,1.57618,1598537683.604352768
-0.218699,1.53097,0.301908,-0.0609046,-0.131365,1.61388,1598537683.704233216
-0.284581,1.53773,0.297103,-0.0765443,-0.103289,1.68048,1598537683.803530240
-0.343356,1.51039,0.277355,-0.0897763,-0.0694832,1.79872,1598537683.902376448
-0.719363,1.76537,-0.618058,0.26161,2.85397,-0.0101802,1598537684.000984064
-0.445608,1.58815,-0.555242,0.246386,2.82643,-0.00913278,1598537684.100150016
-0.453885,1.47408,-0.603504,-2.79851,-0.234814,0.0122077,1598537684.199559680
-0.528471,1.39354,-0.556349,-2.84231,-0.173999,0.0262389,1598537684.299474944
-0.334375,1.55726,-1.54397,-2.68974,-0.219472,0.0320404,1598537684.399599872
-0.364701,1.50089,-1.66444,-2.6712,-0.172559,0.0562234,1598537684.500289792
-0.385944,1.39044,-1.73788,-2.75232,-0.102852,0.0588236,1598537684.701149952
-0.62338,0.944746,-0.945669,-2.81267,-0.06109,0.0627027,1598537684.802343680
-1.42251,1.1292,-0.164903,-3.02571,-0.0143745,0.0238398,1598537684.903285248
-2.0837,-1.42024,-1.31723,-3.02571,-0.0143745,0.0238398,1598537685.004786176
-2.16346,-1.46764,-1.42296,-3.13696,-0.000347741,0.00106917,1598537685.105835776
-2.21736,-1.5609,-1.42664,-0.0197537,0.00120638,3.05727,1598537685.206731008
-2.17791,-1.55856,-1.40598,-0.0197537,0.00120638,3.05727,1598537685.306354176
-2.2349,-1.62387,-1.44405,3.0465,-0.00451145,-0.0219393,1598537685.405848320
-2.32936,-1.679,-1.48112,3.05206,-0.00810802,-0.0203066,1598537685.505607168
-2.39565,-1.73539,-1.53103,3.04783,-0.0125652,-0.0216972,1598537685.605288192
-2.44718,-1.79246,-1.57601,3.01845,-0.0218337,-0.0280199,1598537685.704893696
-2.5718,-1.8881,-1.60471,2.98112,-0.036244,-0.035589,1598537685.804591360
-2.63237,-1.93398,-1.64039,2.97313,-0.0429907,-0.0350083,1598537685.904205056
-2.73494,-2.00775,-1.65704,2.98062,-0.0463843,-0.032682,1598537686.004122624
-2.81084,-2.07458,-1.67588,3.00433,-0.0441196,-0.0290156,1598537686.103940864
