x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.134604,1.44861,0.327599,-0.0211708,-0.302613,1.27325,1598537681.604629760
0.140999,1.5671,0.318056,-0.00741276,-0.290565,1.22031,1598537681.705216768
0.122189,1.60017,0.352892,-0.0128775,-0.274881,1.19442,1598537681.804939776
0.125557,1.67287,0.324315,-0.0118973,-0.273641,1.14892,1598537681.904721408
0.113706,1.64542,0.381556,-0.0045143,-0.288254,1.15654,1598537682.003880704
0.0994833,1.69728,0.378686,-0.0217539,-0.307603,1.15783,1598537682.103325952
0.0950921,1.74686,0.351766,-0.0187504,-0.342447,1.17979,1598537682.202600960
0.0815657,1.71723,0.350957,-0.00429726,-0.369887,1.23185,1598537682.301754880
0.0832964,1.71839,0.381204,0.0147002,-0.421519,1.26881,1598537682.401594880
0.0748575,1.71595,0.402184,0.0291053,-0.444636,1.30325,1598537682.501441280
0.0514133,1.70738,0.460984,0.0333904,-0.464445,1.30365,1598537682.601820160
0.057098,1.69486,0.466379,0.0179236,-0.437514,1.34825,1598537682.702421504
0.0528719,1.71904,0.487502,0.0130363,-0.410035,1.3543,1598537682.802942464
0.0497757,1.7068,0.487387,-0.0101326,-0.364346,1.40591,1598537682.903083008
0.0358657,1.69143,0.431875,-0.0310479,-0.323866,1.44976,1598537683.003108864
0.0348443,1.69778,0.392188,-0.0463853,-0.27681,1.48297,1598537683.103367680
0.0185017,1.69262,0.385468,-0.0483292,-0.231513,1.51394,1598537683.203568896
0.0117804,1.69395,0.373874,-0.0463323,-0.193303,1.5513,1598537683.303637760
-0.0635153,1.59055,0.357378,-0.0449178,-0.174011,1.55425,1598537683.403665152
-0.0798282,1.58702,0.337632,-0.0436084,-0.147103,1.5629,1598537683.504374784
-0.127356,1.5321,0.301992,-0.0656342,-0.129841,1.58195,1598537683.604352768
-0.148439,1.54059,0.257394,-0.0657703,-0.12729,1.61972,1598537683.704233216
-0.208856,1.55666,0.228631,-0.0818824,-0.100775,1.68511,1598537683.803530240
-0.344067,1.64204,0.221226,-0.0938646,-0.0666392,1.79283,1598537683.902376448
-0.359846,1.55011,0.211245,-0.128926,-0.0548319,1.93277,1598537684.000984064
-0.445578,1.53062,0.1516,-0.151468,-0.059144,2.07188,1598537684.100150016
-0.509222,1.47791,0.0529238,-0.160972,-0.0709719,2.2233,1598537684.199559680
-0.596923,1.44633,0.0455392,-0.160544,-0.0744978,2.38401,1598537684.299474944
-0.673572,1.36074,-0.0393149,-0.173617,-0.10181,2.55528,1598537684.399599872
-0.886206,1.36054,-0.0799973,-0.155416,-0.0885157,2.75297,1598537684.500289792
-0.992545,1.36548,-0.417894,-0.18828,-0.0470714,2.94047,1598537684.600199168
-1.04187,1.25121,-0.39267,-0.214057,-0.000307173,3.12215,1598537684.701149952
-1.17258,1.27269,-0.557389,-0.207013,0.0480768,-2.99105,1598537684.802343680
-1.14899,1.16819,-0.562837,-0.171146,0.0710916,-2.83217,1598537684.903285248
-1.23486,1.05808,-0.575064,-0.155785,0.0581212,-2.69857,1598537685.004786176
-1.12246,0.95093,-0.454428,-0.176041,0.0363877,-2.5957,1598537685.105835776
-1.167,0.764122,-0.563099,-0.186365,0.0514226,-2.46536,1598537685.206731008
-1.22307,0.660092,-0.60619,-0.157629,0.0993407,-2.33207,1598537685.306354176
-1.19944,0.562302,-0.610892,-0.118928,0.126206,-2.22535,1598537685.405848320
-1.22324,0.457892,-0.641319,-0.0846458,0.135316,-2.14326,1598537685.505607168
-1.24668,0.358847,-0.656513,-0.0592757,0.125342,-2.0606,1598537685.605288192
-1.24922,0.266549,-0.642671,-0.0477798,0.129265,-1.98159,1598537685.704893696
-1.27223,0.128608,-0.705069,-0.0355023,0.129266,-1.89439,1598537685.804591360
-1.29201,0.0257673,-0.658568,-0.0172086,0.156524,-1.83977,1598537685.904205056
-1.30253,-0.0819168,-0.711859,0.0106849,0.15847,-1.77898,1598537686.004122624
-1.30179,-0.174273,-0.7357,0.0401382,0.14088,-1.72005,1598537686.103940864
-1.27609,-0.245519,-0.739948,0.0750487,0.113335,-1.66595,1598537686.203778304
-1.25746,-0.334169,-0.695051,0.102974,0.0997374,-1.61511,1598537686.303783680
