x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.123317,1.44805,0.336661,-0.0216628,-0.302506,1.27347,1598537681.604629760
0.14897,1.56206,0.330736,-0.00663809,-0.290233,1.22053,1598537681.705216768
0.13883,1.59518,0.372276,-0.0133108,-0.274024,1.1955,1598537681.804939776
0.154032,1.6724,0.333469,-0.0109379,-0.273702,1.14941,1598537681.904721408
0.130778,1.64819,0.404194,-0.0042081,-0.284794,1.15792,1598537682.003880704
0.122958,1.69673,0.402237,-0.0207659,-0.303543,1.15725,1598537682.103325952
0.0965221,1.70624,0.361442,-0.0172029,-0.34108,1.17364,1598537682.202600960
0.0784008,1.66549,0.373547,-0.0028951,-0.366018,1.22732,1598537682.301754880
0.0745211,1.71282,0.419388,0.0119444,-0.415404,1.25599,1598537682.401594880
0.066428,1.6676,0.50471,0.0316759,-0.435977,1.29657,1598537682.501441280
0.0632657,1.61507,0.496574,0.0365796,-0.462949,1.30617,1598537682.601820160
0.0617217,1.6527,0.503142,0.0237596,-0.440267,1.34391,1598537682.702421504
0.0755869,1.67749,0.515832,0.019089,-0.414667,1.3515,1598537682.802942464
0.073756,1.66926,0.49914,-0.00336706,-0.371906,1.40306,1598537682.903083008
0.061904,1.66099,0.431977,-0.0250237,-0.332976,1.44855,1598537683.003108864
0.0547418,1.67648,0.406382,-0.0410866,-0.286486,1.4812,1598537683.103367680
0.0312796,1.67709,0.403794,-0.0448257,-0.241014,1.51197,1598537683.203568896
0.0258387,1.67668,0.390905,-0.0435127,-0.202824,1.55001,1598537683.303637760
-0.0226711,1.62786,0.37839,-0.0434398,-0.183961,1.55899,1598537683.403665152
-0.0289772,1.61335,0.371715,-0.0389628,-0.154042,1.56765,1598537683.504374784
-0.0867595,1.56192,0.3681,-0.0599915,-0.133267,1.58565,1598537683.604352768
-0.0986551,1.54323,0.316101,-0.0636944,-0.134713,1.61863,1598537683.704233216
-0.150493,1.52525,0.350253,-0.0819364,-0.104064,1.68164,1598537683.803530240
-0.260765,1.56561,0.328411,-0.0952201,-0.0693784,1.78969,1598537683.902376448
-0.331169,1.52837,0.367605,-0.121327,-0.0475481,1.92364,1598537684.000984064
-0.41575,1.50904,0.331604,-0.141527,-0.0501738,2.06289,1598537684.100150016
-0.510034,1.47557,0.221945,-0.150785,-0.0627588,2.214,1598537684.199559680
-0.623793,1.46117,0.194335,-0.150718,-0.075206,2.37502,1598537684.299474944
-0.699243,1.37775,0.210795,-0.158199,-0.0904937,2.54869,1598537684.399599872
-0.864682,1.40497,0.171514,-0.136408,-0.0825339,2.74874,1598537684.500289792
-0.879037,1.30912,0.214818,-0.135046,-0.057969,2.94673,1598537684.600199168
-0.939625,1.21478,0.223482,-0.166493,-0.0207879,3.13203,1598537684.701149952
-1.06942,1.19119,0.123089,-0.159548,0.0202206,-2.97889,1598537684.802343680
-1.0369,1.10354,0.127531,-0.129624,0.0348147,-2.81835,1598537684.903285248
-1.11621,0.956931,0.118152,-0.119894,0.0158764,-2.68627,1598537685.004786176
-1.08331,0.912258,0.129926,-0.13908,-0.0149699,-2.58082,1598537685.105835776
-1.1452,0.754104,0.0711806,-0.14998,-0.00279968,-2.44635,1598537685.206731008
-1.16675,0.638039,0.0375546,-0.12917,0.0409479,-2.3144,1598537685.306354176
-1.17145,0.566116,0.0407785,-0.0951767,0.0649423,-2.20666,1598537685.405848320
-1.19747,0.447844,0.0311259,-0.0677495,0.0748729,-2.12546,1598537685.505607168
-1.20804,0.34371,0.041997,-0.0476071,0.0660958,-2.04398,1598537685.605288192
-1.21369,0.25497,0.0530776,-0.0405426,0.0680106,-1.96626,1598537685.704893696
-1.25548,0.096742,-0.00229096,-0.0347981,0.0671208,-1.87933,1598537685.804591360
-1.24203,0.0115026,0.000527091,-0.018158,0.0869224,-1.82631,1598537685.904205056
-1.24599,-0.106344,-0.0568849,0.00543592,0.0885582,-1.76694,1598537686.004122624
-1.25172,-0.198391,-0.0949611,0.0299159,0.0696625,-1.7075,1598537686.103940864
-1.23158,-0.294297,-0.0823294,0.0613551,0.044426,-1.65444,1598537686.203778304
-1.22365,-0.363323,-0.0395259,0.0844757,0.0314021,-1.6015,1598537686.303783680
-1.2202,-0.475245,0.00506797,0.0812833,0.0231583,-1.5872,1598537686.404072192
-1.22241,-0.590013,0.0048754,0.0714404,0.0169358,-1.57386,1598537686.504488960
-1.20892,-0.687487,0.00107181,0.0662039,0.0382711,-1.54922,1598537686.604657152
-1.19346,-0.787426,0.00396914,0.0580208,0.0307245,-1.53061,1598537686.704696576
-1.19535,-0.879995,-0.0186868,0.0652724,0.0251152,-1.51479,1598537686.804313088
-1.22522,-1.00951,-0.0534698,0.0784791,0.0235673,-1.51191,1598537686.904407552
-1.20811,-1.10619,-0.0748502,0.10632,0.0355139,-1.47092,1598537687.003885824
-1.19966,-1.2126,-0.0757879,0.137587,0.0556675,-1.44508,1598537687.103507712
-1.22889,-1.36787,-0.113881,0.127391,0.0943576,-1.43277,1598537687.203836160
-1.23753,-1.50951,-0.136232,0.122971,0.0963288,-1.41316,1598537687.303876096
-1.19386,-1.58351,-0.145058,0.0894653,0.0538759,-1.42249,1598537687.403861760
-1.18866,-1.73108,-0.146806,0.0575557,0.00738405,-1.44663,1598537687.504686080
-1.16913,-1.84816,-0.151828,0.0613473,-0.0195815,-1.45674,1598537687.604842752
-1.16136,-1.97396,-0.147522,0.063177,0.016796,-1.4686,1598537687.705112576
-1.148,-2.0976,-0.161437,0.0690566,0.0535414,-1.4669,1598537687.804960768
-1.12562,-2.24213,-0.234611,0.0853225,0.0519199,-1.44475,1598537687.904417024
-1.1176,-2.37113,-0.23553,0.0777448,0.0464428,-1.45679,1598537688.004270336
-1.06481,-2.45432,-0.182884,0.085485,0.0258153,-1.42076,1598537688.103472384
-1.04719,-2.57155,-0.147752,0.0758599,0.018829,-1.43604,1598537688.203236608
-1.05172,-2.73143,-0.194537,0.0702816,0.0361281,-1.41717,1598537688.303471872
-1.0072,-2.84538,-0.186408,0.0652415,0.0292649,-1.39574,1598537688.403352832
-0.954946,-2.96331,-0.253492,0.0781706,0.0214235,-1.38974,1598537688.503506944
-0.97308,-3.13013,-0.252421,0.105175,-0.000741514,-1.39184,1598537688.603903744
-0.943837,-3.19413,-0.216279,0.110228,0.0172551,-1.40617,1598537688.704018432
-0.906121,-3.32402,-0.296673,0.115149,0.0269174,-1.40253,1598537688.804470528
-0.864362,-3.48152,-0.292558,0.135863,0.0301121,-1.39846,1598537688.904568320
-0.845711,-3.57517,-0.307348,0.129069,0.0362217,-1.39549,1598537689.004402944
-0.837281,-3.68418,-0.30743,0.134423,0.00701799,-1.39562,1598537689.104308736
-0.798224,-3.92388,-0.175277,0.118492,-0.00391928,-1.37357,1598537689.203980288
-0.709389,-4.00278,-0.15432,0.110656,0.00410284,-1.3348,1598537689.303212032
-0.713194,-4.16476,-0.130535,0.0849878,0.00591872,-1.32942,1598537689.403101696
-0.667763,-4.32485,-0.130972,0.0822743,0.00917008,-1.30662,1598537689.503064320
-0.592707,-4.42218,-0.167536,0.0912366,0.012238,-1.30159,1598537689.602999808
-0.566078,-4.58147,-0.164617,0.107153,-0.00377777,-1.29563,1598537689.703315200
-0.540989,-4.66955,-0.012386,0.0825859,-0.0133646,-1.31328,1598537689.803521280
-0.50515,-4.85816,-0.0304437,0.0718186,0.0174772,-1.32812,1598537689.904045312
-0.439669,-4.97957,-0.004158,0.0682054,0.0215925,-1.31906,1598537690.003894272
-0.316643,-5.19825,0.0161601,0.0583292,0.0304253,-1.34007,1598537690.104278272
-0.233412,-5.34444,0.0283229,0.073573,0.0302943,-1.33443,1598537690.204011264
-0.208041,-5.47346,0.150055,0.0433548,0.0257762,-1.32401,1598537690.303720448
-0.203482,-5.66038,0.0896307,0.0678583,0.060962,-1.28527,1598537690.403648512
-0.170241,-5.75394,0.12812,0.0740927,0.063856,-1.26966,1598537690.503217664
-0.133761,-5.92793,0.0127417,0.0958696,0.0563284,-1.25014,1598537690.603367936
-0.105222,-6.03371,-0.0357474,0.114325,0.072513,-1.24104,1598537690.703396608
-0.0797567,-6.25763,-0.0934462,0.113445,0.0701675,-1.2478,1598537690.803601664
-0.0059056,-6.34109,-0.00766261,0.120705,0.0795177,-1.254,1598537690.903623424
0.0866512,-6.41814,0.0290026,0.129154,0.122203,-1.27244,1598537691.004074496
0.11533,-6.55123,0.0129177,0.104763,0.136669,-1.32401,1598537691.104701184
0.105299,-6.74256,-0.0380827,0.0924183,0.132001,-1.36302,1598537691.205323008
0.0803809,-6.90889,-0.128676,0.0841911,0.112979,-1.37136,1598537691.305287168
0.165949,-7.0807,-0.101208,0.076707,0.0845932,-1.34789,1598537691.404729856
0.228343,-7.22399,-0.0563152,0.0735621,0.0644634,-1.31598,1598537691.503613952
0.28605,-7.31146,0.109209,0.0509063,0.0632313,-1.31252,1598537691.603115008
0.344868,-7.48168,0.136515,0.0204466,0.0515468,-1.28799,1598537691.703096832
0.395714,-7.5508,0.141727,0.0252496,0.0162364,-1.26039,1598537691.802357504
0.335915,-7.68419,0.134179,0.0342331,-0.0181905,-1.24335,1598537691.902546944
0.438307,-7.81131,0.212671,0.0739418,-0.0255726,-1.24746,1598537692.002491392
0.464704,-7.93543,0.168926,0.0852715,-0.0184783,-1.25902,1598537692.103115520
0.422644,-8.05066,0.159811,0.101461,-0.00594738,-1.25029,1598537692.203620864
0.450834,-8.17124,-0.0100421,0.0663853,-0.0305478,-1.25806,1598537692.303584512
0.487471,-8.30455,-0.0388558,0.0320667,-0.0526194,-1.26559,1598537692.403758592
0.502863,-8.45173,-0.0522442,0.0175509,-0.0781202,-1.24028,1598537692.503445760
0.512267,-8.53802,0.0141252,-0.0145906,-0.083644,-1.21857,1598537692.602852608
0.523024,-8.62645,0.0542311,-0.0411217,-0.0786465,-1.22944,1598537692.702665472
0.563262,-8.79637,0.0131664,-0.0543666,-0.0898945,-1.22825,1598537692.802945280
0.553692,-8.89449,-0.022737,-0.058996,-0.093576,-1.22246,1598537692.902639872
0.593814,-9.06933,-0.123689,-0.0366883,-0.104513,-1.21806,1598537693.002817536
0.584772,-9.1039,-0.0919967,0.00266092,-0.110617,-1.23269,1598537693.102540288
0.582717,-9.21554,-0.0649438,0.00997159,-0.0977984,-1.28235,1598537693.203336704
