x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.144284,1.44717,0.289246,-0.0200198,-0.308664,1.2745,1598537681.604629760
0.14896,1.54918,0.297999,-0.00667693,-0.29394,1.22122,1598537681.705216768
0.120641,1.57303,0.326389,-0.013685,-0.278257,1.19469,1598537681.804939776
0.147599,1.64354,0.286184,-0.0106339,-0.279857,1.15051,1598537681.904721408
0.105342,1.65325,0.324474,-0.0044748,-0.295166,1.15471,1598537682.003880704
0.0798277,1.68406,0.354333,-0.0216569,-0.310986,1.15414,1598537682.103325952
0.100695,1.6822,0.353442,-0.0147875,-0.345218,1.18246,1598537682.202600960
0.0660003,1.69697,0.341819,0.00122817,-0.374613,1.22604,1598537682.301754880
0.0637595,1.74777,0.357237,0.0180913,-0.42744,1.25497,1598537682.401594880
0.0479563,1.6973,0.439676,0.0407105,-0.449194,1.2926,1598537682.501441280
0.0340097,1.63933,0.46481,0.0440261,-0.472433,1.30016,1598537682.601820160
0.0407343,1.69764,0.444746,0.0311852,-0.452972,1.34036,1598537682.702421504
0.0548541,1.69948,0.475863,0.02447,-0.426357,1.34858,1598537682.802942464
0.0417154,1.70968,0.420104,0.00244614,-0.389331,1.39906,1598537682.903083008
0.0255408,1.71088,0.396549,-0.0205043,-0.346436,1.44469,1598537683.003108864
0.0218012,1.7172,0.349973,-0.0376542,-0.300929,1.47856,1598537683.103367680
0.00310438,1.72131,0.338852,-0.041866,-0.256154,1.51033,1598537683.203568896
0.000173104,1.71834,0.315896,-0.0407705,-0.219512,1.54898,1598537683.303637760
-0.0537623,1.63563,0.290932,-0.0388879,-0.20012,1.5517,1598537683.403665152
-0.0788909,1.63295,0.297536,-0.0368847,-0.171114,1.56079,1598537683.504374784
-0.119714,1.5658,0.261071,-0.0605746,-0.154121,1.58003,1598537683.604352768
-0.176117,1.59896,0.175913,-0.0639378,-0.15663,1.61342,1598537683.704233216
-0.2293,1.60923,0.145077,-0.0812186,-0.130999,1.67916,1598537683.803530240
-0.312064,1.63911,0.157992,-0.0968177,-0.0942198,1.79115,1598537683.902376448
-0.398377,1.61101,0.218584,-0.127942,-0.0748802,1.92563,1598537684.000984064
-0.481781,1.61554,0.175415,-0.155428,-0.0765175,2.06442,1598537684.100150016
-0.519488,1.57761,0.0626954,-0.170138,-0.0900223,2.21733,1598537684.199559680
-0.62314,1.54684,0.0429001,-0.173022,-0.0944741,2.37685,1598537684.299474944
-0.736398,1.49693,0.0203126,-0.184915,-0.108264,2.54258,1598537684.399599872
-0.952266,1.52749,-0.051203,-0.169686,-0.098122,2.73158,1598537684.500289792
-0.896207,1.37741,0.0373519,-0.164801,-0.0648997,2.93409,1598537684.600199168
-0.930832,1.25794,0.0711929,-0.191016,-0.0187345,3.11733,1598537684.701149952
-1.05671,1.22821,-0.109457,-0.192532,0.0246447,-2.99674,1598537684.802343680
-1.01825,1.13273,-0.108471,-0.161165,0.0457416,-2.83756,1598537684.903285248
-1.07284,1.03374,-0.117114,-0.150285,0.0305813,-2.70173,1598537685.004786176
-1.02548,0.997502,-0.0749134,-0.165847,0.00489988,-2.59516,1598537685.105835776
-1.1011,0.821916,-0.218411,-0.179154,0.0162561,-2.46316,1598537685.206731008
-1.1253,0.7116,-0.254914,-0.156019,0.0633129,-2.33173,1598537685.306354176
-1.12083,0.621477,-0.258017,-0.119361,0.0902772,-2.2245,1598537685.405848320
-1.1418,0.520201,-0.277611,-0.0898767,0.101257,-2.14402,1598537685.505607168
-1.17037,0.434684,-0.266206,-0.0675646,0.0934482,-2.0615,1598537685.605288192
-1.16847,0.342739,-0.239433,-0.0586347,0.0980274,-1.98257,1598537685.704893696
-1.20585,0.182702,-0.304918,-0.0500256,0.099556,-1.89667,1598537685.804591360
-1.2181,0.106887,-0.306531,-0.0323163,0.118861,-1.84139,1598537685.904205056
-1.2262,-0.00191561,-0.355221,-0.00678216,0.123108,-1.78096,1598537686.004122624
-1.23936,-0.109785,-0.380827,0.019935,0.106067,-1.72069,1598537686.103940864
-1.21503,-0.183311,-0.390041,0.0526869,0.0785329,-1.66485,1598537686.203778304
-1.19539,-0.258172,-0.3529,0.0782291,0.0658216,-1.61237,1598537686.303783680
-1.20361,-0.364057,-0.315807,0.0755611,0.0581755,-1.59768,1598537686.404072192
-1.19054,-0.471629,-0.310263,0.0660607,0.0537816,-1.58548,1598537686.504488960
-1.17332,-0.555317,-0.314841,0.0545996,0.0706152,-1.56378,1598537686.604657152
-1.20824,-0.700175,-0.366907,0.06109,0.0666386,-1.53205,1598537686.704696576
-1.18292,-0.752863,-0.381574,0.0619828,0.0564443,-1.52319,1598537686.804313088
-1.2513,-0.939719,-0.452442,0.0872578,0.0598175,-1.5086,1598537686.904407552
-1.25238,-1.05153,-0.484903,0.119527,0.0704414,-1.46395,1598537687.003885824
-1.22903,-1.09109,-0.463578,0.14026,0.0836079,-1.45066,1598537687.103507712
-1.24602,-1.22597,-0.516184,0.129534,0.120627,-1.43722,1598537687.203836160
-1.25554,-1.36362,-0.550216,0.124982,0.12196,-1.41709,1598537687.303876096
-1.22973,-1.39704,-0.576404,0.0971906,0.0739318,-1.42788,1598537687.403861760
-1.23136,-1.52541,-0.55859,0.062958,0.030863,-1.45224,1598537687.504686080
-1.21597,-1.65458,-0.501817,0.0645179,0.019725,-1.46272,1598537687.604842752
-1.20462,-1.82253,-0.459773,0.0700688,0.0675823,-1.46848,1598537687.705112576
-1.21343,-1.95907,-0.521414,0.0908614,0.0979482,-1.45776,1598537687.804960768
-1.17056,-2.05018,-0.554014,0.0848336,0.0928456,-1.45069,1598537687.904417024
-1.21494,-2.24986,-0.61271,0.0968373,0.0847936,-1.43645,1598537688.004270336
-1.19494,-2.36773,-0.60486,0.103682,0.0624754,-1.40281,1598537688.103472384
-1.20253,-2.46645,-0.603009,0.09411,0.0499753,-1.419,1598537688.203236608
-1.20296,-2.60742,-0.646022,0.0882812,0.0669774,-1.40009,1598537688.303471872
-1.17572,-2.70127,-0.628203,0.0848375,0.0623177,-1.37704,1598537688.403352832
-1.12839,-2.80906,-0.67772,0.0968231,0.0574066,-1.37163,1598537688.503506944
-1.12777,-2.95802,-0.663507,0.125035,0.0336611,-1.37214,1598537688.603903744
-1.08032,-3.06195,-0.576352,0.122001,0.0659494,-1.39187,1598537688.704018432
-1.04819,-3.17366,-0.649411,0.128632,0.0760458,-1.38737,1598537688.804470528
-1.02898,-3.32687,-0.60734,0.142998,0.0860382,-1.37732,1598537688.904568320
-0.983183,-3.43619,-0.620459,0.13625,0.0939708,-1.37684,1598537689.004402944
-0.954602,-3.57394,-0.622994,0.142627,0.0655443,-1.38127,1598537689.104308736
-0.950787,-3.75501,-0.554424,0.123506,0.0545414,-1.35461,1598537689.203980288
-0.869383,-3.83602,-0.560377,0.115805,0.0619782,-1.31665,1598537689.303212032
-0.833605,-3.98162,-0.531205,0.0831354,0.0662212,-1.31529,1598537689.403101696
-0.801233,-4.13274,-0.596842,0.0784018,0.0652781,-1.29226,1598537689.503064320
-0.730778,-4.20818,-0.649055,0.0864386,0.067653,-1.28462,1598537689.602999808
-0.681508,-4.35937,-0.643358,0.101519,0.0528343,-1.27925,1598537689.703315200
-0.653996,-4.44557,-0.501556,0.0760166,0.0388655,-1.29757,1598537689.803521280
-0.647459,-4.63195,-0.428467,0.0720619,0.0670653,-1.3118,1598537689.904045312
-0.569543,-4.73937,-0.406421,0.0681673,0.0696084,-1.31181,1598537690.003894272
-0.578233,-4.95194,-0.516022,0.0678865,0.0621636,-1.31445,1598537690.104278272
-0.536095,-5.09049,-0.508267,0.0863556,0.061305,-1.30182,1598537690.204011264
-0.509607,-5.19169,-0.38202,0.0568298,0.0583838,-1.28958,1598537690.303720448
-0.463044,-5.3703,-0.442514,0.0714839,0.074558,-1.25599,1598537690.403648512
-0.391535,-5.43296,-0.515231,0.0764772,0.0877057,-1.23605,1598537690.503217664
-0.337377,-5.65873,-0.62465,0.0970968,0.0787348,-1.22105,1598537690.603367936
-0.317888,-5.79616,-0.572122,0.121118,0.0798766,-1.21443,1598537690.703396608
-0.275332,-6.03222,-0.616565,0.121836,0.0799255,-1.22227,1598537690.803601664
-0.210486,-6.11709,-0.566493,0.128339,0.0880771,-1.22895,1598537690.903623424
-0.166863,-6.25293,-0.554299,0.135553,0.130437,-1.2521,1598537691.004074496
-0.13611,-6.36948,-0.591845,0.109858,0.144958,-1.3028,1598537691.104701184
-0.135272,-6.60071,-0.674328,0.0963493,0.140383,-1.34416,1598537691.205323008
-0.118496,-6.87353,-0.731829,0.0884593,0.122448,-1.36051,1598537691.305287168
-0.140989,-7.06746,-0.64371,0.088707,0.100216,-1.32145,1598537691.404729856
-0.0784867,-7.21333,-0.657522,0.0946541,0.0775358,-1.29035,1598537691.503613952
-0.0347461,-7.34566,-0.46951,0.0721105,0.0773694,-1.28788,1598537691.603115008
-0.0122233,-7.67445,-0.605408,0.060201,0.0560649,-1.24444,1598537691.703096832
0.0452491,-7.73942,-0.597988,0.0702214,0.027081,-1.21511,1598537691.802357504
0.0349897,-7.87855,-0.609024,0.0796313,-0.00938671,-1.20177,1598537691.902546944
0.13485,-7.85171,-0.571009,0.116143,-0.0208914,-1.19649,1598537692.002491392
0.15999,-7.96057,-0.514273,0.135702,-0.0132321,-1.20696,1598537692.103115520
0.209369,-8.09344,-0.484816,0.151023,0.00761756,-1.21578,1598537692.203620864
0.233984,-8.17191,-0.409605,0.142017,-0.00672766,-1.21773,1598537692.303584512
0.28114,-8.28728,-0.440537,0.107029,-0.0283921,-1.22874,1598537692.403758592
0.320573,-8.37988,-0.437496,0.0945323,-0.0535544,-1.21252,1598537692.503445760
0.327212,-8.47786,-0.406742,0.0640938,-0.0635891,-1.19124,1598537692.602852608
0.333091,-8.5484,-0.369451,0.0374027,-0.0567153,-1.2007,1598537692.702665472
0.348523,-8.72205,-0.427536,0.0229854,-0.0702672,-1.19835,1598537692.802945280
0.380483,-8.78605,-0.47317,0.0193082,-0.0748609,-1.19643,1598537692.902639872
0.445887,-8.95051,-0.601338,0.0431548,-0.0876353,-1.1959,1598537693.002817536
0.391481,-8.98703,-0.587256,0.0830417,-0.0961543,-1.20789,1598537693.102540288
0.374459,-9.10394,-0.55566,0.0898743,-0.07891,-1.25572,1598537693.203336704
0.388191,-9.21823,-0.567363,0.0897486,-0.0436502,-1.28538,1598537693.303886592
0.374297,-9.32147,-0.589401,0.0876157,-0.0392631,-1.34364,1598537693.404139776
0.393688,-9.41357,-0.680834,0.0812301,-0.0376332,-1.4055,1598537693.504451584
0.402948,-9.56585,-0.771861,0.105826,-0.0309148,-1.44814,1598537693.604558592
0.402775,-9.67122,-0.755093,0.106679,0.00170504,-1.50722,1598537693.704345088
0.38178,-9.78003,-0.768318,0.116512,0.0482873,-1.55366,1598537693.804050176
0.372281,-9.89367,-0.829632,0.101894,0.0577445,-1.61478,1598537693.903646976
0.433148,-9.91549,-0.884397,0.094349,0.0553694,-1.67052,1598537694.003376640
0.441471,-9.99308,-0.873512,0.0784664,0.0438336,-1.75478,1598537694.103339520
0.427854,-10.1383,-0.887501,0.0778635,0.0267893,-1.82673,1598537694.203521792
0.376144,-10.2264,-0.761027,0.0802673,0.0440206,-1.91364,1598537694.303508480
0.341701,-10.2899,-0.791655,0.0779592,0.0859275,-1.98355,1598537694.403532544
0.351764,-10.3361,-0.817919,0.0915831,0.0918604,-2.04159,1598537694.503343360
0.295775,-10.392,-0.704781,0.0789141,0.108528,-2.10656,1598537694.603265792
0.150612,-10.5707,-0.907351,0.066345,0.120385,-2.15832,1598537694.703204608
0.190528,-10.6005,-0.760695,0.0656361,0.111257,-2.20716,1598537694.802643456
0.0853808,-10.7534,-0.813458,0.0379267,0.0922047,-2.27314,1598537694.902685184
0.0902587,-10.8049,-0.694892,0.0327325,0.0847336,-2.32113,1598537695.002489344
-0.000594516,-10.8556,-0.677203,0.0187879,0.0970466,-2.37422,1598537695.102608896
-0.0557654,-10.9272,-0.757663,0.0553453,0.106908,-2.37811,1598537695.202398720
-0.060712,-10.9709,-0.735839,0.0593198,0.110667,-2.42192,1598537695.302222336
-0.118854,-11.0353,-0.787758,0.055806,0.0938876,-2.48284,1598537695.402703616
-0.130713,-11.0473,-0.793023,0.0394441,0.0621291,-2.53698,1598537695.503401472
-0.192854,-11.0942,-0.750275,0.025654,0.0387244,-2.58869,1598537695.604009984
-0.26317,-11.1304,-0.827785,0.0242657,0.0498545,-2.61859,1598537695.704362240
-0.300263,-11.1771,-0.767221,0.0320893,0.0457916,-2.64424,1598537695.804226048
-0.378993,-11.2242,-0.775764,0.0248817,0.0490486,-2.68384,1598537695.904278784
-0.46165,-11.2668,-0.821919,0.0165457,0.0434437,-2.71207,1598537696.004132608
-0.584245,-11.2836,-0.803946,0.0400052,0.0389048,-2.72405,1598537696.103810304
-0.627433,-11.3665,-0.743291,0.0317338,0.0429366,-2.73272,1598537696.203000320
-0.792294,-11.3834,-0.737433,0.0116722,0.0388238,-2.74649,1598537696.303184128
-0.829734,-11.4453,-0.70541,0.027312,0.0419833,-2.73795,1598537696.402724096
-0.904574,-11.5312,-0.72003,0.0278249,0.0456002,-2.75661,1598537696.502637824
-1.03369,-11.583,-0.837554,0.0232805,0.0448134,-2.79377,1598537696.603169792
-1.12693,-11.6298,-0.807221,0.0546994,0.0442581,-2.80995,1598537696.703492608
-1.1914,-11.6791,-0.756095,0.0636007,0.0640081,-2.83445,1598537696.803767296
-1.35924,-11.7531,-0.731444,0.0777385,0.0868314,-2.83843,1598537696.903966464
-1.42433,-11.7697,-0.731087,0.0760742,0.100805,-2.85846,1598537697.003785728
-1.54246,-11.8101,-0.71697,0.0731232,0.103157,-2.87065,1598537697.103819264
-1.59519,-11.8414,-0.751612,0.0779152,0.112276,-2.8675,1598537697.203604992
