x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.147957,1.44751,0.316907,-0.0214368,-0.304066,1.27479,1598537681.604629760
0.151123,1.57118,0.307827,-0.00706531,-0.291683,1.22147,1598537681.705216768
0.132646,1.60183,0.34959,-0.0132046,-0.275507,1.19601,1598537681.804939776
0.13498,1.67742,0.328013,-0.0119663,-0.273876,1.15052,1598537681.904721408
0.124873,1.65437,0.376178,-0.00459974,-0.289309,1.15802,1598537682.003880704
0.108626,1.70526,0.380924,-0.0219826,-0.30798,1.15869,1598537682.103325952
0.12037,1.75096,0.342657,-0.0183809,-0.344185,1.18213,1598537682.202600960
0.105163,1.70485,0.353486,-0.00289554,-0.370057,1.23386,1598537682.301754880
0.106317,1.765,0.356763,0.013075,-0.424826,1.26628,1598537682.401594880
0.0991511,1.71193,0.458109,0.0345041,-0.444343,1.30384,1598537682.501441280
0.0767741,1.63784,0.552049,0.0323547,-0.456169,1.31101,1598537682.601820160
0.0945682,1.68343,0.496634,0.0236574,-0.441434,1.35112,1598537682.702421504
0.0955934,1.71078,0.472023,0.0203516,-0.42076,1.35861,1598537682.802942464
0.0922237,1.70317,0.472357,-0.00206517,-0.374509,1.40958,1598537682.903083008
0.0728911,1.70292,0.412227,-0.0232488,-0.335346,1.45329,1598537683.003108864
0.0713229,1.71271,0.359445,-0.0395145,-0.290379,1.48692,1598537683.103367680
0.0765281,1.72841,0.317825,-0.0384456,-0.245193,1.51949,1598537683.203568896
0.0653995,1.7162,0.31436,-0.0370842,-0.206541,1.55619,1598537683.303637760
-0.00195022,1.65836,0.282206,-0.0360605,-0.18801,1.5634,1598537683.403665152
-0.00757828,1.64942,0.249566,-0.0318791,-0.160854,1.5725,1598537683.504374784
-0.0557818,1.59627,0.301647,-0.0574813,-0.138769,1.59191,1598537683.604352768
-0.0737444,1.57195,0.307889,-0.065991,-0.13769,1.6247,1598537683.704233216
-0.116504,1.55172,0.260014,-0.0781893,-0.110796,1.68818,1598537683.803530240
-12.1237,-0.521577,-0.701187,0.146428,-0.126639,-0.0170449,1598537683.902376448
-12.0459,-0.525657,-0.671207,0.104543,-0.103903,-0.0128879,1598537684.000984064
-11.9476,-0.483701,-0.708101,0.0955077,-0.108551,-0.0148131,1598537684.100150016
-11.8514,-0.49529,-0.780121,0.106207,-0.139383,-0.0213253,1598537684.199559680
