x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.12741,1.4411,0.291246,-0.0199172,-0.307849,1.27232,1598537681.604629760
0.118361,1.54622,0.280016,-0.00531239,-0.295288,1.21697,1598537681.705216768
0.103288,1.57068,0.334796,-0.0119951,-0.276605,1.19183,1598537681.804939776
0.136121,1.64007,0.292419,-0.00967686,-0.27863,1.14585,1598537681.904721408
0.0856136,1.63542,0.347618,-0.00293235,-0.292146,1.1514,1598537682.003880704
0.101964,1.68526,0.365005,-0.0193297,-0.308958,1.15243,1598537682.103325952
0.112398,1.72078,0.324034,-0.0164012,-0.344751,1.1749,1598537682.202600960
0.058722,1.67621,0.313526,-0.000897424,-0.370358,1.22683,1598537682.301754880
0.0489853,1.68277,0.228075,0.0279106,-0.421905,1.24651,1598537682.401594880
0.0245987,1.66621,0.261525,0.0539761,-0.448514,1.28331,1598537682.501441280
0.00799937,1.62148,0.272835,0.0580508,-0.472586,1.29038,1598537682.601820160
0.0480603,1.66658,0.267436,0.0451083,-0.452976,1.33372,1598537682.702421504
0.0418435,1.66533,0.274073,0.0398632,-0.427572,1.33806,1598537682.802942464
0.0243963,1.65167,0.269502,0.0150057,-0.38351,1.39007,1598537682.903083008
-0.000554197,1.63445,0.221536,-0.00677258,-0.342836,1.43522,1598537683.003108864
0.00893234,1.65313,0.212049,-0.0233072,-0.294953,1.47058,1598537683.103367680
-0.00590062,1.66158,0.214692,-0.0272396,-0.249419,1.50302,1598537683.203568896
-0.000864675,1.65094,0.187435,-0.0262046,-0.213504,1.54242,1598537683.303637760
-0.0770437,1.56425,0.17134,-0.0239222,-0.193098,1.54504,1598537683.403665152
-0.0938197,1.55689,0.189546,-0.0222871,-0.163163,1.55487,1598537683.504374784
-0.153299,1.50022,0.157307,-0.0454748,-0.146564,1.5729,1598537683.604352768
-0.155645,1.51932,0.106614,-0.0469547,-0.145989,1.60949,1598537683.704233216
-0.186164,1.51814,0.115631,-0.0649097,-0.117158,1.67758,1598537683.803530240
-0.195184,1.45283,0.0601738,-0.0833506,-0.0839216,1.80286,1598537683.902376448
-0.212433,1.38657,0.154066,-0.114113,-0.0664304,1.9435,1598537684.000984064
-0.29368,1.34425,0.1248,-0.137426,-0.0653543,2.08419,1598537684.100150016
-0.40381,1.30625,0.128173,-0.13956,-0.0735162,2.23059,1598537684.199559680
-0.501674,1.27842,0.120529,-0.13999,-0.0810863,2.39023,1598537684.299474944
-0.595776,1.18777,-0.000472319,-0.157663,-0.114487,2.5628,1598537684.399599872
-0.602311,1.07286,0.0938845,-0.12552,-0.0959617,2.78656,1598537684.500289792
-0.698369,0.995245,0.107546,-0.127096,-0.0701428,2.96691,1598537684.600199168
-0.811003,0.941521,-0.00615613,-0.174663,-0.0391123,3.1406,1598537684.701149952
-0.898661,0.851884,0.778395,-0.0811729,-0.0269223,-2.96552,1598537684.802343680
-1.42881,0.940227,0.440815,-0.103329,-0.0297419,-2.87472,1598537684.903285248
-1.49629,0.836584,0.452589,-0.100713,-0.0522216,-2.74084,1598537685.004786176
-1.46262,0.792824,0.494272,-0.126949,-0.0824351,-2.63854,1598537685.105835776
-1.52945,0.599338,0.374772,-0.147871,-0.0767227,-2.50415,1598537685.206731008
-1.55969,0.491524,0.356589,-0.13703,-0.0320432,-2.37211,1598537685.306354176
-1.58247,0.407036,0.346519,-0.109124,-0.00787814,-2.26593,1598537685.405848320
-1.60895,0.29745,0.332295,-0.0867104,0.000496187,-2.1849,1598537685.505607168
-1.6307,0.199776,0.345278,-0.0728106,-0.00714666,-2.10299,1598537685.605288192
-1.62479,0.103317,0.367715,-0.0717261,-0.00155256,-2.02633,1598537685.704893696
-1.66357,-0.0367247,0.333603,-0.0707827,0.00222377,-1.93854,1598537685.804591360
-1.68568,-0.11092,0.346615,-0.0616083,0.0327164,-1.88639,1598537685.904205056
-1.69556,-0.217001,0.324573,-0.0419891,0.0404657,-1.82706,1598537686.004122624
-1.69599,-0.315036,0.291316,-0.0187467,0.0220134,-1.76757,1598537686.103940864
-1.69051,-0.383225,0.310861,0.00931494,0.00127636,-1.71094,1598537686.203778304
-1.67319,-0.470734,0.347821,0.0312872,-0.0102813,-1.65964,1598537686.303783680
-1.67874,-0.580544,0.392888,0.0265902,-0.0177114,-1.64521,1598537686.404072192
-1.66622,-0.686678,0.367889,0.018254,-0.0275367,-1.63477,1598537686.504488960
-1.65908,-0.777778,0.368294,0.00472434,-0.011539,-1.61231,1598537686.604657152
-1.70324,-0.930291,0.320826,0.00617519,-0.0172118,-1.58065,1598537686.704696576
-1.68241,-0.994429,0.285603,0.00444308,-0.0328862,-1.57341,1598537686.804313088
-1.7625,-1.17522,0.259953,0.0297268,-0.0225402,-1.55811,1598537686.904407552
-1.7718,-1.28496,0.221451,0.0540319,-0.0149661,-1.51615,1598537687.003885824
-1.75341,-1.32717,0.280815,0.0737588,0.00723237,-1.50559,1598537687.103507712
-1.77075,-1.48197,0.259939,0.0624735,0.0438761,-1.49522,1598537687.203836160
-1.79031,-1.59665,0.238256,0.0561822,0.0441098,-1.4744,1598537687.303876096
-1.78402,-1.66339,0.201214,0.0232484,0.000919438,-1.4917,1598537687.403861760
-1.80581,-1.85645,0.182703,0.00732549,-0.0418778,-1.49569,1598537687.504686080
-1.80166,-1.97543,0.257487,0.0125683,-0.0514251,-1.50533,1598537687.604842752
-1.79467,-2.12938,0.324055,0.0175678,0.00359133,-1.51239,1598537687.705112576
-1.80772,-2.25872,0.334472,0.0411983,0.0334664,-1.5034,1598537687.804960768
-1.80346,-2.31269,0.320779,0.0351084,0.0285439,-1.49414,1598537687.904417024
-1.83294,-2.49811,0.311406,0.0480129,0.0229713,-1.47758,1598537688.004270336
-1.82256,-2.61494,0.326023,0.0528802,0.00224134,-1.44381,1598537688.103472384
-1.79684,-2.71729,0.346588,0.0444509,-0.00995591,-1.46,1598537688.203236608
-1.79968,-2.87371,0.31436,0.0381742,0.00476662,-1.44124,1598537688.303471872
-1.78129,-2.95556,0.342936,0.0335569,0.00320461,-1.41958,1598537688.403352832
-1.78252,-3.05399,0.309246,0.0475424,-0.00576045,-1.41497,1598537688.503506944
-1.77685,-3.19618,0.323233,0.0753972,-0.0294996,-1.41214,1598537688.603903744
-1.75696,-3.31756,0.384514,0.0712426,0.00648245,-1.43536,1598537688.704018432
-1.72789,-3.43639,0.311156,0.0756443,0.0179441,-1.43187,1598537688.804470528
-1.73513,-3.59092,0.349887,0.089346,0.0305274,-1.42155,1598537688.904568320
-1.72433,-3.70171,0.356779,0.0842758,0.0371147,-1.42103,1598537689.004402944
-1.70103,-3.83154,0.368326,0.0909534,0.00820333,-1.42355,1598537689.104308736
-1.68221,-3.97988,0.4228,0.0696319,-0.00318659,-1.39423,1598537689.203980288
-1.62466,-4.06722,0.412956,0.0608333,0.00542132,-1.35808,1598537689.303212032
-1.62606,-4.2337,0.436311,0.0330141,0.0115265,-1.35403,1598537689.403101696
-1.59621,-4.36612,0.398774,0.0282856,0.0111914,-1.33143,1598537689.503064320
-1.53016,-4.42873,0.349332,0.0356532,0.0131558,-1.32303,1598537689.602999808
-1.49165,-4.53114,0.344216,0.0490861,-0.00370558,-1.31373,1598537689.703315200
-1.45478,-4.66626,0.402745,0.0201555,-0.0138143,-1.33377,1598537689.803521280
-1.46499,-4.77802,0.491529,0.0166595,0.0111942,-1.34,1598537689.904045312
-1.40541,-4.89699,0.505941,0.011356,0.0148148,-1.33853,1598537690.003894272
-1.43871,-5.03964,0.521157,0.0182446,0.0120474,-1.33849,1598537690.104278272
-1.40831,-5.19793,0.526672,0.0343619,0.0111891,-1.32616,1598537690.204011264
-1.37707,-5.33864,0.669812,0.00535434,0.00697009,-1.31642,1598537690.303720448
-1.30464,-5.55287,0.552021,0.0145797,0.0160388,-1.2874,1598537690.403648512
