x,y,z,roll,pitch,yaw,time
-0.00978848,0.0185333,-0.0424856,-0.0508626,0.00601286,-0.0676966,1598537681.604629760
0.109461,0.00974392,-0.0401656,-0.00076711,0.0129683,-0.0504583,1598537681.705216768
0.0383693,0.0206797,0.0320311,-0.0138377,0.0162817,-0.023994,1598537681.804939776
0.0640255,0.0149343,-0.0581139,-0.0101077,0.000636321,-0.0443664,1598537681.904721408
-0.0113096,0.0104793,0.0767532,0.0090286,-0.0111901,0.00803932,1598537682.003880704
0.0391081,0.0266955,-0.0133756,-0.0167439,-0.0187461,-0.000713559,1598537682.103325952
-0.0140194,0.0288205,-0.0377683,0.00847798,-0.0378878,0.0146737,1598537682.202600960
-0.0379734,0.000494348,0.0263365,0.0322469,-0.0262469,0.0496948,1598537682.301754880
0.0567977,0.0195118,0.027379,0.0251131,-0.0495956,0.0261162,1598537682.401594880
-0.00720197,-0.00515429,0.0964986,0.0361129,-0.0204344,0.0370358,1598537682.501441280
-0.0500419,-0.0107191,0.0146837,0.00894941,-0.0267033,0.00944408,1598537682.601820160
0.0350648,0.0109518,-0.0105682,0.00404434,0.0236281,0.0333025,1598537682.702421504
0.030081,-0.00793442,4.41798e-05,-0.00144068,0.025746,0.00634219,1598537682.802942464
-0.014442,-0.00023023,-0.0118782,-0.00166875,0.0431714,0.0472588,1598537682.903083008
-0.0338475,0.0105029,-0.0588536,-0.0051199,0.0384296,0.0431497,1598537683.003108864
0.00533885,0.00971876,-0.0286944,-0.00536616,0.0455242,0.0325061,1598537683.103367680
-0.00215959,0.0234878,-0.00109774,0.00498617,0.0440755,0.031752,1598537683.203568896
-0.00378921,0.00595472,-0.0120866,0.0103939,0.036312,0.0389459,1598537683.303637760
-0.0513111,0.0475364,-0.000157296,0.00188933,0.0184529,0.00964936,1598537683.403665152
-0.0155609,0.00629764,-0.0036238,0.00607766,0.0295125,0.00984416,1598537683.504374784
-0.0515573,0.0574069,0.00658799,-0.0182642,0.0200391,0.0186431,1598537683.604352768
-0.0252555,0.0150925,-0.0482609,0.000646335,-0.00347346,0.0325282,1598537683.704233216
-0.0107489,0.0502453,0.0391993,-0.0098842,0.0263343,0.0645021,1598537683.803530240
0.0497546,0.107001,-0.0184617,-0.00252638,0.0251578,0.110264,1598537683.902376448
-0.0182941,0.0726063,0.0476787,-0.0176964,0.00842852,0.135234,1598537684.000984064
0.00936209,0.0898349,-0.0258044,-0.0147565,-0.0198419,0.137697,1598537684.100150016
0.00952913,0.113477,-0.0952206,-0.00324237,-0.0342221,0.147502,1598537684.199559680
0.0548688,0.103202,-0.0157898,0.00827226,-0.0371285,0.156812,1598537684.299474944
-0.00227369,0.108645,0.0333696,0.00337135,-0.0420789,0.168626,1598537684.399599872
0.148235,0.0773341,-0.0412251,0.03664,-0.0251149,0.197887,1598537684.500289792
-0.0197806,0.0870331,0.0574566,0.0149106,-0.00396143,0.198974,1598537684.600199168
0.0416065,0.102495,0.0202481,-0.0230844,0.011051,0.188527,1598537684.701149952
0.127448,0.0415644,-0.0975244,0.00803215,0.0117249,0.176684,1598537684.802343680
-0.017975,0.0899493,0.018606,0.0246339,-0.010716,0.160787,1598537684.903285248
0.122027,0.113533,0.0096212,0.00409122,-0.0355055,0.128596,1598537685.004786176
-0.0100891,0.0528086,0.0180612,-0.0214154,-0.0431341,0.101079,1598537685.105835776
0.135629,0.108467,-0.0461914,-0.0101542,-0.00666617,0.134843,1598537685.206731008
0.0907994,0.0795415,-0.0222451,0.0199066,0.0235787,0.136978,1598537685.306354176
0.0559437,0.0441369,0.0112981,0.0288466,0.0102051,0.109758,1598537685.405848320
0.110999,0.0493184,0.00224273,0.0218499,0.0024104,0.081581,1598537685.505607168
0.0930109,0.0445447,0.0209423,0.0138367,-0.014008,0.0805412,1598537685.605288192
0.0806559,0.0345866,0.0181101,0.00179341,-0.00157491,0.0775513,1598537685.704893696
0.165502,0.0241647,-0.0432797,-0.000307874,-0.00414434,0.0866382,1598537685.804591360
0.0767674,0.0383979,0.0093264,0.0130423,0.0180465,0.0534854,1598537685.904205056
0.119572,0.0268005,-0.0467309,0.0184104,0.00071457,0.0591669,1598537686.004122624
0.094407,0.0121616,-0.0299101,0.0192345,-0.0184174,0.0593989,1598537686.103940864
0.0911637,0.0335791,0.0180271,0.0277798,-0.0235419,0.0537575,1598537686.203778304
0.0661542,0.0164501,0.0448624,0.0208535,-0.00969419,0.0536112,1598537686.303783680
0.110307,0.0109125,0.0473289,-0.00363482,-0.00700492,0.0149416,1598537686.404072192
0.114763,-0.000125418,0.00248394,-0.0101456,-0.00511724,0.0137952,1598537686.504488960
0.0974831,0.0136002,-0.00313178,-0.00565123,0.0230442,0.0230483,1598537686.604657152
0.100065,0.0137166,0.00583627,-0.00888475,-0.00629316,0.0190559,1598537686.704696576
0.0930707,-0.00674503,-0.0194477,0.00677237,-0.0046792,0.016109,1598537686.804313088
0.128478,-0.0390511,-0.0290813,0.0131344,-0.00135634,0.00298028,1598537686.904407552
0.0979948,0.00985927,-0.0199107,0.0269323,0.0151402,0.0398991,1598537687.003885824
0.106684,-0.00189258,0.00307017,0.0303566,0.0227903,0.0235245,1598537687.103507712
0.152268,-0.0520742,-0.0227396,-0.0109815,0.040011,0.00684243,1598537687.203836160
0.140586,-0.0289813,-0.00550883,-0.00624399,0.00445265,0.0191075,1598537687.303876096
0.0804225,0.0311348,-0.00495222,-0.0327181,-0.0432721,-0.00404752,1598537687.403861760
0.146595,-0.0160447,0.007619,-0.0306874,-0.0484494,-0.0199178,1598537687.504686080
0.118633,0.00463614,-0.0044199,0.00384737,-0.0275019,-0.00853898,1598537687.604842752
0.125929,-0.006471,0.00224144,0.00156277,0.03558,-0.0140768,1598537687.705112576
0.124576,-7.28321e-05,-0.011844,0.00580837,0.0367791,-0.000628061,1598537687.804960768
0.149776,0.00275019,-0.0655983,0.0150975,-7.83726e-05,0.0221771,1598537687.904417024
0.12886,-0.00773969,0.0064596,-0.00694836,-0.00647851,-0.0115181,1598537688.004270336
0.0861194,0.0472621,0.0531952,0.0061055,-0.0177374,0.037521,1598537688.103472384
0.117593,0.00315639,0.0380494,-0.00922347,-0.0082626,-0.0146302,1598537688.203236608
0.158672,-0.0292149,-0.0417106,-0.00593346,0.0186824,0.0175005,1598537688.303471872
0.119057,0.0273695,0.010541,-0.00579889,-0.00533391,0.0218485,1598537688.403352832
0.127133,0.026716,-0.0652714,0.0127529,-0.00743312,0.00649662,1598537688.503506944
0.160766,-0.047377,0.00824091,0.0270301,-0.0222614,-0.000363881,1598537688.603903744
0.0682162,0.021076,0.0340669,0.00503862,0.0163934,-0.0161341,1598537688.704018432
0.135678,0.00723529,-0.0793416,0.00485371,0.0100041,0.00255335,1598537688.804470528
0.162099,0.0156679,0.00672449,0.020605,0.00364083,0.00367146,1598537688.904568320
0.0958662,0.000679393,-0.0121125,-0.00688531,0.0064546,0.00210737,1598537689.004402944
