x,y,z,roll,pitch,yaw,time
-0.0156962,-0.00166316,-0.0594949,-0.0503604,0.0050093,-0.0672779,1598537681.604629760
0.111515,0.0337441,-0.0402782,-0.0015183,0.0133752,-0.050788,1598537681.705216768
0.0362591,0.0255475,0.0332426,-0.0130633,0.0158897,-0.0240154,1598537681.804939776
0.063195,0.0247722,-0.0447769,-0.0109027,0.00190674,-0.043527,1598537681.904721408
-0.005578,0.000515551,0.0574418,0.0094296,-0.0146969,0.00695696,1598537682.003880704
0.0358176,0.0316631,-0.00404122,-0.0171523,-0.0187395,0.000779839,1598537682.103325952
0.0270838,0.0128653,-0.0615658,0.0113157,-0.0385941,0.0209349,1598537682.202600960
-0.0363214,0.0073561,0.0255225,0.0319095,-0.0263903,0.049843,1598537682.301754880
0.0575718,0.00463817,-0.00436244,0.027945,-0.0536121,0.0267021,1598537682.401594880
-0.0195341,0.010921,0.0639243,0.0384293,-0.0248515,0.0341202,1598537682.501441280
-0.0462105,-0.00798565,0.0136242,0.00836985,-0.0269757,0.00795892,1598537682.601820160
0.0340784,-0.0033111,-0.000108528,0.00509052,0.0249439,0.0343656,1598537682.702421504
0.0122494,-0.00601368,0.00333095,-0.00201201,0.0250283,0.00530387,1598537682.802942464
-0.0036134,0.00486298,-0.00178273,-0.00304464,0.0455529,0.0474187,1598537682.903083008
-0.0324623,0.0261769,-0.0192283,-0.00550585,0.0428269,0.0419304,1598537683.003108864
-0.00203004,0.00556877,-0.0284265,-0.00455996,0.0464931,0.0326219,1598537683.103367680
-0.00475959,0.0186621,-0.0235105,0.00470586,0.0416028,0.0322351,1598537683.203568896
-0.039964,0.0249416,-0.0615487,0.0143965,0.033533,0.0342406,1598537683.303637760
-0.0469141,0.0435766,-0.000712564,0.00447434,0.0213023,0.0110755,1598537683.403665152
-0.00394488,0.0277729,-8.32651e-05,0.00367141,0.0281754,0.0105589,1598537683.504374784
-0.0582306,0.0596457,0.00355924,-0.0196382,0.0186285,0.0174363,1598537683.604352768
-0.012636,0.0282642,-0.0488694,0.0032984,-0.000206154,0.0348685,1598537683.704233216
0.0032437,0.0574284,0.0114303,-0.00571176,0.0246384,0.0660189,1598537683.803530240
-0.0242843,0.0440273,-0.0109018,-0.00125811,0.023976,0.119355,1598537683.902376448
0.0628403,0.131706,0.0120531,-0.02594,-0.000323889,0.128192,1598537684.000984064
0.0111239,0.09846,-0.0339643,-0.0158332,-0.0198743,0.137158,1598537684.100150016
-0.021041,0.110108,-0.068885,-0.00272779,-0.0338864,0.147326,1598537684.199559680
0.0420825,0.103272,-0.00850617,0.00851095,-0.0325293,0.156184,1598537684.299474944
-0.00424874,0.141893,0.020445,0.00122395,-0.043484,0.166007,1598537684.399599872
0.187308,0.119511,-0.0495671,0.0342192,-0.024405,0.189418,1598537684.500289792
-0.0550082,0.0876476,0.0823493,0.0169129,-0.00599917,0.201329,1598537684.600199168
0.0326133,0.0722347,0.0440376,-0.0218969,0.0109359,0.186616,1598537684.701149952
