x,y,z,roll,pitch,yaw,time
-0.0110443,-0.00575333,-0.0626395,-0.0502358,0.00448997,-0.066393,1598537681.604629760
0.111026,0.0339881,-0.043638,-0.00161297,0.013067,-0.0508015,1598537681.705216768
0.0335397,0.0276161,0.0337314,-0.0134618,0.0162588,-0.0243875,1598537681.804939776
0.0626409,0.0260263,-0.039791,-0.0111448,0.0019379,-0.0437703,1598537681.904721408
-0.0112008,-0.00081198,0.0531699,0.00939392,-0.0155253,0.00699508,1598537682.003880704
0.0397838,0.0353275,-0.00672731,-0.0171901,-0.0186741,0.00055552,1598537682.103325952
0.0327839,0.00865322,-0.0504074,0.0107212,-0.0367593,0.0212778,1598537682.202600960
-0.0419387,-0.00388856,0.0264697,0.0329267,-0.0271755,0.0477554,1598537682.301754880
0.054469,0.018848,-0.0175609,0.0277129,-0.055028,0.0294175,1598537682.401594880
-0.00631599,-0.00758353,0.1142,0.0369144,-0.0193336,0.0341723,1598537682.501441280
-0.0294714,0.00611228,0.117934,0.000933853,-0.0116072,0.00684714,1598537682.601820160
0.0192433,-0.00778685,-0.0709539,0.00898482,0.0155796,0.0357775,1598537682.702421504
0.0138191,0.00415914,-0.0338588,-0.000109496,0.020819,0.00634791,1598537682.802942464
-0.00729895,0.00176573,0.0035967,-0.00158388,0.0467133,0.0465409,1598537682.903083008
-0.0251148,0.0191547,-0.0546971,-0.0051845,0.0387478,0.04139,1598537683.003108864
-0.00836256,0.00393602,-0.0529033,-0.00518022,0.0440271,0.0332814,1598537683.103367680
0.00348846,-0.0021116,-0.0445991,0.010421,0.0437539,0.0333849,1598537683.203568896
-0.013226,0.01049,0.000141224,0.0102777,0.037082,0.0374046,1598537683.303637760
-0.064153,0.0671721,-0.0169323,0.00250773,0.0182506,0.00776561,1598537683.403665152
-0.0149316,0.00665359,-0.0301642,0.00589399,0.0268065,0.00995709,1598537683.504374784
-0.0440366,0.0463601,0.0614162,-0.0224923,0.0214312,0.019916,1598537683.604352768
-0.0228426,0.0178961,0.010538,-0.0040052,-0.000861964,0.0324837,1598537683.704233216
-0.0242989,0.0466569,-0.0419795,-0.00360255,0.0224018,0.0647315,1598537683.803530240
-0.755079,12.1992,0.0699641,0.000162955,-0.0271059,-0.0008091,1598537683.902376448
-0.0102721,0.0772582,0.0299454,-0.0226448,0.00198798,0.136219,1598537684.000984064
0.0378709,0.0987838,-0.0399388,-0.0167259,-0.0220642,0.136746,1598537684.100150016
-0.00761076,0.100552,-0.0664106,-0.00117253,-0.0325305,0.146731,1598537684.199559680
0.0257698,0.115369,-0.0619565,0.00165767,-0.03591,0.158885,1598537684.299474944
0.0292794,0.120592,-0.0450479,-0.00164234,-0.0467597,0.159492,1598537684.399599872
0.188999,0.110618,-0.0610116,0.0331861,-0.0255713,0.189375,1598537684.500289792
-0.0399449,0.155564,0.070405,0.0173992,-0.00771371,0.199963,1598537684.600199168
0.0343351,0.137597,0.041388,-0.0225143,0.0116166,0.186757,1598537684.701149952
0.104601,0.0497727,-0.12479,0.00815494,0.0113658,0.176778,1598537684.802343680
-0.00669723,0.197337,-0.0246366,0.0213387,-0.0114095,0.153594,1598537684.903285248
0.0846286,0.0956834,-0.0225398,0.00134098,-0.0380318,0.130406,1598537685.004786176
-0.0160419,0.053768,0.039181,-0.0197725,-0.0416806,0.100176,1598537685.105835776
0.145933,0.139149,-0.108545,-0.0145973,-0.0101022,0.132479,1598537685.206731008
0.0985028,0.0770292,-0.0173837,0.0211528,0.0233388,0.137287,1598537685.306354176
0.0638652,0.0596918,-0.0131641,0.0291945,0.00757097,0.108557,1598537685.405848320
0.0961067,0.0558855,0.00594267,0.021627,0.00223197,0.0807705,1598537685.505607168
0.103688,0.0681514,0.0251277,0.013423,-0.0138268,0.0799779,1598537685.605288192
0.0845815,0.0312554,8.73395e-06,0.00373839,-0.00321533,0.0800688,1598537685.704893696
0.145903,0.0334221,-0.0133424,-0.00160144,0.000144239,0.0865906,1598537685.804591360
0.101458,0.0241065,0.00343383,0.0115682,0.016484,0.052857,1598537685.904205056
0.114646,0.0205091,-0.0372264,0.0185428,0.00160931,0.0601367,1598537686.004122624
0.0972879,0.0202668,-0.0148024,0.0202269,-0.0173072,0.058798,1598537686.103940864
0.0544987,0.0368166,0.00638848,0.0270787,-0.0250891,0.0544343,1598537686.203778304
0.081766,0.0146567,0.0426559,0.0226605,-0.0104463,0.0524322,1598537686.303783680
0.0974811,0.0394413,0.037586,-0.00730855,-0.00919833,0.015796,1598537686.404072192
0.121608,0.00777161,0.0157015,-0.00705716,0.00109576,0.0112222,1598537686.504488960
0.0687553,0.00626595,-0.00165484,-0.013072,0.0143866,0.0202538,1598537686.604657152
0.160451,-0.0382685,-0.0440084,0.00150022,-0.00340233,0.0306646,1598537686.704696576
0.03883,0.0206942,-0.0206267,0.000182851,-0.0118494,0.00867917,1598537686.804313088
0.206698,-0.0669971,-0.069727,0.0258341,0.00704141,0.015645,1598537686.904407552
0.116412,-0.0134445,-0.0387521,0.0345428,0.018129,0.0430666,1598537687.003885824
0.129221,-0.0319869,-0.073023,0.0254427,0.000452294,0.0276897,1598537687.103507712
0.0999422,0.0041575,0.0243967,-0.00556979,0.0501479,-0.0050215,1598537687.203836160
0.14711,-0.0247429,-0.0178706,-0.0158609,-0.00812777,0.0196222,1598537687.303876096
0.15925,-0.028076,0.0286947,-0.0205246,-0.0239175,0.0157113,1598537687.403861760
0.0780124,0.0374018,-0.00251304,-0.0258687,-0.0472148,-0.033307,1598537687.504686080
0.180514,-0.054386,0.0153485,0.00014391,-0.0287198,0.00354034,1598537687.604842752
0.129083,0.000611208,-0.150424,0.0106039,0.00630877,-0.0135917,1598537687.705112576
0.131244,-0.00137705,0.0654701,0.00168306,0.0539938,0.00133195,1598537687.804960768
0.0638725,0.0211412,-0.0444123,-0.00821289,-0.00360224,0.00858654,1598537687.904417024
0.115812,-0.0462953,-0.00616864,0.0107978,-0.00992027,0.0220636,1598537688.004270336
0.104465,-0.00175827,0.0220329,0.00485442,-0.0151949,0.0362998,1598537688.103472384
0.102847,0.00457821,0.0301154,-0.00819433,-0.0095424,-0.0151049,1598537688.203236608
0.147933,-0.0217854,-0.00946437,-0.007701,0.0203165,0.0171514,1598537688.303471872
0.0743547,0.016527,0.0267425,-0.0049745,-0.00187347,0.0229569,1598537688.403352832
0.114453,-0.00497224,-0.0290872,0.0134093,-0.00331636,0.00707119,1598537688.503506944
0.163789,-0.0104161,0.012159,0.0287827,-0.0262604,-0.00174542,1598537688.603903744
0.0600063,0.0075323,0.0752923,-0.00391904,0.0292017,-0.0203088,1598537688.704018432
0.135331,0.0293189,-0.00716919,0.0127118,0.00704487,0.00295869,1598537688.804470528
0.151985,-0.0157109,0.0408858,0.0156544,0.0063971,0.00747809,1598537688.904568320
0.119901,0.0152852,-0.00111126,-0.00813635,0.0114048,-0.000925435,1598537689.004402944
0.103279,-0.0319706,-0.0120552,0.00467118,-0.0281567,0.00114388,1598537689.104308736
0.179059,-0.0156587,0.0745991,-0.016356,-0.0121111,0.0242725,1598537689.203980288
0.105825,-0.00560273,0.00654508,-0.00335252,0.0109736,0.0434681,1598537689.303212032
0.144369,0.00836014,0.0357186,-0.034798,0.0053229,0.00228543,1598537689.403101696
0.152264,-0.0012189,-0.058014,-0.00670654,0.00102711,0.0227556,1598537689.503064320
0.0797376,0.0269177,-0.0369798,0.00956265,0.00448862,0.00955032,1598537689.602999808
0.177091,0.0338393,0.0314784,0.0160245,-0.0114902,0.00624539,1598537689.703315200
0.0866967,-0.0166816,0.10579,-0.0201725,-0.0169696,-0.0121508,1598537689.803521280
0.176463,0.00754971,-0.060387,-0.0146439,0.026024,-0.017693,1598537689.904045312
0.0654366,-0.0113264,0.0458363,-0.00271718,0.00314636,0.0148826,1598537690.003894272
0.274743,-0.0602983,-0.096122,-0.00120709,-0.00737458,-0.00650728,1598537690.104278272
0.0948402,-0.0136332,0.0756559,0.0202885,0.00469204,0.0151852,1598537690.204011264
0.0802374,0.00359797,0.000847681,-0.0390568,-0.00576094,0.0162632,1598537690.303720448
0.227582,-0.000417091,-0.0796732,0.0106305,0.0161391,0.030095,1598537690.403648512
0.09307,0.0149445,0.0217224,0.00449826,0.0186425,0.0209634,1598537690.503217664
0.158734,-0.00029909,-0.00855986,0.0244287,0.00396956,0.0212073,1598537690.603367936
0.136676,-0.00466122,0.0138278,0.0240982,0.00206757,0.00591099,1598537690.703396608
0.149095,-0.032221,0.00296596,-0.0036591,0.00126371,-0.00639282,1598537690.803601664
0.147762,0.0159168,-0.0137138,0.00582522,0.000549227,-0.00741588,1598537690.903623424
0.115688,-0.00993049,0.0251023,0.00920924,0.0348317,-0.0188681,1598537691.004074496
0.146042,-0.00925279,0.0308694,-0.0148845,0.0108334,-0.0534559,1598537691.104701184
0.145519,-0.0562277,0.0156683,-0.00251754,-0.00456668,-0.0350348,1598537691.205323008
0.134848,-0.0415441,-0.00790078,-0.000995892,-0.0124561,-0.00520263,1598537691.305287168
0.183436,-0.0412709,0.0388088,-0.0130636,-0.0261123,0.0427165,1598537691.404729856
