x,y,z,roll,pitch,yaw,time
-0.0173226,0.00369788,-0.0574554,-0.0503784,0.00499088,-0.0678678,1598537681.604629760
0.11006,0.0286166,-0.0446705,-0.00181759,0.0131442,-0.0506784,1598537681.705216768
0.037157,0.0219529,0.0350997,-0.0128221,0.0163508,-0.0237649,1598537681.804939776
0.0703123,0.0250959,-0.0606785,-0.0105848,0.000400158,-0.0435241,1598537681.904721408
-0.00920032,-0.000566323,0.0738413,0.00937347,-0.013349,0.00787858,1598537682.003880704
0.0386078,0.0369764,-0.0234174,-0.0177253,-0.0197855,-0.00125559,1598537682.103325952
0.0310176,0.00687107,-0.0487794,0.0112947,-0.0366326,0.0218229,1598537682.202600960
-0.0348327,0.0115253,0.0175583,0.0331542,-0.0286645,0.0486494,1598537682.301754880
0.0630396,0.00267796,-0.000576389,0.0273809,-0.0522882,0.0303033,1598537682.401594880
-0.00540529,0.0219099,0.0870072,0.038082,-0.0226361,0.0335399,1598537682.501441280
-0.0395936,0.00128473,0.060532,0.00615511,-0.0211671,0.00621185,1598537682.601820160
0.0300879,-0.0029131,-0.00917191,0.00592222,0.0242935,0.0371793,1598537682.702421504
0.0254924,0.0045179,0.011336,-0.00290767,0.0262867,0.00517077,1598537682.802942464
-0.00334118,0.0196018,-0.01675,-0.00317458,0.0448308,0.0465672,1598537682.903083008
-0.0273233,0.0124684,-0.0204376,-0.00549524,0.0423379,0.040678,1598537683.003108864
-0.00666875,0.00848945,-0.0275532,-0.00356413,0.0474972,0.0319507,1598537683.103367680
0.00713361,0.02085,-0.0108699,0.00543693,0.0432178,0.0321859,1598537683.203568896
-0.0153044,-0.00532988,-0.014128,0.0109159,0.0358433,0.0396441,1598537683.303637760
-0.0884525,0.0672604,2.88423e-05,0.00270506,0.0197169,0.00337287,1598537683.403665152
-0.0110424,0.0261262,0.0094272,0.00290073,0.0282996,0.00968134,1598537683.504374784
-0.0579253,0.0545028,-0.00347937,-0.0199466,0.017753,0.0186254,1598537683.604352768
-0.0211417,0.0186275,-0.0614688,0.00443126,-0.00121293,0.0322124,1598537683.704233216
-0.0299625,0.0531036,0.0160037,-0.0064971,0.0257424,0.064018,1598537683.803530240
16.6702,-2.38211,0.376628,0.111288,-0.0229657,0.00116528,1598537683.902376448
-0.0208332,0.078741,0.0570431,-0.0205558,0.00376322,0.135988,1598537684.000984064
0.0472844,0.0906868,-0.0337285,-0.0168535,-0.019937,0.136116,1598537684.100150016
-0.0205156,0.0918543,-0.09676,-0.00362456,-0.0386513,0.146959,1598537684.199559680
0.0390454,0.0984443,0.0440769,0.0118547,-0.0249701,0.157747,1598537684.299474944
0.0509066,0.113215,0.028749,0.00427706,-0.0398402,0.160071,1598537684.399599872
-0.0118515,0.0951794,0.0109273,0.0428506,-0.0108511,0.22047,1598537684.500289792
-0.0467393,0.0772961,0.107111,0.0197289,-0.000981609,0.199937,1598537684.600199168
0.0456996,0.10331,0.0434961,-0.0216907,0.0103753,0.185695,1598537684.701149952
0.137311,0.0504254,-0.0741,0.0117711,0.0148515,0.177156,1598537684.802343680
-0.00457736,0.19448,-0.00368145,0.0229342,-0.0107491,0.153368,1598537684.903285248
0.0710315,0.0971264,0.0216387,0.0041555,-0.0354255,0.129483,1598537685.004786176
0.0159032,0.0329019,0.0414654,-0.0201782,-0.0414764,0.100684,1598537685.105835776
0.133217,0.0908763,-0.0563067,-0.0132481,-0.0067867,0.137416,1598537685.206731008
0.0880014,0.0695354,-0.0171139,0.0197555,0.0241653,0.137687,1598537685.306354176
0.0682488,0.0542282,0.000780734,0.0292216,0.00870214,0.10877,1598537685.405848320
0.107051,0.0604308,-0.00481864,0.0222064,0.00157129,0.0812994,1598537685.505607168
0.0902047,0.0526788,-0.008605,0.0168332,-0.0164997,0.0810557,1598537685.605288192
0.0835063,0.0429253,0.0480418,0.00143769,0.00235565,0.0769039,1598537685.704893696
0.146497,0.0372843,-0.0357093,-0.00100074,-0.000731756,0.0872771,1598537685.804591360
0.0744376,0.0210528,-0.0109338,0.0127949,0.0131948,0.0532083,1598537685.904205056
0.1148,0.0247598,-0.0343827,0.0181829,0.00182439,0.0601155,1598537686.004122624
0.0962284,0.0150832,-0.0161706,0.0199631,-0.0172295,0.0590443,1598537686.103940864
0.0560078,0.0336944,0.00304954,0.0266254,-0.0255404,0.0552287,1598537686.203778304
0.092835,0.0137263,0.0502266,0.0229638,-0.00980831,0.0523492,1598537686.303783680
0.0911495,0.0385295,0.0674889,-0.00652058,-0.00533398,0.015035,1598537686.404072192
0.116534,0.00426995,0.00326537,-0.00949695,-0.00541735,0.0122263,1598537686.504488960
0.0745031,0.018768,-0.00606495,-0.00977139,0.0187856,0.0211514,1598537686.604657152
0.149608,-0.0304457,-0.0120773,-0.00159937,-0.00187981,0.0274952,1598537686.704696576
0.0975059,-0.00681803,-0.0105559,0.0047444,-0.00522322,0.0171577,1598537686.804313088
0.0968824,0.00703516,-0.0308732,0.0105779,-0.00305934,-0.00282437,1598537686.904407552
0.144827,-0.0496371,-0.0494572,0.0309354,0.0122858,0.0497769,1598537687.003885824
0.115009,-0.0124296,-0.0424359,0.0279638,0.00900917,0.0247433,1598537687.103507712
0.12823,-0.0165737,-0.0217293,-0.00826054,0.0379041,0.00163738,1598537687.203836160
0.136931,-0.0079946,0.0630487,-0.0167642,0.00939733,0.0163105,1598537687.303876096
0.173216,-0.0472592,-0.0481662,-0.0150014,-0.0373054,0.018695,1598537687.403861760
0.134251,-0.0163091,0.0337916,-0.0322607,-0.0461716,-0.02102,1598537687.504686080
0.117237,-0.00274792,0.059701,0.00289535,-0.0135144,-0.00910135,1598537687.604842752
0.17675,-0.0423813,0.0670646,-0.00285625,0.0471846,-0.00623833,1598537687.705112576
0.129275,-0.0159276,-0.00803696,0.0225362,0.0269978,0.00980672,1598537687.804960768
0.0705744,0.0218658,-0.0332861,-0.00751019,-0.00410404,0.00847234,1598537687.904417024
0.180242,-0.0423086,-0.000433644,0.0127215,-0.00719037,0.0173915,1598537688.004270336
0.134329,0.0068196,0.0232471,0.00434769,-0.0186862,0.0342844,1598537688.103472384
0.100027,-0.00146451,0.0294771,-0.0083506,-0.0095128,-0.0152276,1598537688.203236608
0.138708,-0.0100601,-0.0254299,-0.00590258,0.0147546,0.0179739,1598537688.303471872
0.0743547,0.016527,0.0267425,-0.0049745,-0.00187347,0.0229569,1598537688.403352832
0.119104,0.00547009,-0.0420869,0.0124847,-0.00408738,0.00654551,1598537688.503506944
