x,y,z,roll,pitch,yaw,time
-0.0117521,-0.000274097,-0.038282,-0.0499556,0.00709066,-0.0674012,1598537681.604629760
0.106784,0.0300417,-0.0357154,-0.00110862,0.0136552,-0.0511545,1598537681.705216768
0.038515,0.0272833,0.0237057,-0.0129649,0.0149597,-0.0239735,1598537681.804939776
0.0643787,0.0272865,-0.0363688,-0.0114905,0.0027723,-0.0446204,1598537681.904721408
-0.0116995,0.00794287,0.0487649,0.00932814,-0.0157283,0.00675228,1598537682.003880704
0.0403675,0.0230767,-0.00579455,-0.0170133,-0.0187233,0.00106069,1598537682.103325952
0.033152,0.015539,-0.0320452,0.00966376,-0.034112,0.0204346,1598537682.202600960
-0.0383307,0.00644358,0.0122464,0.0326205,-0.0274246,0.0486559,1598537682.301754880
0.0549046,0.0214736,-0.00278827,0.0269801,-0.0523028,0.0294665,1598537682.401594880
-0.0137426,0.0308809,0.10931,0.0366514,-0.018725,0.0315897,1598537682.501441280
-0.0310177,0.00644289,0.0876542,0.00501447,-0.0168207,0.00551042,1598537682.601820160
0.0251068,0.00885357,-0.00545219,0.0056563,0.023666,0.0362281,1598537682.702421504
0.0223369,0.0062374,0.0134062,-0.00290367,0.0273281,0.00603854,1598537682.802942464
-0.00629989,0.00994237,-0.0107876,-0.00265175,0.0441383,0.0472226,1598537682.903083008
-0.0356986,0.00370679,-0.0143891,-0.00473323,0.0434788,0.0415291,1598537683.003108864
-0.00851137,-0.00589745,-0.0414405,-0.00342088,0.0448831,0.033934,1598537683.103367680
-0.00165646,0.014528,-0.00853894,0.0060636,0.0438099,0.0329793,1598537683.203568896
-0.0202555,0.0232502,-0.0186772,0.00990543,0.0343735,0.0375443,1598537683.303637760
-0.0479119,0.0212123,0.00445699,0.00433172,0.0210228,0.0109535,1598537683.403665152
-0.0167261,0.030832,-0.0114916,0.00557774,0.0283788,0.00786183,1598537683.504374784
-0.0575712,0.06159,0.0142582,-0.0153719,0.0239523,0.0179257,1598537683.604352768
-0.0318512,0.0283608,-0.0303439,-0.00164388,-0.00273949,0.0313713,1598537683.704233216
-0.0203587,0.044711,-0.0171235,-0.00196901,0.0254317,0.0649061,1598537683.803530240
-0.0166119,0.05993,-0.0155063,-0.00186227,0.0237755,0.118488,1598537683.902376448
0.0641683,0.158911,0.0118423,-0.0256965,0.00126656,0.12793,1598537684.000984064
0.00730139,0.0768372,-0.0282931,-0.0152005,-0.0199251,0.138625,1598537684.100150016
-0.0419068,0.0938961,-0.028561,0.00341933,-0.0342776,0.148158,1598537684.199559680
0.116631,0.121681,0.0332861,0.0118949,-0.035253,0.150989,1598537684.299474944
-0.0590757,0.15245,-0.123761,-0.00983372,-0.0450727,0.167581,1598537684.399599872
0.17032,0.106348,-0.0565093,0.0355633,-0.0237819,0.191477,1598537684.500289792
-0.0144398,0.111579,0.0414038,0.0184227,-0.00869691,0.200479,1598537684.600199168
0.0561896,0.084864,0.0752785,-0.021244,0.0148443,0.189103,1598537684.701149952
0.125684,0.0986241,-0.178527,-0.00107824,0.00947352,0.173493,1598537684.802343680
-0.0212122,0.115423,0.03389,0.0250189,-0.00827594,0.158654,1598537684.903285248
0.0984858,0.0902147,0.0109894,0.00513765,-0.036512,0.130102,1598537685.004786176
0.0275404,0.0643856,0.0652267,-0.0210091,-0.0401314,0.103486,1598537685.105835776
0.13653,0.0844244,-0.0807264,-0.0142312,-0.00895516,0.133382,1598537685.206731008
0.0811536,0.102984,-0.00294884,0.0197182,0.023959,0.137199,1598537685.306354176
0.0670438,0.0530821,0.003727,0.0286102,0.00938727,0.110576,1598537685.405848320
0.102521,0.0560993,-0.00532305,0.0228166,0.00183106,0.0810584,1598537685.505607168
0.0909845,0.0403356,0.0108663,0.0135249,-0.0160041,0.0812077,1598537685.605288192
0.0812654,0.0334564,0.0226524,0.00241097,-0.00131439,0.0787815,1598537685.704893696
0.147362,0.030432,-0.0342136,3.37516e-05,-0.001973,0.0871127,1598537685.804591360
0.0981313,0.00883729,0.0537062,0.0125288,0.0195805,0.0542445,1598537685.904205056
0.117912,0.0502935,-0.0363341,0.0188741,0.00143447,0.059842,1598537686.004122624
0.0919328,0.0240366,-0.0332958,0.0194521,-0.0191464,0.0582191,1598537686.103940864
0.084327,0.0224085,-0.00340434,0.0274629,-0.025434,0.0560948,1598537686.203778304
0.0855909,0.0448148,0.0329977,0.0198622,-0.0104498,0.0520803,1598537686.303783680
0.107668,0.0214139,-0.0352052,-0.0111202,-0.00633319,0.0136506,1598537686.404072192
0.113599,0.000202718,0.0108408,-0.00974893,-0.00447499,0.0131863,1598537686.504488960
0.0757769,0.0177412,-0.00843129,-0.0110648,0.0170991,0.0203907,1598537686.604657152
0.160473,-0.0335369,-0.0371984,0.00289501,-0.00228453,0.0318317,1598537686.704696576
0.0551986,0.0166092,-0.0285106,0.00104213,-0.0121912,0.00798224,1598537686.804313088
0.18089,-0.0626245,-0.0709068,0.024856,0.00375403,0.0144738,1598537686.904407552
0.122608,-0.0269992,0.00450553,0.0243666,0.0166191,0.0456202,1598537687.003885824
0.113165,-0.0167143,-0.0644035,0.0277205,0.00401681,0.025151,1598537687.103507712
0.143695,-0.0151442,0.0278014,-0.00868045,0.0492437,0.00306195,1598537687.203836160
0.119041,0.00244966,0.112789,-0.0201524,0.0165196,0.0127818,1598537687.303876096
0.170549,-0.0473371,-0.074116,-0.012974,-0.040261,0.0185104,1598537687.403861760
0.115155,0.00462951,0.00901311,-0.033011,-0.0524455,-0.0257454,1598537687.504686080
0.124906,-0.0181115,-0.0108783,0.00745797,-0.0237952,-0.00574265,1598537687.604842752
0.153314,-0.0114013,-0.0135101,0.011107,0.0429635,-0.00879512,1598537687.705112576
0.131109,0.00131693,-0.00821124,0.00611236,0.037939,0.00179943,1598537687.804960768
0.123443,-0.00290982,-0.00392256,0.0104056,0.0105156,0.0174392,1598537687.904417024
0.149544,-0.00920169,-0.0306851,-0.00882651,-0.0177199,-0.00825946,1598537688.004270336
0.082156,0.0625872,0.0488809,0.00648014,-0.0184873,0.0379762,1598537688.103472384
0.0937048,0.00545377,0.0655133,-0.00680126,-0.0102018,-0.0140672,1598537688.203236608
0.14951,-0.0256894,-0.0447691,-0.007513,0.0205099,0.0167188,1598537688.303471872
0.114638,0.00873172,0.0185655,-0.00478567,-0.00298292,0.0239131,1598537688.403352832
0.132093,-0.00578427,-0.0401148,0.0123292,-0.0063265,0.00870876,1598537688.503506944
0.157634,-0.0216958,-0.0204033,0.028676,-0.0254851,-0.00231074,1598537688.603903744
0.0413721,0.00663394,0.0560883,0.00449835,0.0200126,-0.015187,1598537688.704018432
0.135674,0.011977,-0.0347827,0.000619771,0.0214488,0.0024489,1598537688.804470528
0.165402,0.00470805,0.020902,0.0193777,0.00620124,0.00699018,1598537688.904568320
0.106903,0.0245361,0.0586898,-0.00909568,0.0152844,-0.00021653,1598537689.004402944
0.1394,-0.0138853,-0.0448867,0.00110288,-0.0285528,0.00064781,1598537689.104308736
0.201639,0.0344509,0.0571881,-0.0144336,-0.0169363,0.0218894,1598537689.203980288
0.0699283,0.0583541,-0.00854323,-0.00747961,0.0112488,0.0362652,1598537689.303212032
0.15647,-0.0363455,0.0233774,-0.0222219,0.00789658,0.00252505,1598537689.403101696
0.0757787,0.0202097,0.00212635,-0.0184053,-0.00589544,0.00987535,1598537689.503064320
0.0804991,0.0361848,-0.0509302,0.00846524,0.00253771,0.00880812,1598537689.602999808
0.121621,-0.000305259,-0.00821785,0.0151413,-0.0156809,0.00920652,1598537689.703315200
0.127746,0.0146386,0.0878877,-0.0277623,-0.0101727,-0.0176325,1598537689.803521280
0.0781757,-0.0412024,0.0010703,-0.00893447,0.0243082,-0.00492595,1598537689.904045312
0.169748,0.0586871,0.00475759,-0.00552082,0.000656863,-0.00459415,1598537690.003894272
0.223036,-0.0824192,-0.0726292,0.000629233,-0.0051167,-0.00469244,1598537690.104278272
0.115663,0.00260527,0.0455384,0.0186508,0.00172018,0.0132632,1598537690.204011264
0.0927519,0.0155291,0.111276,-0.0317986,-0.00190819,0.015581,1598537690.303720448
0.194173,-0.00146561,-0.0781878,0.0136924,0.0113951,0.0354794,1598537690.403648512
0.0899574,0.0349755,-0.0959858,0.00213157,0.0115018,0.0184587,1598537690.503217664
0.154805,0.00787616,-0.0491228,0.0232934,-0.00504122,0.0219712,1598537690.603367936
0.0865765,0.00216384,-0.000419326,0.0194284,0.0166505,0.00832553,1598537690.703396608
0.169812,-0.0476732,-0.0331986,-0.000595459,-0.00176838,-0.00485926,1598537690.803601664
0.112242,0.0208565,0.000826015,0.00906032,0.000130529,-0.00369949,1598537690.903623424
0.119438,0.0233655,-0.0132003,0.00736809,0.0383699,-0.0219456,1598537691.004074496
0.114383,0.00957324,0.015417,-0.0194436,0.0123969,-0.0527369,1598537691.104701184
0.146739,-0.0558196,-0.0189751,-0.00403043,-0.00554164,-0.0361948,1598537691.205323008
0.140575,-0.0593178,-0.0595889,-0.00886529,-0.0207773,-0.00625773,1598537691.305287168
0.131907,-0.0400539,0.0337111,-0.0114863,-0.0220865,0.0456233,1598537691.404729856
0.145139,0.015796,0.0345652,0.00492245,-0.0176488,0.030602,1598537691.503613952
0.0881318,0.0283168,0.173791,-0.0238037,-0.00114799,0.00891366,1598537691.603115008
0.166662,-0.0101915,-0.00198755,-0.0298658,-0.0127087,0.0325419,1598537691.703096832
0.102292,-0.00133413,0.021789,0.0100037,-0.0235325,0.0460213,1598537691.802357504
0.123613,-0.00699929,-0.0611314,0.000809075,-0.0402695,0.00216577,1598537691.902546944
0.0284994,0.0904762,0.0262633,0.0371982,-0.0115521,0.00779615,1598537692.002491392
0.128644,-0.0143887,0.0166231,0.025086,-0.000383446,-0.0116415,1598537692.103115520
0.157013,-0.00416926,-0.00824405,0.0131709,0.0150881,-0.00651201,1598537692.203620864
0.105631,-0.0173087,0.0820531,-0.0103012,-0.0136837,0.00240939,1598537692.303584512
0.129757,-0.0281737,-0.0295442,-0.0333966,-0.0218031,-0.00529922,1598537692.403758592
0.135983,-0.0343707,-0.00766611,-0.0131402,-0.0228357,0.0242254,1598537692.503445760
0.101892,-0.0203043,-0.0148077,-0.027383,-0.0124586,0.0227583,1598537692.602852608
0.0862073,-0.0147539,-0.028152,-0.0240936,-0.00098764,-0.00940178,1598537692.702665472
0.108117,-0.00749946,0.0362623,-0.0188962,-0.00521773,-0.00875695,1598537692.802945280
0.107879,-0.033763,0.0167569,-0.00991886,-0.00257973,0.0104715,1598537692.902639872
0.072433,0.0120875,-0.00383221,0.0159712,-0.00331348,-0.00889903,1598537693.002817536
-0.0157573,-0.0412555,0.0497387,0.0358112,-0.00555308,-0.0144478,1598537693.102540288
0.12286,-0.0290693,0.0110045,0.0012834,0.0117593,-0.0511189,1598537693.203336704
0.12413,-0.0245203,-0.00928657,-0.000944936,0.0346233,-0.0310404,1598537693.303886592
0.0891479,-0.0392211,0.0129672,-0.00592362,0.00181929,-0.0579579,1598537693.404139776
0.100795,-0.0087666,-0.0347134,-0.0116752,0.000224871,-0.0628727,1598537693.504451584
0.132343,-0.0181368,-0.0761183,0.0248663,0.00581901,-0.0422574,1598537693.604558592
0.123376,-0.0422709,0.0188991,0.00563386,0.0314654,-0.0599326,1598537693.704345088
0.101004,0.00126251,-0.0290929,0.00556422,0.0359477,-0.0554023,1598537693.804050176
0.0643659,0.0113757,0.0801529,-0.00993351,0.0188826,-0.0618859,1598537693.903646976
0.0850041,0.00161406,8.54814e-05,-0.00124451,0.00183258,-0.0479765,1598537694.003376640
0.11191,-0.00253541,-0.0155692,-0.0109787,-0.023659,-0.0792336,1598537694.103339520
0.0900036,0.0235665,0.0134551,-0.000825379,-0.0257796,-0.0769466,1598537694.203521792
0.0834115,-0.0304761,0.0822233,0.0049769,0.00665131,-0.088957,1598537694.303508480
0.077936,-0.0235046,-0.042408,-0.0012854,0.0382682,-0.0752406,1598537694.403532544
0.0780785,0.0296507,-0.00426247,0.0188624,0.00138439,-0.0591534,1598537694.503343360
0.0781581,0.0356348,0.0444118,-0.013473,0.00855653,-0.0670616,1598537694.603265792
0.0958219,-0.0297546,-0.0498607,-0.00498322,0.0145723,-0.0512044,1598537694.703204608
0.0713522,0.0410014,0.0045469,0.0078963,-0.0214986,-0.0473693,1598537694.802643456
0.112638,0.0109931,0.0103314,-0.0237736,-0.0173134,-0.0670912,1598537694.902685184
0.0581122,0.0101831,0.0377874,0.00667312,-0.0184975,-0.0433249,1598537695.002489344
0.0899792,0.0139882,-0.018285,-0.0125722,0.00721539,-0.0599516,1598537695.102608896
0.0822577,0.0181842,-0.000209068,0.0322352,0.0179407,-0.00257521,1598537695.202398720
0.0605118,0.00121429,0.0472931,0.0165176,-0.00201596,-0.0426198,1598537695.302222336
0.0750789,0.0137356,-0.0652842,0.00307762,-0.0168808,-0.058643,1598537695.402703616
0.0788283,0.0248528,0.0282473,-0.00820499,-0.0347898,-0.0552102,1598537695.503401472
0.0859796,0.0154493,0.0719035,-0.00891386,-0.0221291,-0.0530646,1598537695.604009984
0.0953061,-0.0143653,-0.0691276,-0.000900941,0.0107432,-0.0294131,1598537695.704362240
0.0641305,0.0293738,0.0287443,0.00802677,-0.00657521,-0.0254038,1598537695.804226048
0.0965024,-0.00966068,-0.00950102,-0.00437915,-0.000808205,-0.0384974,1598537695.904278784
0.102705,0.0159494,-0.0292427,-0.00698487,-0.00392989,-0.0284929,1598537696.004132608
0.0979576,0.0125173,0.0451886,0.024771,0.000691115,-0.00966386,1598537696.103810304
0.0425984,0.105878,0.0349699,-0.0107358,0.00462963,-0.00817718,1598537696.203000320
0.142585,-0.0324401,-0.0355706,-0.0241465,0.00443875,-0.0201761,1598537696.303184128
0.0857851,0.0493586,0.0368249,0.01474,-0.000814628,0.00544607,1598537696.402724096
0.0871621,0.0283821,-0.0138543,0.00226157,0.00327313,-0.0154141,1598537696.502637824
0.119299,0.0242594,0.0687771,0.00379357,0.00903801,-0.0397427,1598537696.603169792
0.105471,0.0326092,-0.012071,0.0266376,0.00515726,-0.0165129,1598537696.703492608
