x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.105897,1.45163,0.324143,-0.0220441,-0.300161,1.2724,1598537681.604629760
0.168588,1.58312,0.322096,-0.00764136,-0.287203,1.21851,1598537681.705216768
0.13484,1.60088,0.373676,-0.0145881,-0.271067,1.19136,1598537681.804939776
0.20754,1.71328,0.325392,-0.0114348,-0.270793,1.15029,1598537681.904721408
0.150063,1.68546,0.376275,-0.00406532,-0.285164,1.15435,1598537682.003880704
0.136751,1.72046,0.395695,-0.0214871,-0.300796,1.15371,1598537682.103325952
0.132239,1.75913,0.404185,-0.0189674,-0.328925,1.17492,1598537682.202600960
0.0733968,1.70025,0.415085,-0.0010913,-0.354356,1.22575,1598537682.301754880
0.07332,1.71823,0.489548,0.0230836,-0.404992,1.256,1598537682.401594880
0.0358725,1.65862,0.573582,0.0466357,-0.428341,1.29196,1598537682.501441280
0.0152155,1.58391,0.638063,0.0491396,-0.444543,1.29893,1598537682.601820160
0.00340952,1.62862,0.637444,0.0373059,-0.423873,1.3374,1598537682.702421504
0.0330405,1.64928,0.63646,0.0337025,-0.398085,1.34537,1598537682.802942464
0.0420643,1.65318,0.616884,0.00809835,-0.354018,1.39657,1598537682.903083008
0.00609196,1.62763,0.537735,-0.019303,-0.317108,1.43847,1598537683.003108864
-0.00715823,1.62615,0.518703,-0.031923,-0.271509,1.47126,1598537683.103367680
-0.0189174,1.63294,0.477979,-0.0350685,-0.232171,1.50271,1598537683.203568896
-0.0560598,1.62454,0.455704,-0.034451,-0.195755,1.53738,1598537683.303637760
-0.0876123,1.52114,0.43106,-0.0320433,-0.178946,1.54257,1598537683.403665152
-0.0996448,1.53201,0.384843,-0.0320833,-0.157297,1.55257,1598537683.504374784
-0.158467,1.46596,0.363286,-0.0529173,-0.139656,1.56893,1598537683.604352768
-0.208177,1.48666,0.30739,-0.0571613,-0.139398,1.59964,1598537683.704233216
-0.216975,1.4761,0.224418,-0.0794156,-0.115891,1.66823,1598537683.803530240
-0.264354,1.48072,0.189537,-0.0945323,-0.0828842,1.78025,1598537683.902376448
