x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.109436,1.45116,0.345074,-0.0227962,-0.298451,1.27305,1598537681.604629760
0.159389,1.58105,0.34012,-0.00782315,-0.2858,1.21887,1598537681.705216768
0.149769,1.61089,0.353324,-0.0173231,-0.274723,1.19435,1598537681.804939776
0.217658,1.72828,0.296077,-0.0137903,-0.27716,1.15344,1598537681.904721408
0.158877,1.69627,0.347807,-0.00677839,-0.291275,1.15708,1598537682.003880704
0.157307,1.75011,0.360033,-0.0236513,-0.30849,1.15806,1598537682.103325952
0.171944,1.80319,0.33198,-0.0227816,-0.342368,1.18008,1598537682.202600960
0.0933954,1.74787,0.319905,-0.00637848,-0.369912,1.22908,1598537682.301754880
0.0932213,1.75094,0.38374,0.0141592,-0.41923,1.26012,1598537682.401594880
0.0429358,1.69212,0.469301,0.0358873,-0.440005,1.29535,1598537682.501441280
0.0144792,1.62247,0.533966,0.0376912,-0.455954,1.30287,1598537682.601820160
0.00777746,1.67199,0.519216,0.0259922,-0.4362,1.34183,1598537682.702421504
0.0317109,1.69477,0.534234,0.0216709,-0.408944,1.35014,1598537682.802942464
0.0377488,1.69921,0.534327,-0.000137076,-0.364178,1.40248,1598537682.903083008
0.0231225,1.6806,0.466924,-0.0202142,-0.324712,1.44732,1598537683.003108864
0.00929887,1.67798,0.450849,-0.0323744,-0.278271,1.4793,1598537683.103367680
7.6329e-05,1.68368,0.424456,-0.034719,-0.235143,1.51122,1598537683.203568896
-0.0102504,1.63931,0.289042,-0.0402922,-0.203551,1.55252,1598537683.303637760
-0.0668531,1.53989,0.259629,-0.0402495,-0.183515,1.55192,1598537683.403665152
-0.140445,1.52176,0.235862,-0.0381372,-0.156934,1.55148,1598537683.504374784
-0.192044,1.46833,0.225207,-0.0609571,-0.13749,1.56879,1598537683.604352768
-0.241926,1.4976,0.161091,-0.0638115,-0.136431,1.60003,1598537683.704233216
-0.27643,1.47724,0.137553,-0.0810308,-0.109745,1.66611,1598537683.803530240
-0.360644,1.48182,0.122334,-0.095587,-0.0752811,1.77382,1598537683.902376448
-0.427943,1.47787,0.136861,-0.123925,-0.0642847,1.9091,1598537684.000984064
-0.496631,1.44121,0.113166,-0.143217,-0.0653857,2.04974,1598537684.100150016
-0.57747,1.40691,0.0812304,-0.152122,-0.0744062,2.19942,1598537684.199559680
-0.672086,1.39379,0.0771163,-0.151435,-0.0813665,2.35992,1598537684.299474944
-0.794464,1.26748,0.0327481,-0.164064,-0.105502,2.526,1598537684.399599872
-0.950957,1.28223,0.0237813,-0.143192,-0.0944338,2.72108,1598537684.500289792
-0.961826,1.1479,0.107414,-0.137676,-0.0663749,2.92389,1598537684.600199168
-1.01294,1.03957,0.159099,-0.165972,-0.0264938,3.10913,1598537684.701149952
-1.15198,0.996182,-0.0253368,-0.172103,0.0114803,-3.00469,1598537684.802343680
-1.13833,0.915783,-0.0170536,-0.144559,0.0289717,-2.84348,1598537684.903285248
-1.17683,0.825511,-0.0160317,-0.134174,0.0103487,-2.70919,1598537685.004786176
-1.14986,0.767418,0.0460801,-0.154278,-0.017129,-2.60303,1598537685.105835776
-1.23414,0.604669,-0.0492523,-0.170235,-0.0045118,-2.46797,1598537685.206731008
-1.25769,0.49385,-0.0959782,-0.148672,0.0422409,-2.33751,1598537685.306354176
-1.26307,0.398752,-0.130554,-0.112973,0.0643537,-2.23134,1598537685.405848320
-1.2945,0.293315,-0.169284,-0.0855124,0.0738495,-2.1504,1598537685.505607168
-1.31067,0.205881,-0.147111,-0.0653768,0.0660386,-2.06824,1598537685.605288192
-1.31724,0.130045,-0.122248,-0.0584645,0.0698626,-1.98925,1598537685.704893696
-1.33868,-0.023714,-0.170295,-0.0523999,0.0729222,-1.90264,1598537685.804591360
-1.36729,-0.105295,-0.186723,-0.0349809,0.0901795,-1.84689,1598537685.904205056
-1.37548,-0.213415,-0.24814,-0.0103703,0.0903612,-1.78653,1598537686.004122624
-1.38095,-0.310182,-0.269738,0.0154979,0.0729409,-1.72785,1598537686.103940864
-1.36266,-0.377151,-0.28171,0.0462135,0.0470936,-1.67186,1598537686.203778304
-1.36051,-0.476604,-0.234259,0.0710287,0.0334251,-1.62104,1598537686.303783680
-1.36365,-0.581842,-0.186897,0.0671457,0.0264992,-1.60643,1598537686.404072192
-1.36275,-0.696503,-0.182704,0.0577999,0.0201393,-1.59408,1598537686.504488960
-1.35104,-0.773358,-0.169613,0.0482357,0.0356275,-1.57067,1598537686.604657152
-1.36387,-0.937584,-0.230358,0.0512103,0.0293225,-1.54031,1598537686.704696576
-1.34274,-1.00688,-0.258786,0.0509958,0.0177842,-1.53372,1598537686.804313088
-1.40706,-1.19393,-0.307479,0.0786796,0.0231844,-1.5179,1598537686.904407552
-1.42438,-1.32079,-0.310866,0.110129,0.0368885,-1.47113,1598537687.003885824
-1.42068,-1.37778,-0.311212,0.133401,0.0504312,-1.45461,1598537687.103507712
-1.4435,-1.54084,-0.319837,0.12258,0.0885686,-1.44205,1598537687.203836160
-1.44939,-1.68806,-0.361113,0.116161,0.0865634,-1.42348,1598537687.303876096
-1.4328,-1.73153,-0.331034,0.0903052,0.0503026,-1.42867,1598537687.403861760
-1.44253,-1.84328,-0.338125,0.0753583,0.00101599,-1.43149,1598537687.504686080
-1.43031,-1.95203,-0.291882,0.0782872,-0.0126634,-1.44099,1598537687.604842752
-1.42623,-2.1195,-0.338373,0.0876835,0.0277058,-1.44653,1598537687.705112576
-1.43385,-2.27372,-0.427305,0.105773,0.0582896,-1.43757,1598537687.804960768
-1.38915,-2.35984,-0.44493,0.10032,0.058288,-1.42943,1598537687.904417024
