x,y,z,roll,pitch,yaw,time
-0.0140073,0.0362221,-0.0544136,-0.0515706,0.00832634,-0.0687907,1598537681.604629760
0.137057,-0.0202776,-0.0450217,-0.00155323,0.0136819,-0.0513977,1598537681.705216768
0.0194315,0.0374352,0.0483308,-0.0146381,0.0162353,-0.0260345,1598537681.804939776
0.113606,-0.0247037,-0.0820546,-0.00785173,0.000632812,-0.039566,1598537681.904721408
-0.0334617,0.0404043,0.0625621,0.00845717,-0.0144162,0.00373334,1598537682.003880704
0.0310109,0.0262855,0.0112539,-0.0176032,-0.01563,-0.000681218,1598537682.103325952
0.0345318,0.0198231,-0.00139804,0.00881177,-0.0286169,0.0194749,1598537682.202600960
-0.0693608,0.0309154,0.0357851,0.0342802,-0.0267216,0.0471886,1598537682.301754880
0.0416806,0.00608324,0.0639822,0.0346841,-0.0508128,0.0277821,1598537682.401594880
-0.0296448,0.019549,0.103715,0.037727,-0.0228195,0.0332513,1598537682.501441280
-0.0437184,0.003534,0.0907814,0.00539592,-0.0158996,0.00704556,1598537682.601820160
0.035753,0.0224795,-0.0188432,0.00472621,0.0220772,0.0340235,1598537682.702421504
0.0241641,-0.0244792,-0.011077,-0.000334026,0.0260322,0.00638699,1598537682.802942464
-0.00223387,-0.00860525,-0.0200194,-0.00574063,0.0451847,0.0465717,1598537682.903083008
-0.056887,0.0304853,-0.0636052,-0.01287,0.0369421,0.0395358,1598537683.003108864
-0.00898459,0.0132671,-0.0168288,-0.00237497,0.0448189,0.032498,1598537683.103367680
-0.00554376,0.0136689,-0.0403143,0.00530179,0.0382111,0.031863,1598537683.203568896
-0.0157342,0.037135,-0.0178781,0.00859999,0.035065,0.0352818,1598537683.303637760
-0.107198,0.028197,-0.0028968,0.00342114,0.0166204,0.00568136,1598537683.403665152
0.00213326,0.0138453,-0.0469338,0.0017463,0.0213127,0.0105688,1598537683.504374784
-0.0696685,0.0579249,-0.00892339,-0.0182703,0.0170911,0.0167614,1598537683.604352768
0.012632,0.0527578,-0.0555081,5.19588e-06,-0.00141545,0.0303752,1598537683.704233216
-0.021736,0.0136972,-0.0800829,-0.0128506,0.0192549,0.0693599,1598537683.803530240
0.0051172,0.0493903,-0.0318947,-0.00265856,0.0233415,0.113883,1598537683.902376448
-0.00599881,0.0753546,0.0454893,-0.0183223,-0.000432512,0.135079,1598537684.000984064
0.0244163,0.110837,-0.0220029,-0.0155274,-0.017879,0.135983,1598537684.100150016
-0.00119798,0.0644383,0.0100754,-0.00589264,-0.0281244,0.148787,1598537684.199559680
0.017417,0.103423,0.0066868,0.0106918,-0.0349957,0.156792,1598537684.299474944
-0.0307164,0.161331,-0.0249588,0.00261553,-0.0462561,0.163959,1598537684.399599872
0.155936,0.0960601,-0.011156,0.0357042,-0.0212064,0.189777,1598537684.500289792
-0.0287178,0.0571755,0.0811145,0.0232436,-0.00397312,0.206867,1598537684.600199168
0.0321461,0.116404,0.0215695,-0.0193574,0.010861,0.188945,1598537684.701149952
0.131776,0.0912406,-0.175659,-0.00328603,0.00862208,0.173039,1598537684.802343680
-6.06183e-05,0.0761664,0.0257564,0.0234231,-0.0101451,0.161845,1598537684.903285248
0.0607018,0.0695988,0.0175812,0.00768392,-0.0370339,0.130063,1598537685.004786176
0.0140883,0.0622275,0.0958586,-0.02136,-0.0400193,0.100366,1598537685.105835776
0.161788,0.108426,-0.0762559,-0.0141531,-0.0081933,0.135188,1598537685.206731008
0.0876666,0.069,-0.0386177,0.0215361,0.022821,0.136893,1598537685.306354176
0.070445,0.0637599,-0.00135812,0.028687,0.0087224,0.108385,1598537685.405848320
0.108175,0.0460491,-0.0271099,0.0219729,0.000111449,0.0813267,1598537685.505607168
0.0749892,0.0416738,0.0417947,0.014052,-0.0132248,0.0805515,1598537685.605288192
0.0833233,0.0234115,0.0115701,0.00287099,-0.00284468,0.0789567,1598537685.704893696
0.127547,0.0340325,-0.0623589,0.000671458,-0.00433965,0.0873575,1598537685.804591360
0.0846229,0.0139488,0.033028,0.0123965,0.0191802,0.0549099,1598537685.904205056
0.110934,0.0311498,-0.0450857,0.018558,-0.000247362,0.0607779,1598537686.004122624
0.0940412,0.0163092,-0.00624476,0.0208579,-0.0151194,0.0580516,1598537686.103940864
0.072737,0.0302699,-0.00131075,0.0259734,-0.0227916,0.0568215,1598537686.203778304
0.0918586,0.0242732,0.0570147,0.0225047,-0.010604,0.0515738,1598537686.303783680
0.100686,0.00781537,0.053006,-0.00384103,-0.00437329,0.0147554,1598537686.404072192
0.107932,0.00985946,0.00191398,-0.00933863,-0.00578471,0.0125081,1598537686.504488960
0.0794617,0.0190213,-0.0243855,-0.0124177,0.0174912,0.0211477,1598537686.604657152
0.165211,-0.0218562,-0.0574387,0.0017799,-0.00543312,0.0304351,1598537686.704696576
0.0556661,0.0133373,-0.0115492,0.00100499,-0.0104182,0.00845195,1598537686.804313088
0.174211,-0.0576712,-0.0416122,0.0270369,0.00644629,0.0160572,1598537686.904407552
0.122528,-0.0181085,0.0128621,0.0293049,0.0182705,0.0452006,1598537687.003885824
0.0307697,-0.0034695,0.026397,0.021534,0.0170136,0.0148044,1598537687.103507712
0.147273,-0.0242831,0.0239947,-0.0116391,0.0413003,0.00711899,1598537687.203836160
0.138687,-0.024945,-0.0168203,-0.0077509,0.00227994,0.0180995,1598537687.303876096
0.0422292,0.0190467,0.03985,-0.0255288,-0.0329628,-0.00175457,1598537687.403861760
0.211032,-0.031017,-0.0285326,-0.0240369,-0.0467842,-0.00922503,1598537687.504686080
0.116904,0.000365053,0.0582993,0.00331776,-0.0138194,-0.00856296,1598537687.604842752
0.144538,-0.0185083,-0.0207883,0.00806531,0.0416103,-0.00758874,1598537687.705112576
0.152305,-0.0333716,-0.0527111,0.0185655,0.0340807,0.00546269,1598537687.804960768
0.101124,0.0369003,-0.014729,-0.00778629,0.00140378,0.00802697,1598537687.904417024
0.220115,-0.0618231,-0.088001,0.00574192,-0.0092387,0.0120786,1598537688.004270336
0.0850813,0.0273043,0.0790619,0.00834524,-0.0174728,0.0394915,1598537688.103472384
0.12222,-0.0116484,0.0755564,-0.00566247,-0.00891546,-0.0156669,1598537688.203236608
0.162075,-0.0248124,-0.0280542,-0.00684683,0.0213483,0.0157364,1598537688.303471872
