x,y,z,roll,pitch,yaw,time
-0.00730366,0.0328194,-0.0345563,-0.0521253,0.0100536,-0.0682187,1598537681.604629760
0.131235,-0.00860857,-0.0457642,-0.000980814,0.0134184,-0.0516919,1598537681.705216768
0.0274127,0.0192704,0.00585843,-0.0164157,0.0111802,-0.0235203,1598537681.804939776
0.113564,-0.0183942,-0.0918179,-0.00757507,-0.00197398,-0.0393853,1598537681.904721408
-0.0369072,0.0398699,0.0648382,0.00801072,-0.0141635,0.00329695,1598537682.003880704
0.0501335,0.0230997,-0.00211016,-0.0165909,-0.0172209,0.000815371,1598537682.103325952
0.0434033,0.0089042,-0.043075,0.00756683,-0.0344287,0.0199424,1598537682.202600960
-0.0804195,0.0511841,0.0170132,0.0328417,-0.0289533,0.0450593,1598537682.301754880
0.0257184,0.000818776,0.0584997,0.0317763,-0.0496572,0.0280677,1598537682.401594880
-0.0303599,0.0314144,0.106768,0.0360727,-0.0205504,0.0321724,1598537682.501441280
-0.0401025,0.0116761,0.0899917,0.00500336,-0.0157075,0.00732005,1598537682.601820160
0.0347877,0.0182965,-0.0342032,0.00546973,0.0207683,0.0345567,1598537682.702421504
0.031375,-0.0180822,0.00241564,-0.000818678,0.0274312,0.00691566,1598537682.802942464
0.00522417,-0.00496556,-0.00205527,-0.000975544,0.0453069,0.0479914,1598537682.903083008
-0.0434432,0.0113093,-0.0555725,-0.00409903,0.0391208,0.0425316,1598537683.003108864
-0.00920646,0.0136732,-0.0135889,-0.00193746,0.0456526,0.0317092,1598537683.103367680
-0.00259847,0.0105645,-0.0263789,0.00644284,0.0419635,0.0324442,1598537683.203568896
-0.075219,0.0118699,-0.120886,0.00403858,0.0299739,0.041533,1598537683.303637760
-0.104315,0.0550743,-0.00628824,-7.10774e-05,0.0200433,0.000214699,1598537683.403665152
-0.0235248,0.0739741,-0.0168435,0.00204647,0.0265771,0.000637186,1598537683.504374784
-0.0554098,0.050598,-9.06209e-05,-0.0201124,0.0187524,0.0178817,1598537683.604352768
0.0201118,0.0539597,-0.0643425,0.00139724,-0.000893965,0.0309513,1598537683.704233216
-0.022366,0.0363323,-0.018409,-0.00835766,0.0221503,0.0672491,1598537683.803530240
0.0108299,0.0844586,-0.00969925,-0.00321814,0.0250395,0.109838,1598537683.902376448
0.0107615,0.0650969,0.0200609,-0.0190659,-0.00258214,0.135374,1598537684.000984064
-0.0132755,0.0791977,-0.0132014,-0.0114889,-0.0190113,0.139059,1598537684.100150016
0.00470368,0.0912701,-0.0194846,-0.000696792,-0.0308792,0.146389,1598537684.199559680
0.0446015,0.0843947,0.00540087,0.0106882,-0.0319642,0.156972,1598537684.299474944
-0.00572747,0.180495,-0.0170142,-0.00107924,-0.0497766,0.159575,1598537684.399599872
0.134583,0.0810682,-0.0101643,0.0382182,-0.0225639,0.19312,1598537684.500289792
-0.0368311,0.113281,0.104733,0.0215731,-0.00282081,0.204065,1598537684.600199168
0.0298752,0.108874,0.0653733,-0.0184309,0.0131015,0.188827,1598537684.701149952
0.132629,0.0782796,-0.177522,-0.00405426,0.00922356,0.173315,1598537684.802343680
-0.0026419,0.0788917,0.0220903,0.0234574,-0.0100984,0.16181,1598537684.903285248
0.0632573,0.0737899,0.0136275,0.00529666,-0.0374642,0.130295,1598537685.004786176
-0.000789531,0.0551656,0.0701168,-0.0218468,-0.0413549,0.101595,1598537685.105835776
0.154171,0.110394,-0.0819975,-0.0150615,-0.00837696,0.135374,1598537685.206731008
0.0873292,0.0788614,-0.0342553,0.0207381,0.0240045,0.136473,1598537685.306354176
0.0736158,0.0660834,-0.021949,0.0303858,0.00643671,0.108112,1598537685.405848320
0.104819,0.0432325,-0.0273562,0.0218917,0.000554053,0.0813004,1598537685.505607168
0.0801523,0.0318255,0.0309956,0.0138019,-0.0145287,0.0810332,1598537685.605288192
0.0679865,0.0284282,0.0313372,0.00150207,-0.00112183,0.0788918,1598537685.704893696
0.152195,0.0450073,-0.0349442,-0.00019237,-0.00172641,0.0864319,1598537685.804591360
0.0874173,5.95651e-05,-0.0100961,0.0132836,0.0144395,0.0563591,1598537685.904205056
0.111357,0.0233838,-0.0508117,0.0191143,-0.00175649,0.0600959,1598537686.004122624
0.0972541,0.0155018,-0.0127137,0.020559,-0.0178711,0.0583513,1598537686.103940864
0.0639883,0.0284229,-0.00777036,0.0266558,-0.0248636,0.0563325,1598537686.203778304
0.0963856,0.0145648,0.0514286,0.0224805,-0.0112479,0.0513667,1598537686.303783680
0.103621,0.00575879,0.0505716,-0.00436513,-0.00586766,0.0150692,1598537686.404072192
0.114404,0.00545683,0.00687651,-0.00966889,-0.00551521,0.0127458,1598537686.504488960
0.0762825,0.0143205,0.0138255,-0.0100279,0.0168191,0.0224582,1598537686.604657152
0.166284,-0.0154883,-0.0541722,0.00191502,-0.00481826,0.030616,1598537686.704696576
0.0707085,0.017637,-0.0273051,-0.000409762,-0.0111853,0.00716944,1598537686.804313088
0.185372,-0.0734338,-0.041715,0.0274078,0.00620176,0.0155239,1598537686.904407552
0.125811,-0.0239595,0.00141763,0.0304396,0.0173598,0.0455221,1598537687.003885824
0.0570517,-0.00178404,0.0019668,0.022665,0.0152782,0.0149043,1598537687.103507712
0.159547,-0.0412761,0.00495055,-0.0115489,0.0394675,0.00733318,1598537687.203836160
0.148326,-0.028017,-0.0250285,-0.00804008,0.000287545,0.0186094,1598537687.303876096
0.0426645,0.0138873,0.0325038,-0.0254837,-0.0366165,-0.000949171,1598537687.403861760
0.109466,-0.0255013,0.000713908,-0.014915,-0.04934,0.00163689,1598537687.504686080
0.109351,0.000499252,0.0464487,0.00293416,-0.0143556,-0.00844125,1598537687.604842752
0.165986,-0.0213761,-0.0470699,0.00926513,0.039812,-0.00868254,1598537687.705112576
0.154493,-0.0339852,-0.0820235,0.0178022,0.0312505,0.00622934,1598537687.804960768
0.0921605,0.0313866,-0.0156782,-0.00592456,0.000858565,0.00808338,1598537687.904417024
0.220343,-0.0762117,-0.0577522,0.00806074,-0.00574417,0.0132335,1598537688.004270336
0.0811298,0.0308878,0.0875519,0.00964963,-0.0177022,0.0406299,1598537688.103472384
0.120814,-0.00795059,0.0861539,-0.00699156,-0.00775586,-0.016002,1598537688.203236608
0.163067,-0.01778,-0.0267603,-0.00659742,0.0208128,0.0157504,1598537688.303471872
0.108368,0.0192994,0.0213123,-0.00542962,-0.00305611,0.0224795,1598537688.403352832
0.114495,0.0175783,-0.0385097,0.0158457,-0.0061199,0.00627978,1598537688.503506944
0.159622,-0.0254263,0.0450862,0.0285848,-0.0206268,0.00318194,1598537688.603903744
0.0635134,0.00997312,0.0321885,0.00997878,0.0179594,-0.0140698,1598537688.704018432
0.134864,-0.00279396,-0.0703055,0.00527909,0.0173288,0.00244559,1598537688.804470528
0.160911,0.00801737,0.0116918,0.0190062,0.00614729,0.00566484,1598537688.904568320
0.111191,0.00369028,-0.000519544,-0.00779908,0.00612519,-7.78486e-05,1598537689.004402944
0.126143,-0.0179715,-0.0108998,0.00574814,-0.0261665,0.000525544,1598537689.104308736
0.204457,-0.0198772,0.110496,-0.0193146,-0.00879238,0.0278046,1598537689.203980288
0.088611,0.0501229,-0.00909175,-0.00693158,0.0117537,0.0369857,1598537689.303212032
0.161148,-0.0324643,0.0143568,-0.0289349,0.000926487,0.00567397,1598537689.403101696
0.151499,-0.00209733,0.00896754,-0.00274393,0.00769053,0.0209574,1598537689.503064320
0.0749971,0.0153067,-0.031947,0.00859366,0.00226361,0.00907452,1598537689.602999808
0.137092,-0.00470623,0.00800695,0.0164255,-0.0163537,0.00719923,1598537689.703315200
0.0980343,0.0167073,0.104325,-0.0243143,-0.0146529,-0.0163278,1598537689.803521280
0.211103,-0.0489665,-0.0469808,-0.0112351,0.0243907,-0.0148513,1598537689.904045312
0.0887667,0.0591611,-0.00120289,-0.00609419,0.00421631,0.00442283,1598537690.003894272
0.261609,-0.0526831,-0.0725198,-0.000410436,-0.0030615,-0.00730648,1598537690.104278272
0.112782,-0.00844403,0.00814256,0.0174534,8.15257e-05,0.0139635,1598537690.204011264
0.156599,0.0148064,0.118637,-0.0325859,-0.00434076,0.0104507,1598537690.303720448
0.213725,-0.00315079,-0.102261,0.0118704,0.0142333,0.0341109,1598537690.403648512
0.126644,0.00536659,-0.0129207,0.00569657,0.010635,0.0166704,1598537690.503217664
0.212833,-0.0182487,-0.0747128,0.0227338,-0.00336007,0.0180311,1598537690.603367936
0.208102,-0.0522724,0.104,0.0214715,0.00843222,-0.0010815,1598537690.703396608
0.145293,-0.0314166,-0.0275753,0.000715192,-0.00127194,-0.00348751,1598537690.803601664
0.0777632,0.0368885,0.0343997,0.00572969,0.00402054,-0.00675846,1598537690.903623424
0.13357,0.00138875,0.0304622,0.00978181,0.0399501,-0.025812,1598537691.004074496
0.139884,-0.018989,0.00988136,-0.0180985,0.00808887,-0.0529194,1598537691.104701184
0.194492,-0.0538266,-0.0152909,-0.00382485,-0.00530852,-0.0388653,1598537691.205323008
0.21749,-0.0267522,-0.0119612,-0.00629951,-0.0207933,-0.00933658,1598537691.305287168
0.222187,-0.05109,0.0668895,-0.008179,-0.0191529,0.0409581,1598537691.404729856
0.147953,-0.00529772,-0.0179514,0.0031818,-0.0142339,0.0316764,1598537691.503613952
0.118557,0.037195,0.128889,-0.0276509,-0.00191609,0.00291427,1598537691.603115008
0.110287,-0.0169822,0.0171208,-0.00869096,-0.0218408,0.0584986,1598537691.703096832
0.0600436,0.0577122,-0.00726153,0.0090724,-0.0257938,0.0301865,1598537691.802357504
0.146522,-0.030998,0.00749368,0.0103762,-0.0352612,0.0163446,1598537691.902546944
0.0218934,0.0418179,0.0245725,0.0402562,-0.0148528,0.0117272,1598537692.002491392
0.134903,-0.0106518,0.0632832,0.0191693,0.00430935,-0.0119606,1598537692.103115520
0.155947,-0.0630019,-0.00872498,0.0132553,0.0114014,0.0022768,1598537692.203620864
0.0734581,-0.0134814,0.125127,-0.0111951,-0.0102538,0.00100257,1598537692.303584512
0.141421,-0.0355512,-0.0218656,-0.0356912,-0.0227986,-0.00307424,1598537692.403758592
0.12858,-0.0247049,0.036451,-0.0100582,-0.0178004,0.0272778,1598537692.503445760
0.107877,-0.0175695,0.0440689,-0.0297801,-0.00681213,0.0185811,1598537692.602852608
0.0433418,0.0131979,0.0233837,-0.026614,0.00386357,-0.0122148,1598537692.702665472
0.230719,-0.13107,-0.0432894,-0.0105191,-0.00928782,0.0126471,1598537692.802945280
0.0773358,0.0110144,-0.0678706,-0.00388957,-0.00603046,-0.000318879,1598537692.902639872
0.190885,-0.0988933,-0.160167,0.0265799,-0.0132323,0.010645,1598537693.002817536
-0.0584819,-0.0105724,0.0868046,0.0325483,-0.00110811,-0.0166972,1598537693.102540288
0.130398,-0.0399692,0.0285934,-0.000137577,0.0127314,-0.0509207,1598537693.203336704
0.133909,-0.0148451,-0.110812,0.00902601,0.0308109,-0.0348588,1598537693.303886592
0.103607,-0.0282438,0.0226316,-0.00605669,0.00210999,-0.060112,1598537693.404139776
0.0930979,-0.0185328,-0.0970228,-0.00867689,-0.00335763,-0.0623153,1598537693.504451584
0.165009,-0.00966797,-0.117025,0.0242945,0.00231898,-0.0425956,1598537693.604558592
0.150418,-0.0621084,-0.0003434,-0.00734577,0.0216862,-0.0581745,1598537693.704345088
0.110011,-0.0160803,-0.111359,0.00911086,0.0315821,-0.0536454,1598537693.804050176
0.083407,-0.00177159,-0.048396,-0.0092173,0.00637249,-0.0629077,1598537693.903646976
0.0307623,0.0389803,-0.0418762,-0.00463456,-0.00876498,-0.0543527,1598537694.003376640
0.0931408,0.016388,-0.00721344,-0.00670309,-0.0186863,-0.0848895,1598537694.103339520
0.145611,-0.00755476,-0.0462756,0.00553617,-0.0245289,-0.0656906,1598537694.203521792
0.0937503,-0.0177791,0.158358,0.00672629,0.0142539,-0.0878955,1598537694.303508480
0.0666158,-0.0157481,0.00184881,0.0035369,0.0369333,-0.0736084,1598537694.403532544
0.0505033,0.0388905,-0.030023,0.018401,-0.000576926,-0.060336,1598537694.503343360
0.0781972,0.0293772,0.132035,-0.00858664,0.0133316,-0.067155,1598537694.603265792
0.227756,-0.0442721,-0.165823,-0.00484722,0.0076528,-0.0503256,1598537694.703204608
0.0194476,0.049038,0.102723,0.00430727,-0.012177,-0.0502564,1598537694.802643456
0.123799,-0.00517365,0.0135432,-0.0212632,-0.0156041,-0.0652547,1598537694.902685184
0.0250894,0.0378801,0.11302,-0.000641681,-0.00932906,-0.0478333,1598537695.002489344
0.139305,-0.0014393,-0.0263024,-0.0121546,0.0101146,-0.0571164,1598537695.102608896
0.121095,0.0251634,-0.0694724,0.0351185,0.012361,-0.00653561,1598537695.202398720
0.0106636,0.00878368,0.140026,0.015701,0.0020782,-0.042181,1598537695.302222336
0.0578341,0.0173111,-0.0235754,0.00513326,-0.014128,-0.0581765,1598537695.402703616
0.0594088,0.0418402,0.0301312,-0.00822748,-0.0333317,-0.0545166,1598537695.503401472
0.0782921,0.00213891,0.0504274,-0.0118172,-0.0242664,-0.051445,1598537695.604009984
0.104552,-0.0142487,-0.0432191,0.00107052,0.012679,-0.0314948,1598537695.704362240
0.0490957,0.0306352,0.0587256,0.0113593,-0.00622935,-0.0240789,1598537695.804226048
0.0955551,-0.000127673,-0.00306145,-0.00519566,0.00208497,-0.0390962,1598537695.904278784
0.0898059,0.00775106,-0.0207032,-0.00720318,-0.00256075,-0.0279943,1598537696.004132608
0.132101,-0.0408557,0.0148979,0.0196199,-0.000882378,-0.0119141,1598537696.103810304
0.0324723,0.123654,0.0254462,-0.0117783,0.0041487,-0.00546917,1598537696.203000320
0.169066,-0.00811534,0.0053904,-0.0247849,0.00949664,-0.025889,1598537696.303184128
0.0864732,0.0445802,0.0115809,0.0129245,-0.0027992,0.00778147,1598537696.402724096
0.0934152,0.0402357,-0.0118729,0.00187456,0.00368664,-0.0141415,1598537696.502637824
0.14145,0.0130642,-0.0214614,0.00260024,-5.12626e-05,-0.0404895,1598537696.603169792
0.0939858,0.0385425,-0.00261466,0.0269025,0.00407642,-0.0166684,1598537696.703492608
0.107997,0.0263145,0.0440995,0.00829039,0.0208202,-0.0274359,1598537696.803767296
0.106278,-0.0113383,-0.0594617,0.00456391,0.0210534,-0.00312144,1598537696.903966464
0.0728109,0.00945215,0.0238749,-0.000753472,0.0121003,-0.0207611,1598537697.003785728
0.103342,0.00819102,0.0105307,-0.00340308,0.00389692,-0.0102413,1598537697.103819264
0.0823355,0.0178056,-0.030393,0.00350012,0.0120862,0.00122331,1598537697.203604992
0.124143,-0.000658358,0.025681,-0.00994956,-0.0091086,0.00436244,1598537697.303470848
0.115592,-0.0154332,0.0150423,-0.00765577,0.00503305,-0.0135337,1598537697.403373312
0.0891273,0.0359483,0.0194716,-0.00575829,-0.00491132,0.0099917,1598537697.503249664
0.143324,-0.069429,-0.0948092,-0.000514285,-0.00648118,0.000940088,1598537697.603335168
0.0397718,0.060415,-0.0171996,0.0276947,-0.0241157,0.0198817,1598537697.703052800
0.128074,-0.0116062,0.0677425,-0.00167217,-0.0244498,-0.0344574,1598537697.803430144
0.154355,-0.0576863,0.0644366,0.00267471,0.0119043,-0.0430251,1598537697.903967488
0.0578917,0.0593941,-0.0551755,0.0105526,0.0278125,0.0115313,1598537698.004059648
0.119285,-0.0468701,0.0230576,0.01071,0.00351407,-0.00209411,1598537698.104036096
0.108031,-0.0313711,-0.0310124,0.00945288,-0.00199912,-0.00424381,1598537698.203718912
0.133189,-0.0404273,0.0128496,-0.00722345,-0.0100705,0.00165017,1598537698.303409664
0.113204,-0.00212269,0.0142104,-0.0164606,0.0202,-0.000691422,1598537698.402907392
0.0992174,-0.0159891,-0.00630022,-0.0146417,0.0233295,-0.00192729,1598537698.502621952
0.169165,-0.0608645,-0.0190444,-0.00242329,0.00250307,0.0105622,1598537698.602518528
0.107941,-0.00751415,-0.0195843,0.00957213,0.0035551,0.0170604,1598537698.702190848
0.0892329,-0.0150694,-0.0130668,-0.00741934,-0.020848,-0.00648352,1598537698.802339584
0.13287,-0.0892034,0.114202,0.0148809,0.00565325,0.0134305,1598537698.902828032
0.0555696,-0.00340762,0.0215128,-0.0335318,0.0154889,-0.0332125,1598537699.002951936
0.0984751,-0.008372,-0.0116899,0.00422675,0.015008,-0.0041816,1598537699.103831808
0.0991509,-0.0123937,0.0035603,0.00336026,0.0119063,-0.00648114,1598537699.204142336
0.146647,-0.0493568,0.0531496,-0.0129657,0.00164884,-0.0135239,1598537699.304279808
0.119498,-0.0454661,-0.0169359,-0.00868303,-0.0118467,0.000361992,1598537699.404285696
0.0780523,-0.0392283,0.00995546,0.0066934,-0.00489892,0.0296803,1598537699.503909376
0.114056,-0.0168497,0.000995709,0.0254957,0.0542373,0.015147,1598537699.603536896
0.196536,-0.0441731,0.0595346,0.0212949,0.0334402,0.0142318,1598537699.703383040
0.0650679,0.0102574,-0.0133782,0.0153222,0.00878715,0.0182206,1598537699.803111424
0.0893617,-0.0124536,-0.0147149,0.00499783,0.00295428,-0.0173882,1598537699.903269376
-0.0219198,0.0666732,0.358519,-0.0497073,0.035253,-0.0375638,1598537700.003686144
