x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
-0.0128805,0.0440834,-0.0714615,-0.0537792,-0.000941579,-0.0674815,1598537681.604629760
0.0827497,-0.00581505,-0.026896,-0.00274407,0.0125642,-0.0551897,1598537681.705216768
0.00888249,0.0441872,0.0469283,-0.0149201,0.014701,-0.0276425,1598537681.804939776
0.0756351,0.0155716,-0.0749228,-0.00927258,0.000775761,-0.0434452,1598537681.904721408
-0.0307045,0.0695381,0.0632765,0.00765872,-0.0137118,0.00133928,1598537682.003880704
0.063429,0.0206032,0.00177046,-0.0174343,-0.0160003,0.00135305,1598537682.103325952
0.0181615,-0.0213364,-0.0441691,0.0089987,-0.0356949,0.0218507,1598537682.202600960
-0.04163,0.0177726,0.0359834,0.0339563,-0.02556,0.0493027,1598537682.301754880
0.0356357,0.0111735,0.0262903,0.0287876,-0.0479688,0.0256756,1598537682.401594880
-0.0410281,0.0336237,0.109711,0.035852,-0.0241238,0.0316021,1598537682.501441280
-0.0233745,0.0255444,0.0972898,0.00360766,-0.0167333,0.00723801,1598537682.601820160
0.0236821,0.00629227,-0.0489906,0.00435068,0.0182358,0.0344218,1598537682.702421504
0.00912747,-0.0150133,0.0193979,-0.00226111,0.0300156,0.00521589,1598537682.802942464
0.0182339,-0.00690998,0.00153197,-0.00111751,0.0503771,0.0492029,1598537682.903083008
-0.0393528,0.0390657,-0.0268813,-0.0145809,0.0336333,0.0418156,1598537683.003108864
-0.00522498,-0.000672948,-0.0727418,-0.0176067,0.0292422,0.0329283,1598537683.103367680
0.00834589,0.014089,0.0137548,0.00509863,0.0465402,0.0324517,1598537683.203568896
0.0180084,0.0255023,-0.0457995,0.0102004,0.0340943,0.0379259,1598537683.303637760
-0.103618,-0.0286112,-0.0032848,0.00453723,0.0190055,0.0130885,1598537683.403665152
0.0134481,0.0642312,-0.0269587,0.00282381,0.0219119,0.00407132,1598537683.504374784
-0.0423098,0.0354197,-0.00553075,-0.0188831,0.0189805,0.0196965,1598537683.604352768
0.0168893,0.0699848,-0.0628453,-0.000181924,-0.00253747,0.0284568,1598537683.704233216
0.00835082,0.0205047,-0.0304192,-0.00653855,0.0191656,0.069436,1598537683.803530240
-0.0333091,0.102016,-0.062942,-0.00367975,0.0206176,0.108319,1598537683.902376448
0.00152119,0.0637121,0.0527375,-0.0233419,0.00275309,0.136437,1598537684.000984064
0.00385669,0.0816903,-0.0180086,-0.0166193,-0.0198283,0.137448,1598537684.100150016
-0.0247219,0.11435,-0.134759,-0.00442444,-0.0449084,0.14684,1598537684.199559680
0.0276754,0.107722,0.00406244,0.00938684,-0.0327662,0.155216,1598537684.299474944
-0.00542013,0.115876,0.0702213,-0.00080161,-0.0417821,0.168595,1598537684.399599872
0.128303,0.096886,0.00972713,0.0376691,-0.0179875,0.188574,1598537684.500289792
0.00153473,0.0502607,0.0664554,0.0218644,-0.00574404,0.205612,1598537684.600199168
0.0113659,0.100626,0.0131814,-0.0224802,0.0109941,0.189205,1598537684.701149952
0.129175,0.0879574,-0.132274,0.00191762,0.011571,0.175147,1598537684.802343680
0.00575813,0.0597959,0.0160168,0.024214,-0.00998062,0.16242,1598537684.903285248
0.0539447,0.077027,0.00452272,0.0041102,-0.037837,0.130476,1598537685.004786176
0.0254222,0.0865003,0.113049,-0.0243438,-0.03572,0.0947472,1598537685.105835776
0.164961,0.101058,-0.0378812,-0.0142822,-0.00614806,0.135507,1598537685.206731008
