x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
-0.0126621,0.0209766,-0.0557667,-0.0485219,0.0080283,-0.0658326,1598537681.604629760
0.131129,0.0212165,-0.0439075,-0.000739275,0.0137306,-0.053767,1598537681.705216768
-0.00345986,0.0367252,0.0313672,-0.0143901,0.0154985,-0.0268989,1598537681.804939776
0.0950845,-0.00320646,-0.0666332,-0.0087924,0.00102974,-0.0418939,1598537681.904721408
-0.0282,0.0437135,0.0785456,0.00933105,-0.0148441,0.00199069,1598537682.003880704
0.0424876,0.0217076,-0.0171974,-0.0168068,-0.0186692,0.000694914,1598537682.103325952
0.0346277,0.001228,-0.0252751,0.00984834,-0.033308,0.0197837,1598537682.202600960
-0.0477364,0.0175894,0.0309018,0.0329885,-0.0259762,0.0487631,1598537682.301754880
0.0522017,0.00827407,0.00125082,0.0275034,-0.0520549,0.0270107,1598537682.401594880
-0.0418009,0.0259007,0.10793,0.038392,-0.0186619,0.0331543,1598537682.501441280
-0.0341771,0.00995422,0.0892051,0.00476583,-0.0161641,0.0054814,1598537682.601820160
0.0332524,0.00669155,-0.0741485,0.00659336,0.014737,0.0349801,1598537682.702421504
0.00985722,-0.00623427,0.0335841,-0.00261825,0.030128,0.00423262,1598537682.802942464
0.0220843,0.00947318,-0.0255737,-0.00202274,0.0428216,0.0472602,1598537682.903083008
-0.0157931,0.00671797,-0.0604542,-0.00303291,0.0392487,0.0435219,1598537683.003108864
-0.00957612,0.00857284,-0.0901989,-0.0103634,0.0431262,0.0335489,1598537683.103367680
-0.033963,0.0105391,-0.126508,-0.00376317,0.0387498,0.0327792,1598537683.203568896
-0.00218327,0.0317714,-0.0588051,0.0113995,0.032504,0.0366213,1598537683.303637760
-0.113575,0.0462885,-0.00874107,-0.000551631,0.0199041,0.00276452,1598537683.403665152
-0.0224581,0.0373405,-0.0321047,0.00085661,0.0238546,0.00906138,1598537683.504374784
-0.059024,0.0451397,-0.0171012,-0.016008,0.0159871,0.0185038,1598537683.604352768
0.0486377,0.0394282,-0.0540955,-0.00149516,0.000301793,0.0338774,1598537683.704233216
0.00174827,0.0337017,-0.0489889,-0.00947597,0.0185636,0.067721,1598537683.803530240
0.00561345,0.0256189,-0.00143159,-0.000435859,0.0276053,0.116627,1598537683.902376448
0.00177861,0.0645375,0.051587,-0.02117,0.00106264,0.135681,1598537684.000984064
0.0275625,0.107561,-0.0328415,-0.0165698,-0.0187623,0.136749,1598537684.100150016
0.000388053,0.0979293,-0.0503853,-0.00072505,-0.0259692,0.148937,1598537684.199559680
0.024289,0.0935747,0.0260617,0.00869166,-0.0322404,0.159048,1598537684.299474944
0.0204545,0.158292,-0.0114958,0.000179965,-0.0485072,0.160462,1598537684.399599872
0.163539,0.137362,-0.00390138,0.034864,-0.019331,0.188703,1598537684.500289792
-0.0441083,0.106406,0.103651,0.0235999,-0.00222555,0.203731,1598537684.600199168
0.0313326,0.122933,0.0542001,-0.0211584,0.0126978,0.188661,1598537684.701149952
0.120697,0.0736379,-0.116815,0.00350412,0.0115044,0.174622,1598537684.802343680
1.67781e-05,0.0673062,-0.0231022,0.0199419,-0.0104876,0.160945,1598537684.903285248
0.0792862,0.104332,-0.00749848,0.00304381,-0.0384387,0.129073,1598537685.004786176
-0.00213651,0.0648786,0.0403574,-0.0179116,-0.0416512,0.100346,1598537685.105835776
0.158738,0.130031,-0.0724264,-0.0142592,-0.00836975,0.133859,1598537685.206731008
0.0768167,0.0721325,-0.0309135,0.0215097,0.0238822,0.137878,1598537685.306354176
0.0651615,0.0596887,-0.030749,0.0297353,0.0064202,0.10959,1598537685.405848320
0.101829,0.0462331,-0.0170332,0.0232592,4.52457e-05,0.082904,1598537685.505607168
0.0807299,0.0352375,0.0273737,0.013268,-0.0146196,0.0797397,1598537685.605288192
0.0712033,0.0402193,0.0292606,0.00183896,0.000168055,0.0777138,1598537685.704893696
0.153555,0.0402378,-0.0253534,-0.000754093,-0.00167492,0.0856627,1598537685.804591360
0.0760703,0.0185289,0.0222875,0.0112412,0.019919,0.0546442,1598537685.904205056
0.121052,0.0316866,-0.0326024,0.0183025,0.001757,0.0603092,1598537686.004122624
0.0874839,0.0121606,-0.0127382,0.0210355,-0.0184326,0.0585335,1598537686.103940864
0.0670132,0.0339822,-0.000859681,0.0274357,-0.0237601,0.0557677,1598537686.203778304
0.082757,0.0233575,0.0457569,0.0216256,-0.0119212,0.0525944,1598537686.303783680
0.105266,0.00809857,0.0457923,-0.00376996,-0.00691737,0.0150617,1598537686.404072192
0.123231,0.0013286,0.0220289,-0.0092063,-0.00351211,0.0129711,1598537686.504488960
0.0793028,0.0159567,0.0089907,-0.0114947,0.0195065,0.0199587,1598537686.604657152
0.154063,-0.0276101,-0.0511426,0.00260201,-0.00451472,0.0313433,1598537686.704696576
0.0521169,0.00566668,-0.00495058,0.00154397,-0.0107617,0.0104044,1598537686.804313088
0.207388,-0.0591094,-0.102718,0.0239735,0.00194607,0.0137244,1598537686.904407552
0.122505,-0.02188,-0.00965466,0.0284827,0.0144938,0.0446007,1598537687.003885824
0.037305,0.0207128,0.0204542,0.0190125,0.0149915,0.0136902,1598537687.103507712
0.158263,-0.0390112,-0.0207871,-0.0120952,0.034259,0.00745031,1598537687.203836160
0.14018,-0.0275687,-0.0207835,-0.00830233,0.00226876,0.0179185,1598537687.303876096
0.0102191,0.0328347,0.0430122,-0.0307214,-0.0398112,-0.00929566,1598537687.403861760
0.199163,-0.0212738,0.0150539,-0.0276413,-0.0422295,-0.0114718,1598537687.504686080
0.117281,0.0116794,0.0550582,0.00509549,-0.0143757,-0.00769332,1598537687.604842752
0.14186,-0.00151262,-0.0234462,0.00860417,0.0415841,-0.0112594,1598537687.705112576
0.139579,-0.0218604,-0.0619668,0.0181346,0.0332114,0.00644927,1598537687.804960768
0.0829913,0.0351546,0.0189009,-0.00341701,0.000348513,0.00796016,1598537687.904417024
0.238688,-0.059956,-0.0904281,0.00599249,-0.00731979,0.00814088,1598537688.004270336
0.0886658,0.0301783,0.0798437,0.00848369,-0.0173824,0.0402428,1598537688.103472384
0.109615,-0.00329981,0.0419232,-0.00890793,-0.00804453,-0.0149691,1598537688.203236608
0.158702,-0.0238829,-0.041313,-0.00767908,0.0179408,0.0170881,1598537688.303471872
0.114615,0.0206886,0.03633,-0.00496775,-0.00318694,0.0221208,1598537688.403352832
0.118785,0.0310314,-0.0335723,0.016316,-0.00482371,0.00477731,1598537688.503506944
0.162934,-0.0155105,0.016014,0.0262894,-0.0210363,0.00183978,1598537688.603903744
0.0494897,0.0190014,0.0575319,0.00562659,0.0221007,-0.0148698,1598537688.704018432
0.129661,0.0233102,-0.0783629,0.00475723,0.0120554,0.00240852,1598537688.804470528
0.166741,-0.0148579,0.0239274,0.0168253,0.00648676,0.00749419,1598537688.904568320
0.0951349,0.0149361,0.0130558,-0.00738469,0.00887122,-0.000200854,1598537689.004402944
0.126878,-0.0202085,-0.0239523,0.0052445,-0.0253298,0.000587878,1598537689.104308736
0.212098,-0.0101494,0.110151,-0.0187755,-0.0101579,0.0257154,1598537689.203980288
0.0846578,0.037811,-0.00335583,-0.00595293,0.0143509,0.0380962,1598537689.303212032
0.14381,-0.00854158,0.0626559,-0.0299938,-0.00164594,0.00612324,1598537689.403101696
0.148306,-0.000115652,-0.0334393,-0.00458422,0.00427598,0.0227572,1598537689.503064320
0.0819191,0.029478,-0.0199434,0.0115577,0.00406911,0.00733775,1598537689.602999808
0.155263,-0.0192395,0.0139837,0.0153698,-0.0140568,0.00871039,1598537689.703315200
0.0928171,0.0267128,0.16457,-0.0224739,-0.00916349,-0.0171868,1598537689.803521280
0.20268,-0.0728515,-0.0283164,-0.00960973,0.0232508,-0.0135222,1598537689.904045312
0.0808688,0.0613936,-0.0126003,-0.00618479,0.00130003,0.00163138,1598537690.003894272
0.221185,-0.0750462,-0.0145376,0.00446998,0.0023492,-0.00409062,1598537690.104278272
0.125354,-0.0267964,0.0247179,0.0174368,0.00060898,0.0129189,1598537690.204011264
0.149704,0.0131608,0.0934113,-0.033837,-0.00187941,0.0123334,1598537690.303720448
0.287473,-0.0187229,-0.0871721,0.00706751,0.0146533,0.0292981,1598537690.403648512
0.108879,0.0255566,-0.0313155,0.0052432,0.0108281,0.0172321,1598537690.503217664
0.136118,-0.0114231,-0.0317378,0.023804,-0.00729029,0.0222568,1598537690.603367936
0.160885,-0.0135882,0.0310093,0.0192163,-7.51715e-05,0.00389198,1598537690.703396608
0.250044,-0.04983,-0.00668228,0.00089874,0.000620654,-0.0088696,1598537690.803601664
0.0744297,0.0442136,0.0766101,0.0111429,0.00884613,-0.00655799,1598537690.903623424
0.160879,0.00155632,0.0209435,0.00851712,0.0425412,-0.0288227,1598537691.004074496
0.146234,-0.0186235,0.0710073,-0.0138364,0.00738217,-0.0534315,1598537691.104701184
0.198552,-0.0400124,-0.0130201,-0.00313407,-0.00485787,-0.0395916,1598537691.205323008
0.227173,-0.0373802,-0.00293014,-0.00486546,-0.0166602,-0.0103019,1598537691.305287168
0.183029,-0.0497071,0.0664073,-0.00811316,-0.0200068,0.041757,1598537691.404729856
0.118572,0.0260362,0.0286927,0.00603379,-0.0123134,0.030549,1598537691.503613952
0.119009,0.0267172,0.138006,-0.0284192,-0.00478102,0.00480506,1598537691.603115008
0.320144,-0.0864606,-0.119568,-0.0139234,-0.0167956,0.0493443,1598537691.703096832
0.036035,0.086115,0.0130893,0.0123929,-0.0246515,0.033673,1598537691.802357504
0.135055,-0.0605438,-0.023722,0.00681497,-0.0339965,0.0158555,1598537691.902546944
-0.0243406,0.0879638,0.0238915,0.0371075,-0.0128202,0.00810565,1598537692.002491392
0.120132,-0.0196805,0.0733669,0.0175728,0.00456253,-0.0112062,1598537692.103115520
0.190096,-0.0750042,0.00829041,0.015894,0.0152827,0.00124055,1598537692.203620864
0.061658,0.0319169,0.0938235,-0.0143561,-0.014863,-0.00292193,1598537692.303584512
0.139434,-0.0283179,-0.0386894,-0.0338879,-0.0231959,-0.00515169,1598537692.403758592
0.0998769,-0.0324854,-0.00856608,-0.0140975,-0.0197817,0.0310734,1598537692.503445760
0.0680842,-0.0215295,0.0269714,-0.029443,-0.0076204,0.0185604,1598537692.602852608
0.0617832,0.00317445,0.0270121,-0.0276481,0.00539094,-0.0130479,1598537692.702665472
0.252107,-0.0888897,-0.0724241,-0.0130494,-0.0123187,0.00477725,1598537692.802945280
0.0547151,0.0153266,-0.0334255,-0.00162686,-0.00275039,0.000739981,1598537692.902639872
0.213574,-0.0765641,-0.179734,0.0273297,-0.0158093,0.00883104,1598537693.002817536
-0.115154,0.065531,0.136793,0.0298821,0.000410289,-0.0237807,1598537693.102540288
0.140742,-0.0398669,0.041538,-0.000609232,0.0138527,-0.0510089,1598537693.203336704
0.173699,-0.0369051,-0.0179323,0.00033423,0.0218342,-0.0323521,1598537693.303886592
0.111815,-0.0287664,0.0284577,-0.00777921,0.00241466,-0.0606547,1598537693.404139776
0.105736,-0.024111,-0.101959,-0.00832571,-0.00559214,-0.0620506,1598537693.504451584
0.151709,-0.0358958,-0.0684799,0.0209861,0.00414432,-0.0412308,1598537693.604558592
0.146944,-0.0693518,-0.00085368,-0.0070762,0.0240432,-0.0574843,1598537693.704345088
0.125848,-0.0586319,-0.013212,0.00321355,0.0369487,-0.0486695,1598537693.804050176
0.0547883,-0.00468518,0.00280181,-0.00519832,0.0106863,-0.0619599,1598537693.903646976
0.0742291,0.0461525,-0.0894911,-0.0058041,-0.0109279,-0.0569243,1598537694.003376640
0.0740797,0.00185755,0.0146985,-0.00824662,-0.0203932,-0.0840496,1598537694.103339520
0.142896,-0.0064846,-0.0528128,0.00519084,-0.0238518,-0.0668858,1598537694.203521792
0.0933215,-0.0240144,0.158063,0.00488284,0.00989773,-0.0869917,1598537694.303508480
0.104957,-0.00691227,-0.0576392,-0.00113554,0.0357705,-0.0759827,1598537694.403532544
0.0475327,0.0337565,-0.0148156,0.0185635,0.000593617,-0.0596692,1598537694.503343360
0.0613336,0.0253804,0.12649,-0.00825288,0.0122789,-0.066494,1598537694.603265792
0.218444,-0.0402041,-0.179076,-0.00457719,0.00734234,-0.051268,1598537694.703204608
0.00331746,0.0360959,0.135988,0.0052448,-0.00892304,-0.0493467,1598537694.802643456
