x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
-0.0192828,0.00128492,-0.0506966,-0.0496109,0.00927601,-0.0647865,1598537681.604629760
0.119454,-0.000852412,-0.053484,-0.000317724,0.0115452,-0.0536552,1598537681.705216768
0.0186455,0.0201719,-0.0164357,-0.0181106,0.0111771,-0.0246589,1598537681.804939776
0.100145,-0.022979,-0.0827563,-0.00923678,0.00108793,-0.0408872,1598537681.904721408
-0.0330162,0.0485839,0.0824874,0.00813895,-0.0121508,0.00158764,1598537682.003880704
0.0697134,0.0236769,0.00347456,-0.0156117,-0.0167571,0.00157268,1598537682.103325952
0.0334537,0.0267911,0.048428,0.0136896,-0.0249286,0.0179456,1598537682.202600960
-0.0536835,0.00893535,0.0124733,0.0321053,-0.0260287,0.0514004,1598537682.301754880
0.0498484,-0.0107538,0.0304007,0.0286611,-0.0502541,0.0289167,1598537682.401594880
-0.0297914,0.00952926,0.0476796,0.0406561,-0.0245605,0.0337701,1598537682.501441280
-0.0344812,0.00912412,0.0804277,0.00313016,-0.0178163,0.00460226,1598537682.601820160
0.0161798,0.0153028,-0.0273247,0.00274318,0.0170252,0.0324643,1598537682.702421504
0.0296181,-0.0239414,-0.0173564,-0.000684319,0.0232956,0.00746985,1598537682.802942464
0.00568724,0.021672,-0.024576,-0.00771396,0.0375259,0.0458682,1598537682.903083008
-0.00894789,0.0126457,0.0266433,-0.0104026,0.0444558,0.0446206,1598537683.003108864
0.0436487,0.00727437,-0.0614969,-0.0037837,0.0410032,0.0318042,1598537683.103367680
-0.00584225,0.0106251,-0.0353263,0.00478343,0.0420414,0.0311421,1598537683.203568896
-0.0117815,0.0166021,-0.0934698,0.00761743,0.0317091,0.0372649,1598537683.303637760
-0.141841,0.0223575,0.0103026,0.00184386,0.0181103,0.00746883,1598537683.403665152
-0.00686856,0.0184875,-0.0495542,-0.000718745,0.0222749,0.0108749,1598537683.504374784
-0.0697668,0.051816,-0.0229813,-0.0121809,0.0177432,0.0181384,1598537683.604352768
0.0458637,0.0403894,-0.0663854,0.0016102,-0.00372787,0.0325508,1598537683.704233216
0.0199511,0.0587513,-0.0428979,-0.0105174,0.0204664,0.0649739,1598537683.803530240
-0.00974878,0.0597887,-0.080656,-0.00251798,0.0194432,0.111349,1598537683.902376448
-0.0282323,0.087566,-0.0251685,-0.0152054,0.00398817,0.135805,1598537684.000984064
-0.00198315,0.106061,-0.0267097,-0.0172826,-0.0227163,0.134573,1598537684.100150016
-0.026532,0.0994381,-0.0385331,-0.00219031,-0.0171179,0.149367,1598537684.199559680
0.0692323,0.0945373,0.00690697,0.00855187,-0.0312135,0.156344,1598537684.299474944
0.0448533,0.171783,-0.00445852,0.000830949,-0.0483241,0.157775,1598537684.399599872
0.153971,0.212275,-0.0267569,0.0329895,-0.0236741,0.184643,1598537684.500289792
-0.0667955,0.0839263,0.120532,0.0224652,-0.00278576,0.204233,1598537684.600199168
