x,y,z,roll,pitch,yaw,time
0.113692,1.45529,0.30933,-0.0198263,-0.300909,1.27405,1598537681.604629760
0.165308,1.58665,0.315576,-0.00475942,-0.28853,1.22085,1598537681.705216768
0.133571,1.59124,0.350073,-0.0125549,-0.272127,1.19381,1598537681.804939776
0.193548,1.67742,0.325009,-0.00801582,-0.270394,1.15369,1598537681.904721408
0.140482,1.64491,0.388479,-0.00133259,-0.281976,1.15626,1598537682.003880704
0.137948,1.69947,0.381304,-0.0185072,-0.301355,1.15717,1598537682.103325952
0.139344,1.72129,0.428527,-0.008488,-0.331291,1.18041,1598537682.202600960
0.0969688,1.67261,0.493866,0.0119813,-0.354805,1.23069,1598537682.301754880
0.105689,1.71872,0.539915,0.0312716,-0.405111,1.25935,1598537682.401594880
0.0840535,1.66195,0.61086,0.0552016,-0.42982,1.29592,1598537682.501441280
0.0591418,1.58824,0.671248,0.0572227,-0.44575,1.30305,1598537682.601820160
0.0599492,1.64934,0.653552,0.0448682,-0.428347,1.34275,1598537682.702421504
0.0913145,1.69904,0.667789,0.0369828,-0.404069,1.35239,1598537682.802942464
0.0879958,1.69952,0.664143,0.0140896,-0.360685,1.40505,1598537682.903083008
0.0664262,1.71193,0.602334,-0.00986013,-0.315974,1.44402,1598537683.003108864
0.0544863,1.71322,0.585054,-0.0227607,-0.270601,1.47769,1598537683.103367680
0.0471004,1.71643,0.522263,-0.0294084,-0.231008,1.50982,1598537683.203568896
0.0343373,1.72312,0.463896,-0.0306337,-0.203021,1.54705,1598537683.303637760
0.0354887,1.57721,0.457581,-0.0273884,-0.184835,1.55677,1598537683.403665152
0.00638031,1.56176,0.4207,-0.0272885,-0.162376,1.56592,1598537683.504374784
-0.0377219,1.49303,0.409327,-0.043514,-0.147618,1.58316,1598537683.604352768
-0.0786035,1.55709,0.365406,-0.0486093,-0.143666,1.61724,1598537683.704233216
-0.136783,1.56724,0.350467,-0.0621018,-0.120628,1.68062,1598537683.803530240
-0.16072,1.58397,0.334343,-0.0785991,-0.0871542,1.79633,1598537683.902376448
-0.225312,1.56874,0.384256,-0.108432,-0.0742942,1.93224,1598537684.000984064
-0.3196,1.56607,0.343453,-0.133722,-0.078551,2.07211,1598537684.100150016
-0.408626,1.51363,0.357199,-0.136485,-0.0915588,2.22168,1598537684.199559680
-0.511564,1.47344,0.337886,-0.139455,-0.102325,2.38179,1598537684.299474944
-0.590268,1.40365,0.398779,-0.154909,-0.118192,2.55655,1598537684.399599872
-0.798328,1.46643,0.395458,-0.136515,-0.107049,2.7525,1598537684.500289792
-0.851034,1.36789,0.423352,-0.133819,-0.0860447,2.95434,1598537684.600199168
-0.901689,1.26464,0.47888,-0.167581,-0.0485998,3.14052,1598537684.701149952
-1.03556,1.20756,0.311026,-0.172442,-0.0112512,-2.97271,1598537684.802343680
-1.0117,1.11148,0.323346,-0.148572,0.00695863,-2.81431,1598537684.903285248
-1.05021,1.00277,0.312227,-0.141904,-0.0111205,-2.68037,1598537685.004786176
-0.998374,0.951094,0.362917,-0.162101,-0.0362681,-2.5746,1598537685.105835776
-1.07684,0.771018,0.306867,-0.182232,-0.0212391,-2.44111,1598537685.206731008
-1.1076,0.660625,0.250638,-0.161653,0.0267985,-2.30857,1598537685.306354176
