x,y,z,roll,pitch,yaw,time
0.121131,1.4499,0.323154,-0.0199328,-0.300545,1.27549,1598537681.604629760
0.141945,1.5882,0.319638,-0.00397294,-0.287438,1.21915,1598537681.705216768
0.103159,1.58947,0.348598,-0.0104282,-0.271939,1.19116,1598537681.804939776
0.147353,1.6897,0.309988,-0.00753299,-0.271101,1.14767,1598537681.904721408
0.0871997,1.66402,0.377794,0.0012104,-0.28593,1.14986,1598537682.003880704
0.0860032,1.71453,0.373304,-0.015795,-0.3046,1.15056,1598537682.103325952
0.101818,1.75195,0.359562,-0.0124064,-0.337525,1.17207,1598537682.202600960
0.0638242,1.70805,0.372704,0.00321604,-0.362469,1.22455,1598537682.301754880
0.0724557,1.75635,0.392408,0.0203252,-0.414471,1.25384,1598537682.401594880
0.0243993,1.68589,0.474828,0.0441705,-0.433564,1.28994,1598537682.501441280
-0.000395882,1.6216,0.541741,0.0467198,-0.449949,1.29523,1598537682.601820160
0.00671488,1.68404,0.489789,0.0361914,-0.436557,1.33455,1598537682.702421504
0.0127451,1.67728,0.524167,0.0311399,-0.406596,1.34034,1598537682.802942464
0.00966748,1.7091,0.509694,0.0085542,-0.364767,1.39229,1598537682.903083008
0.00375335,1.71707,0.44764,-0.0109878,-0.32553,1.43854,1598537683.003108864
-0.00115043,1.7377,0.359031,-0.0323652,-0.281856,1.47294,1598537683.103367680
-0.0073015,1.74095,0.227805,-0.0451617,-0.241924,1.50537,1598537683.203568896
-0.0355194,1.75513,0.168855,-0.0423542,-0.207649,1.54123,1598537683.303637760
-0.084596,1.6476,0.134977,-0.0433169,-0.187645,1.54319,1598537683.403665152
-0.120933,1.63282,0.0976871,-0.0439875,-0.163415,1.55131,1598537683.504374784
-0.166343,1.57856,0.0692691,-0.0629184,-0.146603,1.56929,1598537683.604352768
-0.202207,1.63498,0.0205121,-0.0693646,-0.144088,1.60343,1598537683.704233216
-0.232712,1.64307,-0.0299131,-0.0882791,-0.120561,1.67017,1598537683.803530240
-0.258577,1.64654,-0.0328959,-0.101875,-0.0820235,1.78424,1598537683.902376448
-0.326049,1.62997,0.0118554,-0.133159,-0.0664638,1.9194,1598537684.000984064
-0.432603,1.62382,-0.0330417,-0.157636,-0.06633,2.05773,1598537684.100150016
-0.513288,1.58642,-0.0980067,-0.166605,-0.0679304,2.20923,1598537684.199559680
-0.604891,1.54776,-0.0861986,-0.166782,-0.0725749,2.37182,1598537684.299474944
-0.728809,1.45314,-0.122231,-0.176528,-0.0928953,2.53873,1598537684.399599872
-0.94136,1.43611,-0.134903,-0.156012,-0.0773284,2.72846,1598537684.500289792
-0.943676,1.30477,-0.0527088,-0.144716,-0.0465191,2.93026,1598537684.600199168
-0.999803,1.1844,-0.0153854,-0.171953,-0.00610777,3.11505,1598537684.701149952
-1.12263,1.13508,-0.142338,-0.166988,0.0350518,-2.99802,1598537684.802343680
-1.11252,1.07336,-0.176286,-0.139283,0.0508945,-2.83737,1598537684.903285248
-1.15637,0.952393,-0.202202,-0.128346,0.0302425,-2.7042,1598537685.004786176
-1.12586,0.889925,-0.17043,-0.142496,0.00158692,-2.59941,1598537685.105835776
-1.2006,0.706646,-0.260841,-0.155269,0.0122407,-2.46571,1598537685.206731008
-1.21853,0.607046,-0.303474,-0.130809,0.0569896,-2.33305,1598537685.306354176
-1.22205,0.523472,-0.345396,-0.0941642,0.0772903,-2.22493,1598537685.405848320
-1.24757,0.417178,-0.3745,-0.0641949,0.0848578,-2.14209,1598537685.505607168
-1.26115,0.327762,-0.356375,-0.0438898,0.0751027,-2.06136,1598537685.605288192
-1.259,0.24378,-0.334327,-0.0360815,0.0784503,-1.98349,1598537685.704893696
-1.28356,0.0897116,-0.373068,-0.0299764,0.0795745,-1.89755,1598537685.804591360
-1.29028,0.0100998,-0.357461,-0.0143831,0.101005,-1.84326,1598537685.904205056
-1.29173,-0.111082,-0.402553,0.0100525,0.103445,-1.78266,1598537686.004122624
-1.29774,-0.197463,-0.424135,0.0371154,0.0842486,-1.72412,1598537686.103940864
-1.27435,-0.26868,-0.429373,0.0691268,0.0583098,-1.66919,1598537686.203778304
-1.26269,-0.355616,-0.387016,0.0936762,0.0427081,-1.6175,1598537686.303783680
-1.26392,-0.462825,-0.345203,0.0905118,0.0344079,-1.60315,1598537686.404072192
-1.2686,-0.586656,-0.327397,0.0817325,0.029735,-1.59054,1598537686.504488960
-1.255,-0.666513,-0.319496,0.0708739,0.0475402,-1.56904,1598537686.604657152
-1.27865,-0.817926,-0.379727,0.0749142,0.0407948,-1.53807,1598537686.704696576
-1.27094,-0.869591,-0.386361,0.0768496,0.0292827,-1.52849,1598537686.804313088
-1.31331,-1.07573,-0.49934,0.101221,0.0301666,-1.51465,1598537686.904407552
-1.32722,-1.1988,-0.514846,0.130991,0.0400493,-1.46878,1598537687.003885824
-1.30556,-1.23498,-0.493373,0.150625,0.0531195,-1.45323,1598537687.103507712
-1.32239,-1.39469,-0.528144,0.139274,0.0858683,-1.44068,1598537687.203836160
-1.32875,-1.53427,-0.564486,0.132503,0.0856137,-1.42256,1598537687.303876096
-1.30008,-1.54434,-0.518559,0.100634,0.0473707,-1.43704,1598537687.403861760
-1.29595,-1.74513,-0.515164,0.0723292,0.00650162,-1.45268,1598537687.504686080
-1.27447,-1.86105,-0.460169,0.0773728,-0.00728075,-1.4614,1598537687.604842752
-1.25866,-2.0022,-0.482629,0.0860999,0.0350494,-1.4694,1598537687.705112576
-1.26113,-2.14042,-0.551098,0.104604,0.0675817,-1.4601,1598537687.804960768
-1.21903,-2.22058,-0.534285,0.101722,0.067095,-1.45213,1598537687.904417024
-1.24171,-2.45664,-0.646121,0.108209,0.0589846,-1.44477,1598537688.004270336
-1.20876,-2.54659,-0.568856,0.118879,0.0373158,-1.40662,1598537688.103472384
-1.19874,-2.65752,-0.531738,0.109369,0.0310986,-1.42244,1598537688.203236608
-1.19452,-2.8159,-0.580324,0.102278,0.0470615,-1.40348,1598537688.303471872
-1.15851,-2.92776,-0.547506,0.0983074,0.0416218,-1.38178,1598537688.403352832
-1.10288,-3.03666,-0.582787,0.114802,0.0363522,-1.3775,1598537688.503506944
-1.08843,-3.20027,-0.574586,0.141096,0.0152436,-1.37808,1598537688.603903744
-1.06825,-3.24768,-0.515715,0.14657,0.0392146,-1.3897,1598537688.704018432
-1.0115,-3.36605,-0.59486,0.151499,0.0507886,-1.38555,1598537688.804470528
-0.998613,-3.53417,-0.581941,0.168749,0.0560683,-1.37715,1598537688.904568320
-0.967871,-3.62581,-0.571918,0.161444,0.0648472,-1.37585,1598537689.004402944
-0.959474,-3.75143,-0.606973,0.166513,0.0397519,-1.37935,1598537689.104308736
-0.946088,-3.96904,-0.508541,0.14864,0.0254615,-1.35567,1598537689.203980288
-0.890992,-4.04369,-0.508416,0.143597,0.0339937,-1.31584,1598537689.303212032
-0.87108,-4.18916,-0.45255,0.1138,0.0314879,-1.31002,1598537689.403101696
-0.829573,-4.33042,-0.490439,0.109913,0.0331439,-1.28691,1598537689.503064320
-0.776567,-4.39967,-0.509734,0.121725,0.0363826,-1.27916,1598537689.602999808
-0.751752,-4.55466,-0.503845,0.137357,0.0213713,-1.27222,1598537689.703315200
-0.719655,-4.6456,-0.33919,0.114475,0.0146437,-1.29051,1598537689.803521280
-0.730182,-4.85896,-0.378606,0.104732,0.039286,-1.30129,1598537689.904045312
-0.648608,-4.92002,-0.387891,0.0986158,0.0404083,-1.29953,1598537690.003894272
-0.660197,-5.15172,-0.418664,0.10293,0.0431486,-1.30337,1598537690.104278272
-0.655011,-5.28112,-0.402257,0.120916,0.0424234,-1.29045,1598537690.204011264
-0.610792,-5.4282,-0.314375,0.0875803,0.039067,-1.27842,1598537690.303720448
-0.539552,-5.70313,-0.414011,0.0958078,0.0510838,-1.24792,1598537690.403648512
-0.47855,-5.79584,-0.44826,0.101971,0.0602054,-1.22969,1598537690.503217664
-0.441421,-5.92475,-0.489126,0.127043,0.0506738,-1.20827,1598537690.603367936
-0.400192,-6.08253,-0.468275,0.146454,0.0501057,-1.20441,1598537690.703396608
-0.356092,-6.33235,-0.494663,0.146912,0.0520122,-1.21311,1598537690.803601664
-0.298107,-6.39459,-0.416387,0.157788,0.0617223,-1.21831,1598537690.903623424
-0.243873,-6.54711,-0.405423,0.16506,0.108249,-1.24019,1598537691.004074496
-0.222743,-6.70121,-0.354631,0.145404,0.124162,-1.29208,1598537691.104701184
-0.205423,-6.89878,-0.397757,0.137179,0.124991,-1.33227,1598537691.205323008
-0.187996,-7.12548,-0.43403,0.130756,0.109886,-1.34483,1598537691.305287168
-0.202246,-7.32211,-0.3951,0.126839,0.0845244,-1.30591,1598537691.404729856
-0.149189,-7.43291,-0.373468,0.135262,0.0684111,-1.2771,1598537691.503613952
-0.104514,-7.55346,-0.241583,0.107125,0.0630252,-1.27298,1598537691.603115008
-0.0830852,-7.87267,-0.38962,0.0960751,0.0409815,-1.22568,1598537691.703096832
0.0088725,-7.87879,-0.369824,0.109727,0.0131942,-1.19453,1598537691.802357504
0.00479329,-8.02518,-0.401813,0.116756,-0.022335,-1.1825,1598537691.902546944
0.0735779,-7.96993,-0.368389,0.153724,-0.0360117,-1.17594,1598537692.002491392
0.0904757,-8.09024,-0.294621,0.171664,-0.0297852,-1.18632,1598537692.103115520
0.0919761,-8.29476,-0.293601,0.187463,-0.0149388,-1.18249,1598537692.203620864
0.127603,-8.34521,-0.194563,0.173209,-0.0289966,-1.18813,1598537692.303584512
0.160419,-8.48358,-0.233493,0.139624,-0.0509563,-1.19721,1598537692.403758592
0.168223,-8.58837,-0.241393,0.124068,-0.0748495,-1.16912,1598537692.503445760
0.171327,-8.65886,-0.212269,0.0932986,-0.0846966,-1.15159,1598537692.602852608
0.196037,-8.71273,-0.17995,0.0667043,-0.0781069,-1.16411,1598537692.702665472
0.220846,-8.98235,-0.238228,0.0533502,-0.090716,-1.16015,1598537692.802945280
0.259443,-9.02819,-0.265698,0.0516697,-0.0935019,-1.15956,1598537692.902639872
0.289713,-9.26566,-0.428405,0.0782525,-0.109743,-1.15151,1598537693.002817536
0.28671,-9.12471,-0.300371,0.110721,-0.107444,-1.17532,1598537693.102540288
0.298294,-9.26722,-0.248612,0.115279,-0.0879125,-1.22467,1598537693.203336704
0.325106,-9.44355,-0.255335,0.118196,-0.0624639,-1.25435,1598537693.303886592
0.329015,-9.55806,-0.223536,0.113949,-0.0528056,-1.31438,1598537693.404139776
0.345229,-9.66865,-0.32185,0.108692,-0.0512084,-1.37674,1598537693.504451584
0.347432,-9.82638,-0.38596,0.131666,-0.042575,-1.41732,1598537693.604558592
0.302108,-9.98237,-0.389648,0.126727,-0.0111348,-1.47113,1598537693.704345088
0.258441,-10.1134,-0.408762,0.130392,0.0316775,-1.51472,1598537693.804050176
0.256512,-10.1685,-0.408329,0.123061,0.0502674,-1.57483,1598537693.903646976
0.313018,-10.2386,-0.495103,0.11415,0.0463215,-1.63273,1598537694.003376640
0.308566,-10.3132,-0.483735,0.101534,0.0354519,-1.7186,1598537694.103339520
0.286727,-10.4524,-0.541964,0.104069,0.0184126,-1.78756,1598537694.203521792
