x,y,z,roll,pitch,yaw,time
0.123874,1.48111,0.389138,-0.0227268,-0.292249,1.27458,1598537681.604629760
0.165009,1.6707,0.355922,-0.00678789,-0.28435,1.2215,1598537681.705216768
0.135814,1.68432,0.402352,-0.0131313,-0.272377,1.19493,1598537681.804939776
0.168389,1.8007,0.383302,-0.0108507,-0.267771,1.15121,1598537681.904721408
0.123651,1.74568,0.460402,-0.00361779,-0.275379,1.15441,1598537682.003880704
0.113675,1.78421,0.526803,-0.0220566,-0.281548,1.15361,1598537682.103325952
0.129637,1.84725,0.497906,-0.01801,-0.313067,1.17753,1598537682.202600960
0.0774515,1.77739,0.51231,0.00100623,-0.336904,1.22843,1598537682.301754880
0.0978045,1.82962,0.567597,0.0148529,-0.389613,1.25888,1598537682.401594880
0.0715973,1.72887,0.630587,0.0335892,-0.405596,1.30129,1598537682.501441280
0.07925,1.71117,0.629216,0.0291496,-0.419782,1.30519,1598537682.601820160
0.0152359,1.84162,0.584053,0.022028,-0.407993,1.33472,1598537682.702421504
0.0490103,1.87977,0.616495,0.0170959,-0.380163,1.34736,1598537682.802942464
0.0412914,1.87651,0.607679,-0.00819419,-0.329012,1.39679,1598537682.903083008
0.0454784,1.85891,0.55017,-0.0230259,-0.291996,1.43824,1598537683.003108864
0.0298439,1.8953,0.470872,-0.0255245,-0.276554,1.47167,1598537683.103367680
0.0444757,1.92489,0.389539,-0.0323802,-0.241236,1.50879,1598537683.203568896
0.0250929,1.96868,0.349353,-0.0308871,-0.209619,1.54635,1598537683.303637760
0.0095051,1.79153,0.358921,-0.0278833,-0.183851,1.55381,1598537683.403665152
-0.0568729,1.75213,0.338667,-0.0252552,-0.158612,1.55157,1598537683.504374784
-0.0903413,1.68599,0.375893,-0.0453084,-0.136697,1.57066,1598537683.604352768
-0.107971,1.73091,0.328463,-0.0516166,-0.129681,1.60323,1598537683.704233216
-0.189652,1.75919,0.349661,-0.0656408,-0.0998452,1.66446,1598537683.803530240
-0.231658,1.76866,0.337209,-0.079697,-0.0682375,1.77552,1598537683.902376448
-0.289523,1.76369,0.40574,-0.107199,-0.0512449,1.9115,1598537684.000984064
-0.391962,1.70263,0.362815,-0.129632,-0.0557956,2.04799,1598537684.100150016
-0.476077,1.61077,0.244938,-0.129262,-0.0520422,2.1939,1598537684.199559680
-0.570666,1.50173,0.24476,-0.124667,-0.0585558,2.34629,1598537684.299474944
-0.65901,1.3631,0.326332,-0.120091,-0.059524,2.51566,1598537684.399599872
-0.78019,1.20869,0.352842,-0.110728,-0.0693114,2.69303,1598537684.500289792
-0.873854,1.04572,0.412751,-0.0993645,-0.0493152,2.89257,1598537684.600199168
-0.940688,0.946461,0.400518,-0.129723,-0.0207319,3.07863,1598537684.701149952
-1.05778,0.89634,0.295186,-0.134581,0.0134131,-3.03357,1598537684.802343680
-1.0787,0.808944,0.291659,-0.105265,0.0238126,-2.87017,1598537684.903285248
-1.13943,0.715817,0.310274,-0.0943582,0.00560533,-2.73811,1598537685.004786176
-1.10899,0.629673,0.318766,-0.111988,-0.0279514,-2.63263,1598537685.105835776
-1.18079,0.498962,0.218591,-0.126211,-0.0215261,-2.49997,1598537685.206731008
-1.23758,0.403432,0.202745,-0.106833,0.0216182,-2.36454,1598537685.306354176
-1.24721,0.301486,0.197111,-0.0741296,0.0411638,-2.25872,1598537685.405848320
-1.28569,0.205303,0.158976,-0.0475097,0.0455215,-2.17644,1598537685.505607168
-1.30324,0.115911,0.172506,-0.030755,0.0326214,-2.09578,1598537685.605288192
-1.31286,0.0326019,0.194571,-0.0274562,0.0343148,-2.0177,1598537685.704893696
-1.34554,-0.114241,0.127903,-0.0210346,0.0300672,-1.93066,1598537685.804591360
-1.36433,-0.195461,0.0824452,-0.00340082,0.0451671,-1.87672,1598537685.904205056
-1.37512,-0.274468,0.00745759,0.0167517,0.0418096,-1.81294,1598537686.004122624
-1.38238,-0.366506,-0.00386735,0.0410987,0.0235521,-1.75434,1598537686.103940864
-1.36611,-0.472845,-0.0263979,0.0678028,-0.00507,-1.70152,1598537686.203778304
-1.37934,-0.561861,0.0168165,0.0898827,-0.0198816,-1.64909,1598537686.303783680
-1.38171,-0.661048,0.0793537,0.0851735,-0.0241239,-1.63689,1598537686.404072192
-1.38037,-0.775565,0.087035,0.074468,-0.031174,-1.62535,1598537686.504488960
-1.37223,-0.846237,0.0860588,0.0628206,-0.01646,-1.60242,1598537686.604657152
-1.39214,-0.962903,0.0589548,0.0672545,-0.0250742,-1.56737,1598537686.704696576
-1.38732,-1.00855,0.0578007,0.0692327,-0.0363343,-1.55822,1598537686.804313088
-1.41449,-1.17403,0.0334032,0.0977543,-0.030634,-1.54173,1598537686.904407552
-1.42237,-1.28508,0.0337164,0.121165,-0.0203728,-1.49695,1598537687.003885824
-1.42913,-1.38307,0.014726,0.144733,-0.0107467,-1.47599,1598537687.103507712
-1.44893,-1.53485,-0.00679013,0.131784,0.0226035,-1.46415,1598537687.203836160
-1.46353,-1.66567,-0.0262196,0.125416,0.0207894,-1.44314,1598537687.303876096
-1.41466,-1.73128,-0.0677066,0.0967833,-0.0208686,-1.46255,1598537687.403861760
-1.43453,-1.92288,-0.0959577,0.0827432,-0.0541257,-1.46768,1598537687.504686080
-1.42206,-2.0403,-0.0409286,0.0859667,-0.065674,-1.47884,1598537687.604842752
-1.44696,-2.1181,0.056131,0.0937843,-0.0113472,-1.47578,1598537687.705112576
-1.44571,-2.2611,-0.0163646,0.113185,0.0191991,-1.46653,1598537687.804960768
-1.4245,-2.3584,-0.0217915,0.1077,0.0156895,-1.46025,1598537687.904417024
-1.46615,-2.54354,-0.0538907,0.117218,0.00847165,-1.44586,1598537688.004270336
-1.43167,-2.61041,0.0281225,0.127702,-0.0143066,-1.40723,1598537688.103472384
-1.41911,-2.74822,0.0789871,0.119545,-0.0214052,-1.42471,1598537688.203236608
-1.41378,-2.89681,0.0589018,0.113366,-0.00630061,-1.40593,1598537688.303471872
-1.38837,-3.00723,0.0779462,0.109209,-0.00868965,-1.38528,1598537688.403352832
-1.35042,-3.1301,0.0697938,0.126005,-0.0136553,-1.38068,1598537688.503506944
-1.33522,-3.30065,0.0811011,0.153125,-0.0346457,-1.38004,1598537688.603903744
-1.31076,-3.37033,0.106888,0.147808,-0.00237551,-1.39826,1598537688.704018432
-1.27867,-3.49946,0.063951,0.156443,0.0101623,-1.39511,1598537688.804470528
-1.22894,-3.64193,0.0652571,0.176435,0.0149488,-1.39226,1598537688.904568320
-1.206,-3.75007,0.052796,0.170133,0.0209974,-1.39155,1598537689.004402944
-1.20262,-3.86927,0.0401536,0.175814,-0.0090223,-1.39525,1598537689.104308736
-1.19761,-3.92093,0.0517162,0.151285,-0.0235145,-1.35812,1598537689.203980288
-1.12358,-3.99287,0.102632,0.149138,-0.0111378,-1.32098,1598537689.303212032
-1.11327,-4.16629,0.0991343,0.118311,-0.0113781,-1.3141,1598537689.403101696
-1.07124,-4.33184,0.0537175,0.113084,-0.00826399,-1.29245,1598537689.503064320
-1.02628,-4.43026,0.0408828,0.123654,-0.00534056,-1.28548,1598537689.602999808
-0.981535,-4.58099,0.0628037,0.139969,-0.0202461,-1.28129,1598537689.703315200
-0.933785,-4.69199,0.0742123,0.109138,-0.0237505,-1.29986,1598537689.803521280
-0.936214,-4.77816,0.0448371,0.100131,-0.00312072,-1.30456,1598537689.904045312
-0.850594,-4.83359,0.0145288,0.0933547,-3.47708e-05,-1.30216,1598537690.003894272
-0.841226,-4.92876,-0.0378416,0.0941094,-0.00679874,-1.29907,1598537690.104278272
-0.81595,-5.06387,-0.0524916,0.109323,-0.00592744,-1.2849,1598537690.204011264
-0.755616,-5.18684,-0.0293538,0.071175,-0.0166684,-1.27445,1598537690.303720448
-0.683595,-5.35311,-0.0176925,0.0870368,-0.000292216,-1.23695,1598537690.403648512
-0.654699,-5.45345,0.0156791,0.0962584,0.00898356,-1.21888,1598537690.503217664
-0.604444,-5.55298,-0.0695782,0.118381,0.00235133,-1.19673,1598537690.603367936
-0.560381,-5.74297,-0.0368189,0.136363,0.0101878,-1.19455,1598537690.703396608
-0.508057,-6.00742,-0.0304694,0.139978,0.00698064,-1.20316,1598537690.803601664
-0.445644,-6.09588,-0.0561819,0.147231,0.0247873,-1.21017,1598537690.903623424
-0.429029,-6.19902,-0.0510857,0.153545,0.0658627,-1.23096,1598537691.004074496
-0.397399,-6.31485,-0.0960496,0.126706,0.0789712,-1.28219,1598537691.104701184
-0.388326,-6.49954,-0.12102,0.120388,0.0784561,-1.31972,1598537691.205323008
-0.372118,-6.56243,-0.112019,0.11104,0.043544,-1.32452,1598537691.305287168
-0.380175,-6.72648,-0.0764671,0.099275,0.012755,-1.28482,1598537691.404729856
-0.367935,-6.89233,-0.0579829,0.103493,-0.00985774,-1.25548,1598537691.503613952
-0.329951,-7.05821,0.0621058,0.0727407,-0.0123336,-1.25746,1598537691.603115008
-0.316634,-7.18876,0.0764017,0.0658798,-0.0323966,-1.20056,1598537691.703096832
-0.277692,-7.28189,0.208497,0.0819426,-0.0592034,-1.17451,1598537691.802357504
-0.309582,-7.44039,0.204963,0.0897718,-0.10121,-1.16305,1598537691.902546944
-0.267337,-7.45582,0.230995,0.123608,-0.115219,-1.16453,1598537692.002491392
-0.243055,-7.58925,0.281262,0.135429,-0.115035,-1.17687,1598537692.103115520
-0.246768,-7.75406,0.300438,0.151868,-0.10142,-1.17283,1598537692.203620864
-0.208169,-7.78649,0.360071,0.13349,-0.119004,-1.17868,1598537692.303584512
-0.221046,-7.95792,0.34183,0.116116,-0.127929,-1.17825,1598537692.403758592
-0.221723,-8.11031,0.389332,0.0999521,-0.150388,-1.15446,1598537692.503445760
-0.196311,-8.15309,0.431999,0.070373,-0.155661,-1.13623,1598537692.602852608
-0.143214,-8.1976,0.445552,0.0455787,-0.154242,-1.1509,1598537692.702665472
-0.197322,-8.32939,0.445714,0.0335923,-0.16311,-1.13318,1598537692.802945280
-0.158467,-8.38246,0.391593,0.0297286,-0.168761,-1.133,1598537692.902639872
-0.122634,-8.54815,0.268396,0.0557216,-0.184196,-1.12769,1598537693.002817536
-0.0216177,-8.43403,0.431312,0.0887961,-0.179528,-1.16318,1598537693.102540288
-0.0183412,-8.57092,0.476154,0.0970757,-0.162219,-1.21253,1598537693.203336704
0.018547,-8.72058,0.275545,0.0938523,-0.146516,-1.23942,1598537693.303886592
0.0162253,-8.80821,0.303736,0.0979085,-0.140911,-1.30006,1598537693.404139776
0.0151454,-8.9145,0.23666,0.097523,-0.138979,-1.36318,1598537693.504451584
0.0376956,-9.07305,0.216807,0.119321,-0.134118,-1.40769,1598537693.604558592
-0.010856,-9.21422,0.267742,0.121772,-0.101191,-1.46136,1598537693.704345088
-0.0615479,-9.37277,0.317085,0.139989,-0.0472215,-1.50016,1598537693.804050176
-0.0450082,-9.44262,0.167504,0.130909,-0.0407459,-1.56458,1598537693.903646976
0.00602757,-9.51283,0.119059,0.12765,-0.0425916,-1.62162,1598537694.003376640
-0.00409773,-9.58657,0.128322,0.121546,-0.0520279,-1.70676,1598537694.103339520
-0.044914,-9.71568,0.069972,0.129284,-0.069743,-1.77442,1598537694.203521792
-0.0960109,-9.79766,0.260084,0.141759,-0.0422724,-1.86016,1598537694.303508480
-0.143619,-9.91308,0.217724,0.153954,0.0199462,-1.92724,1598537694.403532544
-0.10462,-9.96265,0.189596,0.170718,0.0281647,-1.98782,1598537694.503343360
-0.143725,-10.0107,0.318774,0.162161,0.054353,-2.0542,1598537694.603265792
-0.280022,-10.1638,0.148347,0.162655,0.085808,-2.09687,1598537694.703204608
-0.251965,-10.1989,0.240974,0.160916,0.0799298,-2.14886,1598537694.802643456
-0.345372,-10.3627,0.186111,0.134516,0.0723081,-2.21579,1598537694.902685184
-0.344823,-10.377,0.294182,0.131956,0.0707915,-2.265,1598537695.002489344
-0.431057,-10.4828,0.294972,0.115724,0.0910977,-2.32073,1598537695.102608896
-0.487601,-10.585,0.210936,0.151564,0.107489,-2.32213,1598537695.202398720
-0.522392,-10.6082,0.323009,0.159086,0.111678,-2.36477,1598537695.302222336
-0.529227,-10.6554,0.30231,0.157217,0.108825,-2.42341,1598537695.402703616
-0.543088,-10.735,0.438013,0.148581,0.07986,-2.48155,1598537695.503401472
-0.660777,-10.7805,0.646577,0.137681,0.0663213,-2.53869,1598537695.604009984
-0.777159,-10.8731,0.510991,0.137699,0.0811775,-2.56894,1598537695.704362240
-0.804743,-10.9101,0.573611,0.148922,0.0774362,-2.59396,1598537695.804226048
-0.894971,-10.9454,0.602118,0.140542,0.0854768,-2.63218,1598537695.904278784
-0.975949,-10.9794,0.601211,0.131509,0.0884094,-2.65733,1598537696.004132608
-1.12892,-11.0665,0.537292,0.149827,0.084341,-2.67375,1598537696.103810304
-1.07157,-11.1413,0.653745,0.142737,0.0901234,-2.67765,1598537696.203000320
-1.26917,-11.2022,0.602382,0.116315,0.102633,-2.70289,1598537696.303184128
-1.32627,-11.2686,0.583717,0.126385,0.0977627,-2.69403,1598537696.402724096
-1.36719,-11.3304,0.582349,0.127044,0.103742,-2.70669,1598537696.502637824
-1.48475,-11.3827,0.575518,0.128162,0.110509,-2.74667,1598537696.603169792
-1.56158,-11.4302,0.48274,0.152951,0.110595,-2.76056,1598537696.703492608
-1.65516,-11.4723,0.565326,0.160223,0.136622,-2.78486,1598537696.803767296
-1.79527,-11.5177,0.539027,0.167083,0.156858,-2.78498,1598537696.903966464
-1.86649,-11.5625,0.564158,0.152749,0.162024,-2.80464,1598537697.003785728
-1.92935,-11.5654,0.615888,0.150767,0.168644,-2.81545,1598537697.103819264
-1.9936,-11.6012,0.597717,0.159361,0.181448,-2.81162,1598537697.203604992
-2.10781,-11.6211,0.630079,0.154788,0.174755,-2.80749,1598537697.303470848
-2.18372,-11.6544,0.583166,0.140937,0.180292,-2.8214,1598537697.403373312
-2.24017,-11.6962,0.597908,0.136331,0.174132,-2.81266,1598537697.503249664
-2.3658,-11.6875,0.497819,0.140297,0.16445,-2.81009,1598537697.603335168
-2.27166,-11.8149,0.464982,0.168342,0.138823,-2.79407,1598537697.703052800
-2.41456,-11.8253,0.522057,0.157764,0.122821,-2.83279,1598537697.803430144
-2.58204,-11.8192,0.451176,0.146041,0.135692,-2.87617,1598537697.903967488
-2.63668,-11.8604,0.433024,0.158542,0.156675,-2.86679,1598537698.004059648
-2.75545,-11.8483,0.365546,0.164154,0.158748,-2.86916,1598537698.104036096
-2.88694,-11.8716,0.307899,0.173962,0.155692,-2.87562,1598537698.203718912
-3.01397,-11.8355,0.288067,0.163675,0.145334,-2.87519,1598537698.303409664
-3.15222,-11.8495,0.30042,0.153788,0.164147,-2.87237,1598537698.402907392
-3.24477,-11.8579,0.299189,0.143183,0.183225,-2.86887,1598537698.502621952
-3.39458,-11.8336,0.261407,0.145318,0.182746,-2.85447,1598537698.602518528
-3.48326,-11.8658,0.191912,0.157999,0.172853,-2.83754,1598537698.702190848
-3.45135,-11.887,0.14765,0.147153,0.147151,-2.84276,1598537698.802339584
-3.6165,-11.8541,0.19589,0.156077,0.146089,-2.82683,1598537698.902828032
-3.63712,-11.8782,0.246338,0.120849,0.166091,-2.85648,1598537699.002951936
-3.76563,-11.8967,0.0915586,0.112738,0.164727,-2.86598,1598537699.103831808
-3.82413,-11.9413,-0.125223,0.105912,0.179869,-2.87035,1598537699.204142336
-3.98018,-11.922,-0.135183,0.0892224,0.175773,-2.88217,1598537699.304279808
-4.05593,-11.9134,-0.269367,0.0729502,0.157793,-2.88004,1598537699.404285696
-4.26331,-11.8845,0.484942,0.125739,0.167365,-2.85328,1598537699.503909376
-4.28451,-11.9299,0.362313,0.151064,0.221875,-2.8292,1598537699.603536896
-4.43134,-11.9373,0.386145,0.175075,0.246844,-2.80388,1598537699.703383040
-4.50973,-11.9842,0.349893,0.190228,0.243017,-2.78966,1598537699.803111424
-4.58256,-12.0096,0.308892,0.184423,0.240647,-2.81031,1598537699.903269376
-4.65388,-12.0232,0.572935,0.126713,0.297014,-2.84325,1598537700.003686144
-4.68262,-12.0051,0.418766,0.0438227,0.299118,-2.90739,1598537700.104567040
-4.73131,-12.0105,0.448248,0.0580444,0.255392,-2.90949,1598537700.204825600
-4.7612,-11.986,0.347377,0.0447938,0.221204,-2.94921,1598537700.304686848
-4.89953,-11.9847,0.666261,0.060979,0.185546,-2.97321,1598537700.404611072
-4.98534,-11.9938,0.667612,0.0558742,0.176818,-2.96572,1598537700.504380416
-5.18279,-11.9993,1.08298,0.0698579,0.154425,-2.94758,1598537700.603583232
