x,y,z,roll,pitch,yaw,time
0.172985,1.35417,0.420043,0.0577171,-0.268308,1.47775,1598537681.403899136
0.15029,1.33926,0.471201,0.0230708,-0.278049,1.44427,1598537681.504127744
0.148904,1.34657,0.395834,-0.00898099,-0.271042,1.37504,1598537681.604629760
0.188635,1.48855,0.373303,0.00326833,-0.258836,1.32278,1598537681.705216768
0.15425,1.50637,0.415529,-0.00438552,-0.243107,1.29578,1598537681.804939776
0.160035,1.61766,0.36679,-0.00159219,-0.243293,1.25041,1598537681.904721408
0.101199,1.57932,0.417743,0.00707675,-0.257892,1.25377,1598537682.003880704
0.0956735,1.63735,0.419794,-0.00977349,-0.277301,1.25602,1598537682.103325952
0.0977362,1.69167,0.402755,-0.00590658,-0.308897,1.27808,1598537682.202600960
0.0571301,1.64187,0.43105,0.0104504,-0.33298,1.32852,1598537682.301754880
0.0962065,1.67099,0.454975,0.0266772,-0.385728,1.36159,1598537682.401594880
0.0869918,1.64462,0.561621,0.0505006,-0.405232,1.39563,1598537682.501441280
0.0884376,1.57988,0.587716,0.0513591,-0.420683,1.40259,1598537682.601820160
0.0876968,1.62869,0.551236,0.0415407,-0.405117,1.44093,1598537682.702421504
0.0999461,1.65287,0.538533,0.0383618,-0.381544,1.44784,1598537682.802942464
0.107836,1.6618,0.526824,0.0173485,-0.34263,1.49923,1598537682.903083008
0.146063,1.64374,0.438722,-0.00230631,-0.307498,1.54725,1598537683.003108864
0.137511,1.65171,0.385645,-0.0172592,-0.262781,1.58157,1598537683.103367680
0.112384,1.67278,0.319357,-0.018975,-0.227905,1.61329,1598537683.203568896
0.0806297,1.68034,0.295136,-0.0184857,-0.192358,1.65057,1598537683.303637760
0.0374792,1.57165,0.283877,-0.0175956,-0.172872,1.65442,1598537683.403665152
-0.0295236,1.5789,0.240732,-0.0151761,-0.152749,1.66051,1598537683.504374784
-0.0433577,1.48605,0.231506,-0.0362544,-0.137694,1.68167,1598537683.604352768
-0.115792,1.50038,0.1494,-0.0395306,-0.138122,1.71273,1598537683.704233216
-0.180576,1.48826,0.106193,-0.0573963,-0.115786,1.7794,1598537683.803530240
-0.259809,1.50204,0.0708172,-0.072513,-0.0890607,1.88935,1598537683.902376448
-0.326181,1.46302,0.111128,-0.104504,-0.0761702,2.02368,1598537684.000984064
-0.417311,1.42981,0.11014,-0.125628,-0.0785934,2.16107,1598537684.100150016
-0.475392,1.36997,0.128247,-0.132095,-0.0813881,2.31279,1598537684.199559680
-0.560271,1.32692,0.144114,-0.135501,-0.0914691,2.47159,1598537684.299474944
-0.621127,1.19999,0.156201,-0.141621,-0.103851,2.64179,1598537684.399599872
-0.833706,1.20889,0.122801,-0.125017,-0.0978051,2.83742,1598537684.500289792
-0.797395,1.07843,0.187549,-0.123164,-0.0771702,3.0385,1598537684.600199168
-0.848044,0.9706,0.232657,-0.154825,-0.0426866,-3.05777,1598537684.701149952
-0.966504,0.89742,0.0749895,-0.157542,-0.00416802,-2.88759,1598537684.802343680
-0.936196,0.817145,0.0818167,-0.132335,0.0110043,-2.7259,1598537684.903285248
-0.98292,0.699292,0.0773771,-0.124563,-0.0089114,-2.59112,1598537685.004786176
-0.919894,0.628621,0.18855,-0.148849,-0.0343903,-2.48847,1598537685.105835776
-1.00446,0.502242,0.125478,-0.160666,-0.0207611,-2.35105,1598537685.206731008
-1.02241,0.382821,0.112063,-0.14368,0.027203,-2.22057,1598537685.306354176
-1.01719,0.305925,0.0915969,-0.110964,0.0490344,-2.11301,1598537685.405848320
-1.02356,0.202185,0.0522325,-0.0836649,0.0549974,-2.03274,1598537685.505607168
-1.04288,0.0959414,0.0667693,-0.0657793,0.0479287,-1.95076,1598537685.605288192
-1.02538,0.00790979,0.0907809,-0.0595799,0.0527283,-1.87313,1598537685.704893696
-1.02796,-0.144466,0.0364151,-0.0537228,0.0531616,-1.78715,1598537685.804591360
-1.03371,-0.243608,0.0279284,-0.0382839,0.0714087,-1.73282,1598537685.904205056
-1.01741,-0.352881,-0.0178238,-0.0152495,0.0757206,-1.67357,1598537686.004122624
-1.0021,-0.456004,-0.035938,0.00990807,0.0589658,-1.61582,1598537686.103940864
-0.97862,-0.529018,-0.0404458,0.0400738,0.0343217,-1.55989,1598537686.203778304
-0.94408,-0.620057,-0.0182308,0.0644699,0.0188188,-1.50965,1598537686.303783680
-0.929371,-0.724697,0.0352338,0.0610894,0.0133825,-1.49564,1598537686.404072192
-0.93131,-0.85828,0.0399894,0.0534835,0.00885092,-1.4807,1598537686.504488960
