x,y,z,roll,pitch,yaw,time
0.172985,1.35417,0.420043,0.0577171,-0.268308,1.47775,1598537681.403899136
0.15975,1.3398,0.470514,0.0229336,-0.278141,1.44463,1598537681.504127744
0.160239,1.34809,0.397123,-0.00931911,-0.271142,1.37549,1598537681.604629760
0.191199,1.49019,0.375222,0.00307403,-0.258769,1.32294,1598537681.705216768
0.156805,1.50801,0.417441,-0.00458083,-0.243045,1.29593,1598537681.804939776
0.158013,1.61592,0.365892,-0.00185587,-0.243868,1.25041,1598537681.904721408
0.0962503,1.5834,0.419218,0.00684944,-0.258384,1.25357,1598537682.003880704
0.099358,1.63713,0.420121,-0.0100938,-0.277887,1.2563,1598537682.103325952
0.10406,1.685,0.400627,-0.00623259,-0.309839,1.27856,1598537682.202600960
0.0700134,1.63732,0.431525,0.00999205,-0.333706,1.32938,1598537682.301754880
0.0830696,1.67559,0.454389,0.0264816,-0.386415,1.36042,1598537682.401594880
0.073788,1.64917,0.561015,0.050278,-0.405913,1.39448,1598537682.501441280
0.0808657,1.58558,0.587216,0.0510602,-0.421412,1.40146,1598537682.601820160
0.0791463,1.63289,0.550292,0.0410638,-0.405822,1.43985,1598537682.702421504
0.0857345,1.65533,0.537267,0.0378698,-0.382257,1.44675,1598537682.802942464
0.0873498,1.6651,0.525204,0.0171554,-0.343119,1.49815,1598537682.903083008
0.121288,1.64103,0.429013,-0.00233685,-0.308744,1.54615,1598537683.003108864
0.103826,1.64936,0.3689,-0.0172281,-0.264888,1.57988,1598537683.103367680
0.0800377,1.66893,0.302342,-0.0190449,-0.229972,1.61169,1598537683.203568896
0.0574499,1.68165,0.276205,-0.0189792,-0.194907,1.6493,1598537683.303637760
0.0141548,1.57304,0.264653,-0.0180973,-0.175419,1.65314,1598537683.403665152
-0.0384597,1.57645,0.21931,-0.0157696,-0.155407,1.6597,1598537683.504374784
-0.0631476,1.49053,0.211464,-0.0367843,-0.140258,1.6802,1598537683.604352768
-0.144708,1.50762,0.12764,-0.0401782,-0.14074,1.71114,1598537683.704233216
-0.200528,1.49824,0.0860177,-0.0580404,-0.118133,1.77801,1598537683.803530240
-0.275675,1.51214,0.0492784,-0.0734645,-0.0913968,1.88808,1598537683.902376448
-0.346999,1.47234,0.0871416,-0.105848,-0.0785182,2.02225,1598537684.000984064
-0.43818,1.43927,0.0860478,-0.127283,-0.0807356,2.15966,1598537684.100150016
-0.496356,1.37947,0.103983,-0.134056,-0.0832564,2.31141,1598537684.199559680
-0.581304,1.33651,0.119719,-0.137735,-0.0930048,2.47026,1598537684.299474944
-0.642357,1.20964,0.131452,-0.144088,-0.104988,2.64051,1598537684.399599872
-0.854916,1.21896,0.0980383,-0.127657,-0.0984431,2.83614,1598537684.500289792
-0.81863,1.08826,0.16329,-0.125866,-0.0772171,3.03717,1598537684.600199168
-0.869456,0.980379,0.208097,-0.157482,-0.0422323,-3.05919,1598537684.701149952
-0.987991,0.907805,0.0502063,-0.160082,-0.00327073,-2.88912,1598537684.802343680
-0.957808,0.827466,0.056825,-0.134698,0.0122988,-2.72747,1598537684.903285248
-1.00471,0.709697,0.0520583,-0.12673,-0.00731121,-2.59264,1598537685.004786176
-0.945951,0.637841,0.165248,-0.150963,-0.0324604,-2.48975,1598537685.105835776
-1.03067,0.511757,0.101795,-0.162495,-0.0185599,-2.35237,1598537685.206731008
-1.04975,0.394166,0.0889162,-0.145194,0.0296674,-2.22189,1598537685.306354176
-1.04242,0.317509,0.0672245,-0.112266,0.0516094,-2.11436,1598537685.405848320
-1.04304,0.20921,0.0264206,-0.0846603,0.0575636,-2.03437,1598537685.505607168
-1.06006,0.101702,0.0413763,-0.0666082,0.0506287,-1.95244,1598537685.605288192
-1.04592,0.0138383,0.0652306,-0.060172,0.0554985,-1.87456,1598537685.704893696
-1.04974,-0.13699,0.0100485,-0.0540485,0.0559365,-1.78853,1598537685.804591360
-1.05381,-0.235597,0.000949946,-0.0384015,0.0742376,-1.73419,1598537685.904205056
-1.042,-0.348235,-0.0455099,-0.0151538,0.0784429,-1.67481,1598537686.004122624
-1.03053,-0.444515,-0.0630084,0.0101795,0.0618385,-1.6167,1598537686.103940864
-1.01333,-0.517137,-0.0683288,0.0405275,0.0371188,-1.56055,1598537686.203778304
-0.981458,-0.60877,-0.0511059,0.0652971,0.0211115,-1.51003,1598537686.303783680
-0.966827,-0.71354,0.00212393,0.0619486,0.0156635,-1.49602,1598537686.404072192
-0.976482,-0.847759,0.00458004,0.0542738,0.010911,-1.48099,1598537686.504488960
-0.945869,-0.915518,0.0139484,0.0431649,0.0274583,-1.46013,1598537686.604657152
-0.953535,-1.08166,-0.0465961,0.0458477,0.020274,-1.42944,1598537686.704696576
-0.927374,-1.12992,-0.0526919,0.0470539,0.0111531,-1.42057,1598537686.804313088
-0.965653,-1.34198,-0.143331,0.0716621,0.0147136,-1.40868,1598537686.904407552
-0.969439,-1.46998,-0.157445,0.0987525,0.0271824,-1.36348,1598537687.003885824
-0.932045,-1.52494,-0.142764,0.114288,0.0366441,-1.35051,1598537687.103507712
-0.941721,-1.69211,-0.180218,0.101932,0.0686554,-1.33702,1598537687.203836160
-0.926998,-1.83404,-0.207989,0.0962828,0.0703429,-1.31874,1598537687.303876096
-0.901284,-1.9131,-0.225697,0.0722811,0.0271524,-1.31994,1598537687.403861760
-0.866506,-2.08112,-0.227322,0.0440451,-0.0174412,-1.33886,1598537687.504686080
-0.827099,-2.20292,-0.163723,0.0478276,-0.0329355,-1.34928,1598537687.604842752
-0.809089,-2.33685,-0.195185,0.0587697,0.00480671,-1.36099,1598537687.705112576
-0.800808,-2.47318,-0.255192,0.0780658,0.0322335,-1.35131,1598537687.804960768
-0.754278,-2.55422,-0.260445,0.072895,0.0324582,-1.34232,1598537687.904417024
-0.763253,-2.8045,-0.343582,0.0807283,0.0240577,-1.33325,1598537688.004270336
-0.701411,-2.87887,-0.28965,0.0888166,0.00268852,-1.29569,1598537688.103472384
-0.672328,-2.99025,-0.255483,0.0803166,-0.00840873,-1.31132,1598537688.203236608
-0.645312,-3.1879,-0.300149,0.0740825,0.00558685,-1.29681,1598537688.303471872
-0.567368,-3.29826,-0.274535,0.0693469,0.00039791,-1.27725,1598537688.403352832
-0.504156,-3.41754,-0.329324,0.0818638,-0.00567278,-1.27078,1598537688.503506944
-0.489244,-3.60815,-0.303176,0.108749,-0.0261258,-1.27316,1598537688.603903744
-0.47493,-3.63577,-0.20689,0.111363,-0.00519893,-1.28927,1598537688.704018432
-0.387377,-3.77319,-0.279549,0.11587,0.0112147,-1.28693,1598537688.804470528
-0.368805,-3.93139,-0.232985,0.131937,0.0194723,-1.27778,1598537688.904568320
-0.286522,-4.0254,-0.223194,0.125046,0.0251346,-1.2779,1598537689.004402944
-0.278833,-4.15154,-0.2489,0.129473,-0.00449478,-1.27996,1598537689.104308736
-0.237297,-4.35021,-0.135191,0.113925,-0.0174534,-1.25746,1598537689.203980288
-0.145774,-4.44468,-0.138136,0.110149,-0.0107665,-1.21764,1598537689.303212032
-0.0839562,-4.58423,-0.0692935,0.0808637,-0.00705671,-1.21808,1598537689.403101696
-0.020015,-4.73722,-0.104314,0.075777,-0.0080234,-1.19561,1598537689.503064320
0.0421561,-4.80211,-0.140796,0.0845062,-0.00561459,-1.18562,1598537689.602999808
0.107711,-4.95808,-0.129887,0.0991273,-0.0209863,-1.18076,1598537689.703315200
0.177784,-5.07637,0.00937439,0.0757763,-0.0285905,-1.1999,1598537689.803521280
0.163031,-5.25257,-0.0285196,0.0661269,-0.00412953,-1.20964,1598537689.904045312
0.291837,-5.2775,-0.0178028,0.0606901,-0.00144794,-1.20404,1598537690.003894272
0.300193,-5.52757,-0.0863084,0.0613304,-0.00407804,-1.21128,1598537690.104278272
0.3314,-5.64075,-0.0749436,0.0777228,-0.00426345,-1.19604,1598537690.204011264
0.418338,-5.74283,0.0416272,0.0496034,-0.00901594,-1.18166,1598537690.303720448
0.450039,-5.93917,0.011439,0.0628727,0.00611376,-1.14681,1598537690.403648512
0.531759,-6.02215,-0.000186866,0.070495,0.0209938,-1.1275,1598537690.503217664
0.592739,-6.18615,-0.0518207,0.0928689,0.0135154,-1.10749,1598537690.603367936
0.633088,-6.30497,0.0163478,0.114673,0.0231965,-1.09962,1598537690.703396608
0.68696,-6.49917,-0.0352086,0.112495,0.0224185,-1.10646,1598537690.803601664
0.789245,-6.5951,0.0748885,0.125285,0.0330276,-1.11507,1598537690.903623424
0.852542,-6.70633,0.0747258,0.132253,0.0745139,-1.13448,1598537691.004074496
0.909159,-6.82582,0.0847772,0.113057,0.092963,-1.18506,1598537691.104701184
0.948726,-6.98209,0.0475356,0.105081,0.092076,-1.22207,1598537691.205323008
0.979949,-7.20511,-0.0178624,0.099835,0.0759578,-1.23393,1598537691.305287168
0.951276,-7.39065,0.0382022,0.0949402,0.052152,-1.19338,1598537691.404729856
1.03902,-7.4876,0.0242122,0.0972523,0.0334945,-1.1622,1598537691.503613952
1.09981,-7.60526,0.188025,0.0685529,0.0304116,-1.1563,1598537691.603115008
1.08869,-7.73901,0.175702,0.0602744,0.00369132,-1.10051,1598537691.703096832
1.1935,-7.7907,0.180526,0.0695039,-0.0212466,-1.07042,1598537691.802357504
1.20153,-7.94863,0.189109,0.0793349,-0.0576042,-1.05932,1598537691.902546944
1.29742,-7.96994,0.181023,0.115614,-0.0764379,-1.05182,1598537692.002491392
1.3422,-8.0717,0.300239,0.137792,-0.0697872,-1.06166,1598537692.103115520
1.38442,-8.23533,0.312446,0.150565,-0.0517587,-1.06212,1598537692.203620864
1.40357,-8.33008,0.457724,0.138053,-0.0612354,-1.06427,1598537692.303584512
1.43464,-8.47221,0.479447,0.108069,-0.0776701,-1.07058,1598537692.403758592
1.45512,-8.6099,0.523095,0.0968219,-0.0969533,-1.04542,1598537692.503445760
1.49117,-8.69617,0.549206,0.0682275,-0.105964,-1.0228,1598537692.602852608
1.51398,-8.76469,0.581645,0.0431691,-0.100571,-1.033,1598537692.702665472
1.50632,-8.94766,0.610541,0.0361226,-0.106239,-1.0231,1598537692.802945280
1.55989,-8.99048,0.564188,0.0329093,-0.112144,-1.02191,1598537692.902639872
1.57927,-9.21561,0.39672,0.0578883,-0.127787,-1.00923,1598537693.002817536
1.55312,-9.24438,0.442673,0.0959721,-0.132726,-1.02522,1598537693.102540288
1.56377,-9.37803,0.50749,0.101809,-0.111637,-1.07437,1598537693.203336704
1.60006,-9.5125,0.45316,0.100098,-0.0817573,-1.10034,1598537693.303886592
1.62129,-9.60794,0.480623,0.0991761,-0.0717348,-1.16016,1598537693.404139776
1.6422,-9.71507,0.400866,0.0969053,-0.0685689,-1.22286,1598537693.504451584
1.66873,-9.86799,0.329164,0.122476,-0.0611966,-1.26405,1598537693.604558592
1.64542,-10.0116,0.381803,0.121216,-0.0285115,-1.31742,1598537693.704345088
1.6719,-10.135,0.320374,0.132375,0.0117089,-1.365,1598537693.804050176
1.67768,-10.2291,0.261839,0.121008,0.0256715,-1.42605,1598537693.903646976
1.75089,-10.2734,0.226377,0.117206,0.0251305,-1.48169,1598537694.003376640
1.76731,-10.349,0.228623,0.106072,0.0170619,-1.56494,1598537694.103339520
1.75909,-10.5129,0.187791,0.106838,0.00155986,-1.63377,1598537694.203521792
1.70383,-10.6065,0.295842,0.109455,0.0202804,-1.72004,1598537694.303508480
1.68171,-10.7332,0.21905,0.104527,0.0563181,-1.79203,1598537694.403532544
1.70642,-10.8136,0.182657,0.119131,0.0603339,-1.85256,1598537694.503343360
1.69943,-10.9088,0.229291,0.11023,0.072462,-1.91728,1598537694.603265792
1.59299,-11.085,0.0529078,0.101148,0.08489,-1.96577,1598537694.703204608
1.61383,-11.1102,0.193634,0.103338,0.081371,-2.01541,1598537694.802643456
1.57389,-11.2164,0.232106,0.0731438,0.0782213,-2.08461,1598537694.902685184
1.57596,-11.2583,0.351985,0.0686246,0.0729812,-2.13258,1598537695.002489344
1.5061,-11.3679,0.33394,0.0525986,0.0882277,-2.18864,1598537695.102608896
1.47228,-11.4509,0.26743,0.0886801,0.100896,-2.192,1598537695.202398720
1.44475,-11.4722,0.392679,0.101099,0.109222,-2.2323,1598537695.302222336
1.42612,-11.5285,0.34724,0.0980966,0.0996279,-2.29232,1598537695.402703616
1.368,-11.6147,0.417286,0.0832073,0.0751519,-2.34857,1598537695.503401472
1.3089,-11.6621,0.496525,0.0663467,0.0605773,-2.40088,1598537695.604009984
1.21169,-11.7462,0.444414,0.0649338,0.0745031,-2.43062,1598537695.704362240
1.1828,-11.7999,0.51133,0.0728903,0.07134,-2.45455,1598537695.804226048
1.10058,-11.8672,0.506086,0.0639454,0.0764102,-2.49458,1598537695.904278784
1.02727,-11.9242,0.472757,0.0566152,0.0739983,-2.52033,1598537696.004132608
0.888801,-11.9673,0.425938,0.0700583,0.0725442,-2.53222,1598537696.103810304
0.972818,-12.0764,0.486901,0.062707,0.0779436,-2.53759,1598537696.203000320
0.794916,-12.1124,0.444888,0.0399327,0.0827516,-2.55501,1598537696.303184128
0.734024,-12.1851,0.425132,0.0491104,0.0806621,-2.548,1598537696.402724096
0.733388,-12.2758,0.425812,0.0510349,0.0863049,-2.56389,1598537696.502637824
0.608136,-12.3345,0.359169,0.0477332,0.086044,-2.60046,1598537696.603169792
0.560051,-12.4182,0.343505,0.0715005,0.0908603,-2.61618,1598537696.703492608
0.461959,-12.4771,0.398092,0.0769001,0.112052,-2.6404,1598537696.803767296
0.346192,-12.5448,0.388556,0.0862055,0.131838,-2.64261,1598537696.903966464
0.280022,-12.5917,0.400525,0.0843412,0.145954,-2.66261,1598537697.003785728
0.183748,-12.6407,0.396816,0.078822,0.149948,-2.67475,1598537697.103819264
0.115032,-12.6733,0.32975,0.0809148,0.161037,-2.67058,1598537697.203604992
-0.000808621,-12.735,0.320472,0.0723773,0.15047,-2.66629,1598537697.303470848
-0.133876,-12.7755,0.336176,0.0591712,0.159515,-2.68072,1598537697.403373312
-0.177792,-12.8565,0.352522,0.0564706,0.155353,-2.67177,1598537697.503249664
-0.312273,-12.8854,0.306964,0.0545197,0.153567,-2.67459,1598537697.603335168
-0.315548,-12.9796,0.316738,0.0871228,0.128016,-2.65837,1598537697.703052800
-0.438443,-13.0184,0.379924,0.0781785,0.110908,-2.69339,1598537697.803430144
-0.579562,-13.025,0.371108,0.0728255,0.123376,-2.73485,1598537697.903967488
-0.630228,-13.1378,0.273591,0.0826752,0.147221,-2.72268,1598537698.004059648
-0.808323,-13.1453,0.223442,0.0945433,0.146034,-2.72847,1598537698.104036096
-0.906819,-13.1614,0.172431,0.1025,0.144563,-2.7333,1598537698.203718912
-1.03747,-13.1745,0.179626,0.0963778,0.133566,-2.731,1598537698.303409664
-1.1536,-13.1914,0.151313,0.0852101,0.150985,-2.72688,1598537698.402907392
-1.24739,-13.2188,0.165703,0.0740311,0.176326,-2.72582,1598537698.502621952
-1.40545,-13.2329,0.137852,0.0724647,0.180048,-2.7141,1598537698.602518528
-1.48051,-13.2709,0.0922884,0.0833023,0.180165,-2.69664,1598537698.702190848
-1.60543,-13.3131,0.0739701,0.0718094,0.163743,-2.70494,1598537698.802339584
-1.79945,-13.3224,0.0894818,0.0869915,0.165174,-2.69347,1598537698.902828032
-1.83682,-13.343,0.114635,0.0512031,0.18258,-2.72551,1598537699.002951936
-1.96119,-13.3913,0.0700493,0.0536936,0.194206,-2.73027,1598537699.103831808
-2.0955,-13.3976,0.127082,0.0602353,0.207635,-2.73665,1598537699.204142336
-2.23387,-13.4303,0.169927,0.0420013,0.213046,-2.75131,1598537699.304279808
-2.37848,-13.4379,0.146095,0.0335145,0.207957,-2.75324,1598537699.404285696
-2.48971,-13.4608,0.0772399,0.0466501,0.197868,-2.72465,1598537699.503909376
-2.59019,-13.5052,0.09241,0.0792074,0.253363,-2.7073,1598537699.603536896
-2.76161,-13.5289,0.0586014,0.0972383,0.272554,-2.68668,1598537699.703383040
-2.82029,-13.561,0.0451447,0.121346,0.279568,-2.66868,1598537699.803111424
-2.89251,-13.5941,-0.001975,0.121192,0.279977,-2.6864,1598537699.903269376
-2.9945,-13.6225,0.265946,0.0627325,0.318621,-2.72369,1598537700.003686144
-3.38173,-13.7475,0.520973,0.00555236,0.317391,-2.80093,1598537700.104567040
-3.48915,-13.7536,0.458231,0.0127274,0.280995,-2.80607,1598537700.204825600
-3.56244,-13.7525,0.500485,0.0047125,0.252671,-2.84533,1598537700.304686848
-3.64851,-13.7707,0.498319,0.00270728,0.220651,-2.87026,1598537700.404611072
-3.83324,-13.752,0.473313,-0.00279407,0.207724,-2.86528,1598537700.504380416
-3.9446,-13.7945,0.475026,-0.0115681,0.191455,-2.84642,1598537700.603583232
-4.05852,-13.8206,0.429796,0.0198033,0.202465,-2.81495,1598537700.702985728
-4.14682,-13.859,0.451266,0.0406173,0.214599,-2.78559,1598537700.802432768
-4.25839,-13.893,0.37819,0.0761446,0.209799,-2.75587,1598537700.902303488
-4.32445,-13.937,0.378586,0.104451,0.211458,-2.75616,1598537701.002434816
-4.44883,-13.9326,0.489009,0.0986724,0.221391,-2.773,1598537701.103268352
-4.57202,-13.9836,0.485427,0.0664619,0.235426,-2.79247,1598537701.203990528
-4.73142,-14.0158,0.358595,0.0859042,0.258747,-2.79001,1598537701.304719104
-4.81301,-14.0568,0.381637,0.120628,0.25389,-2.76977,1598537701.404720128
-5.02634,-14.0756,0.372191,0.141469,0.228927,-2.7439,1598537701.504759552
-5.09016,-14.0964,0.427719,0.128407,0.19538,-2.73146,1598537701.604305664
-5.19664,-14.1512,0.435592,0.109662,0.142369,-2.67183,1598537701.704070400
-5.29991,-14.1698,0.315206,0.115752,0.124465,-2.66421,1598537701.803518208
-5.39805,-14.2471,0.326393,0.139459,0.136134,-2.63306,1598537701.903376384
-5.51684,-14.3066,0.365896,0.12896,0.158952,-2.62018,1598537702.003476480
-5.59034,-14.3449,0.391156,0.0759808,0.140677,-2.63307,1598537702.103674112
-5.69466,-14.3882,0.349696,0.0326278,0.105685,-2.66198,1598537702.204179712
-5.83434,-14.4363,0.379907,0.00129198,0.0990498,-2.68559,1598537702.304676608
-5.96054,-14.4912,0.379894,-0.0461799,0.100221,-2.70155,1598537702.404742400
-6.09097,-14.558,0.31735,-0.0476918,0.121615,-2.70062,1598537702.504436736
-6.22307,-14.5763,0.294371,0.0190613,0.104223,-2.63502,1598537702.603580672
-6.31553,-14.6075,0.314149,0.0256245,0.0709335,-2.60691,1598537702.702465792
-6.43071,-14.6412,0.304955,0.0278309,0.063922,-2.58576,1598537702.802170880
-6.60456,-14.6659,0.204825,0.056709,0.0863599,-2.56585,1598537702.901993728
-6.64535,-14.6911,0.233493,0.0667478,0.0682919,-2.52187,1598537703.001725696
-6.67368,-14.6963,0.288807,0.0328193,0.0555279,-2.5881,1598537703.102285824
-6.90147,-14.6786,0.213661,0.0390404,0.0330641,-2.64476,1598537703.204187392
