x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.14277,1.45098,0.306513,-0.0223621,-0.303426,1.2743,1598537681.604629760
0.174962,1.58729,0.294024,-0.0079204,-0.290507,1.21951,1598537681.705216768
0.147038,1.60155,0.34029,-0.0144961,-0.274267,1.19334,1598537681.804939776
0.16758,1.70599,0.286464,-0.0103075,-0.276115,1.148,1598537681.904721408
0.119223,1.67583,0.339528,-0.00263289,-0.289741,1.15197,1598537682.003880704
0.123749,1.71437,0.369578,-0.020362,-0.304562,1.1543,1598537682.103325952
0.14398,1.7558,0.346458,-0.017266,-0.338411,1.17831,1598537682.202600960
0.105747,1.7058,0.373465,-0.00314563,-0.361848,1.2306,1598537682.301754880
0.11803,1.74104,0.395462,0.0122091,-0.414363,1.26239,1598537682.401594880
0.0963204,1.69832,0.479388,0.0337462,-0.435405,1.29867,1598537682.501441280
0.0884222,1.63482,0.501304,0.0343128,-0.45028,1.30587,1598537682.601820160
0.0808335,1.68831,0.47487,0.0229056,-0.433161,1.34437,1598537682.702421504
0.0818639,1.70674,0.457692,0.0200875,-0.410846,1.35079,1598537682.802942464
0.0836018,1.69892,0.457374,-0.00238996,-0.366911,1.40309,1598537682.903083008
0.105274,1.6963,0.357754,-0.0228669,-0.331455,1.44977,1598537683.003108864
0.0990619,1.71549,0.305685,-0.0385555,-0.286301,1.48281,1598537683.103367680
0.084886,1.72857,0.252819,-0.040814,-0.248642,1.51449,1598537683.203568896
0.0643185,1.74325,0.217344,-0.0410603,-0.214127,1.55131,1598537683.303637760
0.0202606,1.64138,0.204682,-0.0402114,-0.194598,1.55512,1598537683.403665152
-0.0339247,1.65986,0.184602,-0.0393648,-0.171498,1.56027,1598537683.504374784
-0.0672824,1.59677,0.172506,-0.0612102,-0.155776,1.57988,1598537683.604352768
-0.127656,1.63722,0.100215,-0.065634,-0.153866,1.61192,1598537683.704233216
-0.171716,1.63402,0.0652955,-0.0846111,-0.128475,1.67936,1598537683.803530240
-0.242321,1.6554,0.0232419,-0.101214,-0.099083,1.78894,1598537683.902376448
-0.316535,1.61903,0.0615381,-0.134475,-0.082361,1.92311,1598537684.000984064
-0.410184,1.59342,0.0589698,-0.156239,-0.0806805,2.0606,1598537684.100150016
-0.475356,1.54184,0.0747568,-0.162895,-0.0789129,2.21216,1598537684.199559680
-0.571317,1.50807,0.0911794,-0.165468,-0.08394,2.37082,1598537684.299474944
-0.648297,1.3872,0.102515,-0.169445,-0.091314,2.54069,1598537684.399599872
-0.86768,1.42082,0.0618275,-0.14997,-0.0800765,2.73573,1598537684.500289792
-0.843778,1.28461,0.130621,-0.143873,-0.0548142,2.93572,1598537684.600199168
-0.90783,1.18405,0.174995,-0.170769,-0.0169432,3.12181,1598537684.701149952
-1.02797,1.12651,0.0107616,-0.168695,0.0237733,-2.99183,1598537684.802343680
-1.00248,1.04771,0.0190859,-0.138482,0.0402109,-2.83013,1598537684.903285248
-1.05781,0.938296,0.00969819,-0.126398,0.0209912,-2.69499,1598537685.004786176
-1.01588,0.854078,0.13025,-0.147178,-0.0035636,-2.59219,1598537685.105835776
-1.11075,0.740055,0.0655406,-0.154722,0.0097983,-2.45462,1598537685.206731008
-1.14178,0.639392,0.0405293,-0.133025,0.055841,-2.32249,1598537685.306354176
-1.1427,0.566163,0.0189436,-0.0977717,0.0766565,-2.21457,1598537685.405848320
-1.15464,0.467412,-0.0201763,-0.0679864,0.0811384,-2.134,1598537685.505607168
-1.18709,0.364854,-0.003943,-0.0475534,0.0724309,-2.0518,1598537685.605288192
-1.18801,0.277193,0.0198681,-0.0395712,0.0758302,-1.97372,1598537685.704893696
-1.20796,0.129421,-0.0379564,-0.0320573,0.0745683,-1.88783,1598537685.804591360
-1.22581,0.0445472,-0.0540244,-0.0155571,0.09149,-1.83248,1598537685.904205056
-1.23502,-0.0610318,-0.100849,0.00849489,0.0945552,-1.77253,1598537686.004122624
-1.24215,-0.158126,-0.121576,0.0340202,0.0762467,-1.71453,1598537686.103940864
-1.23923,-0.22035,-0.132762,0.065053,0.0494724,-1.65835,1598537686.203778304
-1.22462,-0.307099,-0.108004,0.0909244,0.0318656,-1.60786,1598537686.303783680
-1.21918,-0.410061,-0.0540631,0.087519,0.0271939,-1.59389,1598537686.404072192
-1.24445,-0.535271,-0.0531401,0.080768,0.0220013,-1.57806,1598537686.504488960
-1.22567,-0.605781,-0.0405954,0.0702616,0.0381877,-1.55563,1598537686.604657152
-1.24427,-0.764995,-0.10357,0.0734594,0.0307553,-1.52462,1598537686.704696576
-1.22021,-0.814815,-0.11146,0.0749505,0.0220808,-1.51653,1598537686.804313088
-1.27248,-1.02307,-0.202126,0.0993559,0.025757,-1.50321,1598537686.904407552
-1.28772,-1.15429,-0.219264,0.127197,0.036481,-1.45638,1598537687.003885824
-1.25975,-1.20386,-0.197967,0.143357,0.0484711,-1.44488,1598537687.103507712
-1.27941,-1.36653,-0.235253,0.131385,0.0796158,-1.429,1598537687.203836160
-1.28447,-1.50196,-0.267363,0.125939,0.0795548,-1.40981,1598537687.303876096
-1.25437,-1.56866,-0.295788,0.103127,0.0360077,-1.41308,1598537687.403861760
-1.23373,-1.71925,-0.30376,0.0732383,-0.0112578,-1.43705,1598537687.504686080
-1.20711,-1.83074,-0.241635,0.0769146,-0.0268988,-1.44683,1598537687.604842752
-1.19446,-1.95472,-0.269144,0.0868088,0.0120365,-1.45837,1598537687.705112576
-1.19133,-2.08281,-0.34787,0.105389,0.0410085,-1.44755,1598537687.804960768
-1.14934,-2.16723,-0.352347,0.0996466,0.038283,-1.43963,1598537687.904417024
-1.19707,-2.40115,-0.430989,0.108536,0.0302556,-1.42921,1598537688.004270336
-1.16377,-2.46505,-0.372266,0.116998,0.00759463,-1.39067,1598537688.103472384
-1.1461,-2.56809,-0.354799,0.107547,-0.00311312,-1.40625,1598537688.203236608
-1.15045,-2.74408,-0.396478,0.10175,0.00813328,-1.38896,1598537688.303471872
-1.0942,-2.8617,-0.370514,0.0967763,0.00138935,-1.36965,1598537688.403352832
-1.05004,-2.98122,-0.421282,0.109416,-0.00476415,-1.36337,1598537688.503506944
-1.07116,-3.15779,-0.40775,0.136289,-0.0250289,-1.36465,1598537688.603903744
-1.06198,-3.17262,-0.308888,0.137713,-0.000522977,-1.37976,1598537688.704018432
-1.01303,-3.30218,-0.372001,0.143872,0.0144817,-1.37629,1598537688.804470528
-1.0212,-3.45448,-0.334577,0.159118,0.0218793,-1.36635,1598537688.904568320
-0.973324,-3.54834,-0.328203,0.15261,0.0279148,-1.36618,1598537689.004402944
-0.980155,-3.66621,-0.352592,0.157206,-0.000393208,-1.36886,1598537689.104308736
-0.958963,-3.86505,-0.247911,0.140218,-0.0131374,-1.34529,1598537689.203980288
-0.880727,-3.95464,-0.249647,0.136886,-0.00730731,-1.30445,1598537689.303212032
-0.847472,-4.09542,-0.189759,0.108943,-0.00359564,-1.30382,1598537689.403101696
-0.813856,-4.246,-0.234932,0.103587,-0.00288413,-1.27997,1598537689.503064320
-0.758681,-4.3148,-0.2672,0.112328,-0.000725198,-1.27041,1598537689.602999808
-0.732135,-4.44452,-0.277248,0.12611,-0.0164529,-1.26308,1598537689.703315200
-0.692724,-4.55289,-0.169838,0.0996517,-0.0223249,-1.28147,1598537689.803521280
-0.714028,-4.72437,-0.221817,0.0896046,0.00194178,-1.29118,1598537689.904045312
-0.616611,-4.78877,-0.200223,0.0852702,0.00489749,-1.2872,1598537690.003894272
-0.613563,-5.01548,-0.272112,0.0845432,0.000740692,-1.29483,1598537690.104278272
-0.609245,-5.12925,-0.265934,0.100937,-6.51812e-05,-1.27941,1598537690.204011264
-0.549453,-5.23046,-0.165589,0.0700053,-0.00551036,-1.26481,1598537690.303720448
-0.540777,-5.39763,-0.167876,0.0852125,0.00960839,-1.2272,1598537690.403648512
-0.470413,-5.47026,-0.164869,0.093548,0.0242971,-1.20748,1598537690.503217664
-0.437986,-5.63213,-0.208986,0.117956,0.0183616,-1.18693,1598537690.603367936
-0.409149,-5.75307,-0.141798,0.139863,0.0278897,-1.17858,1598537690.703396608
-0.382076,-5.91411,-0.181102,0.138308,0.0284436,-1.18375,1598537690.803601664
-0.299079,-6.01475,-0.0723713,0.150573,0.038344,-1.19138,1598537690.903623424
-0.250653,-6.10789,-0.0765149,0.15764,0.0820075,-1.2083,1598537691.004074496
-0.203685,-6.22479,-0.0641347,0.138211,0.102211,-1.25863,1598537691.104701184
-0.169765,-6.39353,-0.112565,0.129313,0.102152,-1.29762,1598537691.205323008
-0.166212,-6.57581,-0.170019,0.124468,0.0873178,-1.3076,1598537691.305287168
-0.198778,-6.73885,-0.118804,0.119853,0.0615298,-1.26652,1598537691.404729856
-0.134629,-6.83258,-0.133281,0.122336,0.0416074,-1.23507,1598537691.503613952
-0.0942188,-6.96765,0.0548563,0.0932281,0.0398536,-1.22873,1598537691.603115008
-0.107581,-7.09267,0.0507913,0.0863895,0.0120324,-1.17305,1598537691.703096832
-0.0092657,-7.13092,0.0593711,0.0959029,-0.01375,-1.14312,1598537691.802357504
-0.0448405,-7.25652,0.0569596,0.106504,-0.0513117,-1.13055,1598537691.902546944
0.0320263,-7.26908,0.0485228,0.142865,-0.0706521,-1.12508,1598537692.002491392
0.0754318,-7.3713,0.15051,0.163168,-0.0631223,-1.13473,1598537692.103115520
0.091807,-7.53323,0.158017,0.175666,-0.046585,-1.13328,1598537692.203620864
0.101469,-7.62239,0.267309,0.163725,-0.0582216,-1.1353,1598537692.303584512
0.111733,-7.75532,0.282397,0.134218,-0.0737443,-1.14122,1598537692.403758592
