x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.145727,1.44757,0.310104,-0.0219947,-0.303294,1.27453,1598537681.604629760
0.191352,1.58945,0.294282,-0.00784585,-0.291476,1.22087,1598537681.705216768
0.155006,1.61044,0.33858,-0.0143689,-0.275796,1.19339,1598537681.804939776
0.162496,1.71522,0.327479,-0.0112793,-0.271163,1.14668,1598537681.904721408
0.110783,1.68282,0.377729,-0.00279259,-0.286152,1.15102,1598537682.003880704
0.11253,1.73325,0.404476,-0.0205048,-0.301151,1.15359,1598537682.103325952
0.13163,1.77426,0.374648,-0.0166585,-0.335692,1.17763,1598537682.202600960
0.0906412,1.72697,0.40274,-0.00189117,-0.358819,1.22928,1598537682.301754880
0.106997,1.75499,0.429133,0.013515,-0.410977,1.26146,1598537682.401594880
0.0843396,1.72424,0.529691,0.0362867,-0.430396,1.29609,1598537682.501441280
0.0784245,1.65738,0.550262,0.0368974,-0.446226,1.30288,1598537682.601820160
0.0746868,1.70389,0.517299,0.0257623,-0.429613,1.34164,1598537682.702421504
0.0797267,1.72162,0.498733,0.0230498,-0.406922,1.34817,1598537682.802942464
0.0712839,1.72394,0.489066,0.00057629,-0.366554,1.40024,1598537682.903083008
0.0960838,1.70963,0.408451,-0.0197122,-0.329247,1.44721,1598537683.003108864
0.085084,1.72391,0.352077,-0.0352072,-0.284407,1.48057,1598537683.103367680
0.0662126,1.74426,0.291454,-0.0372849,-0.248168,1.51203,1598537683.203568896
0.0361437,1.75192,0.267999,-0.0373634,-0.211821,1.54818,1598537683.303637760
-0.0107608,1.64579,0.256787,-0.0365308,-0.192078,1.55159,1598537683.403665152
-0.0656269,1.66062,0.229058,-0.0350624,-0.169438,1.55737,1598537683.504374784
-0.0952068,1.57923,0.21426,-0.0571405,-0.154108,1.57816,1598537683.604352768
-0.159367,1.61082,0.13122,-0.0613757,-0.154086,1.60992,1598537683.704233216
-0.222585,1.60267,0.0963927,-0.080098,-0.129046,1.67626,1598537683.803530240
-0.285974,1.62444,0.0579785,-0.0967059,-0.100075,1.78643,1598537683.902376448
-0.349324,1.5801,0.0926485,-0.130164,-0.0840341,1.92128,1598537684.000984064
-0.441501,1.54316,0.0912066,-0.151919,-0.0829647,2.05915,1598537684.100150016
-0.539543,1.47892,0.108876,-0.158614,-0.0813909,2.2099,1598537684.199559680
-0.635466,1.43683,0.121474,-0.161662,-0.0872693,2.36855,1598537684.299474944
-0.726534,1.3356,0.170344,-0.163346,-0.0898756,2.53988,1598537684.399599872
-0.942713,1.3436,0.132251,-0.143026,-0.0794638,2.734,1598537684.500289792
-0.919889,1.18322,0.197809,-0.137269,-0.0554421,2.93413,1598537684.600199168
-0.975432,1.08441,0.239794,-0.164606,-0.0184753,3.12056,1598537684.701149952
-1.08573,1.03221,0.0771663,-0.163486,0.0217905,-2.99233,1598537684.802343680
-1.05033,0.942017,0.0812955,-0.134374,0.0376708,-2.83094,1598537684.903285248
-1.09935,0.806417,0.0696082,-0.123224,0.0176407,-2.69686,1598537685.004786176
-1.04038,0.727376,0.168502,-0.144211,-0.00862356,-2.59514,1598537685.105835776
