x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.143578,1.45167,0.310228,-0.0222732,-0.303272,1.27435,1598537681.604629760
0.174979,1.58933,0.29847,-0.00789103,-0.290638,1.21963,1598537681.705216768
0.147557,1.60495,0.342011,-0.0146942,-0.274858,1.19286,1598537681.804939776
0.165342,1.71119,0.288533,-0.0102853,-0.276968,1.14729,1598537681.904721408
0.125327,1.6746,0.341391,-0.00265945,-0.290614,1.15233,1598537682.003880704
0.133487,1.70102,0.378035,-0.0210835,-0.304066,1.15584,1598537682.103325952
0.151496,1.73703,0.353335,-0.0171704,-0.338472,1.17995,1598537682.202600960
0.110937,1.68838,0.382408,-0.00271316,-0.361541,1.23192,1598537682.301754880
0.125315,1.72115,0.407593,0.0131558,-0.414098,1.26379,1598537682.401594880
0.10189,1.6759,0.494738,0.0342829,-0.435028,1.3004,1598537682.501441280
0.0901476,1.6144,0.509921,0.0351566,-0.450867,1.30672,1598537682.601820160
0.0867808,1.66451,0.487455,0.0236689,-0.433189,1.3458,1598537682.702421504
0.0931137,1.68169,0.470751,0.0209741,-0.410618,1.35249,1598537682.802942464
0.0933154,1.67453,0.468566,-0.00151537,-0.367014,1.40485,1598537682.903083008
0.115678,1.67016,0.372682,-0.021972,-0.331302,1.45168,1598537683.003108864
0.110751,1.68809,0.319256,-0.0375128,-0.286206,1.48487,1598537683.103367680
0.097021,1.69699,0.274274,-0.0396043,-0.247439,1.51665,1598537683.203568896
0.0703859,1.70836,0.246162,-0.0401118,-0.211634,1.55289,1598537683.303637760
0.0306509,1.60886,0.23491,-0.0397257,-0.192259,1.55713,1598537683.403665152
-0.0108797,1.62183,0.218693,-0.0389311,-0.167226,1.56303,1598537683.504374784
-0.0313038,1.56789,0.213335,-0.0610792,-0.151761,1.58393,1598537683.604352768
-0.089558,1.60853,0.135749,-0.0656376,-0.150395,1.61597,1598537683.704233216
-0.134827,1.60313,0.101506,-0.0842327,-0.125239,1.68339,1598537683.803530240
-0.208523,1.62655,0.0635814,-0.100246,-0.0958943,1.79282,1598537683.902376448
-0.282684,1.59279,0.101619,-0.13291,-0.0792767,1.92685,1598537684.000984064
-0.379263,1.57216,0.0978941,-0.154256,-0.0781181,2.06412,1598537684.100150016
-0.442976,1.51918,0.113838,-0.160337,-0.0767118,2.21588,1598537684.199559680
-0.538087,1.4809,0.126448,-0.16271,-0.0823583,2.37455,1598537684.299474944
-0.611186,1.35926,0.1401,-0.166658,-0.0898777,2.54477,1598537684.399599872
-0.820119,1.39027,0.102563,-0.146685,-0.0791243,2.73967,1598537684.500289792
-0.80067,1.25376,0.171084,-0.140354,-0.0540406,2.94032,1598537684.600199168
-0.862518,1.1511,0.213873,-0.167353,-0.01664,3.12653,1598537684.701149952
-0.987138,1.09227,0.055871,-0.165382,0.0237558,-2.98667,1598537684.802343680
-0.965772,1.01054,0.061382,-0.135711,0.0398809,-2.82509,1598537684.903285248
-1.02213,0.898496,0.0523404,-0.124018,0.020086,-2.69024,1598537685.004786176
-0.970731,0.819079,0.16269,-0.145625,-0.00576405,-2.58788,1598537685.105835776
-1.06764,0.703146,0.0965832,-0.153424,0.00723079,-2.45037,1598537685.206731008
-1.09785,0.590079,0.0822937,-0.1329,0.0542286,-2.31928,1598537685.306354176
-1.09579,0.514831,0.0600807,-0.0977962,0.0747975,-2.21128,1598537685.405848320
-1.10591,0.414899,0.0202981,-0.068077,0.0796729,-2.13089,1598537685.505607168
-1.13642,0.31228,0.0332741,-0.0481633,0.0712656,-2.04881,1598537685.605288192
-1.13559,0.224017,0.056545,-0.0403347,0.0745756,-1.97075,1598537685.704893696
-1.15097,0.0799065,-0.00122687,-0.0329112,0.0730988,-1.88448,1598537685.804591360
-1.16766,-0.00417074,-0.0176114,-0.0164755,0.0900031,-1.82912,1598537685.904205056
-1.17612,-0.109141,-0.0643021,0.00734789,0.0927632,-1.76916,1598537686.004122624
-1.17476,-0.2028,-0.0806596,0.0333205,0.0749398,-1.71132,1598537686.103940864
-1.1751,-0.265142,-0.0899266,0.0643065,0.0484684,-1.65533,1598537686.203778304
-1.16223,-0.351592,-0.065813,0.0900607,0.0308939,-1.60473,1598537686.303783680
-1.15745,-0.450294,-0.0151074,0.086676,0.0254599,-1.59041,1598537686.404072192
-1.18153,-0.579075,-0.0179672,0.0795585,0.0195063,-1.5737,1598537686.504488960
-1.16894,-0.643902,0.00236256,0.0681037,0.0359247,-1.55098,1598537686.604657152
-1.18653,-0.807132,-0.0591631,0.0714773,0.0284345,-1.51987,1598537686.704696576
-1.16998,-0.846683,-0.0657208,0.0729291,0.0180945,-1.51162,1598537686.804313088
-1.22353,-1.05334,-0.158212,0.0979463,0.0215721,-1.49784,1598537686.904407552
-1.24293,-1.18523,-0.174656,0.125336,0.0326128,-1.4513,1598537687.003885824
-1.21987,-1.221,-0.146858,0.141332,0.0461455,-1.43955,1598537687.103507712
-1.25766,-1.37641,-0.186206,0.129123,0.0809179,-1.42369,1598537687.203836160
-1.26301,-1.51067,-0.216411,0.123771,0.0813361,-1.40382,1598537687.303876096
-1.24117,-1.57768,-0.241523,0.102285,0.0380035,-1.40628,1598537687.403861760
-1.25074,-1.7622,-0.257882,0.0735677,-0.00952873,-1.42784,1598537687.504686080
-1.2395,-1.86749,-0.186399,0.0775242,-0.0252668,-1.43771,1598537687.604842752
-1.24464,-1.99701,-0.235293,0.0878396,0.0129753,-1.44835,1598537687.705112576
-1.25044,-2.09078,-0.292632,0.107662,0.0421795,-1.43617,1598537687.804960768
-1.21231,-2.16435,-0.298583,0.101684,0.0391619,-1.42817,1598537687.904417024
-1.25861,-2.397,-0.374349,0.110982,0.0316822,-1.41674,1598537688.004270336
-1.22207,-2.45556,-0.302415,0.119812,0.00973282,-1.37823,1598537688.103472384
-1.20742,-2.55083,-0.283085,0.110007,-0.000907924,-1.39393,1598537688.203236608
-1.20247,-2.72036,-0.325008,0.104487,0.0111301,-1.37545,1598537688.303471872
-1.14592,-2.83118,-0.298881,0.0997614,0.00531034,-1.35596,1598537688.403352832
-1.102,-2.94771,-0.349417,0.112931,-0.000928075,-1.34962,1598537688.503506944
-1.11753,-3.13969,-0.331742,0.140393,-0.0204708,-1.35144,1598537688.603903744
-1.11078,-3.13976,-0.231746,0.141213,0.00453053,-1.36657,1598537688.704018432
-1.06218,-3.26445,-0.28709,0.147983,0.021169,-1.36253,1598537688.804470528
-1.07143,-3.42336,-0.246137,0.163419,0.0285028,-1.35219,1598537688.904568320
-1.03881,-3.51853,-0.235,0.157336,0.0335374,-1.35151,1598537689.004402944
-1.03973,-3.62347,-0.259605,0.162449,0.00436311,-1.35423,1598537689.104308736
-1.02149,-3.81112,-0.148057,0.146645,-0.00900693,-1.32771,1598537689.203980288
-0.937994,-3.89731,-0.154592,0.143203,-0.00373091,-1.28695,1598537689.303212032
-0.903635,-4.03326,-0.0944562,0.114853,0.000149828,-1.28681,1598537689.403101696
-0.86148,-4.17541,-0.145698,0.109429,0.000936628,-1.26254,1598537689.503064320
-0.820159,-4.22978,-0.179858,0.118645,0.00241837,-1.25194,1598537689.602999808
-0.7976,-4.35086,-0.186603,0.133206,-0.0137406,-1.2442,1598537689.703315200
-0.76135,-4.45453,-0.0658332,0.107875,-0.0203066,-1.26248,1598537689.803521280
-0.784022,-4.62635,-0.114935,0.0980506,0.00481181,-1.27208,1598537689.904045312
-0.700231,-4.67597,-0.100351,0.0934701,0.00752711,-1.26769,1598537690.003894272
-0.678054,-4.90562,-0.177286,0.0921517,0.00343532,-1.27615,1598537690.104278272
-0.670728,-5.01213,-0.193615,0.10691,0.00496201,-1.26028,1598537690.204011264
-0.612401,-5.09964,-0.0817619,0.0768303,-0.00107725,-1.24505,1598537690.303720448
-0.59391,-5.25127,-0.0796471,0.0928623,0.0141685,-1.20649,1598537690.403648512
-0.52161,-5.31646,-0.0891989,0.100815,0.0282964,-1.18651,1598537690.503217664
-0.473178,-5.47751,-0.137273,0.124448,0.0202931,-1.16587,1598537690.603367936
-0.455847,-5.60338,-0.0769513,0.146215,0.0290019,-1.15746,1598537690.703396608
-0.422842,-5.76177,-0.101019,0.144941,0.0286695,-1.16255,1598537690.803601664
-0.344841,-5.85455,0.000456493,0.156715,0.0385503,-1.16973,1598537690.903623424
-0.304437,-5.95164,0.0091615,0.166251,0.0849569,-1.18661,1598537691.004074496
-0.250697,-6.06806,0.0200363,0.14669,0.105822,-1.23668,1598537691.104701184
-0.21913,-6.2387,-0.0264537,0.13795,0.106882,-1.27551,1598537691.205323008
-0.213675,-6.4293,-0.0804639,0.132887,0.091418,-1.28675,1598537691.305287168
-0.241947,-6.59288,-0.0372819,0.127315,0.0656363,-1.24552,1598537691.404729856
-0.183134,-6.67785,-0.0476621,0.129993,0.0460357,-1.21398,1598537691.503613952
-0.140742,-6.81237,0.110101,0.0988399,0.0417034,-1.20831,1598537691.603115008
-0.150376,-6.93697,0.0920306,0.0909432,0.0126949,-1.15279,1598537691.703096832
-0.0544543,-6.96936,0.104357,0.101041,-0.0127647,-1.12288,1598537691.802357504
-0.0619982,-7.12511,0.0982484,0.109796,-0.0521265,-1.11116,1598537691.902546944
0.015925,-7.07852,0.105716,0.147248,-0.0710397,-1.10622,1598537692.002491392
0.0552486,-7.17121,0.209793,0.167552,-0.0648422,-1.11505,1598537692.103115520
0.053002,-7.3624,0.213056,0.180584,-0.0472523,-1.1125,1598537692.203620864
0.0544637,-7.42571,0.31507,0.163665,-0.061728,-1.11586,1598537692.303584512
0.0666608,-7.57115,0.343828,0.133388,-0.0768023,-1.12115,1598537692.403758592
0.0833567,-7.71087,0.389073,0.12171,-0.0978648,-1.09676,1598537692.503445760
0.100803,-7.78151,0.411226,0.0925912,-0.109562,-1.07474,1598537692.602852608
0.119618,-7.82182,0.437405,0.0683985,-0.102979,-1.08452,1598537692.702665472
0.0830774,-7.99337,0.475628,0.0634583,-0.105575,-1.07236,1598537692.802945280
0.115264,-8.03739,0.432859,0.0603813,-0.110832,-1.07045,1598537692.902639872
0.125341,-8.28973,0.25561,0.0872208,-0.125966,-1.05566,1598537693.002817536
0.103572,-8.23794,0.351978,0.125999,-0.125751,-1.07373,1598537693.102540288
0.110846,-8.3623,0.415547,0.131154,-0.103533,-1.12332,1598537693.203336704
0.139134,-8.48894,0.374108,0.132106,-0.0680212,-1.14926,1598537693.303886592
0.151872,-8.5843,0.401258,0.130322,-0.0561577,-1.2088,1598537693.404139776
0.172814,-8.687,0.315267,0.12687,-0.0514239,-1.27131,1598537693.504451584
0.198662,-8.83208,0.231918,0.152759,-0.0422193,-1.31306,1598537693.604558592
0.175796,-8.97459,0.283385,0.15063,-0.00773843,-1.36575,1598537693.704345088
0.195674,-9.08839,0.241668,0.16121,0.0364481,-1.41192,1598537693.804050176
0.193758,-9.17288,0.185133,0.148634,0.0530028,-1.4727,1598537693.903646976
0.258782,-9.20749,0.151446,0.143242,0.0537411,-1.52905,1598537694.003376640
0.273822,-9.28298,0.152238,0.129661,0.0481321,-1.61258,1598537694.103339520
0.262233,-9.44064,0.0876202,0.128447,0.0322394,-1.6827,1598537694.203521792
0.200645,-9.53546,0.193184,0.128309,0.0526622,-1.76876,1598537694.303508480
0.173683,-9.65786,0.112119,0.121074,0.0900545,-1.84022,1598537694.403532544
0.195887,-9.7302,0.0754755,0.134093,0.0952474,-1.90069,1598537694.503343360
