x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.143578,1.45167,0.310228,-0.0222732,-0.303272,1.27435,1598537681.604629760
0.176802,1.58986,0.298707,-0.00792756,-0.290651,1.21978,1598537681.705216768
0.148669,1.60483,0.344148,-0.0145377,-0.274551,1.19348,1598537681.804939776
0.16637,1.71107,0.290642,-0.0101434,-0.276654,1.14792,1598537681.904721408
0.120861,1.6804,0.342701,-0.00249581,-0.290497,1.15231,1598537682.003880704
0.119741,1.72356,0.366827,-0.0199993,-0.305595,1.15413,1598537682.103325952
0.135409,1.76363,0.340521,-0.0165418,-0.339486,1.17784,1598537682.202600960
0.0934596,1.71508,0.368274,-0.00209371,-0.362694,1.22973,1598537682.301754880
0.107906,1.74779,0.393499,0.0137483,-0.415269,1.26158,1598537682.401594880
0.0850867,1.70146,0.478784,0.0349173,-0.436127,1.29787,1598537682.501441280
0.078631,1.63629,0.497662,0.0352148,-0.452003,1.30454,1598537682.601820160
0.0732491,1.69325,0.468884,0.0237616,-0.435227,1.34329,1598537682.702421504
0.0789651,1.70997,0.453239,0.0207493,-0.412964,1.35003,1598537682.802942464
0.0802558,1.70366,0.451666,-0.00186146,-0.369294,1.40239,1598537682.903083008
0.102674,1.69944,0.355789,-0.0224262,-0.333564,1.44924,1598537683.003108864
0.0978315,1.71751,0.302398,-0.0380384,-0.288453,1.48243,1598537683.103367680
0.0839965,1.73165,0.248579,-0.040389,-0.250847,1.51408,1598537683.203568896
0.059072,1.74315,0.221518,-0.0410204,-0.214935,1.55036,1598537683.303637760
0.0169866,1.63924,0.210032,-0.0400842,-0.195453,1.55393,1598537683.403665152
-0.0330057,1.65444,0.192044,-0.0391891,-0.172278,1.55932,1598537683.504374784
-0.0662288,1.59051,0.178489,-0.0611242,-0.156712,1.57894,1598537683.604352768
-0.125662,1.63304,0.102428,-0.0657734,-0.155324,1.61087,1598537683.704233216
-0.170579,1.62726,0.0700984,-0.0846488,-0.129969,1.67833,1598537683.803530240
-0.244158,1.65124,0.0322943,-0.101177,-0.100551,1.7878,1598537683.902376448
-0.318487,1.61768,0.0701803,-0.134456,-0.0837673,1.92186,1598537684.000984064
-0.415171,1.59755,0.0663691,-0.156404,-0.0823555,2.05918,1598537684.100150016
-0.479152,1.54483,0.0820695,-0.163103,-0.0805769,2.21099,1598537684.199559680
-0.574457,1.50698,0.0945085,-0.166055,-0.0857391,2.36972,1598537684.299474944
-0.648175,1.38564,0.107592,-0.170532,-0.0926448,2.54001,1598537684.399599872
-0.856951,1.4179,0.0702286,-0.151019,-0.0810919,2.7349,1598537684.500289792
-0.838193,1.28097,0.138098,-0.144987,-0.0551078,2.93546,1598537684.600199168
-0.900561,1.17843,0.180407,-0.172098,-0.0168327,3.1215,1598537684.701149952
-1.0255,1.12098,0.0221428,-0.170092,0.0243678,-2.9919,1598537684.802343680
-1.00455,1.03912,0.0272633,-0.140263,0.0412422,-2.83039,1598537684.903285248
-1.06148,0.92741,0.0176968,-0.128343,0.0220466,-2.69545,1598537685.004786176
-1.01048,0.847208,0.127662,-0.149726,-0.00337164,-2.59297,1598537685.105835776
-1.10798,0.732087,0.0610175,-0.157159,0.0101626,-2.45551,1598537685.206731008
-1.13877,0.619245,0.0461952,-0.136225,0.0576231,-2.32458,1598537685.306354176
-1.1371,0.544094,0.0236252,-0.100739,0.0785299,-2.21662,1598537685.405848320
-1.14773,0.444405,-0.0166301,-0.0707105,0.083629,-2.13622,1598537685.505607168
-1.17877,0.341883,-0.00413754,-0.050461,0.0754236,-2.05409,1598537685.605288192
-1.17839,0.253508,0.0187141,-0.0423007,0.0788996,-1.97602,1598537685.704893696
-1.1945,0.109753,-0.0397392,-0.0344959,0.0775756,-1.88971,1598537685.804591360
-1.21431,0.0229292,-0.0548963,-0.0177902,0.0946064,-1.83444,1598537685.904205056
-1.22383,-0.0830584,-0.101975,0.00631683,0.0974372,-1.77449,1598537686.004122624
-1.22574,-0.177211,-0.120226,0.0324925,0.0796475,-1.71664,1598537686.103940864
-1.22641,-0.239504,-0.12979,0.063745,0.053215,-1.66061,1598537686.203778304
-1.21437,-0.326128,-0.107801,0.0896914,0.0355868,-1.60999,1598537686.303783680
-1.20983,-0.428388,-0.0555491,0.086605,0.0312151,-1.59598,1598537686.404072192
-1.23192,-0.553338,-0.0542763,0.0796533,0.0260379,-1.58011,1598537686.504488960
-1.21297,-0.621788,-0.0417162,0.0684102,0.0420331,-1.55784,1598537686.604657152
-1.23152,-0.7839,-0.104993,0.0718696,0.0344907,-1.5268,1598537686.704696576
-1.21097,-0.83438,-0.107847,0.073522,0.025774,-1.51883,1598537686.804313088
-1.26312,-1.04196,-0.201161,0.0985219,0.0294251,-1.50542,1598537686.904407552
-1.27933,-1.17204,-0.216691,0.126319,0.0405385,-1.45902,1598537687.003885824
-1.25087,-1.21959,-0.196989,0.142125,0.0519909,-1.44764,1598537687.103507712
-1.27539,-1.38087,-0.234712,0.13001,0.0835557,-1.43251,1598537687.203836160
-1.27911,-1.51607,-0.268735,0.124521,0.0836362,-1.4134,1598537687.303876096
-1.24934,-1.58476,-0.298089,0.102841,0.0405405,-1.41629,1598537687.403861760
-1.23177,-1.73624,-0.309345,0.0735356,-0.00669013,-1.44007,1598537687.504686080
-1.20611,-1.85096,-0.248285,0.0772322,-0.0219526,-1.44981,1598537687.604842752
-1.19604,-1.97551,-0.277334,0.0870857,0.0173309,-1.4612,1598537687.705112576
-1.19275,-2.09243,-0.335928,0.106922,0.0464336,-1.44996,1598537687.804960768
-1.15037,-2.17927,-0.345711,0.101146,0.0441736,-1.4424,1598537687.904417024
-1.19776,-2.4108,-0.425735,0.109864,0.0361796,-1.4323,1598537688.004270336
-1.16181,-2.47464,-0.36262,0.118459,0.0140167,-1.39394,1598537688.103472384
-1.14542,-2.57845,-0.340628,0.108921,0.00380609,-1.40969,1598537688.203236608
-1.14819,-2.75285,-0.384589,0.103167,0.0146142,-1.3923,1598537688.303471872
-1.09488,-2.86758,-0.358019,0.0984928,0.00914364,-1.37294,1598537688.403352832
-1.04629,-2.9872,-0.403021,0.11115,0.00316133,-1.36681,1598537688.503506944
-1.05834,-3.16784,-0.388641,0.138317,-0.0171731,-1.36847,1598537688.603903744
-1.04787,-3.18219,-0.289423,0.139875,0.00676178,-1.38333,1598537688.704018432
-0.998586,-3.31422,-0.353864,0.145716,0.0216882,-1.37993,1598537688.804470528
-1.00424,-3.46429,-0.315686,0.160902,0.0290722,-1.37019,1598537688.904568320
-0.95772,-3.55948,-0.308504,0.154583,0.0349834,-1.36978,1598537689.004402944
-0.963904,-3.67329,-0.341416,0.158394,0.00632964,-1.37258,1598537689.104308736
-0.953848,-3.87414,-0.238552,0.142383,-0.00675769,-1.34743,1598537689.203980288
-0.876115,-3.9664,-0.244306,0.138987,-0.00129968,-1.30671,1598537689.303212032
-0.842679,-4.108,-0.188387,0.111092,0.00210785,-1.30623,1598537689.403101696
-0.809525,-4.26016,-0.235421,0.105667,0.00313699,-1.28274,1598537689.503064320
-0.75295,-4.32537,-0.267967,0.114674,0.00521501,-1.27327,1598537689.602999808
-0.721267,-4.4516,-0.276448,0.128205,-0.01006,-1.26638,1598537689.703315200
-0.684818,-4.55607,-0.160623,0.102838,-0.0164105,-1.28446,1598537689.803521280
-0.705145,-4.72454,-0.206727,0.0926486,0.00837213,-1.29428,1598537689.904045312
-0.612042,-4.79305,-0.188078,0.0883302,0.0112006,-1.29068,1598537690.003894272
-0.610514,-5.01685,-0.261386,0.0876732,0.00698688,-1.29793,1598537690.104278272
-0.606666,-5.13071,-0.264654,0.102152,0.00642987,-1.28246,1598537690.204011264
-0.550483,-5.23559,-0.141313,0.0731035,0.00114795,-1.26821,1598537690.303720448
-0.539437,-5.40069,-0.13692,0.0893776,0.0165244,-1.23047,1598537690.403648512
-0.47174,-5.47192,-0.136996,0.0977558,0.0306695,-1.21081,1598537690.503217664
-0.441407,-5.63371,-0.192323,0.120962,0.0241695,-1.19049,1598537690.603367936
-0.415251,-5.75664,-0.117441,0.143143,0.0334943,-1.18228,1598537690.703396608
-0.393236,-5.92115,-0.160088,0.14149,0.033738,-1.18726,1598537690.803601664
-0.305951,-6.01685,-0.0540823,0.153279,0.0434309,-1.19442,1598537690.903623424
-0.261522,-6.11346,-0.0595176,0.160338,0.0873708,-1.21138,1598537691.004074496
-0.2136,-6.23122,-0.0484928,0.14065,0.107961,-1.2615,1598537691.104701184
-0.179115,-6.39705,-0.0943141,0.131869,0.108709,-1.29995,1598537691.205323008
-0.177218,-6.57619,-0.154732,0.12676,0.0939099,-1.30965,1598537691.305287168
-0.207728,-6.74127,-0.110617,0.121363,0.0684004,-1.26834,1598537691.404729856
-0.148782,-6.83205,-0.120183,0.124209,0.0490786,-1.23691,1598537691.503613952
-0.106675,-6.96565,0.0556345,0.0946502,0.0472007,-1.23084,1598537691.603115008
-0.11892,-7.09221,0.0386716,0.0871516,0.0184459,-1.17528,1598537691.703096832
-0.0236813,-7.1268,0.0503208,0.0974235,-0.00690281,-1.14528,1598537691.802357504
-0.0539573,-7.25593,0.0333049,0.106408,-0.0451874,-1.13322,1598537691.902546944
0.0274702,-7.26473,0.025693,0.143098,-0.0649708,-1.12848,1598537692.002491392
0.0757948,-7.36819,0.121263,0.16342,-0.0577875,-1.13828,1598537692.103115520
0.0918115,-7.52938,0.123078,0.175744,-0.0417769,-1.13695,1598537692.203620864
0.102486,-7.61956,0.231665,0.164071,-0.0534118,-1.13865,1598537692.303584512
0.114019,-7.75248,0.246357,0.134993,-0.0686273,-1.14473,1598537692.403758592
0.122308,-7.89149,0.286445,0.123687,-0.0888026,-1.12045,1598537692.503445760
0.134194,-7.96665,0.31024,0.0953891,-0.098293,-1.09869,1598537692.602852608
0.153583,-8.02942,0.342275,0.0709429,-0.0930631,-1.10845,1598537692.702665472
0.125813,-8.20079,0.374919,0.0652182,-0.097681,-1.09774,1598537692.802945280
0.162789,-8.24981,0.326586,0.0618194,-0.103806,-1.09591,1598537692.902639872
0.162704,-8.48487,0.156201,0.0873435,-0.119499,-1.08306,1598537693.002817536
0.128284,-8.49794,0.228587,0.125581,-0.120374,-1.09838,1598537693.102540288
0.132661,-8.62274,0.29157,0.13047,-0.0981831,-1.14795,1598537693.203336704
0.167929,-8.7508,0.27329,0.129512,-0.0632607,-1.17393,1598537693.303886592
0.178408,-8.84654,0.300072,0.127451,-0.0515597,-1.23349,1598537693.404139776
0.196428,-8.94943,0.213654,0.123717,-0.047014,-1.296,1598537693.504451584
0.217779,-9.09483,0.134456,0.149157,-0.0378032,-1.33774,1598537693.604558592
0.192581,-9.23652,0.185266,0.146801,-0.0035408,-1.39058,1598537693.704345088
0.209436,-9.35063,0.14308,0.157188,0.0404642,-1.43693,1598537693.804050176
0.206337,-9.43602,0.085803,0.144368,0.0566973,-1.49777,1598537693.903646976
0.27248,-9.47206,0.0520557,0.138868,0.0573143,-1.55402,1598537694.003376640
0.285651,-9.54791,0.0525243,0.125005,0.0513284,-1.63755,1598537694.103339520
0.26957,-9.70456,-0.0103334,0.123533,0.0353422,-1.70758,1598537694.203521792
0.206126,-9.79822,0.0951638,0.123142,0.0553311,-1.79375,1598537694.303508480
0.175787,-9.91962,0.0137774,0.115715,0.0923477,-1.86542,1598537694.403532544
0.194666,-9.99278,-0.0231968,0.128581,0.0971795,-1.92593,1598537694.503343360
