x,y,z,roll,pitch,yaw,time
-0.00474921,0.0191577,0.0494092,-0.0430553,-0.0120383,-0.0314484,1598537681.504127744
-0.0180017,-0.00150101,-0.0730508,-0.0508538,0.00500471,-0.0666528,1598537681.604629760
0.134374,-0.0195903,-0.0599458,-0.00167872,0.0127621,-0.0503073,1598537681.705216768
0.0241971,0.0343117,0.0367453,-0.0145675,0.0155082,-0.0259143,1598537681.804939776
0.0912093,0.030605,-0.0631267,-0.00861612,0.0015162,-0.0445561,1598537681.904721408
-0.0357019,0.0376396,0.0618253,0.00952926,-0.0144577,0.00360612,1598537682.003880704
0.0603229,0.0324167,-0.00917616,-0.0161003,-0.0191717,0.0017743,1598537682.103325952
0.0473048,0.0114012,-0.0284782,0.00990363,-0.031457,0.0213092,1598537682.202600960
-0.0567812,0.0199003,0.0421351,0.03144,-0.0251125,0.0476343,1598537682.301754880
0.0359397,-0.0309216,0.0103351,0.0266376,-0.0525435,0.0311113,1598537682.401594880
0.00868856,-0.0103111,0.108777,0.0368609,-0.019068,0.0328492,1598537682.501441280
-0.0473159,-0.00743609,0.0481857,0.00355737,-0.0148836,0.00713941,1598537682.601820160
0.0272994,0.0108293,-0.0524188,0.00555346,0.0171455,0.0341104,1598537682.702421504
0.0129127,0.00575053,-0.021237,-0.000397394,0.0239604,0.00468689,1598537682.802942464
0.00673747,-0.0101988,-0.0176352,-0.00201419,0.0397436,0.0472412,1598537682.903083008
-0.0424749,-0.0391075,-0.0767384,-0.00339699,0.0355407,0.0450781,1598537683.003108864
-0.00238548,0.0218021,-0.0529272,-0.00483004,0.0442243,0.0325972,1598537683.103367680
0.001737,0.0391617,-0.0752186,0.00634749,0.0334414,0.0309062,1598537683.203568896
0.0140593,0.0147412,-0.03606,0.00926351,0.0333647,0.0378826,1598537683.303637760
-0.108905,0.043973,0.00919706,0.00167119,0.0192168,0.0048992,1598537683.403665152
0.00682534,0.0807697,-0.0484874,0.00356522,0.0191813,0.00580805,1598537683.504374784
-0.0834135,0.028487,0.00772962,-0.0179573,0.0146294,0.0208183,1598537683.604352768
0.00617478,0.0619518,-0.0793975,0.00131676,-0.00160739,0.0313897,1598537683.704233216
-0.00276082,0.07707,-0.0350778,-0.00895748,0.020386,0.0664603,1598537683.803530240
0.0267123,0.0712133,-0.0371638,-0.00305633,0.0194221,0.111081,1598537683.902376448
-0.0202157,0.0559635,0.0475459,-0.0209561,0.00224182,0.135492,1598537684.000984064
