x,y,z,roll,pitch,yaw,time
-0.00160999,0.0148671,0.0520149,-0.0435366,-0.0117931,-0.0312177,1598537681.504127744
-0.0121768,-0.00111186,-0.0728407,-0.051173,0.00483919,-0.0667427,1598537681.604629760
0.134227,-0.00223507,-0.0600681,-0.0016876,0.0124881,-0.0506881,1598537681.705216768
0.0193422,0.0378316,0.0384371,-0.014564,0.0155524,-0.02626,1598537681.804939776
0.088726,0.0284719,-0.07498,-0.00823267,-0.000861878,-0.0441843,1598537681.904721408
-0.0359559,0.048258,0.0639883,0.00946975,-0.014523,0.00303316,1598537682.003880704
0.0505272,0.0137237,-0.0125139,-0.0162459,-0.0194859,0.00276293,1598537682.103325952
0.0398281,0.0106558,-0.0315276,0.0099712,-0.0322292,0.0208791,1598537682.202600960
-0.0434069,0.0185767,0.0464562,0.0317134,-0.0245377,0.0478773,1598537682.301754880
0.0455437,-0.00344505,0.00844488,0.0266603,-0.0525645,0.0293195,1598537682.401594880
0.0144556,0.0064506,0.1091,0.03664,-0.0188633,0.0318049,1598537682.501441280
-0.0460274,-0.0156713,0.049149,0.00353475,-0.0151679,0.00714345,1598537682.601820160
0.027185,0.0069682,-0.0530747,0.00573031,0.0170924,0.0344484,1598537682.702421504
0.0160931,-0.00446397,-0.0209257,-0.000479811,0.0237996,0.0054319,1598537682.802942464
0.00467777,-0.000957631,-0.0148569,-0.00152205,0.0404796,0.0469369,1598537682.903083008
-0.0526528,-0.0370202,-0.0827115,-0.00332988,0.0347851,0.0451726,1598537683.003108864
-0.0107424,0.0178008,-0.059629,-0.00463445,0.0436128,0.0326816,1598537683.103367680
0.00167186,0.0248021,-0.0689996,0.00651816,0.0342475,0.0315913,1598537683.203568896
0.00731481,0.0225887,-0.0281314,0.00864029,0.0341982,0.0375776,1598537683.303637760
-0.105126,0.0514997,0.00995784,0.00162898,0.0194107,0.00414982,1598537683.403665152
-0.000311425,0.05298,-0.0450435,0.00347584,0.019888,0.00684272,1598537683.504374784
-0.0835995,0.032134,0.00566296,-0.0178432,0.0147944,0.0205357,1598537683.604352768
0.0139209,0.082339,-0.0836493,0.00091293,-0.0016742,0.0305886,1598537683.704233216
-0.00730387,0.0581844,-0.0386969,-0.00856673,0.0196118,0.0672646,1598537683.803530240
0.0245318,0.0728754,-0.0357416,-0.00281109,0.0196351,0.11096,1598537683.902376448
-0.0120408,0.0770925,0.0449051,-0.0208306,0.00223977,0.134286,1598537684.000984064
0.00990591,0.0961325,0.00832641,-0.0116688,-0.017364,0.135899,1598537684.100150016
-0.0159102,0.0784826,0.0294817,0.0039904,-0.022541,0.149583,1598537684.199559680
0.0268299,0.0890501,0.0256846,0.00786013,-0.0317499,0.155347,1598537684.299474944
-0.0298889,0.134015,0.0332876,0.00749272,-0.0363341,0.165939,1598537684.399599872
0.186353,0.100603,-0.0391966,0.0341007,-0.0232699,0.193344,1598537684.500289792
-0.0671405,0.103623,0.0860927,0.0188544,-0.00625114,0.201274,1598537684.600199168
0.0426442,0.106469,0.0554454,-0.0194738,0.010075,0.189468,1598537684.701149952
0.117329,0.0873593,-0.151159,0.00226727,0.0113234,0.174065,1598537684.802343680
-0.0091352,0.083181,0.0201655,0.0238144,-0.0103257,0.162071,1598537684.903285248
0.090381,0.0886245,0.00832143,0.0051785,-0.0373801,0.131047,1598537685.004786176
-0.0118067,0.0769049,0.123993,-0.0240648,-0.0379661,0.0988738,1598537685.105835776
0.1417,0.0585247,-0.0599682,-0.0085155,-0.00715357,0.137858,1598537685.206731008
0.096653,0.0707475,-0.00327213,0.0183799,0.0263806,0.136587,1598537685.306354176
0.0571515,0.0546325,-0.0122295,0.0289039,0.00637278,0.109463,1598537685.405848320
0.0949893,0.0591625,-0.0295094,0.0231245,-0.00285761,0.0800499,1598537685.505607168
0.102742,0.0309578,0.0236035,0.013068,-0.0136292,0.0809599,1598537685.605288192
0.0749714,0.0439022,0.030674,0.00229735,-0.000158388,0.0779202,1598537685.704893696
0.147901,0.0442298,-0.0444711,0.00113578,-0.00451742,0.0857794,1598537685.804591360
0.0975152,0.0174998,-0.00271107,0.0125365,0.0154297,0.0551202,1598537685.904205056
0.112361,0.0314213,-0.0370523,0.0187792,0.0020612,0.0593153,1598537686.004122624
0.0956492,0.0215514,-0.00970862,0.0207584,-0.0173489,0.0577495,1598537686.103940864
0.0719481,0.0205035,-0.00108446,0.0268918,-0.0240501,0.0563757,1598537686.203778304
0.091252,0.0317413,0.0193533,0.0229431,-0.0139009,0.0511225,1598537686.303783680
0.104318,0.0118412,0.0547884,-0.00363847,-0.00452045,0.0143327,1598537686.404072192
0.133068,-0.0193361,0.00574899,-0.00790367,-0.00381099,0.015297,1598537686.504488960
0.0701253,0.0249267,0.00879485,-0.0113331,0.0176562,0.0199204,1598537686.604657152
0.165875,-0.0283593,-0.0548389,0.00185982,-0.00584063,0.0309695,1598537686.704696576
0.0515795,0.0188483,-0.00592123,0.0010265,-0.00870422,0.00927421,1598537686.804313088
0.204947,-0.0736637,-0.0849882,0.0244785,0.00411659,0.0117096,1598537686.904407552
0.125899,-0.0252103,-0.0104842,0.0264899,0.0156867,0.044185,1598537687.003885824
0.061063,0.0267674,0.0137743,0.0151853,0.0106955,0.0119636,1598537687.103507712
0.162281,-0.0492668,-0.0260821,-0.0129035,0.0333408,0.00972144,1598537687.203836160
0.143049,-0.0202902,-0.0160185,-0.00688681,0.00354565,0.0179686,1598537687.303876096
0.084013,0.00402279,-0.0122754,-0.0240068,-0.0431059,0.00295738,1598537687.403861760
0.171379,-0.00777906,0.00360014,-0.0277851,-0.0458396,-0.0156631,1598537687.504686080
0.128679,0.0130486,0.0608486,0.00359757,-0.0159388,-0.00972257,1598537687.604842752
0.13351,-0.0135585,-0.0352704,0.0105263,0.0371364,-0.0135127,1598537687.705112576
0.135347,-0.0237436,-0.0580623,0.0192294,0.0279482,0.00805171,1598537687.804960768
0.0893572,0.0274976,-0.00453251,-0.00545745,0.000926126,0.00894198,1598537687.904417024
0.244314,-0.070735,-0.0702833,0.00753971,-0.00771619,0.00965799,1598537688.004270336
0.0855065,0.046983,0.0523871,0.0072283,-0.0182537,0.0391699,1598537688.103472384
0.115002,0.000798836,0.034541,-0.00845403,-0.0124396,-0.0145851,1598537688.203236608
0.197585,-0.0282395,-0.0442056,-0.00611281,0.015113,0.0133325,1598537688.303471872
0.127188,0.0470019,0.0229093,-0.0048312,-0.00372593,0.0198913,1598537688.403352832
0.132488,0.02214,-0.0564066,0.0125146,-0.00560747,0.00687959,1598537688.503506944
0.186645,-0.0398925,0.0284474,0.0268542,-0.0205791,-0.000698821,1598537688.603903744
0.0331112,0.0159109,0.094284,0.00218812,0.0190508,-0.0182923,1598537688.704018432
0.155951,0.0374794,-0.0781208,0.00450401,0.0165718,0.000499688,1598537688.804470528
0.156543,-0.0207146,0.05106,0.0159643,0.00926127,0.00813969,1598537688.904568320
0.113555,0.0527528,0.00510877,-0.00689125,0.00559639,-0.000870237,1598537689.004402944
0.123598,-0.0316517,-0.0188053,0.00442372,-0.029655,0.00165101,1598537689.104308736
0.202744,-0.00246803,0.114072,-0.0154195,-0.00994655,0.023985,1598537689.203980288
0.118007,0.0570043,-0.0115597,-0.00299751,0.0111561,0.0388099,1598537689.303212032
0.15305,0.0170652,0.0657205,-0.0292913,0.00363793,-0.000854472,1598537689.403101696
0.165407,0.00420949,-0.0366484,-0.00490766,0.000849844,0.0224782,1598537689.503064320
0.082872,0.0311543,-0.0396203,0.00881276,0.00315758,0.00977641,1598537689.602999808
0.16923,0.00298445,0.00974228,0.0146399,-0.014907,0.00613764,1598537689.703315200
0.138938,0.0332349,0.133743,-0.0237388,-0.00946371,-0.0182827,1598537689.803521280
0.15772,-0.0806002,-0.0364228,-0.00994543,0.023652,-0.011565,1598537689.904045312
0.0688802,0.112132,0.00302954,-0.00541298,0.0030459,0.0054136,1598537690.003894272
0.23634,-0.0858988,-0.0637552,0.000631158,-0.00306442,-0.00706723,1598537690.104278272
0.116972,-0.00992176,0.0115177,0.0164616,0.000748614,0.0152243,1598537690.204011264
0.127316,0.0524153,0.112298,-0.0280506,-0.00362247,0.0147007,1598537690.303720448
0.193402,-0.0466842,-0.0296549,0.0136066,0.0168334,0.0340604,1598537690.403648512
0.109323,0.0395779,-0.0134711,0.0075079,0.016065,0.018338,1598537690.503217664
0.175348,-0.0185981,-0.0467696,0.0219668,-0.00604666,0.0204814,1598537690.603367936
0.123396,-0.0104565,0.0711187,0.0216957,0.0103692,0.00693338,1598537690.703396608
0.198634,-0.0452604,-0.0420593,-0.00201666,-0.00155476,-0.00670353,1598537690.803601664
0.129076,0.0608766,0.10686,0.0129817,0.00957668,-0.00974379,1598537690.903623424
0.127676,0.00832722,0.0030389,0.00753792,0.0387474,-0.0244016,1598537691.004074496
0.131103,0.00342958,0.0195853,-0.015271,0.0117423,-0.0523788,1598537691.104701184
0.162447,-0.0245063,-0.0196184,-0.00446607,-0.00497502,-0.0365242,1598537691.205323008
0.225341,-0.051308,-0.0397064,-0.00416324,-0.0172634,-0.0100727,1598537691.305287168
0.160903,-0.0811226,0.0769407,-0.00790904,-0.0195893,0.0426702,1598537691.404729856
0.123025,0.0449171,-0.0118988,0.00072141,-0.0155942,0.0327924,1598537691.503613952
0.126566,0.0253193,0.166474,-0.0288956,-0.00249509,0.00616968,1598537691.603115008
0.118271,-0.0644938,-0.00432297,-0.00988558,-0.0227895,0.0575038,1598537691.703096832
0.0935462,0.0701967,0.000942286,0.00912972,-0.0230782,0.0315463,1598537691.802357504
0.142578,-0.0681749,0.0103144,0.0100273,-0.0355012,0.0135845,1598537691.902546944
0.0649394,0.0720206,-0.0176077,0.0367004,-0.0181833,0.00894897,1598537692.002491392
0.119352,0.00122385,0.111025,0.0214302,0.00547008,-0.0105185,1598537692.103115520
0.163909,-0.042369,0.00666271,0.0127196,0.0177953,-0.00292656,1598537692.203620864
0.0994756,-0.00804206,0.143145,-0.0126302,-0.009692,-0.000703672,1598537692.303584512
0.140424,-0.039577,0.0187786,-0.0303885,-0.0171451,-0.00396805,1598537692.403758592
0.133639,-0.0441897,0.0383702,-0.00927551,-0.0164945,0.0269773,1598537692.503445760
0.0948024,-0.0103762,0.0181012,-0.0263821,-0.00681816,0.0232663,1598537692.602852608
0.0734052,-0.0144978,0.0258625,-0.0261346,0.00468295,-0.0104939,1598537692.702665472
0.155346,-0.0996331,0.0176837,-0.00605083,-0.00524279,0.0100817,1598537692.802945280
0.0591783,0.0215046,-0.0537389,-0.00308782,-0.00585872,0.00139412,1598537692.902639872
0.182154,-0.107088,-0.185617,0.0263965,-0.0152295,0.0130828,1598537693.002817536
0.0161976,-0.0348315,0.0463422,0.0360526,-0.00586323,-0.0155349,1598537693.102540288
0.127299,-0.0553289,0.0539459,-0.000564299,0.0161538,-0.0506365,1598537693.203336704
