x,y,z,roll,pitch,yaw,time
-0.010431,-3.98062e-05,-0.0734627,-0.0512238,0.00488225,-0.0668253,1598537681.604629760
0.130312,0.0102305,-0.0538556,-0.00195301,0.013297,-0.0519243,1598537681.705216768
0.0167563,0.0311169,0.0440017,-0.0141982,0.0163661,-0.0252166,1598537681.804939776
0.0870575,0.0229017,-0.0812016,-0.00801517,-0.00175405,-0.043675,1598537681.904721408
-0.0314621,0.02858,0.0628905,0.00882656,-0.0139369,0.00384278,1598537682.003880704
0.0440764,0.0165369,0.0156438,-0.0171062,-0.0150032,0.00171554,1598537682.103325952
0.0322475,0.00221793,-0.037094,0.010431,-0.0344946,0.0214639,1598537682.202600960
-0.0459708,0.0187259,0.0478458,0.0316263,-0.0245798,0.0483562,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.0119929,0.00892238,0.0991988,0.036032,-0.0204698,0.0332524,1598537682.501441280
-0.0486218,-0.0101602,0.0464057,0.00340803,-0.0151203,0.00689966,1598537682.601820160
0.0348941,0.0186636,-0.0495863,0.00548806,0.0177399,0.0345579,1598537682.702421504
0.0112377,-0.00231077,-0.0225576,-0.000151866,0.0224037,0.00564507,1598537682.802942464
-0.00601581,-0.00262253,0.000973492,-0.00158209,0.0441607,0.0479652,1598537682.903083008
-0.0349804,-0.0226417,-0.089312,-0.00364973,0.0352731,0.0443584,1598537683.003108864
-0.00147522,0.00964476,-0.0557345,-0.00469464,0.0443718,0.0327468,1598537683.103367680
-0.00297939,0.0171191,-0.0546435,0.00666339,0.0362739,0.032078,1598537683.203568896
0.00289881,0.0232162,-0.028492,0.00868177,0.0342521,0.0374264,1598537683.303637760
-0.103198,0.0391255,0.0115262,0.00167786,0.0192782,0.0043843,1598537683.403665152
0.0114834,0.0515807,-0.0210278,0.00195156,0.0229577,0.00621397,1598537683.504374784
-0.064062,0.0323667,-0.00103164,-0.0184792,0.0147495,0.0199077,1598537683.604352768
0.029675,0.0638398,-0.0793312,0.00018985,-0.000629732,0.0314758,1598537683.704233216
-0.00635522,0.0457803,-0.0293801,-0.00853397,0.0205848,0.068298,1598537683.803530240
0.0245318,0.0728754,-0.0357416,-0.00281109,0.0196351,0.11096,1598537683.902376448
-0.0120408,0.0770925,0.0449051,-0.0208306,0.00223977,0.134286,1598537684.000984064
0.00990591,0.0961325,0.00832641,-0.0116688,-0.017364,0.135899,1598537684.100150016
