x,y,z,roll,pitch,yaw,time
-0.0135437,-0.00361666,-0.0689991,-0.0508745,0.00525415,-0.0666687,1598537681.604629760
0.137493,-0.000903103,-0.0596411,-0.00189732,0.0125335,-0.05113,1598537681.705216768
0.0196799,0.0410214,0.0406671,-0.0144216,0.0157819,-0.0263213,1598537681.804939776
0.0933575,0.0321917,-0.0374989,-0.00964195,0.00499331,-0.0449409,1598537681.904721408
-0.0354874,0.0330991,0.0623982,0.009652,-0.0150374,0.00399988,1598537682.003880704
0.05241,0.018922,0.0125134,-0.0169866,-0.0150069,0.00241196,1598537682.103325952
0.0343501,1.58269e-05,-0.0419106,0.0109868,-0.0350805,0.0219931,1598537682.202600960
-0.0468167,0.0189731,0.0464088,0.0317672,-0.0243409,0.0479779,1598537682.301754880
0.0391146,-0.00605331,0.0135065,0.0267198,-0.05238,0.0294344,1598537682.401594880
0.00700305,0.0136619,0.106466,0.0366113,-0.0192103,0.0317398,1598537682.501441280
-0.0513631,-0.0107599,0.0466374,0.00344369,-0.0156059,0.00670369,1598537682.601820160
0.0253376,0.0141096,-0.0492171,0.0056064,0.0176073,0.0346112,1598537682.702421504
0.00901146,-0.00151125,-0.0245191,1.17783e-06,0.0228293,0.00541054,1598537682.802942464
-0.00345837,0.0085366,-0.00923614,-0.00184677,0.0409776,0.0477198,1598537682.903083008
-0.0381281,-0.0269102,-0.0716984,-0.00344744,0.0369576,0.0444563,1598537683.003108864
-0.00610691,0.013806,-0.0572264,-0.00469106,0.0440276,0.0329248,1598537683.103367680
0.000812103,0.0228471,-0.0626323,0.0067596,0.0350075,0.031769,1598537683.203568896
-5.97558e-05,0.031347,-0.0230281,0.00880373,0.0348469,0.0366867,1598537683.303637760
-0.107128,0.0440294,0.0132234,0.0015553,0.0196032,0.00407711,1598537683.403665152
0.00822763,0.0561943,-0.0278149,0.00258212,0.0224138,0.00652904,1598537683.504374784
-0.0831012,0.0284953,0.000202559,-0.0185763,0.014564,0.0210666,1598537683.604352768
0.0189331,0.0687886,-0.0831844,0.000611144,-0.00184669,0.0313299,1598537683.704233216
-0.0109472,0.0654268,-0.0295869,-0.00866437,0.020625,0.0671992,1598537683.803530240
0.0231428,0.0638896,-0.0367453,-0.00292087,0.0193494,0.111547,1598537683.902376448
-0.0261432,0.0674186,0.0441854,-0.0208987,0.00213061,0.135214,1598537684.000984064
-0.00316331,0.0985725,0.0117129,-0.0114329,-0.0175053,0.136285,1598537684.100150016
-0.00922693,0.112575,0.0359483,0.00406245,-0.0220235,0.148633,1598537684.199559680
0.024376,0.0991348,0.0266447,0.0078836,-0.0316744,0.155024,1598537684.299474944
-0.00121891,0.126361,0.0704206,0.0108861,-0.0311626,0.167831,1598537684.399599872
0.178581,0.123073,-0.0347898,0.0346021,-0.022658,0.192388,1598537684.500289792
-0.0790565,0.126507,0.0910226,0.0186785,-0.00608533,0.201023,1598537684.600199168
0.0362745,0.101636,0.0544559,-0.0194471,0.010301,0.189647,1598537684.701149952
0.106156,0.0807515,-0.153459,0.00185954,0.011684,0.17459,1598537684.802343680
-0.0216798,0.0925984,0.018982,0.023478,-0.0101887,0.161782,1598537684.903285248
0.0885037,0.114216,0.00700453,0.00499436,-0.0374278,0.130272,1598537685.004786176
-0.0209722,0.0838782,0.109681,-0.0233281,-0.0384618,0.0977823,1598537685.105835776
0.141597,0.0897346,-0.0603746,-0.0082563,-0.00718237,0.137134,1598537685.206731008
0.0935427,0.0730702,-0.011789,0.0185838,0.0260449,0.136612,1598537685.306354176
0.0552199,0.0528341,-0.014497,0.028721,0.00617818,0.109493,1598537685.405848320
0.100619,0.0616836,-0.0301797,0.023351,-0.00273071,0.0799366,1598537685.505607168
0.105964,0.0307277,0.0218345,0.0131389,-0.0138044,0.0811513,1598537685.605288192
0.0742468,0.0514892,0.0304653,0.00207809,-0.000176713,0.0775524,1598537685.704893696
0.154151,0.0515663,-0.049252,0.00107577,-0.00505004,0.085517,1598537685.804591360
0.0917228,0.0267579,-0.00446079,0.0129819,0.0153757,0.0550483,1598537685.904205056
0.113069,0.0268849,-0.0399081,0.0184409,0.000981197,0.0591802,1598537686.004122624
0.0993473,0.020605,-0.00922464,0.0206148,-0.0173943,0.0574316,1598537686.103940864
0.0669267,0.0239118,-0.00754467,0.0271111,-0.0245331,0.0562464,1598537686.203778304
0.0919085,0.0254791,0.0235208,0.0225614,-0.013834,0.0509549,1598537686.303783680
0.102451,0.0155344,0.0508809,-0.00391081,-0.00507796,0.01451,1598537686.404072192
0.123984,-0.0145225,0.00822205,-0.00787605,-0.00405399,0.0157839,1598537686.504488960
0.069582,0.0228326,0.00919997,-0.0116643,0.0172235,0.0206996,1598537686.604657152
0.163949,-0.0277518,-0.0550038,0.00183948,-0.00579159,0.0310611,1598537686.704696576
0.0518386,0.0175753,-0.00366103,0.00111602,-0.0086708,0.00905925,1598537686.804313088
0.206781,-0.0682968,-0.0799399,0.0255485,0.00591953,0.0133898,1598537686.904407552
0.13344,-0.0193738,-0.00639074,0.0264513,0.0158116,0.0442637,1598537687.003885824
0.0471023,0.0286589,0.0170813,0.0154581,0.0113614,0.0115281,1598537687.103507712
0.156927,-0.0449648,-0.0230852,-0.0132486,0.0338433,0.0102956,1598537687.203836160
0.136006,-0.0205202,-0.0184132,-0.00695756,0.00291969,0.0185156,1598537687.303876096
0.0799846,0.00509277,-0.00170568,-0.0240745,-0.0413972,0.00329804,1598537687.403861760
0.173811,-0.0171607,0.00150593,-0.0276989,-0.0462206,-0.0127686,1598537687.504686080
0.120445,0.0151692,0.0584344,0.00352562,-0.0165513,-0.00890565,1598537687.604842752
0.13976,-0.0157268,-0.0302315,0.0103305,0.0389262,-0.0123082,1598537687.705112576
