x,y,z,roll,pitch,yaw,time
-0.0101571,-0.000608216,-0.0699755,-0.0512077,0.00527059,-0.0668411,1598537681.604629760
0.130894,0.0113674,-0.0530409,-0.00197974,0.0133702,-0.052135,1598537681.705216768
0.0174859,0.0308013,0.0404616,-0.014478,0.0158837,-0.0256496,1598537681.804939776
0.0868429,0.0238496,-0.079711,-0.00796833,-0.00173701,-0.0438585,1598537681.904721408
-0.0334563,0.0207756,0.0646801,0.00900409,-0.0136978,0.00468533,1598537682.003880704
0.0368077,0.00320963,0.0272477,-0.0174188,-0.0134628,0.00331074,1598537682.103325952
0.0309718,-0.00121342,-0.0356401,0.0111454,-0.0349604,0.0220312,1598537682.202600960
-0.0473461,0.0181501,0.0478075,0.0316946,-0.0243191,0.0482062,1598537682.301754880
0.0422896,-0.00269563,0.010926,0.0271593,-0.0528005,0.0290749,1598537682.401594880
-0.0109122,0.00996769,0.0998635,0.0358629,-0.0207366,0.0334824,1598537682.501441280
-0.0501846,-0.00373374,0.0402166,0.00353235,-0.0156423,0.00622583,1598537682.601820160
0.032958,0.0148813,-0.0414649,0.00555635,0.0186118,0.0348418,1598537682.702421504
0.00947211,-0.00287857,-0.0227228,0.000107592,0.0227009,0.00559765,1598537682.802942464
-0.00724726,-0.00173252,0.000808749,-0.00157124,0.0441091,0.0480045,1598537682.903083008
-0.0349804,-0.0226417,-0.089312,-0.00364973,0.0352731,0.0443584,1598537683.003108864
-0.00109023,0.00825454,-0.0559556,-0.00472297,0.0442125,0.0328583,1598537683.103367680
-0.00532918,0.0161326,-0.0447482,0.00689315,0.0374455,0.0322582,1598537683.203568896
0.00272544,0.0283654,-0.0285822,0.00837024,0.0342163,0.0368354,1598537683.303637760
-0.100321,0.0375135,0.0115583,0.00128374,0.0191907,0.00493526,1598537683.403665152
0.00907423,0.0423973,-0.0166163,0.00193522,0.0247785,0.0068162,1598537683.504374784
-0.0542376,0.0198448,0.00449689,-0.018674,0.0146138,0.0212433,1598537683.604352768
0.029195,0.0626714,-0.0792754,0.000254514,-0.000647202,0.0317022,1598537683.704233216
-0.00843879,0.047556,-0.030301,-0.008632,0.0203798,0.0683889,1598537683.803530240
0.0265686,0.0738448,-0.035482,-0.00285026,0.0193505,0.110981,1598537683.902376448
-0.0128808,0.075426,0.0472379,-0.0207643,0.00235095,0.134518,1598537684.000984064
0.0139845,0.0974947,0.008144,-0.0117383,-0.0176669,0.13571,1598537684.100150016
-0.0151946,0.0775996,0.029455,0.00398028,-0.0226564,0.149623,1598537684.199559680
0.0274878,0.096063,0.0262064,0.00779947,-0.0316665,0.155093,1598537684.299474944
-0.0305642,0.133858,0.038413,0.0077397,-0.0359274,0.165947,1598537684.399599872
0.186105,0.099537,-0.0384817,0.0342379,-0.0230941,0.193134,1598537684.500289792
-0.0656586,0.105941,0.0903969,0.0191359,-0.00584379,0.201687,1598537684.600199168
0.0423289,0.106171,0.0559649,-0.0194303,0.0102045,0.189532,1598537684.701149952
0.121073,0.0865127,-0.147692,0.00236198,0.0114145,0.174331,1598537684.802343680
-0.0086273,0.0820274,0.0190719,0.0236875,-0.0102558,0.161983,1598537684.903285248
0.0887246,0.0888622,0.00657445,0.00518707,-0.0374468,0.131011,1598537685.004786176
-0.0138286,0.0795457,0.120862,-0.0242225,-0.0381937,0.0984452,1598537685.105835776
0.143007,0.0568599,-0.0593093,-0.00839009,-0.00708765,0.13794,1598537685.206731008
0.0954529,0.0691385,-0.00306979,0.0183064,0.0265459,0.136653,1598537685.306354176
0.0548599,0.0548047,-0.0121124,0.0284886,0.0064557,0.109524,1598537685.405848320
0.0889056,0.0546023,-0.0280344,0.0234034,-0.00272479,0.0802562,1598537685.505607168
0.101791,0.0271607,0.0230455,0.013166,-0.0136846,0.0811335,1598537685.605288192
0.0761323,0.039907,0.0307219,0.00213021,-0.000221648,0.0779192,1598537685.704893696
0.142643,0.0438235,-0.0455454,0.000854578,-0.00466486,0.0859261,1598537685.804591360
0.0860956,0.0103894,-0.00978711,0.0123481,0.0151932,0.0556682,1598537685.904205056
0.107424,0.0192534,-0.0368736,0.018408,0.00193759,0.0597411,1598537686.004122624
0.092677,0.0197288,-0.00795157,0.020628,-0.0172448,0.0578162,1598537686.103940864
0.0622953,0.00823491,-0.00489297,0.0268369,-0.0244768,0.0567898,1598537686.203778304
0.0837866,0.0219006,0.0268542,0.0233791,-0.014227,0.0516053,1598537686.303783680
0.0968695,0.0129237,0.0527749,-0.00381848,-0.00412178,0.0147413,1598537686.404072192
0.129259,-0.0214371,0.00229528,-0.00753179,-0.00448077,0.0171681,1598537686.504488960
0.0643822,0.0144539,0.0205058,-0.0118906,0.0181761,0.0213308,1598537686.604657152
