x,y,z,roll,pitch,yaw,time
-0.00793587,-0.00353754,-0.0290862,-0.0504737,0.00871801,-0.0662828,1598537681.604629760
0.117426,0.0331837,-0.0600112,-0.00101628,0.0113481,-0.0518569,1598537681.705216768
0.0376806,0.0246059,0.035033,-0.0132118,0.0158195,-0.0239843,1598537681.804939776
0.0706739,0.0275524,-0.0495385,-0.0109376,0.00257569,-0.0449972,1598537681.904721408
-0.0205696,0.00998723,0.079296,0.00890172,-0.0124268,0.0065496,1598537682.003880704
0.0458788,0.0280104,-0.0324132,-0.0166492,-0.0212744,0.00191372,1598537682.103325952
0.028785,0.0164593,-0.0145326,0.00938774,-0.0325534,0.0194615,1598537682.202600960
-0.0251693,-0.00778415,0.0176463,0.0323406,-0.0287117,0.0508306,1598537682.301754880
0.0279147,0.0162977,-0.00588262,0.0264528,-0.0532231,0.0271661,1598537682.401594880
-0.0136539,0.0143793,0.0905878,0.0365533,-0.0216174,0.0330145,1598537682.501441280
-0.0349032,0.00264176,0.0528183,0.0052563,-0.0201166,0.00637319,1598537682.601820160
0.0322853,0.00542455,-0.00721736,0.00600339,0.0235469,0.0359117,1598537682.702421504
0.0262921,0.000972663,0.00775217,-0.0033954,0.0269094,0.0064244,1598537682.802942464
-0.00852948,0.00646087,-0.0239651,-0.00434812,0.0455894,0.0479286,1598537682.903083008
-0.00931364,0.0147298,-0.00937981,-0.00593181,0.0450991,0.0374963,1598537683.003108864
0.00274276,0.0271283,-0.0202373,-0.0020723,0.0451927,0.0310465,1598537683.103367680
0.00200208,0.00997837,0.0168199,0.00946063,0.0431458,0.0326432,1598537683.203568896
-0.0232572,0.0126642,-0.0440935,0.0108703,0.031126,0.0386653,1598537683.303637760
-0.095403,0.0697394,0.00252488,0.00144778,0.0197085,0.00113097,1598537683.403665152
-0.0135177,0.03416,-0.00382147,0.00331474,0.0271226,0.0101439,1598537683.504374784
-0.0559884,0.0521082,-0.0167956,-0.0207375,0.0167099,0.018258,1598537683.604352768
-0.0107598,0.03934,-0.00988827,0.00671701,0.00387102,0.0347531,1598537683.704233216
-0.0139182,0.0621001,-0.000515925,-0.00846158,0.0233505,0.066248,1598537683.803530240
-0.0272083,0.0533368,0.000439285,-0.000391302,0.0263922,0.11873,1598537683.902376448
-0.0215853,0.0903616,0.0270841,-0.0201706,-0.0001686,0.135401,1598537684.000984064
0.0155248,0.0710997,-0.0230728,-0.0162977,-0.0183895,0.137497,1598537684.100150016
-0.0153949,0.119441,-0.0649284,-0.00355565,-0.0338431,0.147434,1598537684.199559680
0.0298709,0.0986255,0.0501477,0.0125823,-0.0244851,0.156747,1598537684.299474944
-0.0155546,0.10091,0.00162392,0.00261016,-0.0442084,0.168681,1598537684.399599872
0.251088,0.110729,-0.0755563,0.030901,-0.0271187,0.184878,1598537684.500289792
-0.0541645,0.124938,0.0969936,0.0182025,-0.00104598,0.197868,1598537684.600199168
0.0526705,0.121126,0.00755166,-0.0254611,0.0106881,0.185802,1598537684.701149952
0.0890905,0.0268627,-0.081009,0.0118982,0.0106762,0.179284,1598537684.802343680
0.0407144,0.175142,-0.0320666,0.0203175,-0.0109149,0.150659,1598537684.903285248
0.0925005,0.0806337,0.0318306,0.00387413,-0.0351014,0.130733,1598537685.004786176
0.021759,0.073903,0.0288777,-0.0183195,-0.0416276,0.101845,1598537685.105835776
0.121493,0.112741,-0.040293,-0.0154778,-0.00635723,0.133598,1598537685.206731008
0.087168,0.085685,0.0291012,0.0199251,0.0259346,0.136759,1598537685.306354176
0.0742374,0.0736449,0.0193434,0.0274815,0.0107223,0.109374,1598537685.405848320
0.101515,0.0142033,0.0432633,0.0211028,0.00407395,0.082969,1598537685.505607168
0.107978,0.0486779,0.0322779,0.0143708,-0.0139294,0.0799298,1598537685.605288192
