x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.142388,1.45055,0.321195,-0.0230527,-0.303914,1.27535,1598537681.604629760
0.129709,1.55665,0.301111,-0.00840482,-0.293967,1.21762,1598537681.705216768
0.127679,1.58539,0.341248,-0.012977,-0.276249,1.1932,1598537681.804939776
0.11893,1.66133,0.321838,-0.0131802,-0.275321,1.1456,1598537681.904721408
0.119193,1.63834,0.373323,-0.00512826,-0.290305,1.15535,1598537682.003880704
0.0908867,1.69258,0.399566,-0.0249537,-0.305326,1.15453,1598537682.103325952
0.0847595,1.71815,0.368247,-0.0217106,-0.341027,1.17576,1598537682.202600960
0.074504,1.67815,0.380233,-0.00789618,-0.366457,1.23058,1598537682.301754880
0.0735619,1.71015,0.479217,0.00601078,-0.408175,1.26053,1598537682.401594880
0.0593495,1.67004,0.599892,0.027107,-0.424837,1.29911,1598537682.501441280
0.0371247,1.60785,0.621999,0.0308185,-0.447571,1.30608,1598537682.601820160
0.049725,1.63453,0.648137,0.0186042,-0.422679,1.34567,1598537682.702421504
0.070332,1.65654,0.639113,0.0158103,-0.397896,1.35307,1598537682.802942464
0.0604562,1.67046,0.625228,-0.00721222,-0.354419,1.40464,1598537682.903083008
0.0484882,1.66265,0.564875,-0.0275924,-0.314631,1.44846,1598537683.003108864
0.0383309,1.66193,0.526591,-0.0430806,-0.268169,1.48069,1598537683.103367680
0.0279038,1.66606,0.508564,-0.0453626,-0.223634,1.51273,1598537683.203568896
0.0253293,1.66354,0.50544,-0.0444854,-0.1857,1.55098,1598537683.303637760
-0.0504269,1.57615,0.45089,-0.0410762,-0.16907,1.55306,1598537683.403665152
-0.0533028,1.58367,0.432148,-0.0403585,-0.142829,1.56393,1598537683.504374784
-0.120771,1.50884,0.445307,-0.0624885,-0.122789,1.58046,1598537683.604352768
-0.118686,1.51272,0.415381,-0.0597227,-0.117524,1.61596,1598537683.704233216
-0.166543,1.50535,0.381676,-0.077907,-0.0937227,1.68212,1598537683.803530240
-0.241577,1.51901,0.359577,-0.089896,-0.0606249,1.79513,1598537683.902376448
-0.315489,1.50738,0.370809,-0.122248,-0.0483012,1.92958,1598537684.000984064
-0.40274,1.49613,0.345676,-0.142958,-0.0479048,2.06922,1598537684.100150016
-0.493295,1.41992,0.382531,-0.138471,-0.0584256,2.21831,1598537684.199559680
-0.649608,1.38051,0.490943,-0.128333,-0.0548676,2.37358,1598537684.299474944
-0.716826,1.30857,0.47276,-0.135335,-0.0727159,2.5462,1598537684.399599872
-0.812338,1.26712,0.321362,-0.122734,-0.0674582,2.76073,1598537684.500289792
-0.886211,1.19382,0.147299,-0.138852,-0.0332381,2.94405,1598537684.600199168
-0.924298,1.11608,0.189168,-0.162592,0.00559533,3.12867,1598537684.701149952
-1.06006,1.07401,0.0259181,-0.157758,0.0427998,-2.98384,1598537684.802343680
-1.02114,0.918955,0.321759,-0.0970516,0.0354305,-2.82955,1598537684.903285248
-0.895265,0.708059,0.421224,-0.0851247,-0.0121412,-2.67818,1598537685.004786176
-0.867879,0.65579,0.456171,-0.106506,-0.0454453,-2.57733,1598537685.105835776
-0.953482,0.469215,0.334834,-0.123498,-0.0416046,-2.44183,1598537685.206731008
-0.962371,0.358235,0.315669,-0.107905,-0.000325183,-2.30946,1598537685.306354176
-0.992376,0.269352,0.301112,-0.0774589,0.0194389,-2.20129,1598537685.405848320
-0.998338,0.163171,0.297596,-0.0535221,0.0274362,-2.12001,1598537685.505607168
-1.00646,0.05484,0.312083,-0.0378615,0.0180678,-2.03846,1598537685.605288192
-1.00617,-0.0407052,0.325109,-0.0337328,0.0186569,-1.96026,1598537685.704893696
-1.03657,-0.190601,0.28896,-0.0327144,0.0206755,-1.87402,1598537685.804591360
-1.03454,-0.269201,0.288963,-0.0181243,0.0381419,-1.82077,1598537685.904205056
-1.03404,-0.403086,0.274383,0.00122579,0.0430384,-1.76109,1598537686.004122624
-1.03228,-0.502077,0.252124,0.0239343,0.0236206,-1.70231,1598537686.103940864
-1.01197,-0.561819,0.261132,0.0534934,-0.000781885,-1.6474,1598537686.203778304
-1.00769,-0.644063,0.309109,0.0757062,-0.0117786,-1.59583,1598537686.303783680
-0.98654,-0.742457,0.37385,0.0702431,-0.0174231,-1.58246,1598537686.404072192
-0.981542,-0.856719,0.382261,0.0611897,-0.0220755,-1.57,1598537686.504488960
-0.967673,-0.945269,0.390597,0.0502294,-0.0046789,-1.54914,1598537686.604657152
-1.00363,-1.09385,0.345879,0.0522401,-0.00995912,-1.51819,1598537686.704696576
-0.983161,-1.15807,0.331247,0.0535445,-0.0199748,-1.50968,1598537686.804313088
-1.03054,-1.35789,0.274384,0.0791805,-0.0133995,-1.49419,1598537686.904407552
-1.0425,-1.47707,0.280628,0.103342,0.000610355,-1.45051,1598537687.003885824
-0.996062,-1.51948,0.34284,0.118605,0.0203138,-1.43935,1598537687.103507712
-1.02487,-1.63905,0.299777,0.107365,0.0530095,-1.42519,1598537687.203836160
