x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.144414,1.44086,0.349826,-0.0217476,-0.299843,1.27503,1598537681.604629760
0.151853,1.57462,0.326501,-0.00668952,-0.289206,1.22069,1598537681.705216768
0.137497,1.60773,0.370667,-0.0127656,-0.273462,1.19567,1598537681.804939776
0.14232,1.69344,0.341721,-0.011073,-0.271176,1.14894,1598537681.904721408
0.115608,1.66046,0.412498,-0.00403748,-0.283524,1.1559,1598537682.003880704
0.111517,1.72034,0.394104,-0.021274,-0.30479,1.158,1598537682.103325952
0.109534,1.75605,0.388549,-0.0182997,-0.336857,1.17933,1598537682.202600960
0.105123,1.72582,0.397016,-0.00409791,-0.364168,1.23427,1598537682.301754880
0.0990758,1.75781,0.401399,0.0116835,-0.417134,1.26418,1598537682.401594880
0.0715119,1.71488,0.478836,0.0335734,-0.438895,1.30036,1598537682.501441280
0.0562326,1.66301,0.51187,0.0361366,-0.459207,1.30671,1598537682.601820160
0.0591139,1.69543,0.51989,0.0241587,-0.436642,1.34725,1598537682.702421504
0.0629014,1.71564,0.538053,0.0175103,-0.409884,1.35496,1598537682.802942464
0.0565415,1.71875,0.512781,-0.00761462,-0.364635,1.40705,1598537682.903083008
0.0412129,1.71589,0.500592,-0.0274987,-0.318993,1.44614,1598537683.003108864
0.0159992,1.72831,0.481535,-0.0392875,-0.272819,1.47704,1598537683.103367680
0.00518096,1.72682,0.497882,-0.0383975,-0.228293,1.50876,1598537683.203568896
-0.00653956,1.71495,0.449227,-0.0361554,-0.195544,1.54691,1598537683.303637760
-0.07854,1.62306,0.430693,-0.0347971,-0.175808,1.54733,1598537683.403665152
-0.112829,1.61143,0.423398,-0.0331196,-0.148341,1.55663,1598537683.504374784
-0.165093,1.55953,0.396815,-0.0564942,-0.131013,1.57447,1598537683.604352768
-0.203778,1.5503,0.383419,-0.0542829,-0.125108,1.60922,1598537683.704233216
-0.265201,1.5346,0.377828,-0.0707749,-0.0979358,1.6744,1598537683.803530240
-0.315383,1.50249,0.37185,-0.0821055,-0.0625677,1.79114,1598537683.902376448
-0.400455,1.4601,0.390044,-0.109952,-0.0510954,1.92627,1598537684.000984064
-0.470276,1.45239,0.360142,-0.132279,-0.0538442,2.06515,1598537684.100150016
-0.561712,1.39054,0.279315,-0.142496,-0.0674113,2.21606,1598537684.199559680
-0.661879,1.34944,0.316879,-0.138821,-0.0686356,2.37505,1598537684.299474944
-0.72079,1.26711,0.303486,-0.146117,-0.0881689,2.54882,1598537684.399599872
-0.989924,1.32958,0.235076,-0.129127,-0.0867022,2.73637,1598537684.500289792
-0.987727,1.18023,0.310183,-0.125358,-0.0607566,2.93307,1598537684.600199168
-1.06469,1.07271,0.305743,-0.159778,-0.0260358,3.11609,1598537684.701149952
-1.15626,1.06141,0.22384,-0.14996,0.013283,-2.99184,1598537684.802343680
-1.17063,0.888953,0.165431,-0.125948,0.0247625,-2.8412,1598537684.903285248
-1.23462,0.781201,0.184584,-0.117705,0.00608831,-2.70714,1598537685.004786176
-1.22215,0.702342,0.20445,-0.134818,-0.0233488,-2.60114,1598537685.105835776
-1.2727,0.548035,0.152221,-0.152198,-0.0115379,-2.4679,1598537685.206731008
-1.28509,0.424131,0.169,-0.132516,0.0348724,-2.33666,1598537685.306354176
-1.28229,0.318045,0.175849,-0.100549,0.0597251,-2.22949,1598537685.405848320
-1.33122,0.224639,0.211334,-0.0741964,0.0718958,-2.14714,1598537685.505607168
-1.34832,0.104857,0.232085,-0.0537852,0.0636888,-2.06624,1598537685.605288192
-1.3682,-0.000107292,0.234563,-0.0439104,0.0649811,-1.98562,1598537685.704893696
-1.36932,-0.134982,0.24906,-0.0422303,0.0709312,-1.90089,1598537685.804591360
-1.35909,-0.234884,0.268323,-0.0225384,0.0906239,-1.84746,1598537685.904205056
-1.3593,-0.33608,0.242252,0.000773372,0.0945573,-1.78625,1598537686.004122624
-1.37285,-0.433119,0.272655,0.0262124,0.0797713,-1.72706,1598537686.103940864
-1.3319,-0.536077,0.287465,0.0559762,0.0550176,-1.67178,1598537686.203778304
-1.29538,-0.642373,0.318498,0.0815102,0.0404097,-1.62027,1598537686.303783680
-1.27615,-0.75177,0.299546,0.0800198,0.0280295,-1.60704,1598537686.404072192
-1.27524,-0.862986,0.305022,0.0711393,0.0226311,-1.59416,1598537686.504488960
-1.26096,-0.949432,0.30952,0.0608154,0.0398426,-1.57218,1598537686.604657152
-1.30089,-1.09525,0.254709,0.063563,0.0335929,-1.54067,1598537686.704696576
-1.27203,-1.15561,0.233049,0.0648645,0.0225582,-1.53263,1598537686.804313088
-1.34567,-1.34225,0.167346,0.0900011,0.0268053,-1.51594,1598537686.904407552
-1.37025,-1.46407,0.146129,0.117784,0.0367427,-1.46775,1598537687.003885824
-1.33196,-1.53919,0.12534,0.144145,0.0470683,-1.45115,1598537687.103507712
-1.32925,-1.66498,0.0900149,0.140476,0.0865621,-1.44433,1598537687.203836160
-1.33324,-1.80399,0.0530819,0.134947,0.0866483,-1.42515,1598537687.303876096
-1.31008,-1.86394,0.0399013,0.103716,0.0438973,-1.43728,1598537687.403861760
-1.32445,-2.05516,0.00376725,0.081527,-0.00236441,-1.44787,1598537687.504686080
