x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.147957,1.44751,0.316907,-0.0214368,-0.304066,1.27479,1598537681.604629760
0.151123,1.57118,0.307827,-0.00706531,-0.291683,1.22147,1598537681.705216768
0.132646,1.60183,0.34959,-0.0132046,-0.275507,1.19601,1598537681.804939776
0.13498,1.67742,0.328013,-0.0119663,-0.273876,1.15052,1598537681.904721408
0.125342,1.65572,0.380804,-0.00475097,-0.288759,1.15804,1598537682.003880704
0.110008,1.7045,0.383792,-0.0223213,-0.307439,1.15885,1598537682.103325952
0.118601,1.74336,0.349405,-0.0188521,-0.343481,1.18189,1598537682.202600960
0.097692,1.71089,0.361852,-0.00360982,-0.368823,1.23447,1598537682.301754880
0.104469,1.77397,0.360841,0.0124447,-0.424073,1.2673,1598537682.401594880
0.0748374,1.7458,0.425889,0.0357343,-0.448526,1.30417,1598537682.501441280
0.0586736,1.68475,0.459572,0.0393064,-0.470003,1.31052,1598537682.601820160
0.0650758,1.71586,0.468268,0.0262095,-0.447456,1.35171,1598537682.702421504
0.0664209,1.73283,0.491868,0.020184,-0.420398,1.35818,1598537682.802942464
0.0527281,1.7329,0.493551,-0.00373007,-0.37468,1.40948,1598537682.903083008
0.0415898,1.71798,0.430986,-0.0254003,-0.335113,1.4535,1598537683.003108864
0.039017,1.71599,0.394271,-0.0397375,-0.288157,1.48626,1598537683.103367680
0.0262163,1.7256,0.40536,-0.0428119,-0.239936,1.51849,1598537683.203568896
0.0188551,1.72293,0.375995,-0.0412769,-0.203466,1.55678,1598537683.303637760
-0.0390925,1.62839,0.37391,-0.0392008,-0.182449,1.56022,1598537683.403665152
-0.0649681,1.61028,0.363261,-0.0390728,-0.156137,1.56869,1598537683.504374784
-0.11484,1.55682,0.374692,-0.0614113,-0.133657,1.58714,1598537683.604352768
-0.134862,1.54182,0.308849,-0.0628942,-0.134499,1.6198,1598537683.704233216
-0.174477,1.51999,0.338111,-0.0800076,-0.103386,1.68415,1598537683.803530240
-13.9547,1.02079,0.0404925,0.0272772,-0.0315824,-0.00283784,1598537683.902376448
-13.8782,0.99649,0.0636221,-0.00254794,0.00339944,0.00027925,1598537684.000984064
-13.7763,1.00975,0.016362,-0.00196243,0.00303141,0.000284504,1598537684.100150016
-13.6941,0.971361,-0.0633067,0.0138298,-0.0252249,-0.00269765,1598537684.199559680
