x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.147906,1.44075,0.301979,-0.0210493,-0.305902,1.27522,1598537681.604629760
0.141695,1.55605,0.306139,-0.00700392,-0.29201,1.22031,1598537681.705216768
0.126329,1.58573,0.346574,-0.0128475,-0.275472,1.1947,1598537681.804939776
0.15122,1.64834,0.327152,-0.0108229,-0.274104,1.1492,1598537681.904721408
0.103968,1.6517,0.373979,-0.00283011,-0.289659,1.15452,1598537682.003880704
0.107463,1.69363,0.386202,-0.0213186,-0.305605,1.15578,1598537682.103325952
0.0942728,1.69891,0.361424,-0.0197321,-0.341247,1.17494,1598537682.202600960
0.0386205,1.67487,0.335098,-0.00470571,-0.371133,1.22396,1598537682.301754880
0.0533454,1.73601,0.374384,0.0136042,-0.421904,1.25501,1598537682.401594880
0.0270077,1.70559,0.4372,0.0365815,-0.446239,1.29238,1598537682.501441280
0.0074176,1.64257,0.473413,0.0402289,-0.466978,1.29889,1598537682.601820160
0.0256465,1.6777,0.470293,0.0272722,-0.446702,1.34097,1598537682.702421504
0.0257086,1.68612,0.455597,0.0232995,-0.423116,1.34489,1598537682.802942464
0.0174198,1.68567,0.449663,-0.00119236,-0.37883,1.3967,1598537682.903083008
-0.0149435,1.65951,0.433872,-0.0227618,-0.333228,1.43987,1598537683.003108864
-0.0172191,1.67106,0.405737,-0.0379285,-0.285709,1.47317,1598537683.103367680
-0.0433752,1.67851,0.406961,-0.0407152,-0.239698,1.50419,1598537683.203568896
-0.0474867,1.67324,0.371494,-0.0399133,-0.204213,1.54254,1598537683.303637760
-0.0796858,1.57824,0.362061,-0.0379035,-0.183092,1.54861,1598537683.403665152
-0.113399,1.57161,0.357228,-0.0365476,-0.155686,1.55689,1598537683.504374784
-0.158734,1.5159,0.337607,-0.0591655,-0.137532,1.57538,1598537683.604352768
-0.171058,1.52069,0.297659,-0.0609839,-0.135411,1.61173,1598537683.704233216
-0.219184,1.52972,0.305915,-0.0765945,-0.105972,1.67804,1598537683.803530240
-0.290872,1.53572,0.284414,-0.0903273,-0.0709478,1.79205,1598537683.902376448
-0.37372,1.50244,0.331828,-0.120795,-0.0534976,1.92656,1598537684.000984064
-0.447838,1.49216,0.323672,-0.14395,-0.0501104,2.06573,1598537684.100150016
-0.525514,1.46123,0.256967,-0.148813,-0.0651036,2.21428,1598537684.199559680
-0.615345,1.41027,0.225123,-0.150985,-0.0769291,2.3755,1598537684.299474944
-0.722983,1.33512,0.190608,-0.16206,-0.0977349,2.54328,1598537684.399599872
-0.910645,1.3881,0.0973423,-0.148598,-0.095285,2.73897,1598537684.500289792
-0.866705,1.2369,0.137182,-0.150093,-0.0722642,2.94196,1598537684.600199168
-0.907929,1.11344,0.12925,-0.183551,-0.0328397,3.12523,1598537684.701149952
-1.03753,1.07491,-0.0532962,-0.187148,0.00934603,-2.98863,1598537684.802343680
-1.03367,0.979566,-0.0492763,-0.158291,0.0298503,-2.82905,1598537684.903285248
-1.11694,0.854478,-0.0730194,-0.150935,0.0133942,-2.69538,1598537685.004786176
-1.07803,0.823226,-0.0312262,-0.168584,-0.0123159,-2.58877,1598537685.105835776
-1.16607,0.654312,-0.116436,-0.188317,0.000952585,-2.45706,1598537685.206731008
-1.1982,0.540862,-0.139952,-0.166736,0.0504691,-2.32612,1598537685.306354176
-1.20347,0.455969,-0.142119,-0.131399,0.0786593,-2.21873,1598537685.405848320
-1.21917,0.353499,-0.167914,-0.102287,0.0901104,-2.13857,1598537685.505607168
-1.2477,0.263016,-0.161536,-0.0809332,0.0830178,-2.05608,1598537685.605288192
-1.25257,0.180246,-0.144385,-0.0724468,0.0876313,-1.97649,1598537685.704893696
-1.28859,0.0312851,-0.215392,-0.0652109,0.0901384,-1.88989,1598537685.804591360
-1.30336,-0.0624004,-0.183835,-0.0482073,0.11408,-1.83679,1598537685.904205056
-1.30986,-0.170328,-0.224623,-0.023571,0.11979,-1.7765,1598537686.004122624
-1.29827,-0.269667,-0.25831,0.00389324,0.103491,-1.71684,1598537686.103940864
-1.27135,-0.339323,-0.266912,0.0365755,0.0769482,-1.66054,1598537686.203778304
