x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.147957,1.44751,0.316907,-0.0214368,-0.304066,1.27479,1598537681.604629760
0.151123,1.57118,0.307827,-0.00706531,-0.291683,1.22147,1598537681.705216768
0.132646,1.60183,0.34959,-0.0132046,-0.275507,1.19601,1598537681.804939776
0.13498,1.67742,0.328013,-0.0119663,-0.273876,1.15052,1598537681.904721408
0.124873,1.65437,0.376178,-0.00459974,-0.289309,1.15802,1598537682.003880704
0.108626,1.70526,0.380924,-0.0219826,-0.30798,1.15869,1598537682.103325952
0.12037,1.75096,0.342657,-0.0183809,-0.344185,1.18213,1598537682.202600960
0.094384,1.70383,0.349966,-0.00414424,-0.369559,1.23536,1598537682.301754880
0.110138,1.75631,0.373924,0.0129792,-0.421142,1.2658,1598537682.401594880
0.0807891,1.69323,0.473581,0.0344367,-0.439866,1.30254,1598537682.501441280
0.0579174,1.63356,0.497444,0.0378201,-0.462943,1.30903,1598537682.601820160
0.0583615,1.65143,0.548872,0.0251678,-0.4337,1.34723,1598537682.702421504
0.0485937,1.67299,0.585589,0.0191734,-0.404344,1.35392,1598537682.802942464
0.0393264,1.67351,0.574761,-0.00428261,-0.360735,1.40527,1598537682.903083008
0.0093315,1.65001,0.552159,-0.0243722,-0.315534,1.448,1598537683.003108864
0.0058005,1.64909,0.532548,-0.0391816,-0.26747,1.48063,1598537683.103367680
-0.00523663,1.65116,0.525942,-0.0440129,-0.22337,1.51285,1598537683.203568896
-0.0126074,1.64805,0.496623,-0.0418227,-0.186868,1.55097,1598537683.303637760
-0.0711127,1.55382,0.496091,-0.0396866,-0.165849,1.55439,1598537683.403665152
-0.0970928,1.53569,0.485736,-0.0394145,-0.139533,1.56283,1598537683.504374784
-0.147282,1.48272,0.498038,-0.0614436,-0.11705,1.58124,1598537683.604352768
-0.167379,1.46675,0.432448,-0.0623805,-0.1179,1.61382,1598537683.704233216
-0.207129,1.44565,0.462056,-0.0784251,-0.0868533,1.67809,1598537683.803530240
-0.242262,1.39754,0.433585,-0.0902889,-0.0535748,1.79804,1598537683.902376448
-0.281319,1.34749,0.463849,-0.120961,-0.040022,1.93701,1598537684.000984064
-0.374078,1.33762,0.421007,-0.141038,-0.0431286,2.07613,1598537684.100150016
-0.449414,1.27403,0.325647,-0.148714,-0.0562834,2.22664,1598537684.199559680
