x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.115312,1.44235,0.33102,-0.022909,-0.301077,1.27369,1598537681.604629760
0.140116,1.55453,0.333403,-0.00856,-0.287914,1.21764,1598537681.705216768
0.12728,1.57931,0.368989,-0.0146018,-0.272323,1.19238,1598537681.804939776
0.152156,1.65368,0.344017,-0.0129303,-0.270971,1.14657,1598537681.904721408
0.122193,1.64387,0.411867,-0.00566854,-0.28427,1.1541,1598537682.003880704
0.126708,1.68242,0.408769,-0.023568,-0.303787,1.15463,1598537682.103325952
0.140708,1.72194,0.37068,-0.0205288,-0.339584,1.17754,1598537682.202600960
0.10094,1.69,0.386834,-0.00556349,-0.363865,1.23014,1598537682.301754880
0.144917,1.74159,0.381836,0.0109454,-0.420497,1.26282,1598537682.401594880
0.102585,1.68576,0.517355,0.032067,-0.436355,1.29934,1598537682.501441280
0.0365312,1.5982,0.533946,0.035726,-0.460613,1.30239,1598537682.601820160
0.111464,1.6652,0.549208,0.0236435,-0.436464,1.34679,1598537682.702421504
0.125288,1.67686,0.587999,0.0159706,-0.410015,1.35439,1598537682.802942464
0.113698,1.67964,0.490466,-0.00651796,-0.379004,1.40467,1598537682.903083008
0.0866683,1.64226,0.436139,-0.0282537,-0.339529,1.44834,1598537683.003108864
0.0753543,1.65422,0.402608,-0.0439033,-0.292704,1.4805,1598537683.103367680
0.0581262,1.65087,0.40992,-0.0472238,-0.244641,1.51207,1598537683.203568896
0.0519334,1.64342,0.37054,-0.0455489,-0.209614,1.5501,1598537683.303637760
-0.00867522,1.55948,0.326569,-0.0434003,-0.193762,1.5531,1598537683.403665152
-0.0226798,1.55665,0.323942,-0.041894,-0.164793,1.56266,1598537683.504374784
-0.0762508,1.50502,0.300489,-0.0644773,-0.147402,1.58085,1598537683.604352768
-0.0826537,1.52318,0.274923,-0.065971,-0.143208,1.6178,1598537683.704233216
-0.122984,1.5084,0.254931,-0.0836364,-0.117021,1.68426,1598537683.803530240
-0.15053,1.52086,0.221743,-0.0999007,-0.0834973,1.7982,1598537683.902376448
-0.215968,1.48715,0.240179,-0.134886,-0.068575,1.93293,1598537684.000984064
-0.293037,1.46253,0.231624,-0.155558,-0.067224,2.07259,1598537684.100150016
-0.349186,1.40617,0.179917,-0.163739,-0.0770345,2.22397,1598537684.199559680
