x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.125818,1.43852,0.32651,-0.0221101,-0.302329,1.27322,1598537681.604629760
0.135823,1.56165,0.312909,-0.00788896,-0.290329,1.21851,1598537681.705216768
0.116996,1.58399,0.362359,-0.0134301,-0.273245,1.19245,1598537681.804939776
0.135696,1.66809,0.324513,-0.0118251,-0.2733,1.1473,1598537681.904721408
0.121192,1.64132,0.395071,-0.00478326,-0.286062,1.15548,1598537682.003880704
0.103388,1.7002,0.392788,-0.0228077,-0.304568,1.1547,1598537682.103325952
0.119102,1.7306,0.364116,-0.019345,-0.340118,1.17838,1598537682.202600960
0.0906802,1.7057,0.372169,-0.00468915,-0.366964,1.23094,1598537682.301754880
0.113756,1.74895,0.391268,0.0120202,-0.420146,1.26344,1598537682.401594880
0.0973768,1.71446,0.470913,0.0340634,-0.442201,1.30108,1598537682.501441280
0.0795885,1.65108,0.500838,0.0371338,-0.464643,1.30825,1598537682.601820160
0.0808298,1.68396,0.487672,0.0253008,-0.444674,1.34768,1598537682.702421504
0.0944947,1.7046,0.519109,0.0197057,-0.416304,1.35486,1598537682.802942464
0.0905609,1.69362,0.501741,-0.00420883,-0.373311,1.40706,1598537682.903083008
0.0773149,1.67735,0.456699,-0.0248499,-0.330821,1.4513,1598537683.003108864
0.0660264,1.68744,0.432071,-0.0398661,-0.283087,1.48407,1598537683.103367680
0.0729513,1.69618,0.366195,-0.0433512,-0.245603,1.51828,1598537683.203568896
0.0699136,1.68933,0.34482,-0.0413651,-0.208074,1.55715,1598537683.303637760
0.0115146,1.61434,0.347377,-0.0399833,-0.186777,1.56208,1598537683.403665152
-0.0132761,1.60313,0.33152,-0.0392298,-0.160014,1.57099,1598537683.504374784
-0.0598962,1.55667,0.324264,-0.0616974,-0.140191,1.58962,1598537683.604352768
-0.0833155,1.53118,0.258107,-0.0629223,-0.140614,1.62242,1598537683.704233216
-0.145683,1.50012,0.241174,-0.0787804,-0.11314,1.68475,1598537683.803530240
-0.668143,17.8993,1.09124,-0.0642982,-0.0541888,-0.00128249,1598537683.902376448
-0.756213,17.9096,1.08803,-0.0932649,-0.0685083,-0.00192926,1598537684.000984064
-0.900098,17.8673,1.10419,-0.119155,-0.0757833,-0.00109961,1598537684.100150016
-0.987365,17.9081,1.07888,-0.137191,-0.0734927,0.00105914,1598537684.199559680
-1.09637,17.9559,1.02945,-0.151726,-0.0661031,0.0034592,1598537684.299474944
-1.19762,18.0063,1.04917,-0.172756,-0.0585781,0.00608621,1598537684.399599872
-1.31172,18.0566,1.03692,-0.113287,-0.0255207,0.00349448,1598537684.500289792
-1.39939,18.1386,1.00307,-0.106209,-0.0137144,0.00229913,1598537684.600199168
-1.46444,18.2353,1.05307,-0.150444,-0.00529371,0.0012121,1598537684.701149952
-1.60037,18.2825,0.89855,-0.146495,0.00748592,-0.0011391,1598537684.802343680
-1.58734,18.4034,0.901423,-0.0914368,0.0120573,-0.000877318,1598537684.903285248
-1.66872,18.5153,0.913997,-0.0679539,0.0135868,0.000352546,1598537685.004786176
-1.64861,18.5716,0.93293,-0.0900086,0.0228757,0.00215374,1598537685.105835776
-1.71325,18.7735,0.841518,-0.11772,0.0384977,0.00267316,1598537685.206731008
