x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.147957,1.44751,0.316907,-0.0214368,-0.304066,1.27479,1598537681.604629760
0.151123,1.57118,0.307827,-0.00706531,-0.291683,1.22147,1598537681.705216768
0.132646,1.60183,0.34959,-0.0132046,-0.275507,1.19601,1598537681.804939776
0.13498,1.67742,0.328013,-0.0119663,-0.273876,1.15052,1598537681.904721408
0.124873,1.65437,0.376178,-0.00459974,-0.289309,1.15802,1598537682.003880704
0.108626,1.70526,0.380924,-0.0219826,-0.30798,1.15869,1598537682.103325952
0.12037,1.75096,0.342657,-0.0183809,-0.344185,1.18213,1598537682.202600960
0.105163,1.70485,0.353486,-0.00289554,-0.370057,1.23386,1598537682.301754880
0.127625,1.75617,0.38052,0.014111,-0.42213,1.26396,1598537682.401594880
0.101555,1.7117,0.451128,0.0363405,-0.446769,1.30132,1598537682.501441280
0.0749716,1.6492,0.480766,0.0402598,-0.468309,1.30783,1598537682.601820160
0.0978116,1.68387,0.47467,0.0277955,-0.448784,1.34714,1598537682.702421504
0.120467,1.69297,0.502898,0.0218881,-0.421183,1.35491,1598537682.802942464
0.10699,1.71306,0.452756,-0.00134095,-0.383996,1.40637,1598537682.903083008
0.0855395,1.69163,0.409954,-0.0234672,-0.341744,1.4503,1598537683.003108864
0.070395,1.68036,0.344949,-0.0385091,-0.297871,1.48183,1598537683.103367680
0.0499174,1.68946,0.336836,-0.0423462,-0.252992,1.51321,1598537683.203568896
0.0593154,1.68047,0.319657,-0.0414663,-0.215558,1.55248,1598537683.303637760
-0.0282081,1.59595,0.304567,-0.0386625,-0.194529,1.55564,1598537683.403665152
-0.0325807,1.59299,0.306714,-0.0365265,-0.165821,1.56505,1598537683.504374784
-0.0832684,1.54119,0.272427,-0.0565217,-0.146856,1.58375,1598537683.604352768
-0.114583,1.51137,0.251428,-0.0661359,-0.14861,1.6148,1598537683.704233216
-0.166678,1.47584,0.271706,-0.0820502,-0.116102,1.67732,1598537683.803530240
-0.201851,1.42862,0.241814,-0.0973874,-0.0821818,1.79739,1598537683.902376448
-0.240979,1.37775,0.270572,-0.131955,-0.0673717,1.93646,1598537684.000984064
-0.333729,1.36925,0.227417,-0.155728,-0.0686903,2.07581,1598537684.100150016
-0.409091,1.30859,0.130191,-0.167095,-0.0793529,2.22675,1598537684.199559680
