x,y,z,roll,pitch,yaw,time
-0.00318376,-0.000258682,-0.0529211,-0.0505032,0.00494285,-0.0672745,1598537681.604629760
0.0837132,0.0480203,-0.0588424,-0.00193701,0.0104688,-0.0533391,1598537681.705216768
0.0325673,0.0246834,0.0443686,-0.0135985,0.0175363,-0.0238527,1598537681.804939776
0.0490311,0.0440481,-0.0644849,-0.0109784,-0.00190557,-0.045127,1598537681.904721408
0.0110776,-0.0302162,0.0932348,0.00796024,-0.00986881,0.00911997,1598537682.003880704
0.0301127,0.0582882,0.00122909,-0.0174366,-0.0177708,-0.000738236,1598537682.103325952
0.00982269,0.0351191,-0.0790614,0.0116836,-0.0412918,0.018186,1598537682.202600960
-0.0166607,-0.012034,-0.00749057,0.0350992,-0.0315473,0.0501281,1598537682.301754880
0.0429876,0.0146239,-0.00142039,0.0275582,-0.0532624,0.0267232,1598537682.401594880
-0.00319537,0.00729104,0.0795619,0.0395322,-0.0228091,0.0342385,1598537682.501441280
-0.0388069,0.0103933,0.0481775,0.00623719,-0.0224553,0.00603175,1598537682.601820160
0.0229145,0.0044226,-0.0164911,0.0063071,0.0220864,0.0343222,1598537682.702421504
0.0151003,0.000924754,0.013305,-0.00278113,0.02726,0.00576727,1598537682.802942464
0.00769648,0.00709549,-0.0173978,-0.00238243,0.0438532,0.0472693,1598537682.903083008
-0.0458981,0.0147054,-0.0408589,-0.00533366,0.0401603,0.0412515,1598537683.003108864
0.00379522,-0.00494085,-0.0405478,-0.00447516,0.0456619,0.0343367,1598537683.103367680
0.00413525,0.0175835,-0.00222524,0.00446015,0.0429958,0.0324773,1598537683.203568896
0.000579914,0.00644301,-0.0131165,0.00986291,0.0360374,0.0382893,1598537683.303637760
-0.121325,0.0811805,-0.0127926,0.00351951,0.0176512,0.00385646,1598537683.403665152
0.00919023,-0.00128882,0.00238753,0.00278759,0.0282792,0.0116567,1598537683.504374784
-0.0575329,0.0603643,0.01031,-0.0189629,0.0183688,0.0173619,1598537683.604352768
0.00735189,0.0269198,-0.0490903,0.00409809,-0.000415123,0.0372943,1598537683.704233216
0.00857352,0.0665046,0.000946921,-0.00756293,0.0239011,0.0676534,1598537683.803530240
0.00201271,0.094561,0.0200154,0.000457329,0.0265931,0.115791,1598537683.902376448
-0.0307699,0.0441888,-0.104828,-0.0328901,-0.00766594,0.138389,1598537684.000984064
0.0241212,0.123118,-0.0537527,-0.0160009,-0.0235658,0.135657,1598537684.100150016
-0.0140675,0.0792268,-0.116156,-0.00472278,-0.0375072,0.147909,1598537684.199559680
0.0564238,0.109976,0.00168193,0.00895448,-0.0351762,0.156152,1598537684.299474944
-0.0492238,0.11745,-0.0222988,0.00148893,-0.0474424,0.166389,1598537684.399599872
9.16677,-14.8014,-2.53565,0.00537101,-0.0113662,-0.00168882,1598537684.500289792
0.127588,0.135855,-0.199928,-0.0129973,-0.00112172,0.174498,1598537684.600199168
0.113378,0.123456,-0.386991,-0.0691776,0.00842248,0.175285,1598537684.701149952
0.165978,0.0194356,0.30998,0.0655358,0.0166162,0.176598,1598537684.802343680
0.116246,0.0938546,-0.136598,0.00369167,-0.0184679,0.137797,1598537684.903285248
0.0826254,0.0742013,0.0208553,0.00415414,-0.0362178,0.131097,1598537685.004786176
0.0318525,0.0832525,0.0536877,-0.0210701,-0.0397992,0.0982352,1598537685.105835776
0.120846,0.0873378,-0.0897704,-0.0127629,-0.0114754,0.135586,1598537685.206731008
0.104951,0.0349005,-0.0167143,0.0192736,0.0242642,0.139359,1598537685.306354176
0.0573422,0.0734889,0.00573436,0.0304379,0.0101472,0.108343,1598537685.405848320
0.0981072,0.052021,-0.0102536,0.0213642,0.000378524,0.0802468,1598537685.505607168
0.091129,0.0484607,0.00992472,0.0129314,-0.015294,0.0798059,1598537685.605288192
0.0933385,0.0548596,0.0385155,0.000645895,0.00240702,0.076388,1598537685.704893696
0.129549,0.0234793,-0.0427496,0.000865383,-0.00531639,0.0879959,1598537685.804591360
0.0870653,0.0310147,0.0191316,0.0107006,0.0203338,0.0534165,1598537685.904205056
0.108118,0.0242491,-0.0216903,0.0173532,0.00242092,0.0605955,1598537686.004122624
0.090998,0.0277238,-0.0528345,0.0211661,-0.0252912,0.0573196,1598537686.103940864
0.0722722,0.0258178,0.00218992,0.0274677,-0.0242901,0.0559103,1598537686.203778304
0.0794241,0.0331935,0.0388943,0.0207044,-0.00977004,0.0500676,1598537686.303783680
0.123783,0.0167283,0.00487906,-0.00695964,-0.0104229,0.0147482,1598537686.404072192
0.108218,0.00352136,0.0124606,-0.00984252,-0.00433055,0.012733,1598537686.504488960
0.0814248,0.0108195,0.00331833,-0.00975359,0.0187091,0.0201771,1598537686.604657152
0.149854,-0.0279127,-0.0554129,0.00144178,-0.00801047,0.0305584,1598537686.704696576
0.0688423,0.0302205,-0.0252317,0.00064078,-0.0115931,0.00723734,1598537686.804313088
0.167531,-0.0633082,-0.0720884,0.0236753,0.000820314,0.0149701,1598537686.904407552
0.118266,-0.0210088,0.0229909,0.0265982,0.0229855,0.0438389,1598537687.003885824
0.0720794,0.0121231,0.0592763,0.0172242,0.0315347,0.00747151,1598537687.103507712
0.103413,-0.0393271,-0.0343669,-0.0120763,0.0336521,0.0110613,1598537687.203836160
