x,y,z,roll,pitch,yaw,time
-0.00792856,-0.0038854,-0.028517,-0.0504457,0.00873562,-0.0662715,1598537681.604629760
0.0979591,0.0336483,-0.0371543,-0.00107766,0.0127249,-0.0531098,1598537681.705216768
0.0373054,0.02993,0.00481765,-0.0139901,0.0134909,-0.0237565,1598537681.804939776
0.0614049,0.0244269,0.00540086,-0.0100749,0.00620028,-0.0450344,1598537681.904721408
-0.0119581,0.00846918,0.0321983,0.00831674,-0.0157838,0.00706905,1598537682.003880704
0.0242355,0.0237259,-0.0247,-0.017229,-0.0201625,0.00153902,1598537682.103325952
0.0241451,0.0210794,-0.0156357,0.00960594,-0.0322655,0.0190938,1598537682.202600960
-0.0161221,-0.0143933,0.0215395,0.0327477,-0.0284813,0.0508089,1598537682.301754880
-0.000273267,0.00670132,-0.0314808,0.0255137,-0.0557135,0.0312235,1598537682.401594880
-0.014394,0.013718,0.0912028,0.036559,-0.0215537,0.0330617,1598537682.501441280
-0.0319308,0.00618696,0.07799,0.00442316,-0.0165213,0.00584784,1598537682.601820160
0.0317877,0.00265774,-0.00565301,0.00607475,0.0231753,0.0361014,1598537682.702421504
0.0182207,-0.0101035,0.0023779,-0.00264647,0.0247733,0.00645973,1598537682.802942464
0.00303065,-0.000975527,-0.0290431,-0.00341936,0.0404858,0.0486767,1598537682.903083008
-0.0361513,0.0177321,-0.0210702,-0.00491609,0.0427519,0.0408799,1598537683.003108864
-0.0121039,0.00213364,-0.0515761,-0.00372538,0.0437979,0.0335627,1598537683.103367680
0.00385769,0.00689147,-0.0190997,0.00605269,0.0426482,0.0326518,1598537683.203568896
0.00720525,0.00587898,-0.0471601,0.011671,0.0317294,0.0388146,1598537683.303637760
-0.119059,0.0876958,0.010229,0.000865492,0.0195799,0.00280358,1598537683.403665152
0.00417831,0.0561687,0.00104872,0.00293068,0.0282484,0.00654854,1598537683.504374784
-0.0531254,0.0477707,0.00804076,-0.0181528,0.0182888,0.0189159,1598537683.604352768
-0.00747865,0.0405243,-0.0350587,0.00195424,0.00112786,0.0334249,1598537683.704233216
-0.0231585,0.05802,-0.0071192,-0.00599681,0.0229172,0.0649591,1598537683.803530240
-0.00467727,0.0741951,-0.0183596,-0.00180085,0.0242339,0.11248,1598537683.902376448
-0.0170613,0.0788533,-0.0171893,-0.0263091,-0.00816392,0.137581,1598537684.000984064
0.0138113,0.0911007,-0.0209494,-0.0176044,-0.0180256,0.136621,1598537684.100150016
0.000603109,0.110982,-0.0763332,-0.00230568,-0.0340568,0.146512,1598537684.199559680
0.0367568,0.103693,0.00217963,0.00904733,-0.0327289,0.156291,1598537684.299474944
0.0195292,0.112648,-0.0110675,-0.00431171,-0.0319279,0.163523,1598537684.399599872
0.0387519,0.16503,-0.0363633,0.0220959,-0.0334201,0.171164,1598537684.500289792
-0.0765047,0.19025,-0.0975943,0.0254351,-0.0167423,0.201784,1598537684.600199168
0.0255235,0.119627,0.0924005,-0.0169927,0.0139612,0.187935,1598537684.701149952
0.112864,0.0858113,-0.165502,-0.00659553,0.00793712,0.170348,1598537684.802343680
-0.00162505,0.131095,0.00812825,0.0254776,-0.0113704,0.162944,1598537684.903285248
0.0962219,0.0886708,0.0411595,0.00473906,-0.0324125,0.128101,1598537685.004786176
0.0111807,0.04713,0.0403021,-0.0184055,-0.0414203,0.103856,1598537685.105835776
0.132179,0.0984412,0.0187738,-0.0229545,-0.00466901,0.132224,1598537685.206731008
