x,y,z,roll,pitch,yaw,time
-0.0110443,-0.00575333,-0.0626395,-0.0502358,0.00448997,-0.066393,1598537681.604629760
0.111026,0.0339881,-0.043638,-0.00161297,0.013067,-0.0508015,1598537681.705216768
0.0340112,0.0284337,0.0354244,-0.0137848,0.0166895,-0.0244377,1598537681.804939776
0.0621475,0.0246839,-0.0389776,-0.0112034,0.00203617,-0.0437199,1598537681.904721408
-0.0112008,-0.00081198,0.0531699,0.00939392,-0.0155253,0.00699508,1598537682.003880704
0.0397838,0.0353275,-0.00672731,-0.0171901,-0.0186741,0.00055552,1598537682.103325952
0.0327839,0.00865322,-0.0504074,0.0107212,-0.0367593,0.0212778,1598537682.202600960
-0.0419387,-0.00388856,0.0264697,0.0329267,-0.0271755,0.0477554,1598537682.301754880
0.0618596,-0.00424585,0.00498735,0.0279057,-0.0523021,0.0273348,1598537682.401594880
-0.0135684,0.0114238,0.0862501,0.037508,-0.0242519,0.0343455,1598537682.501441280
-0.0484786,0.0128039,0.0589121,0.00651929,-0.0210278,0.00638493,1598537682.601820160
0.0342255,-0.0114592,-0.0255441,0.0057784,0.0207827,0.0353805,1598537682.702421504
0.0192032,-0.0188663,0.0163979,-0.00243085,0.02743,0.00580995,1598537682.802942464
-0.0171796,0.0141287,-0.0764752,0.000166766,0.0373655,0.0457324,1598537682.903083008
-0.0253645,0.0188653,-0.057663,-0.00511708,0.0383201,0.0414327,1598537683.003108864
-0.00762285,0.00425352,-0.0470322,-0.00523063,0.0448089,0.0332304,1598537683.103367680
0.00348846,-0.0021116,-0.0445991,0.010421,0.0437539,0.0333849,1598537683.203568896
-0.013226,0.01049,0.000141224,0.0102777,0.037082,0.0374046,1598537683.303637760
-0.064153,0.0671721,-0.0169323,0.00250773,0.0182506,0.00776561,1598537683.403665152
-0.0157505,0.00751982,-0.0366686,0.00588673,0.0262063,0.00987746,1598537683.504374784
-0.0433671,0.0455052,0.0679581,-0.0224651,0.0220416,0.0199943,1598537683.604352768
-0.0230859,0.0173047,0.0132662,-0.00392426,-0.000694621,0.032514,1598537683.704233216
-0.0226936,0.0461994,-0.0383378,-0.00376528,0.0230209,0.0648452,1598537683.803530240
-0.0463769,0.0418821,-0.0213249,-0.00202021,0.0231897,0.122023,1598537683.902376448
-0.0382836,0.0462101,0.0366759,-0.0241252,0.000503883,0.13947,1598537684.000984064
0.0222632,0.0947665,-0.0325703,-0.0156762,-0.0201862,0.137571,1598537684.100150016
-0.0237432,0.108369,-0.0773071,-0.00242867,-0.0346191,0.146947,1598537684.199559680
0.0279225,0.0780476,0.0287266,0.0105153,-0.0290929,0.157777,1598537684.299474944
0.020315,0.109483,0.0121546,0.0034298,-0.0464052,0.162851,1598537684.399599872
0.188999,0.110618,-0.0610116,0.0331861,-0.0255713,0.189375,1598537684.500289792
-0.0399449,0.155564,0.070405,0.0173992,-0.00771371,0.199963,1598537684.600199168
0.0295234,0.0730824,0.0408062,-0.0204102,0.011977,0.188092,1598537684.701149952
0.124691,0.0484123,-0.149242,0.00468817,0.0122809,0.176112,1598537684.802343680
-0.00883543,0.117862,0.0164552,0.024676,-0.0096507,0.158836,1598537684.903285248
0.117536,0.0843038,0.0147892,0.00545686,-0.0360545,0.130735,1598537685.004786176
0.0134296,0.0578022,0.00937955,-0.0230451,-0.0430653,0.0985034,1598537685.105835776
0.177705,0.104116,-0.112789,-0.0133731,-0.0103169,0.134378,1598537685.206731008
0.097963,0.0659758,-0.0271514,0.0204269,0.0227376,0.137856,1598537685.306354176
0.0632049,0.0662268,7.05732e-05,0.0282127,0.00837654,0.109599,1598537685.405848320
0.108597,0.0610045,-0.00472194,0.0238799,0.00118166,0.0817048,1598537685.505607168
0.0925811,0.0330031,0.0230548,0.0139503,-0.0131552,0.0808164,1598537685.605288192
0.0929511,0.02477,0.0127208,0.00181174,-0.003372,0.0795866,1598537685.704893696
0.148266,0.0240323,-0.0512202,0.00227016,-0.0033771,0.0867588,1598537685.804591360
0.0790114,0.0202998,0.0584087,0.00918627,0.0177723,0.0556103,1598537685.904205056
0.110627,0.0236161,-0.0323855,0.0195553,0.0054895,0.0588782,1598537686.004122624
0.0968783,0.025342,-0.0247809,0.0204638,-0.019226,0.0585153,1598537686.103940864
0.048521,0.0373765,0.0113181,0.0272947,-0.0223181,0.0551101,1598537686.203778304
0.0749255,0.0337827,0.0326288,0.0207109,-0.0145432,0.0515971,1598537686.303783680
0.111386,0.00889509,0.0376115,-0.0102947,-0.0151036,0.0156865,1598537686.404072192
0.116716,0.00408466,0.00240525,-0.00934669,-0.00529692,0.0121267,1598537686.504488960
0.0732493,0.0164339,-0.00075005,-0.0108695,0.0181886,0.0199071,1598537686.604657152
0.16276,-0.0327286,-0.0415495,0.002044,-0.00308391,0.0296954,1598537686.704696576
0.0525923,0.0176058,-0.0284154,0.00264854,-0.0111908,0.00955006,1598537686.804313088
0.110767,-0.00867126,-0.0446816,0.0147512,-0.000772043,0.000281835,1598537686.904407552
0.133729,-0.0380761,-0.0510423,0.0334882,0.0146,0.0476336,1598537687.003885824
0.117077,-0.0141792,-0.0543752,0.0276423,0.00694219,0.0251893,1598537687.103507712
0.145262,-0.0257992,0.000463998,-0.00941667,0.0415568,0.00440292,1598537687.203836160
0.12858,-0.00465863,0.0990485,-0.0192266,0.0141071,0.0148315,1598537687.303876096
0.181192,-0.056433,-0.0891913,-0.0125358,-0.0432931,0.0201738,1598537687.403861760
0.113266,0.00784555,0.00242244,-0.0325668,-0.053907,-0.0258537,1598537687.504686080
0.118176,-0.00076689,0.0610315,0.00259622,-0.0133808,-0.00948927,1598537687.604842752
0.16071,-0.00998549,0.0316719,0.00541808,0.0486482,-0.00877109,1598537687.705112576
0.130225,-0.0170497,-0.0254518,0.0215869,0.0285217,0.00997215,1598537687.804960768
0.0638725,0.0211412,-0.0444123,-0.00821289,-0.00360224,0.00858654,1598537687.904417024
0.162046,-0.0452685,0.0135869,0.0134872,-0.00806396,0.0181589,1598537688.004270336
0.114987,0.0055997,0.0142758,0.0039032,-0.0180594,0.0355876,1598537688.103472384
0.102847,0.00457821,0.0301154,-0.00819433,-0.0095424,-0.0151049,1598537688.203236608
0.154205,-0.0247228,-0.0496129,-0.00745767,0.0173303,0.0169836,1598537688.303471872
0.0743547,0.016527,0.0267425,-0.0049745,-0.00187347,0.0229569,1598537688.403352832
0.114453,-0.00497224,-0.0290872,0.0134093,-0.00331636,0.00707119,1598537688.503506944
0.139105,-0.0247013,0.0493569,0.0290305,-0.0227141,0.00257234,1598537688.603903744
0.0600063,0.0075323,0.0752923,-0.00391904,0.0292017,-0.0203088,1598537688.704018432
0.116314,0.0124804,-0.0706601,0.00593537,0.013376,0.00306788,1598537688.804470528
0.151985,-0.0157109,0.0408858,0.0156544,0.0063971,0.00747809,1598537688.904568320
0.119901,0.0152852,-0.00111126,-0.00813635,0.0114048,-0.000925435,1598537689.004402944
0.131113,-0.00748007,0.00672093,0.00652337,-0.0272277,-0.000175986,1598537689.104308736
0.179059,-0.0156587,0.0745991,-0.016356,-0.0121111,0.0242725,1598537689.203980288
0.127152,0.014208,-0.0153318,-0.00658769,0.0101762,0.0424346,1598537689.303212032
0.135603,0.0180386,0.0721985,-0.0310319,0.00489388,-0.00064223,1598537689.403101696
0.152264,-0.0012189,-0.058014,-0.00670654,0.00102711,0.0227556,1598537689.503064320
0.0815463,0.0251477,-0.0368554,0.00953323,0.00442585,0.00951812,1598537689.602999808
0.146609,0.0186969,0.0316735,0.0165127,-0.0118113,0.00911489,1598537689.703315200
0.0942123,0.00491519,0.127052,-0.0189632,-0.0148347,-0.0123415,1598537689.803521280
0.148216,-0.0427488,0.0705822,-0.00405281,0.0265901,-0.0137225,1598537689.904045312
0.132162,0.0596374,0.0329055,-0.00324773,0.00338737,0.00028947,1598537690.003894272
0.274743,-0.0602983,-0.096122,-0.00120709,-0.00737458,-0.00650728,1598537690.104278272
0.0948402,-0.0136332,0.0756559,0.0202885,0.00469204,0.0151852,1598537690.204011264
0.139742,0.0280482,0.149969,-0.0291154,-0.00206175,0.0109079,1598537690.303720448
0.317452,0.0158079,-0.126207,0.00996481,0.0139093,0.0278851,1598537690.403648512
0.0940572,0.0142693,0.0390432,0.00642696,0.0235602,0.0213967,1598537690.503217664
0.158721,0.00620981,-0.0234886,0.0243034,0.000227316,0.0225448,1598537690.603367936
0.136676,-0.00466122,0.0138278,0.0240982,0.00206757,0.00591099,1598537690.703396608
0.148881,-0.0320763,0.00416214,-0.00361108,0.00134356,-0.00639232,1598537690.803601664
0.148202,0.0155322,-0.0172242,0.00565779,0.000314039,-0.00741147,1598537690.903623424
0.101156,0.0250728,0.0199152,0.00877346,0.0389931,-0.0253279,1598537691.004074496
0.146042,-0.00925279,0.0308694,-0.0148845,0.0108334,-0.0534559,1598537691.104701184
0.145519,-0.0562277,0.0156683,-0.00251754,-0.00456668,-0.0350348,1598537691.205323008
0.188858,-0.0359649,-0.00986366,-0.00569026,-0.0185482,-0.0106691,1598537691.305287168
0.182043,0.0348667,0.0419337,-0.0114976,-0.0263178,0.0247416,1598537691.404729856
