x,y,z,roll,pitch,yaw,time
-0.01466,0.0107813,-0.0549391,-0.0504395,0.00493367,-0.0682338,1598537681.604629760
0.0947411,0.0319052,-0.0237955,-0.00228284,0.0148003,-0.0513927,1598537681.705216768
0.0323574,0.0271705,0.036224,-0.0132783,0.0169293,-0.0243478,1598537681.804939776
0.0682179,0.0226572,-0.0613382,-0.0102931,0.0002401,-0.0435342,1598537681.904721408
-0.0183975,0.0342375,0.0714598,0.0079318,-0.0125646,0.0052204,1598537682.003880704
0.0421057,0.0124799,-0.0141565,-0.0159065,-0.018875,0.0006468,1598537682.103325952
0.0301437,0.009234,-0.0518303,0.00994401,-0.0362503,0.020819,1598537682.202600960
-0.0301556,0.0106694,0.0451628,0.0311584,-0.0246227,0.0488087,1598537682.301754880
0.045692,-0.003458,0.0073683,0.0269683,-0.0521979,0.0286473,1598537682.401594880
-0.00802039,0.00508889,0.0755539,0.0384372,-0.0229732,0.0349459,1598537682.501441280
-0.0580095,0.0177722,0.00453574,0.0086556,-0.027575,0.00585747,1598537682.601820160
0.0269617,0.00115758,-0.0323567,0.00552464,0.0203037,0.0349282,1598537682.702421504
0.0369747,-0.00988052,0.0182304,-0.00231725,0.0280589,0.00606208,1598537682.802942464
-0.00887096,-0.00456643,0.0182304,-0.00324089,0.0474065,0.0480719,1598537682.903083008
-0.0390477,0.021953,-0.0422466,-0.00522478,0.0404378,0.0411687,1598537683.003108864
-0.00761971,0.00890339,-0.046974,-0.00375279,0.0455046,0.0334427,1598537683.103367680
-0.00442841,0.0114919,0.0107894,0.00637729,0.0465544,0.0318562,1598537683.203568896
-0.00040407,0.0125335,-0.00278007,0.00989281,0.0371461,0.0388797,1598537683.303637760
-0.110899,0.0368031,0.0133702,0.00244192,0.020351,0.00369551,1598537683.403665152
-0.00841898,0.0292261,0.00283427,0.0041459,0.0288787,0.0107108,1598537683.504374784
-0.043044,0.0414254,0.00785753,-0.0195827,0.0182822,0.0194476,1598537683.604352768
0.0118702,0.0208509,-0.0638242,0.00341338,-0.00153628,0.0350932,1598537683.704233216
-0.01296,0.0304046,0.029171,-0.00588683,0.0269211,0.0684141,1598537683.803530240
0.0346007,0.0880244,-0.0178911,-0.00201373,0.0238187,0.112381,1598537683.902376448
0.000334991,0.0941119,0.0401205,-0.0236824,0.00264385,0.134348,1598537684.000984064
0.0127798,0.103774,-0.0303577,-0.0159014,-0.0191583,0.137212,1598537684.100150016
0.00412566,0.0862649,-0.0206021,0.00289956,-0.0330181,0.144958,1598537684.199559680
-0.00664311,0.113726,-0.0267355,0.00610226,-0.0369968,0.158383,1598537684.299474944
0.0251918,0.104546,-0.0162348,0.000221334,-0.0466545,0.163159,1598537684.399599872
0.196954,0.111853,-0.0364888,0.0345848,-0.0231185,0.188155,1598537684.500289792
0.0246285,0.113422,0.0438359,0.0216322,0.0267777,0.189266,1598537684.600199168
0.0207711,0.100059,0.0474084,-0.0198169,0.0127176,0.188085,1598537684.701149952
0.114374,0.0738266,-0.166833,0.000179184,0.0111595,0.174329,1598537684.802343680
0.00452215,0.108964,0.025968,0.0244995,-0.00917164,0.159412,1598537684.903285248
0.107623,0.0879038,-0.0242824,0.00206275,-0.0381396,0.130366,1598537685.004786176
-0.0185141,0.0565103,0.0376108,-0.0187209,-0.0418875,0.101428,1598537685.105835776
0.167647,0.101801,-0.108163,-0.0158466,-0.00997694,0.133521,1598537685.206731008
0.0885211,0.0773279,-0.0155204,0.0193208,0.0238667,0.137402,1598537685.306354176
0.0706762,0.046214,-0.00820036,0.0298928,0.00875952,0.109479,1598537685.405848320
0.100735,0.0584157,0.000402491,0.0226382,0.00182041,0.0812908,1598537685.505607168
0.0952831,0.0339887,0.0153429,0.013421,-0.0146716,0.0807961,1598537685.605288192
0.0861413,0.0272529,0.0225675,0.00232022,-0.00200891,0.077489,1598537685.704893696
0.143423,0.0396414,-0.0259559,-0.00084809,-0.000349429,0.0860146,1598537685.804591360
0.0774983,0.0155258,0.000948164,0.012228,0.0168539,0.054817,1598537685.904205056
0.125589,0.0247711,-0.0228218,0.0171197,0.00266944,0.0599489,1598537686.004122624
0.0990224,0.0233735,-0.0238543,0.0202793,-0.0195298,0.0584154,1598537686.103940864
0.0480616,0.0300818,0.010716,0.0272582,-0.0220293,0.0553613,1598537686.203778304
0.0755381,0.0298163,0.0264411,0.0211919,-0.0150839,0.0517152,1598537686.303783680
0.106489,0.00366845,0.0439669,-0.00400848,-0.00631873,0.0151506,1598537686.404072192
0.106463,0.0150391,-0.00476738,-0.00920952,-0.00554375,0.0119421,1598537686.504488960
0.0930352,0.0102474,-0.00203662,-0.00764955,0.0199872,0.0218207,1598537686.604657152
0.112679,0.00869577,0.0291779,-0.00704395,0.00204571,0.0222248,1598537686.704696576
0.106363,-0.0287381,-0.0840786,0.00668278,-0.0195936,0.018792,1598537686.804313088
0.178634,-0.0717152,-0.0598201,0.0261668,0.0057044,0.0138881,1598537686.904407552
0.116234,-0.0321469,0.017766,0.0239002,0.0174973,0.0443853,1598537687.003885824
0.0871591,0.00817493,-0.0357842,0.0288999,0.0118125,0.0182521,1598537687.103507712
0.117964,-0.0379388,-0.0332931,-0.0111872,0.034464,0.0104158,1598537687.203836160
0.134547,-0.0294,-0.0055962,-0.00637816,0.00385425,0.0195884,1598537687.303876096
0.0627623,0.00843241,-0.0532024,-0.0264057,-0.0519582,-0.004239,1598537687.403861760
0.209671,-0.0727588,-0.0360776,-0.0163368,-0.0451966,-0.00520229,1598537687.504686080
0.117466,-0.000212245,0.0512922,0.00156732,-0.0129327,-0.00949336,1598537687.604842752
0.143826,-0.00663523,0.107483,0.00651501,0.0517429,-0.00675959,1598537687.705112576
0.141685,-0.0238489,-0.0297724,0.0212525,0.0295587,0.00845066,1598537687.804960768
0.0886466,0.029992,-0.0415621,-0.00784073,-0.0037927,0.00772797,1598537687.904417024
0.179125,-0.03891,0.00585627,0.0130753,-0.00596794,0.0166832,1598537688.004270336
0.111125,0.00464393,0.0245208,0.00424816,-0.0185757,0.0357648,1598537688.103472384
0.107085,0.00151628,0.0471278,-0.00756538,-0.00787285,-0.0151358,1598537688.203236608
0.127391,-0.017722,-0.0232222,-0.00575214,0.0146203,0.0193444,1598537688.303471872
0.0685506,0.00791688,0.0311045,-0.00481966,-0.00180409,0.0235904,1598537688.403352832
0.123801,-0.00907375,-0.0428535,0.0116596,-0.00393529,0.00734407,1598537688.503506944
0.220921,-0.0348478,0.0119841,0.0264168,-0.0202958,0.000438353,1598537688.603903744
0.0926816,0.0149518,0.0592837,-0.00506369,0.0293084,-0.0218738,1598537688.704018432
0.123751,0.00178461,-0.0814305,0.00441989,0.0106672,0.00316791,1598537688.804470528
0.144529,-0.0172615,0.0324191,0.0157734,0.00563617,0.00808996,1598537688.904568320
0.119052,0.0175974,-0.0254945,-0.00801664,0.00647453,-0.00034903,1598537689.004402944
0.137456,0.00514499,0.0130139,0.00667799,-0.0268924,-0.000788707,1598537689.104308736
0.145204,-0.0309374,0.0909904,-0.0204768,-0.00843412,0.0291491,1598537689.203980288
0.103339,0.0567076,-0.00944618,-0.00945747,0.0113432,0.0371213,1598537689.303212032
0.145621,-0.00170575,0.0549421,-0.0286538,0.00393209,0.00178306,1598537689.403101696
0.166969,0.000625803,-0.0323853,-0.00482773,0.00139169,0.0218976,1598537689.503064320
0.111323,0.044434,-0.0362806,0.00816141,0.00369091,0.00730511,1598537689.602999808
0.151294,0.0123256,0.0194023,0.0192958,-0.0140835,0.00689907,1598537689.703315200
0.0951091,0.0303212,0.143044,-0.0241143,-0.011943,-0.0164282,1598537689.803521280
0.184648,0.0149341,-0.0434394,-0.0145854,0.0259538,-0.0202755,1598537689.904045312
0.134245,0.0488635,0.0250553,-0.00398094,0.00258567,-0.000189749,1598537690.003894272
0.264836,-0.0225246,-0.0779799,-0.000563892,-0.0060939,-0.0116487,1598537690.104278272
0.143988,0.0174111,-0.000436817,0.0180953,-0.00139874,0.0123117,1598537690.204011264
0.13104,0.0211487,0.153509,-0.0278258,-0.00159426,0.0108457,1598537690.303720448
0.20718,0.00246946,-0.0995636,0.0101486,0.0136265,0.0314676,1598537690.403648512
0.111745,0.00724319,0.0342599,0.0109115,0.00728078,0.0209025,1598537690.503217664
0.182893,-0.000782604,-0.0634286,0.0189631,-0.00414642,0.018849,1598537690.603367936
0.163316,0.000668757,0.0356327,0.0262551,-0.000111497,0.00415961,1598537690.703396608
0.238786,-0.044744,-0.0251426,0.000443535,-0.00150176,-0.00842374,1598537690.803601664
0.0947945,0.0508829,0.0788492,0.0102891,0.00737386,-0.00624538,1598537690.903623424
0.138023,0.0128704,0.0202223,0.00899127,0.0390651,-0.0272791,1598537691.004074496
0.138894,-0.0185253,0.0156592,-0.0150203,0.0108549,-0.0532694,1598537691.104701184
0.202585,-0.063037,-0.0370416,-0.00682499,-0.0077549,-0.0391578,1598537691.205323008
0.180162,0.0114477,0.0348593,-0.00872208,-0.0132295,-0.0269465,1598537691.305287168
0.172287,-0.0515368,0.109241,-0.00484401,-0.0195941,0.0410105,1598537691.404729856
0.168306,0.0169759,0.0325436,-0.00271242,-0.0185565,0.0322596,1598537691.503613952
0.143375,0.0147203,0.182424,-0.0261309,-0.00269529,0.00294855,1598537691.603115008
0.417757,-0.0826944,-0.120102,-0.0102179,-0.0127752,0.0467548,1598537691.703096832
0.098413,0.0281323,0.0116209,0.00839405,-0.0267154,0.0308607,1598537691.802357504
0.15204,-0.0017661,-0.0117053,-0.00111916,-0.0336964,0.000546898,1598537691.902546944
-0.0109161,0.121582,0.0478349,0.0365108,-0.00939765,0.00513024,1598537692.002491392
0.143466,0.00204115,0.035445,0.0246132,0.00246859,-0.0137847,1598537692.103115520
0.140349,-0.0120574,0.0160215,0.0126027,0.0165951,-0.00511281,1598537692.203620864
0.0744948,0.0251814,0.0995361,-0.0128156,-0.0129361,-0.00258423,1598537692.303584512
0.108395,-0.0184135,-0.0144033,-0.0362257,-0.0220361,-0.00770062,1598537692.403758592
0.119401,-0.00960265,-0.0214596,-0.0116101,-0.025423,0.0214285,1598537692.503445760
0.0656715,0.000336951,0.04488,-0.0303758,-0.00626247,0.0201956,1598537692.602852608
0.0858329,-0.00907485,0.019778,-0.0268529,0.00351032,-0.0119836,1598537692.702665472
0.169953,-0.0526313,-0.0253443,-0.0134705,-0.00980081,0.0034747,1598537692.802945280
0.0892248,-0.00161064,-0.0550745,-0.00415306,-0.00511477,0.00244771,1598537692.902639872
0.140415,-0.0361461,-0.131531,0.0259906,-0.0118622,0.00554916,1598537693.002817536
0.0434135,-0.0574825,-0.037653,0.0379032,-0.0132576,-0.0122299,1598537693.102540288
0.108827,-0.0442782,0.00206249,0.00198932,0.0114144,-0.0502965,1598537693.203336704
0.125854,-0.0110337,-0.0105946,0.000813303,0.034278,-0.0363129,1598537693.303886592
0.078321,-0.0326817,0.0446986,-0.00773848,0.00486168,-0.0583784,1598537693.404139776
0.100653,-0.0150072,-0.0959917,-0.00687809,-0.0036012,-0.0614905,1598537693.504451584
0.14309,-0.0184257,-0.14482,0.0259527,0.000185806,-0.0426886,1598537693.604558592
0.147501,-0.056044,0.0212505,-0.00535048,0.0251602,-0.0579698,1598537693.704345088
0.127835,-0.0174435,-0.0777946,0.0103576,0.0350353,-0.0528574,1598537693.804050176
0.0654519,0.0459738,0.041564,-0.00748538,0.0150146,-0.0675146,1598537693.903646976
0.0362072,0.0540461,-0.0543418,-0.00456457,-0.00924154,-0.0555572,1598537694.003376640
0.0895831,0.00521186,0.0142607,-0.00890202,-0.0180618,-0.081943,1598537694.103339520
0.131908,0.00436961,-0.0171882,0.00349745,-0.0224246,-0.0697364,1598537694.203521792
0.0853499,-0.0248325,0.136504,0.00587291,0.0112336,-0.0879275,1598537694.303508480
0.106699,-0.00483688,-0.0651085,-0.00167403,0.03698,-0.0742259,1598537694.403532544
0.0369096,0.0386002,-0.033119,0.0187065,0.000920497,-0.0590498,1598537694.503343360
0.0643993,0.0175687,0.143442,-0.00698439,0.0146019,-0.0664963,1598537694.603265792
0.258423,-0.0493023,-0.16832,-0.00607183,0.0078103,-0.0515992,1598537694.703204608
-0.0301171,0.0550834,0.142608,0.00538355,-0.0116345,-0.0484031,1598537694.802643456
0.192235,0.0229708,-0.0316351,-0.0198138,-0.0214627,-0.0641552,1598537694.902685184
0.00528496,0.0313187,0.12244,-0.000684026,-0.0102769,-0.0464066,1598537695.002489344
0.156428,0.00798196,-0.0435009,-0.0116989,0.00797379,-0.0563807,1598537695.102608896
0.129389,0.0171283,-0.0736653,0.0368888,0.0134884,-0.00582917,1598537695.202398720
-0.0144884,0.0116557,0.153946,0.0151982,0.00645307,-0.042282,1598537695.302222336
