x,y,z,roll,pitch,yaw,time
-0.0110443,-0.00575333,-0.0626395,-0.0502358,0.00448997,-0.066393,1598537681.604629760
0.111026,0.0339881,-0.043638,-0.00161297,0.013067,-0.0508015,1598537681.705216768
0.0335397,0.0276161,0.0337314,-0.0134618,0.0162588,-0.0243875,1598537681.804939776
0.0626409,0.0260263,-0.039791,-0.0111448,0.0019379,-0.0437703,1598537681.904721408
-0.0112008,-0.00081198,0.0531699,0.00939392,-0.0155253,0.00699508,1598537682.003880704
0.0397838,0.0353275,-0.00672731,-0.0171901,-0.0186741,0.00055552,1598537682.103325952
0.0327839,0.00865322,-0.0504074,0.0107212,-0.0367593,0.0212778,1598537682.202600960
-0.0478557,0.0057303,0.0250283,0.0321815,-0.0267286,0.0491703,1598537682.301754880
0.0596922,0.00238613,0.00258002,0.0281359,-0.0518502,0.0276023,1598537682.401594880
-0.0222139,0.0105981,0.119022,0.0364789,-0.0185404,0.0334845,1598537682.501441280
-0.0473786,0.00791128,0.0484264,0.00614184,-0.0228711,0.00660523,1598537682.601820160
0.0385098,0.00563763,0.0380719,0.00441402,0.0302368,0.0335525,1598537682.702421504
0.0325425,0.0149396,0.0250244,-0.00319123,0.0294929,0.00541499,1598537682.802942464
-0.00562325,0.00898154,-0.00954631,-0.00323737,0.0440373,0.0472563,1598537682.903083008
-0.0342874,0.0257609,-0.0111111,-0.00499722,0.0447203,0.0408477,1598537683.003108864
-0.00736675,0.00383461,-0.0181366,-0.00465715,0.0471217,0.0326684,1598537683.103367680
-0.000718209,0.0114305,-0.00620958,0.00370679,0.0427009,0.0331456,1598537683.203568896
-0.00994001,0.00839476,-0.0274652,0.010633,0.0346605,0.0390404,1598537683.303637760
-0.0938037,0.0558574,0.0195465,0.00278013,0.0208581,0.00424806,1598537683.403665152
-0.0200095,0.0259426,-0.00612491,0.0016787,0.0259574,0.00940324,1598537683.504374784
-0.0511385,0.0489551,0.0215503,-0.0194664,0.0217219,0.0191521,1598537683.604352768
-0.023313,0.0241114,-0.0619372,0.00283563,-0.0028958,0.0322399,1598537683.704233216
-0.0157561,0.0385663,0.0341524,-0.00859213,0.0267539,0.06585,1598537683.803530240
-0.0463769,0.0418821,-0.0213249,-0.00202021,0.0231897,0.122023,1598537683.902376448
-0.0382836,0.0462101,0.0366759,-0.0241252,0.000503883,0.13947,1598537684.000984064
0.0222632,0.0947665,-0.0325703,-0.0156762,-0.0201862,0.137571,1598537684.100150016
-0.0232618,0.109017,-0.0799134,-0.00272648,-0.0345572,0.146921,1598537684.199559680
0.000878289,0.114817,-0.0299671,0.00570074,-0.0368552,0.156711,1598537684.299474944
0.00711457,0.132197,-0.0260775,0.00134175,-0.048239,0.166086,1598537684.399599872
0.188999,0.110618,-0.0610116,0.0331861,-0.0255713,0.189375,1598537684.500289792
-0.0576534,0.0703432,0.088134,0.017791,-0.00513941,0.201329,1598537684.600199168
0.102094,0.076287,0.0389688,-0.0227318,0.0123974,0.181656,1598537684.701149952
0.119124,0.0714327,-0.168333,0.000666089,0.010984,0.174695,1598537684.802343680
-0.0259116,0.121873,0.00550077,0.0236202,-0.0114639,0.157561,1598537684.903285248
0.0597863,0.103212,-0.0287094,0.00228993,-0.0381151,0.130302,1598537685.004786176
-0.0160419,0.053768,0.039181,-0.0197725,-0.0416806,0.100176,1598537685.105835776
0.145933,0.139149,-0.108545,-0.0145973,-0.0101022,0.132479,1598537685.206731008
0.0985028,0.0770292,-0.0173837,0.0211528,0.0233388,0.137287,1598537685.306354176
0.0692343,0.0487348,-0.00458477,0.0294547,0.00855112,0.109847,1598537685.405848320
0.0941211,0.0525877,-0.0116924,0.0226754,0.00137466,0.0818059,1598537685.505607168
0.0955067,0.0469095,0.0016224,0.0147877,-0.0176808,0.0806408,1598537685.605288192
0.0858708,0.0379661,0.0309014,0.00217933,-0.000196947,0.0773956,1598537685.704893696
0.146232,0.0384111,-0.0354822,-0.00110262,-0.000972673,0.0870264,1598537685.804591360
0.0915114,0.0324257,0.0169432,0.010707,0.0197536,0.0519034,1598537685.904205056
0.114646,0.0205091,-0.0372264,0.0185428,0.00160931,0.0601367,1598537686.004122624
0.0972879,0.0202668,-0.0148024,0.0202269,-0.0173072,0.058798,1598537686.103940864
0.0544987,0.0368166,0.00638848,0.0270787,-0.0250891,0.0544343,1598537686.203778304
0.0821821,0.0279612,0.0493901,0.022464,-0.0104497,0.051824,1598537686.303783680
0.104433,0.0129409,0.0425606,-0.00498899,-0.0075724,0.0147296,1598537686.404072192
0.121605,-0.0055967,-0.00219342,-0.00986533,-0.0055879,0.0138981,1598537686.504488960
0.076257,0.0189098,0.0106718,-0.0105257,0.0180815,0.0203036,1598537686.604657152
0.157058,-0.0249898,-0.0678238,0.00119957,-0.00805971,0.0285787,1598537686.704696576
0.0559934,0.0181241,-0.00716894,0.000458424,-0.00932579,0.0089353,1598537686.804313088
0.178197,-0.0549415,-0.116772,0.0217648,-0.00755466,0.0117366,1598537686.904407552
0.113018,-0.0104805,0.0207111,0.0272054,0.020126,0.0422507,1598537687.003885824
0.103707,-0.00973935,-0.025191,0.025741,0.013126,0.0223552,1598537687.103507712
0.13796,-0.0425765,-0.0410797,-0.0122146,0.0357478,0.00875214,1598537687.203836160
0.137848,-0.0259897,-0.00908012,-0.00669726,0.00369982,0.0193075,1598537687.303876096
0.109738,-0.0170214,-0.00874761,-0.0233995,-0.0378173,0.0059556,1598537687.403861760
0.193074,-0.0695686,-0.0232762,-0.00407264,-0.0308863,-0.00739123,1598537687.504686080
0.118176,-0.00076689,0.0610315,0.00259622,-0.0133808,-0.00948927,1598537687.604842752
0.154119,-0.00573926,0.018116,0.000128061,0.0404347,-0.00779013,1598537687.705112576
0.130225,-0.0170497,-0.0254518,0.0215869,0.0285217,0.00997215,1598537687.804960768
0.0638725,0.0211412,-0.0444123,-0.00821289,-0.00360224,0.00858654,1598537687.904417024
0.162046,-0.0452685,0.0135869,0.0134872,-0.00806396,0.0181589,1598537688.004270336
0.114987,0.0055997,0.0142758,0.0039032,-0.0180594,0.0355876,1598537688.103472384
0.102847,0.00457821,0.0301154,-0.00819433,-0.0095424,-0.0151049,1598537688.203236608
0.154205,-0.0247228,-0.0496129,-0.00745767,0.0173303,0.0169836,1598537688.303471872
0.0743547,0.016527,0.0267425,-0.0049745,-0.00187347,0.0229569,1598537688.403352832
0.114453,-0.00497224,-0.0290872,0.0134093,-0.00331636,0.00707119,1598537688.503506944
0.139105,-0.0247013,0.0493569,0.0290305,-0.0227141,0.00257234,1598537688.603903744
0.0600063,0.0075323,0.0752923,-0.00391904,0.0292017,-0.0203088,1598537688.704018432
0.116314,0.0124804,-0.0706601,0.00593537,0.013376,0.00306788,1598537688.804470528
0.151985,-0.0157109,0.0408858,0.0156544,0.0063971,0.00747809,1598537688.904568320
0.119901,0.0152852,-0.00111126,-0.00813635,0.0114048,-0.000925435,1598537689.004402944
0.131113,-0.00748007,0.00672093,0.00652337,-0.0272277,-0.000175986,1598537689.104308736
0.179059,-0.0156587,0.0745991,-0.016356,-0.0121111,0.0242725,1598537689.203980288
0.127152,0.014208,-0.0153318,-0.00658769,0.0101762,0.0424346,1598537689.303212032
0.143597,-0.0156894,0.0337607,-0.0325337,0.0043172,0.00182148,1598537689.403101696
0.152264,-0.0012189,-0.058014,-0.00670654,0.00102711,0.0227556,1598537689.503064320
0.0797376,0.0269177,-0.0369798,0.00956265,0.00448862,0.00955032,1598537689.602999808
0.119674,-0.0072055,-0.00208433,0.0149997,-0.0171706,0.00931101,1598537689.703315200
0.0942123,0.00491519,0.127052,-0.0189632,-0.0148347,-0.0123415,1598537689.803521280
0.148216,-0.0427488,0.0705822,-0.00405281,0.0265901,-0.0137225,1598537689.904045312
0.132162,0.0596374,0.0329055,-0.00324773,0.00338737,0.00028947,1598537690.003894272
0.274743,-0.0602983,-0.096122,-0.00120709,-0.00737458,-0.00650728,1598537690.104278272
0.132048,-0.000288146,0.0145559,0.0180073,-0.00039212,0.0140011,1598537690.204011264
0.101967,0.0244055,0.155311,-0.0249834,0.00116995,0.0156703,1598537690.303720448
0.227582,-0.000417091,-0.0796732,0.0106305,0.0161391,0.030095,1598537690.403648512
0.09307,0.0149445,0.0217224,0.00449826,0.0186425,0.0209634,1598537690.503217664
0.210932,-0.0194174,-0.0836523,0.0193621,-0.00669937,0.017045,1598537690.603367936
0.153292,-0.0141241,0.0541399,0.0235901,0.001019,0.00482603,1598537690.703396608
0.208392,-0.00818496,-0.00703131,0.000815748,0.000459189,-0.0116473,1598537690.803601664
0.107283,0.0204678,0.0457502,0.0048128,0.00403838,-0.00395407,1598537690.903623424
0.0986334,0.0240201,0.0201301,0.00885507,0.0390797,-0.0253903,1598537691.004074496
0.146042,-0.00925279,0.0308694,-0.0148845,0.0108334,-0.0534559,1598537691.104701184
0.145519,-0.0562277,0.0156683,-0.00251754,-0.00456668,-0.0350348,1598537691.205323008
0.184388,-0.00183423,0.0274821,-0.009199,-0.012974,-0.0222873,1598537691.305287168
0.182043,0.0348667,0.0419337,-0.0114976,-0.0263178,0.0247416,1598537691.404729856
