x,y,z,roll,pitch,yaw,time
-0.0185111,0.0250295,-0.045666,-0.0520424,0.00744694,-0.0675287,1598537681.604629760
0.11008,0.0098469,-0.0314685,-0.00229888,0.0139435,-0.0534466,1598537681.705216768
0.0281431,0.0203672,0.0289545,-0.0132137,0.0157113,-0.0241903,1598537681.804939776
0.0686935,0.00501706,-0.0450428,-0.0106608,0.00172452,-0.0441188,1598537681.904721408
-0.00232934,0.022351,0.0713621,0.00927888,-0.013399,0.00705775,1598537682.003880704
0.03472,0.0115492,-0.0133077,-0.0177499,-0.0195188,0.000394508,1598537682.103325952
0.0284979,0.00432089,-0.0487618,0.00990592,-0.0363711,0.0207624,1598537682.202600960
-0.0368067,0.0238684,0.0306314,0.032464,-0.0257149,0.0486449,1598537682.301754880
0.0573951,-0.0240609,-0.0273402,0.0281639,-0.0569711,0.0295665,1598537682.401594880
-0.00496048,0.0250644,0.150405,0.0360334,-0.015742,0.0332751,1598537682.501441280
-0.0854892,0.0420018,0.0568557,0.00494033,-0.0241587,0.00351201,1598537682.601820160
0.0824518,-0.0553005,-0.0219151,0.00767266,0.0251738,0.0393761,1598537682.702421504
0.0294787,-0.0101997,0.0293025,-0.00446659,0.0265945,0.00634569,1598537682.802942464
-0.0386634,0.010487,-0.0897221,-0.00243623,0.0312859,0.0462322,1598537682.903083008
-0.0585089,0.0207039,-0.0350409,-0.00556946,0.0388724,0.0414644,1598537683.003108864
-0.00127685,0.013677,-0.0347376,-0.00491501,0.0457704,0.032125,1598537683.103367680
-0.00257461,0.0164701,0.00914457,0.0058256,0.0465316,0.0327416,1598537683.203568896
-0.017104,0.00745311,-0.0360071,0.0108822,0.0330606,0.0388215,1598537683.303637760
-0.0924615,0.0599485,-0.0225788,0.00277978,0.0157002,0.00366964,1598537683.403665152
-0.00352726,0.0140253,-0.00137781,0.00336311,0.0285235,0.0106798,1598537683.504374784
-0.0552037,0.0537138,-0.0123555,-0.0196005,0.0165958,0.0187038,1598537683.604352768
0.0142698,0.00800908,-0.0275063,0.00388967,0.00173012,0.0367653,1598537683.704233216
-0.0155868,0.0420746,-0.0152106,-0.00831341,0.0214685,0.0675811,1598537683.803530240
0.0115131,0.0287722,-0.0324804,-0.00350042,0.0231857,0.11593,1598537683.902376448
-0.0164879,0.0690143,0.0268977,-0.0246857,0.000732355,0.13516,1598537684.000984064
0.00368516,0.0812452,0.00211718,-0.0124266,-0.0179999,0.138185,1598537684.100150016
-0.0258261,0.0831744,-0.037654,0.000255595,-0.0337504,0.147524,1598537684.199559680
0.0508469,0.0892094,-0.0596263,0.00441279,-0.0377587,0.156709,1598537684.299474944
-0.0158129,0.123307,0.0296988,0.00601791,-0.0472207,0.165615,1598537684.399599872
0.105411,0.130471,-0.053984,0.0361798,-0.0241709,0.198001,1598537684.500289792
0.045261,0.10202,0.00434289,0.0094412,0.00147346,0.191255,1598537684.600199168
0.0654517,0.11281,-0.046632,-0.02847,0.0123256,0.184509,1598537684.701149952
0.1173,0.0794917,-0.00137492,0.0182147,0.0018365,0.176976,1598537684.802343680
0.00027231,0.0944241,0.0126018,0.022623,-0.00934449,0.156887,1598537684.903285248
0.0932349,0.0921055,-0.0083208,0.00260138,-0.0387912,0.129143,1598537685.004786176
-0.00773603,0.0974561,-0.0215169,-0.0347221,-0.0402377,0.0929796,1598537685.105835776
