x,y,z,roll,pitch,yaw,time
-0.0157907,0.0120431,-0.0626489,-0.0508203,0.00461669,-0.068234,1598537681.604629760
0.108779,0.0207753,-0.0451929,-0.0017721,0.0131416,-0.0500581,1598537681.705216768
0.0371908,0.0169972,0.0515731,-0.012764,0.0185025,-0.0233492,1598537681.804939776
0.0771687,0.0273853,-0.0663159,-0.0102444,3.2563e-05,-0.0435833,1598537681.904721408
-0.0093016,-0.00154724,0.0581011,0.0106588,-0.0163677,0.0077342,1598537682.003880704
0.0421722,0.0400837,0.00705068,-0.0194188,-0.0146783,-0.0004315,1598537682.103325952
0.0338758,0.0106226,-0.0367051,0.00933146,-0.0365687,0.0209158,1598537682.202600960
-0.0408655,0.00103951,-0.0262947,0.0361878,-0.0343369,0.0488644,1598537682.301754880
0.0630987,-0.00348298,0.0289849,0.0251987,-0.0502607,0.030683,1598537682.401594880
-0.00701706,0.0279506,0.088827,0.0381101,-0.0224064,0.0329701,1598537682.501441280
-0.0407025,0.00681814,0.0554895,0.0060189,-0.0215562,0.00580098,1598537682.601820160
0.0340938,0.00442168,-0.0127222,0.00573211,0.0234606,0.0361945,1598537682.702421504
0.0216922,-0.00978523,0.0228633,-0.00216963,0.0280925,0.00646375,1598537682.802942464
-0.000599952,0.0276659,-0.00229557,-0.00266175,0.0463718,0.0458772,1598537682.903083008
-0.0399215,0.00588402,-0.058096,-0.00568866,0.0377259,0.0421211,1598537683.003108864
-0.00919155,0.012478,-0.0277799,-0.00297653,0.0477464,0.0317561,1598537683.103367680
0.00792693,0.0199048,-0.00666234,0.00559782,0.0433394,0.0322499,1598537683.203568896
-0.0155277,-0.00243113,-0.0179784,0.0107622,0.0357691,0.0395542,1598537683.303637760
-0.0910355,0.0666735,0.00182035,0.00300747,0.0201061,0.00324611,1598537683.403665152
-0.0114432,0.0235091,0.00590846,0.00323677,0.0281504,0.0098122,1598537683.504374784
-0.0545032,0.0486042,-0.0106315,-0.019612,0.0170507,0.0188622,1598537683.604352768
-0.0143848,0.0213021,-0.0285235,0.00440261,0.00215523,0.0332085,1598537683.704233216
-0.0377416,0.0548999,0.00774482,-0.00726509,0.024532,0.0645312,1598537683.803530240
-0.0127879,0.0280729,0.0359527,-0.00617639,0.0327312,0.119938,1598537683.902376448
-0.00174875,0.0744311,0.0696864,-0.0205314,0.00634742,0.137426,1598537684.000984064
0.0340546,0.0843015,-0.0306219,-0.016862,-0.0190181,0.137292,1598537684.100150016
-0.0126085,0.097891,-0.0782763,-0.00239548,-0.0338959,0.147447,1598537684.199559680
0.0398062,0.0938431,0.0862413,0.0136806,-0.0152301,0.158096,1598537684.299474944
0.0552938,0.115133,0.0650309,0.0035444,-0.0264182,0.162074,1598537684.399599872
0.013144,0.0962544,-0.0245912,0.0380388,-0.0271064,0.215317,1598537684.500289792
0.124927,0.118585,-0.0755918,0.0059847,0.0158597,0.178506,1598537684.600199168
0.0304508,0.0808605,0.0553167,-0.0188029,0.0130184,0.188529,1598537684.701149952
0.128637,0.0722679,-0.154313,-0.00277027,0.00928757,0.173927,1598537684.802343680
-0.00659241,0.125508,0.0126627,0.0252574,-0.00985222,0.159286,1598537684.903285248
0.090444,0.070013,-0.0145775,0.00377066,-0.037976,0.130822,1598537685.004786176
0.0685611,0.117161,-0.0536135,-0.0391989,-0.0357204,0.0906806,1598537685.105835776
0.159553,0.142408,-0.0863137,-0.0154566,-0.0087072,0.133559,1598537685.206731008
