x,y,z,roll,pitch,yaw,time
-0.0292051,0.0126688,-0.0839112,-0.0494661,0.000639005,-0.0686374,1598537681.604629760
0.0898013,0.040353,-0.0395416,-0.00218565,0.0131694,-0.0527019,1598537681.705216768
0.0329013,0.0223647,0.04737,-0.0140027,0.0187225,-0.0240982,1598537681.804939776
0.0621299,-0.00409012,-0.061743,-0.0102444,-0.0017725,-0.0442239,1598537681.904721408
-0.00891145,0.0435156,0.0603871,0.00827184,-0.0135708,0.00518417,1598537682.003880704
0.0549717,0.00535504,0.00163937,-0.0160994,-0.0168147,0.000934951,1598537682.103325952
0.0224989,0.00586562,-0.0500845,0.00977311,-0.036267,0.020464,1598537682.202600960
-0.0617347,0.032152,0.0115315,0.0330391,-0.0268223,0.0479877,1598537682.301754880
-0.028226,0.0114536,-0.0806965,0.0359422,-0.0516273,0.0179337,1598537682.401594880
-0.00771153,0.0189519,0.0396134,0.0411429,-0.0259231,0.0339057,1598537682.501441280
-0.037996,0.00489179,0.0306166,0.0071254,-0.0237067,0.00758328,1598537682.601820160
0.0460029,-0.0276867,-0.0280223,0.00681328,0.0214532,0.0377905,1598537682.702421504
0.000507339,0.0060673,0.00686806,-0.00335825,0.0255532,0.0028035,1598537682.802942464
-0.0176529,0.0139356,0.00246719,-0.00327222,0.0454293,0.0465039,1598537682.903083008
-0.0378219,0.0208981,-0.0367797,-0.00487377,0.0409485,0.0419474,1598537683.003108864
0.0154537,-0.00676844,-0.0156351,-0.00463503,0.0474514,0.0341873,1598537683.103367680
0.00738863,0.0155872,0.000880818,0.00551851,0.0446404,0.0325204,1598537683.203568896
-0.0166847,-0.00509253,-0.0240247,0.0107619,0.0346655,0.0394934,1598537683.303637760
-0.0902103,0.0735828,0.00501906,0.00284181,0.0203309,0.0031001,1598537683.403665152
-0.00414623,0.0161131,0.0197525,0.00353144,0.029685,0.0104158,1598537683.504374784
-0.0620844,0.0590547,-0.0211422,-0.020259,0.0161708,0.018206,1598537683.604352768
0.0114992,0.00471039,-0.0527794,0.00383252,-0.0011675,0.036183,1598537683.704233216
0.00130889,0.030089,0.0103443,-0.00814551,0.0252924,0.0689123,1598537683.803530240
-0.070014,0.0189829,-0.0464657,-0.00431471,0.0241751,0.126722,1598537683.902376448
-0.0524386,0.0237039,0.100959,-0.0198306,0.00496197,0.141242,1598537684.000984064
-0.0117482,0.0937361,-0.017993,-0.0151182,-0.0155143,0.139531,1598537684.100150016
0.0211598,0.113244,0.0176763,0.00597817,-0.0287103,0.143455,1598537684.199559680
0.0373367,0.0949107,0.00281528,0.00953661,-0.0304623,0.15642,1598537684.299474944
-0.00293843,0.146111,-0.101769,-0.00558867,-0.0580874,0.165126,1598537684.399599872
-0.0462346,0.0827865,0.114716,0.0536004,-0.0191865,0.222472,1598537684.500289792
0.0641064,0.104383,0.0207851,0.0135789,0.00167428,0.181559,1598537684.600199168
0.0933647,0.0871764,-0.110382,-0.0373671,0.00784236,0.175998,1598537684.701149952
0.11818,-0.0472779,0.784243,0.0976537,-0.0191982,0.176362,1598537684.802343680
0.497204,-0.15078,-0.364518,-0.0200458,-0.0102698,0.0902237,1598537684.903285248
0.0927327,0.0808095,0.0174484,0.00572825,-0.0363791,0.130697,1598537685.004786176
-0.0117353,0.0488987,0.0475109,-0.0213444,-0.0405711,0.0984409,1598537685.105835776
0.14148,0.15285,-0.113156,-0.0110248,-0.0119812,0.133547,1598537685.206731008
0.0868086,0.0715683,-0.0145235,0.0196872,0.0241329,0.137102,1598537685.306354176
0.0747872,0.0461174,-0.0062318,0.0305316,0.00928062,0.108479,1598537685.405848320
0.101005,0.0511905,-0.00950116,0.0226918,-0.000516686,0.0814617,1598537685.505607168
0.0923536,0.0372345,0.0163147,0.0135772,-0.0146983,0.0809436,1598537685.605288192
0.0802788,0.0523035,0.025737,0.00141756,-1.32947e-05,0.0768678,1598537685.704893696
0.142765,0.0291826,-0.0323256,0.000803122,-0.00252245,0.0878315,1598537685.804591360
0.077155,0.00509308,0.013578,0.0089874,0.0267334,0.0541668,1598537685.904205056
0.104576,0.0246305,-0.0171474,0.0175716,0.00414409,0.059653,1598537686.004122624
0.0962097,0.0256459,-0.0283374,0.0207715,-0.0208601,0.0586631,1598537686.103940864
0.065356,0.0183073,0.0213351,0.02679,-0.0217593,0.0562407,1598537686.203778304
0.0841837,0.0297195,0.0367928,0.0219185,-0.0110778,0.0514093,1598537686.303783680
0.110327,0.00559267,0.0437814,-0.0045461,-0.00697609,0.014656,1598537686.404072192
0.10445,0.0196551,-0.0273859,-0.00815106,-0.00954534,0.0106925,1598537686.504488960
0.0904337,0.0129103,-0.00232126,-0.012909,0.0163981,0.0221705,1598537686.604657152
0.153657,-0.0380284,-0.0490652,0.00181833,-0.00552901,0.0316758,1598537686.704696576
0.0633135,0.0212364,-0.0364499,-0.00160807,-0.0156299,0.0073343,1598537686.804313088
0.180058,-0.0797532,-0.0312331,0.0257871,0.01041,0.0152523,1598537686.904407552
0.108722,-0.0119121,-0.0406273,0.0252754,0.00879754,0.0417096,1598537687.003885824
0.0440302,0.0192079,0.0577584,0.0198741,0.0227358,0.00935234,1598537687.103507712
0.153487,-0.0287679,-0.0176939,-0.0114079,0.0373082,0.00763491,1598537687.203836160
0.113725,-0.0291559,-0.0149194,-0.00719084,0.00154111,0.0207421,1598537687.303876096
0.0685963,-0.00206991,-0.0339884,-0.0322168,-0.0440877,-0.0148582,1598537687.403861760
0.190759,-0.0373934,-0.0174705,-0.0159404,-0.0428783,-0.0029909,1598537687.504686080
0.121981,-0.00427692,0.0697706,0.004839,-0.00961961,-0.00956356,1598537687.604842752
0.157295,-0.00236314,0.0585947,0.00461739,0.054922,-0.0077604,1598537687.705112576
0.128321,-0.0203889,0.0112379,0.023591,0.0300286,0.00846494,1598537687.804960768
0.05456,0.000127463,-0.0118892,-0.00639843,-0.00453563,0.0094521,1598537687.904417024
0.182805,-0.0437075,-0.00262465,0.0124364,-0.0049843,0.0167379,1598537688.004270336
0.116922,0.000288873,0.0173133,0.00411022,-0.0190722,0.0347307,1598537688.103472384
0.104736,0.0136363,0.0201067,-0.00839049,-0.0130358,-0.0155259,1598537688.203236608
0.154823,-0.0216054,-0.0328436,-0.0060874,0.0155402,0.0180957,1598537688.303471872
0.0834021,0.00876522,0.028661,-0.00471163,-0.000733437,0.0216967,1598537688.403352832
0.0972305,-0.0171505,-0.0328226,0.0139699,-0.00880507,0.00491536,1598537688.503506944
0.14142,-0.0158258,0.0139408,0.0278581,-0.0235779,0.00395465,1598537688.603903744
0.124756,0.00480757,0.0574275,-0.00486352,0.0341219,-0.0258789,1598537688.704018432
0.122139,0.00755986,-0.073292,0.00437471,0.0116808,0.00266258,1598537688.804470528
0.151321,-0.0253598,0.0434942,0.0135138,0.0133281,0.00933885,1598537688.904568320
0.1109,-0.00485428,0.0107578,-0.00508801,0.00660744,-7.0078e-05,1598537689.004402944
0.131336,0.00504451,0.0160639,0.00673585,-0.029021,-7.94272e-05,1598537689.104308736
0.149044,0.00191773,0.0557547,-0.0215262,-0.00867679,0.0302314,1598537689.203980288
0.0960536,0.0405079,-0.0130003,-0.00864208,0.0110999,0.0354679,1598537689.303212032
0.162312,-0.0349722,0.0264105,-0.0278419,0.00633987,0.00366707,1598537689.403101696
0.136164,-0.000517566,-0.035972,-0.00498061,0.000414108,0.0226019,1598537689.503064320
0.0770319,0.0479273,-0.0499592,0.00727457,0.00220149,0.00833919,1598537689.602999808
0.10878,0.0120842,-0.00411865,0.0133072,-0.0165186,0.00989612,1598537689.703315200
0.14027,0.00414554,0.0578766,-0.028998,-0.0110804,-0.0195158,1598537689.803521280
0.107461,-0.0343971,0.0880183,-0.00358804,0.0248775,-0.00673878,1598537689.904045312
0.129273,0.0310441,0.015345,-0.00532004,0.00364459,0.00140773,1598537690.003894272
0.130913,-0.0650462,0.0178973,0.00688789,-0.00276679,7.68094e-05,1598537690.104278272
0.160957,-0.00672087,0.00757869,0.0159701,-0.000632291,0.0123404,1598537690.204011264
0.142478,0.00120428,0.144788,-0.0291151,-0.00388156,0.0098749,1598537690.303720448
0.22638,0.0155706,-0.116302,0.00902511,0.00922686,0.0289766,1598537690.403648512
0.137424,-0.00764854,0.0658252,0.0101182,0.0226659,0.0167436,1598537690.503217664
0.227413,-0.0256265,-0.0586287,0.019318,-0.00678654,0.0137546,1598537690.603367936
0.123504,-0.00157346,0.0158424,0.0187203,0.0112739,0.00667165,1598537690.703396608
0.23576,-0.0404294,-0.00478615,0.00117712,-0.000675072,-0.00913235,1598537690.803601664
0.108466,0.0108359,0.0153563,0.00491789,0.000155774,-0.00698804,1598537690.903623424
0.14141,-0.00427948,0.0255304,0.00893589,0.0401933,-0.0284095,1598537691.004074496
0.191251,-0.016135,0.0360556,-0.0171814,0.00615509,-0.0581775,1598537691.104701184
0.202051,-0.0575691,-0.0331365,-0.00683864,-0.0081685,-0.0395031,1598537691.205323008
0.0904758,-0.025653,0.00605841,-0.00521055,-0.0193923,-0.00254844,1598537691.305287168
0.158676,0.00181531,0.0208079,-0.0132624,-0.0301515,0.0327676,1598537691.404729856
0.152628,0.0210812,0.0376835,-0.0100696,-0.0245382,0.0292966,1598537691.503613952
0.158244,0.0262036,0.182093,-0.0244651,-0.00204523,0.00246803,1598537691.603115008
0.310658,-0.0629297,-0.0906222,-0.00539807,-0.000462073,0.0470541,1598537691.703096832
0.0928952,0.000940325,0.0113882,0.00929435,-0.0281202,0.0273015,1598537691.802357504
0.138769,0.0025974,0.0108334,-0.0043116,-0.0322919,-0.0108622,1598537691.902546944
0.0508389,0.0558866,0.000577434,0.031621,-0.0148011,0.00237369,1598537692.002491392
0.147437,-0.00670208,0.142482,0.0261091,0.009229,-0.0145685,1598537692.103115520
0.14282,-0.13158,-0.055428,0.0123912,0.0125781,0.00349472,1598537692.203620864
0.0732118,0.00801185,0.0547113,-0.0189174,-0.0180575,-0.00403014,1598537692.303584512
0.106358,-0.0199899,-0.0197948,-0.0371087,-0.0223449,-0.00776876,1598537692.403758592
0.10274,-0.0355915,0.0491249,-0.010097,-0.019408,0.0278563,1598537692.503445760
0.074332,-0.0189566,0.0862798,-0.0322701,-0.00259371,0.02115,1598537692.602852608
0.0871443,-0.0280386,0.0772519,-0.0310534,0.00859787,-0.0116557,1598537692.702665472
0.155011,-0.119502,-0.0431697,-0.0121004,-0.0115845,0.0114625,1598537692.802945280
0.107771,0.0325731,-0.0527585,-0.00419089,-0.00535504,-0.000798209,1598537692.902639872
0.17335,-0.0827318,-0.159978,0.0284322,-0.0151661,0.0109851,1598537693.002817536
0.0252421,0.105936,0.17427,0.034907,0.00889392,-0.0314719,1598537693.102540288
0.101545,-0.027873,-0.00487555,0.00261465,0.0112966,-0.0512713,1598537693.203336704
0.100155,0.00403619,0.0158723,-0.00198143,0.0356041,-0.0343918,1598537693.303886592
0.0828821,-0.026731,0.0443376,-0.00820038,0.00374284,-0.0587283,1598537693.404139776
0.0980003,-0.0389501,-0.0278378,-0.0120089,0.0010268,-0.0607852,1598537693.504451584
0.104134,0.0335845,-0.106253,0.0208881,0.000298682,-0.0478292,1598537693.604558592
0.0781561,-0.00633196,0.0488118,0.00483263,0.0332551,-0.0638026,1598537693.704345088
0.126034,-0.0430296,-0.0866695,0.00958036,0.0337329,-0.0509107,1598537693.804050176
0.111883,-0.0220108,-0.0609861,-0.0113019,0.00409211,-0.0626923,1598537693.903646976
0.0250249,0.0645877,-0.0446378,-0.00469908,-0.00745528,-0.0553855,1598537694.003376640
0.0760084,0.0145364,-0.00963322,-0.00851289,-0.019954,-0.0824797,1598537694.103339520
0.174709,-0.0265463,-0.0540713,0.00494041,-0.0252499,-0.0650006,1598537694.203521792
0.0900743,-0.0184423,0.142436,0.00642031,0.00777588,-0.0885339,1598537694.303508480
0.080131,0.0084294,-0.00674764,-0.00306871,0.0423027,-0.0764931,1598537694.403532544
0.0614934,0.0229565,0.0141329,0.0175023,0.00807975,-0.0570526,1598537694.503343360
0.0838784,6.60008e-05,0.035792,-0.00353897,-0.000658184,-0.066426,1598537694.603265792
0.249884,-0.0516834,-0.167891,-0.00705261,0.00758521,-0.0525104,1598537694.703204608
-0.0135778,0.0546511,0.147557,0.00678223,-0.00722426,-0.0481448,1598537694.802643456
0.153351,0.00618484,0.00557181,-0.0222429,-0.0193084,-0.0656959,1598537694.902685184
0.0122802,0.025783,0.120993,-0.000668261,-0.00963135,-0.0456025,1598537695.002489344
0.162004,0.00149738,-0.0458077,-0.01227,0.00774517,-0.0560844,1598537695.102608896
0.0866283,0.00794017,-0.0675191,0.0367383,0.0130484,-0.0041907,1598537695.202398720
0.0451733,0.035003,0.128478,0.013843,0.00348577,-0.0445813,1598537695.302222336
0.0652389,0.0054684,-0.015927,0.00443532,-0.0161236,-0.0587558,1598537695.402703616
0.0972259,0.0183771,0.0881728,-0.00444531,-0.0290224,-0.056432,1598537695.503401472
0.0616799,0.0122207,0.0448926,-0.0121909,-0.0243023,-0.0502795,1598537695.604009984
0.0611672,0.00116659,-0.0322791,0.00142111,0.0110381,-0.0294706,1598537695.704362240
0.0881708,0.0296386,0.0285717,0.00764411,-0.0054771,-0.0249836,1598537695.804226048
0.0699976,0.0122459,-0.0064121,-0.00544315,0.000997755,-0.0389595,1598537695.904278784
0.0643573,-0.0302805,-0.0530403,-0.00514448,-0.00848223,-0.0243036,1598537696.004132608
0.106975,0.00341471,0.0349013,0.0263783,-0.00362142,-0.0138714,1598537696.103810304
-1.18239,-3.08191,-6.16518,-0.00297134,-0.00824008,-0.0158763,1598537696.203000320
0.129486,-0.0670526,-0.0407645,-0.0242465,-0.00174064,-0.0193846,1598537696.303184128
-1.04628,-3.01066,-6.3228,0.0035238,0.00971249,0.0196558,1598537696.402724096
0.0506542,0.0386196,0.126509,0.0130526,-0.00518566,-0.0155645,1598537696.502637824
0.102235,-0.0241601,0.0245522,0.00932955,-0.00203711,-0.036722,1598537696.603169792
0.122025,0.058034,0.04376,0.0322733,0.00339259,-0.0168892,1598537696.703492608
0.0688837,0.0227614,0.109554,0.0150749,0.0177012,-0.0241431,1598537696.803767296
0.118515,-0.000478961,-0.0269723,0.00297912,0.0213629,-0.00221918,1598537696.903966464
0.0709052,-0.0234105,-0.000710371,-0.00245601,0.0128968,-0.0200736,1598537697.003785728
0.109499,-0.0186638,-0.0325391,-0.00532103,-0.000541728,-0.0112849,1598537697.103819264
0.0706148,0.0100624,-0.0131491,0.00974238,0.00583321,0.00315295,1598537697.203604992
0.0814526,0.00261024,0.0307711,0.00159363,-0.0122526,0.00659696,1598537697.303470848
0.114165,-0.0316146,0.0357289,-0.00593516,0.00480511,-0.0126222,1598537697.403373312
0.0839821,0.0284934,0.0248271,-0.00173644,-0.00940429,0.0114815,1598537697.503249664
0.10539,0.019559,-0.0227635,0.0020421,-0.0104225,0.00116178,1598537697.603335168
