x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.153616,1.44549,0.329946,-0.0185809,-0.30307,1.27362,1598537681.604629760
0.199208,1.5831,0.322131,-0.00454522,-0.290323,1.21926,1598537681.705216768
0.171364,1.6051,0.337098,-0.0139761,-0.275582,1.19371,1598537681.804939776
0.194617,1.72117,0.28616,-0.0110207,-0.276846,1.14976,1598537681.904721408
0.149234,1.69184,0.344734,-0.00355275,-0.289874,1.15372,1598537682.003880704
0.17121,1.74998,0.356335,-0.0225039,-0.306582,1.15735,1598537682.103325952
0.175602,1.78378,0.336992,-0.0186367,-0.338782,1.17948,1598537682.202600960
0.12738,1.71557,0.345281,-0.00294257,-0.362729,1.22933,1598537682.301754880
0.132145,1.71355,0.379108,0.0161137,-0.415547,1.26713,1598537682.401594880
0.118318,1.64143,0.442341,0.0342174,-0.435977,1.30527,1598537682.501441280
0.112406,1.57982,0.487917,0.0364317,-0.454227,1.31108,1598537682.601820160
0.109531,1.63805,0.461111,0.0248084,-0.437453,1.34999,1598537682.702421504
0.13945,1.63648,0.466065,0.0140789,-0.410732,1.36611,1598537682.802942464
0.139792,1.63583,0.449148,-0.00941739,-0.366985,1.41729,1598537682.903083008
0.126368,1.63856,0.432791,-0.027893,-0.324767,1.45393,1598537683.003108864
0.116539,1.63642,0.416054,-0.0403972,-0.278256,1.48672,1598537683.103367680
0.099388,1.63856,0.354799,-0.0467104,-0.234504,1.51869,1598537683.203568896
0.0778968,1.66261,0.299831,-0.0452359,-0.203216,1.55449,1598537683.303637760
0.0976685,1.5291,0.277129,-0.0410294,-0.187659,1.5662,1598537683.403665152
0.0723647,1.53438,0.199335,-0.0479154,-0.162712,1.57558,1598537683.504374784
0.0238418,1.46241,0.181104,-0.0672944,-0.146218,1.59269,1598537683.604352768
-0.0226232,1.52195,0.0946451,-0.0704601,-0.147802,1.62566,1598537683.704233216
-0.0619948,1.51813,0.0586791,-0.0883758,-0.123151,1.69294,1598537683.803530240
-0.111565,1.54744,-0.0173934,-0.107044,-0.0946215,1.80486,1598537683.902376448
-0.188385,1.49572,0.0131533,-0.137772,-0.0789506,1.93966,1598537684.000984064
-0.281216,1.48732,-0.000897576,-0.164332,-0.0760723,2.07721,1598537684.100150016
-0.336893,1.43958,-0.0418092,-0.175742,-0.0802981,2.22911,1598537684.199559680
-0.420884,1.43272,-0.0368269,-0.175076,-0.0808803,2.38895,1598537684.299474944
-0.530296,1.34098,-0.0405739,-0.183181,-0.0996522,2.5581,1598537684.399599872
-0.679058,1.33352,-0.0673597,-0.161815,-0.086661,2.75665,1598537684.500289792
