x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.140727,1.45134,0.302569,-0.0214328,-0.306959,1.27617,1598537681.604629760
0.195318,1.57903,0.290737,-0.00537111,-0.29528,1.22041,1598537681.705216768
0.175425,1.6064,0.320985,-0.0106147,-0.281673,1.19504,1598537681.804939776
0.210283,1.69444,0.291336,-0.00623365,-0.281321,1.14999,1598537681.904721408
0.16935,1.67223,0.366497,0.00131142,-0.291532,1.15683,1598537682.003880704
0.173104,1.71557,0.383109,-0.019289,-0.309176,1.1574,1598537682.103325952
0.172208,1.74794,0.392897,-0.0203754,-0.338528,1.17969,1598537682.202600960
0.121043,1.71513,0.412183,-0.0061222,-0.365288,1.23153,1598537682.301754880
0.12406,1.74946,0.44412,0.0113952,-0.414976,1.26063,1598537682.401594880
0.0986349,1.69868,0.545013,0.0310804,-0.435366,1.29744,1598537682.501441280
0.0801206,1.64784,0.599481,0.0314935,-0.449635,1.30423,1598537682.601820160
0.0772754,1.68059,0.591179,0.0185626,-0.427553,1.34349,1598537682.702421504
0.105816,1.68802,0.581032,0.0142636,-0.403508,1.35244,1598537682.802942464
0.105474,1.69478,0.569521,-0.00868665,-0.360628,1.40368,1598537682.903083008
0.1056,1.6908,0.48915,-0.028072,-0.324006,1.44919,1598537683.003108864
0.107904,1.7081,0.415944,-0.0432934,-0.283332,1.48282,1598537683.103367680
0.104784,1.7174,0.40633,-0.048118,-0.236496,1.51521,1598537683.203568896
0.0985249,1.73173,0.340018,-0.0489738,-0.206774,1.55332,1598537683.303637760
0.0513249,1.64723,0.310803,-0.0471303,-0.187344,1.55827,1598537683.403665152
-0.0208439,1.63479,0.265331,-0.042194,-0.166325,1.5582,1598537683.504374784
-0.0642205,1.57793,0.250555,-0.0590804,-0.147024,1.57635,1598537683.604352768
-0.142362,1.56888,0.190842,-0.0649746,-0.145788,1.60217,1598537683.704233216
-0.21935,1.56103,0.192636,-0.0798374,-0.121107,1.66342,1598537683.803530240
-0.299166,1.56803,0.143713,-0.0926772,-0.0925388,1.77127,1598537683.902376448
-0.364988,1.52577,0.186713,-0.127102,-0.0768554,1.90665,1598537684.000984064
-0.449718,1.51217,0.152271,-0.151348,-0.0743745,2.04423,1598537684.100150016
-0.527602,1.45665,0.0656298,-0.163034,-0.0819433,2.19533,1598537684.199559680
-0.638253,1.42899,0.0586311,-0.163384,-0.0851972,2.35422,1598537684.299474944
-0.72991,1.3592,0.0725168,-0.170079,-0.0995306,2.52728,1598537684.399599872
-0.899974,1.33951,-0.01615,-0.153346,-0.0948277,2.71701,1598537684.500289792
-0.905869,1.22087,0.0748486,-0.146917,-0.0624941,2.91988,1598537684.600199168
-0.965645,1.13104,0.106358,-0.176156,-0.020675,3.10618,1598537684.701149952
-1.08375,1.06984,-0.0216251,-0.180976,0.0196343,-3.00713,1598537684.802343680
-1.06452,0.964011,0.00525934,-0.150042,0.0396537,-2.84886,1598537684.903285248
-1.11602,0.843436,0.060622,-0.143028,0.0261382,-2.71599,1598537685.004786176
-1.10324,0.755323,0.0880927,-0.163139,-0.00129581,-2.61733,1598537685.105835776
-1.18355,0.606639,0.0472222,-0.182234,0.0148633,-2.48593,1598537685.206731008
-1.2194,0.505842,-0.0318419,-0.152905,0.0593699,-2.35459,1598537685.306354176
-1.23856,0.42765,-0.0266721,-0.116585,0.087124,-2.24878,1598537685.405848320
-1.27099,0.334558,-0.0578545,-0.0872125,0.0954509,-2.16594,1598537685.505607168
-1.2831,0.219522,-0.0913607,-0.065997,0.0837427,-2.08503,1598537685.605288192
-1.27717,0.109539,-0.0815807,-0.0584081,0.0886086,-2.00837,1598537685.704893696
-1.31788,-0.0322454,-0.123591,-0.0498185,0.0925374,-1.92051,1598537685.804591360
-1.33411,-0.123428,-0.101936,-0.0363044,0.115697,-1.86767,1598537685.904205056
-1.34233,-0.218238,-0.17761,-0.00793903,0.112293,-1.80543,1598537686.004122624
-1.35628,-0.30691,-0.1987,0.0209588,0.0943847,-1.74318,1598537686.103940864
-1.33719,-0.369723,-0.226047,0.0522403,0.0681415,-1.68694,1598537686.203778304
-1.33168,-0.457815,-0.185189,0.0758865,0.0559364,-1.63379,1598537686.303783680
-1.32925,-0.571023,-0.109303,0.0709545,0.0514056,-1.6185,1598537686.404072192
-1.33705,-0.685988,-0.101782,0.0631148,0.0480917,-1.60598,1598537686.504488960
-1.32265,-0.763456,-0.100292,0.0519164,0.0660666,-1.5836,1598537686.604657152
-1.35484,-0.921412,-0.162614,0.0575839,0.060335,-1.55226,1598537686.704696576
-1.33756,-0.980619,-0.158456,0.0588271,0.0526596,-1.54395,1598537686.804313088
-1.3839,-1.16142,-0.241266,0.0837373,0.0554996,-1.52919,1598537686.904407552
-1.39635,-1.27692,-0.261357,0.108758,0.0669046,-1.48401,1598537687.003885824
-1.39002,-1.33986,-0.222111,0.132546,0.085743,-1.4686,1598537687.103507712
-1.4188,-1.46755,-0.310621,0.117887,0.116901,-1.45325,1598537687.203836160
-1.43224,-1.60668,-0.333983,0.112713,0.121912,-1.43484,1598537687.303876096
-1.40094,-1.66566,-0.273537,0.0808443,0.0896711,-1.44404,1598537687.403861760
-1.40897,-1.8436,-0.268499,0.0522004,0.0500462,-1.45333,1598537687.504686080
-1.38475,-1.96204,-0.214999,0.0545676,0.0364484,-1.46298,1598537687.604842752
-1.38887,-2.06067,-0.162606,0.0612275,0.0879644,-1.46332,1598537687.705112576
-1.40277,-2.19667,-0.244984,0.0785875,0.120395,-1.45312,1598537687.804960768
-1.35462,-2.31643,-0.265959,0.0737453,0.122435,-1.44777,1598537687.904417024
-1.41505,-2.50776,-0.340103,0.0841878,0.112977,-1.43287,1598537688.004270336
-1.37649,-2.60221,-0.30142,0.0950787,0.0926359,-1.39415,1598537688.103472384
-1.37385,-2.72168,-0.26915,0.0843254,0.0886048,-1.40994,1598537688.203236608
-1.36021,-2.90551,-0.316794,0.0791908,0.108386,-1.39349,1598537688.303471872
-1.32197,-3.0121,-0.291584,0.0767143,0.104724,-1.37282,1598537688.403352832
-1.28712,-3.1254,-0.354892,0.0918877,0.0980219,-1.36661,1598537688.503506944
-1.28497,-3.28539,-0.366578,0.119201,0.0731643,-1.36772,1598537688.603903744
-1.24813,-3.40528,-0.323436,0.114211,0.102964,-1.38862,1598537688.704018432
-1.20334,-3.53053,-0.398547,0.119014,0.114397,-1.38701,1598537688.804470528
-1.18681,-3.67404,-0.392786,0.135579,0.121607,-1.37675,1598537688.904568320
-1.15199,-3.79724,-0.41802,0.126808,0.130736,-1.37764,1598537689.004402944
-1.14322,-3.90922,-0.470881,0.130099,0.0961247,-1.37986,1598537689.104308736
-1.14758,-4.11177,-0.408694,0.112215,0.0845497,-1.35483,1598537689.203980288
-1.05909,-4.19266,-0.416489,0.108928,0.0912223,-1.31674,1598537689.303212032
-1.05122,-4.34746,-0.379241,0.0817123,0.0918936,-1.31142,1598537689.403101696
-1.02413,-4.49072,-0.38432,0.0820843,0.0950779,-1.28822,1598537689.503064320
-0.975685,-4.55245,-0.407789,0.0925162,0.0941376,-1.28007,1598537689.602999808
-0.952429,-4.67383,-0.416808,0.109535,0.0768651,-1.27312,1598537689.703315200
-0.94062,-4.77674,-0.347119,0.0795193,0.0638284,-1.28872,1598537689.803521280
-0.916628,-4.95819,-0.378309,0.0708785,0.0873802,-1.30256,1598537689.904045312
-0.836432,-5.007,-0.370614,0.0671168,0.0910233,-1.29951,1598537690.003894272
-0.83692,-5.21123,-0.433791,0.0656642,0.0877992,-1.3047,1598537690.104278272
-0.833987,-5.33904,-0.428794,0.083907,0.0860132,-1.29219,1598537690.204011264
-0.781253,-5.45551,-0.393576,0.0491194,0.0806751,-1.28023,1598537690.303720448
-0.756153,-5.60712,-0.394869,0.0680526,0.100471,-1.241,1598537690.403648512
-0.684838,-5.68514,-0.478246,0.0728948,0.110459,-1.22321,1598537690.503217664
-0.644057,-5.87765,-0.552227,0.096176,0.102668,-1.20716,1598537690.603367936
-0.602757,-6.03817,-0.475532,0.118881,0.111419,-1.20155,1598537690.703396608
-0.583842,-6.21603,-0.525209,0.118345,0.109929,-1.20528,1598537690.803601664
-0.506506,-6.30304,-0.533841,0.125805,0.109284,-1.21039,1598537690.903623424
-0.447163,-6.41941,-0.550546,0.129698,0.146614,-1.23226,1598537691.004074496
-0.432011,-6.55224,-0.529767,0.106367,0.157781,-1.28238,1598537691.104701184
-0.418929,-6.77578,-0.581298,0.0939631,0.155817,-1.3236,1598537691.205323008
-0.403419,-6.93233,-0.61852,0.0867627,0.140869,-1.33282,1598537691.305287168
-0.379158,-7.18059,-0.592908,0.084582,0.119102,-1.29531,1598537691.404729856
