x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.154081,1.42801,0.33961,-0.0144167,-0.308225,1.27553,1598537681.604629760
0.18761,1.56947,0.329893,0.00220606,-0.296284,1.2215,1598537681.705216768
0.170985,1.59315,0.356856,-0.00624787,-0.281033,1.19698,1598537681.804939776
0.189222,1.68982,0.337282,0.000127476,-0.279739,1.1528,1598537681.904721408
0.147945,1.66065,0.409879,0.00566806,-0.291137,1.15757,1598537682.003880704
0.183789,1.74206,0.411077,-0.0113345,-0.309752,1.16143,1598537682.103325952
0.180086,1.78178,0.405079,-0.00968138,-0.339734,1.1832,1598537682.202600960
0.134892,1.7382,0.416396,0.00421199,-0.362581,1.2338,1598537682.301754880
0.143292,1.77092,0.458235,0.0235099,-0.410434,1.2641,1598537682.401594880
0.141726,1.706,0.516597,0.0362101,-0.42807,1.30334,1598537682.501441280
0.13645,1.63194,0.567955,0.0371112,-0.442156,1.31313,1598537682.601820160
0.139131,1.67124,0.555395,0.0246138,-0.425489,1.35017,1598537682.702421504
0.163831,1.68891,0.547237,0.0199188,-0.403897,1.35892,1598537682.802942464
0.155437,1.68358,0.55235,-0.00180287,-0.360406,1.40941,1598537682.903083008
0.135193,1.62805,0.507261,-0.0249098,-0.325558,1.451,1598537683.003108864
0.124917,1.61733,0.50948,-0.0361106,-0.278761,1.4832,1598537683.103367680
0.114564,1.62749,0.42511,-0.0330703,-0.247507,1.515,1598537683.203568896
0.0944951,1.63087,0.428267,-0.0314327,-0.207328,1.55261,1598537683.303637760
0.121767,1.52106,0.398631,-0.0260237,-0.193039,1.56796,1598537683.403665152
0.0976277,1.53253,0.355748,-0.0242126,-0.170482,1.57743,1598537683.504374784
0.0525405,1.49381,0.289199,-0.0486691,-0.159252,1.59659,1598537683.604352768
0.0209242,1.50327,0.177552,-0.0494938,-0.164161,1.6282,1598537683.704233216
-0.0564849,1.49562,0.21023,-0.0663853,-0.135123,1.68995,1598537683.803530240
-0.13221,1.50788,0.134775,-0.0825344,-0.109979,1.79939,1598537683.902376448
-0.196137,1.47171,0.20427,-0.119474,-0.0936354,1.93539,1598537684.000984064
-0.266124,1.43928,0.217588,-0.14983,-0.0921986,2.07499,1598537684.100150016
-0.342589,1.40555,0.142095,-0.166336,-0.100928,2.22689,1598537684.199559680
-0.438003,1.37974,0.116273,-0.172761,-0.106933,2.38699,1598537684.299474944
-0.520764,1.2858,0.0977748,-0.184782,-0.120694,2.55979,1598537684.399599872
-0.715835,1.27101,0.0919329,-0.168304,-0.102494,2.75075,1598537684.500289792
-0.716,1.15017,0.160132,-0.165607,-0.0717699,2.95309,1598537684.600199168
-0.746634,1.05813,0.201914,-0.194473,-0.0288443,3.13986,1598537684.701149952
-0.867912,0.984048,0.0789838,-0.195821,0.0159307,-2.97543,1598537684.802343680
-0.850665,0.874721,0.0979464,-0.164057,0.0393861,-2.81818,1598537684.903285248
-0.896349,0.781448,0.121493,-0.148405,0.0263284,-2.68334,1598537685.004786176
-0.855322,0.683506,0.134969,-0.163451,-0.00115346,-2.58027,1598537685.105835776
-0.964297,0.544893,0.0613901,-0.180621,0.0117401,-2.44554,1598537685.206731008
-1.01182,0.441764,0.0594831,-0.158263,0.0607407,-2.31403,1598537685.306354176
-1.02933,0.357276,0.0350063,-0.119284,0.0881576,-2.20603,1598537685.405848320
-1.05957,0.276801,-0.0305938,-0.0880723,0.0935454,-2.125,1598537685.505607168
-1.05708,0.179753,-0.0295896,-0.0686672,0.0855313,-2.04433,1598537685.605288192
-1.0555,0.0833558,-0.0112545,-0.0602969,0.0907065,-1.96724,1598537685.704893696
-1.05962,-0.0390724,-0.0739823,-0.0497223,0.0913813,-1.87848,1598537685.804591360
-1.08001,-0.126129,-0.0716356,-0.0334909,0.109785,-1.82456,1598537685.904205056
