x,y,z,roll,pitch,yaw,time
0.140888,1.44033,0.379972,0.00762927,-0.309765,1.34434,1598537681.504127744
0.136511,1.4426,0.281272,-0.0214924,-0.306826,1.27466,1598537681.604629760
0.174063,1.59474,0.260188,-0.00707263,-0.296977,1.22041,1598537681.705216768
0.159096,1.60401,0.315858,-0.0146084,-0.279855,1.19442,1598537681.804939776
0.211795,1.70607,0.264717,-0.00879208,-0.282243,1.15128,1598537681.904721408
0.169143,1.69446,0.325582,-0.0021273,-0.292065,1.15607,1598537682.003880704
0.166907,1.74314,0.344259,-0.0187875,-0.308337,1.15675,1598537682.103325952
0.167379,1.77572,0.326122,-0.0142445,-0.340754,1.17772,1598537682.202600960
0.13208,1.73176,0.362601,0.000409316,-0.365823,1.2289,1598537682.301754880
0.132976,1.76252,0.402256,0.0146282,-0.41519,1.25798,1598537682.401594880
0.111003,1.70523,0.487597,0.0352056,-0.436302,1.29515,1598537682.501441280
0.0938125,1.66063,0.544847,0.0361904,-0.452155,1.30018,1598537682.601820160
0.0872176,1.70764,0.531313,0.0232086,-0.433396,1.33831,1598537682.702421504
0.0998268,1.74469,0.525111,0.018004,-0.412846,1.34661,1598537682.802942464
0.101555,1.74406,0.499249,-0.00749383,-0.371066,1.40002,1598537682.903083008
0.105571,1.73657,0.446067,-0.0291248,-0.332745,1.44543,1598537683.003108864
0.102079,1.74334,0.391564,-0.0471733,-0.292386,1.47794,1598537683.103367680
0.104821,1.75976,0.247121,-0.063914,-0.249813,1.5115,1598537683.203568896
0.0953709,1.7557,0.209659,-0.0640826,-0.214917,1.54768,1598537683.303637760
0.113202,1.66819,0.19191,-0.06104,-0.193491,1.56084,1598537683.403665152
0.0924109,1.66924,0.148347,-0.0615015,-0.170811,1.57078,1598537683.504374784
0.0546033,1.62471,0.11563,-0.0843042,-0.153917,1.58944,1598537683.604352768
0.0233625,1.65277,0.084031,-0.0891294,-0.149214,1.6229,1598537683.704233216
-0.00507845,1.67627,0.0187717,-0.109663,-0.126185,1.68893,1598537683.803530240
-0.0440169,1.68491,-0.0317418,-0.124918,-0.0946605,1.80129,1598537683.902376448
-0.123829,1.65317,-0.00750522,-0.154471,-0.0724641,1.93586,1598537684.000984064
-0.218788,1.6201,-0.00276246,-0.17927,-0.0655174,2.07254,1598537684.100150016
-0.298393,1.56784,-0.0164348,-0.191507,-0.0642275,2.22391,1598537684.199559680
-0.3941,1.54886,0.0344084,-0.192344,-0.0626117,2.38326,1598537684.299474944
-0.505217,1.42907,0.0250107,-0.196956,-0.0749092,2.55402,1598537684.399599872
-0.768495,1.44585,-0.00959801,-0.175763,-0.0539446,2.74213,1598537684.500289792
-0.751221,1.32494,0.0952179,-0.162649,-0.0204898,2.94469,1598537684.600199168
-0.82291,1.23383,0.104204,-0.182241,0.0217623,3.12929,1598537684.701149952
-0.9545,1.14051,0.0116652,-0.172629,0.0696353,-2.98732,1598537684.802343680
-0.933831,1.03825,0.0324912,-0.135916,0.088584,-2.82839,1598537684.903285248
-0.973496,0.926138,0.0533677,-0.115755,0.0703855,-2.6946,1598537685.004786176
-0.962219,0.862647,0.192742,-0.130812,0.0459301,-2.59109,1598537685.105835776
-1.04599,0.706395,0.122368,-0.13794,0.056275,-2.45582,1598537685.206731008
-1.07256,0.580105,0.0528731,-0.107167,0.0952482,-2.32433,1598537685.306354176
-1.07597,0.498657,0.0175212,-0.0657914,0.112377,-2.21536,1598537685.405848320
-1.09595,0.402658,-0.0219896,-0.0339262,0.114611,-2.13357,1598537685.505607168
-1.11042,0.305372,-0.0343252,-0.0126148,0.100577,-2.05368,1598537685.605288192
-1.11182,0.216993,-0.0243179,-0.00323864,0.0992349,-1.97571,1598537685.704893696
-1.13288,0.0786506,-0.0754388,0.00590286,0.0965232,-1.88878,1598537685.804591360
-1.15703,-0.012925,-0.0531503,0.0191797,0.111278,-1.83387,1598537685.904205056
-1.15039,-0.112448,-0.112729,0.0447179,0.109911,-1.77207,1598537686.004122624
-1.14459,-0.210012,-0.146673,0.0717743,0.0888902,-1.7156,1598537686.103940864
-1.13029,-0.277548,-0.156869,0.102272,0.0619202,-1.66044,1598537686.203778304
-1.13544,-0.370051,-0.127359,0.127464,0.0439693,-1.60966,1598537686.303783680
-1.143,-0.471355,-0.07016,0.122712,0.0364371,-1.59417,1598537686.404072192
-1.13881,-0.589705,-0.0482868,0.114914,0.0322047,-1.5822,1598537686.504488960
-1.12911,-0.666342,-0.0528507,0.103442,0.0462158,-1.55933,1598537686.604657152
-1.14277,-0.817618,-0.107988,0.105788,0.0395225,-1.52896,1598537686.704696576
-1.12999,-0.868974,-0.108353,0.107842,0.0295504,-1.52108,1598537686.804313088
-1.18409,-1.05711,-0.190262,0.131811,0.0322043,-1.50662,1598537686.904407552
-1.19181,-1.16452,-0.213635,0.15502,0.0371964,-1.46156,1598537687.003885824
-1.17485,-1.21202,-0.186959,0.17524,0.0495597,-1.44705,1598537687.103507712
-1.18298,-1.35718,-0.260019,0.162818,0.081111,-1.43155,1598537687.203836160
-1.19181,-1.49097,-0.291846,0.15624,0.0801487,-1.41291,1598537687.303876096
-1.15121,-1.51786,-0.206459,0.121966,0.049766,-1.42593,1598537687.403861760
-1.16046,-1.67579,-0.188727,0.109058,0.00266453,-1.43465,1598537687.504686080
-1.14022,-1.79472,-0.132988,0.113184,-0.00896959,-1.44448,1598537687.604842752
-1.1466,-1.90743,-0.058631,0.119753,0.0450435,-1.44263,1598537687.705112576
-1.14211,-2.04183,-0.0970482,0.129918,0.0802653,-1.43447,1598537687.804960768
