x,y,z,roll,pitch,yaw,time
-0.00773055,-0.0116244,-0.0499648,-0.0477369,0.00545222,-0.0675426,1598537681.604629760
0.13599,-0.00235497,-0.0507655,-0.00220438,0.01329,-0.0518452,1598537681.705216768
0.0148818,0.0336624,0.0113276,-0.0167469,0.0147625,-0.0245252,1598537681.804939776
0.0982274,0.0222488,-0.0804084,-0.00901205,-0.000925305,-0.0422904,1598537681.904721408
-0.0275884,0.0286689,0.0690523,0.00855016,-0.0130712,0.0036473,1598537682.003880704
0.062791,0.00348604,-0.00661054,-0.0179128,-0.0167224,0.0034023,1598537682.103325952
0.02535,0.0101921,-0.0280922,0.0105584,-0.0327313,0.0201578,1598537682.202600960
-0.0740584,0.0179092,0.0352241,0.0322458,-0.0251972,0.0461571,1598537682.301754880
0.0117106,-0.00526164,0.0317211,0.0324843,-0.0531518,0.0344667,1598537682.401594880
-0.0412189,-0.00696329,0.0874267,0.0335081,-0.0201361,0.0349094,1598537682.501441280
-0.0360467,-0.00816073,0.067391,0.00466514,-0.0180671,0.0058477,1598537682.601820160
0.0381469,0.0159554,-0.0490714,0.00546522,0.0177453,0.0346268,1598537682.702421504
0.00664741,-0.0294686,0.00309287,-0.00390593,0.0270294,0.0141155,1598537682.802942464
-0.00728143,-0.000684156,-0.0152724,-0.00304781,0.0439271,0.0471988,1598537682.903083008
-0.00526467,0.0138293,-0.0153705,-0.00531789,0.0416603,0.0351476,1598537683.003108864
-0.00843826,0.00992326,-0.0145489,-0.00201522,0.0454479,0.0328476,1598537683.103367680
-0.0161603,0.019642,-0.0583428,0.00249074,0.0423229,0.0328563,1598537683.203568896
0.00950052,0.0254348,-0.0576594,0.00978737,0.0294708,0.0364976,1598537683.303637760
-0.135014,-0.0221334,0.00364439,0.00657237,0.0150074,0.0121979,1598537683.403665152
-0.00943964,0.0284809,-0.0762873,-0.0051257,0.0245381,0.0102703,1598537683.504374784
-0.073746,0.0491154,-0.00402078,-0.0166077,0.0156403,0.0177012,1598537683.604352768
0.0473059,0.0513932,-0.0911088,0.00160179,-0.00385124,0.0324253,1598537683.704233216
-0.00693194,0.041911,-0.0324603,-0.00815632,0.0195619,0.0683304,1598537683.803530240
0.0255132,0.0524964,-0.0754722,-0.00547833,0.0178399,0.113463,1598537683.902376448
-0.0294567,0.0826464,0.042553,-0.018998,0.00041736,0.135202,1598537684.000984064
0.0244434,0.0909697,-0.00356898,-0.0170289,-0.0166621,0.136157,1598537684.100150016
-0.0178044,0.0773644,-0.0273858,-0.00173315,-0.0297094,0.14858,1598537684.199559680
0.0462062,0.0693273,0.0136108,0.0112597,-0.0293161,0.156617,1598537684.299474944
0.0167863,0.140477,0.0196491,0.00320727,-0.0488113,0.16239,1598537684.399599872
0.116781,0.0937356,-0.021887,0.0374369,-0.0249383,0.196551,1598537684.500289792
-0.0109924,0.0559628,0.0755024,0.0260191,-0.00312871,0.208156,1598537684.600199168
0.0273846,0.107314,0.0345047,-0.0201386,0.0118275,0.19015,1598537684.701149952
0.131765,0.0778027,-0.160719,0.000938809,0.0112886,0.174876,1598537684.802343680
0.00727879,0.0963073,0.0206891,0.0230174,-0.00959095,0.161119,1598537684.903285248
0.0880292,0.0818592,0.00319926,0.00502807,-0.0365937,0.132029,1598537685.004786176
-0.0114738,0.0538559,0.113032,-0.021643,-0.0382208,0.0991525,1598537685.105835776
0.163857,0.0984309,-0.0758101,-0.0146718,-0.00752676,0.134871,1598537685.206731008
0.116378,0.0586402,-0.0334483,0.0203409,0.0210099,0.135608,1598537685.306354176
0.0574621,0.0564561,-0.00711177,0.0274305,0.00722125,0.109961,1598537685.405848320
0.103999,0.0396121,-0.0335439,0.0235187,-0.00171654,0.0811059,1598537685.505607168
0.0871003,0.0348205,0.0255868,0.0128813,-0.0133354,0.0801072,1598537685.605288192
0.0770614,0.0393683,0.0361492,0.00185576,-0.000877356,0.0778633,1598537685.704893696
0.144628,0.0464414,-0.0525975,4.31809e-06,-0.00374779,0.0855656,1598537685.804591360
0.0833982,0.0159842,-0.0141481,0.0127993,0.014695,0.0547335,1598537685.904205056
0.106126,0.0188507,-0.040854,0.0180361,-9.88331e-05,0.0611893,1598537686.004122624
0.0927447,0.0186918,-0.00481858,0.020079,-0.0166412,0.0572132,1598537686.103940864
0.0738535,0.0146895,-0.0131274,0.0271365,-0.0262226,0.056667,1598537686.203778304
0.0855166,0.0195502,0.0461977,0.0215742,-0.0115174,0.0517624,1598537686.303783680
0.107881,0.0126482,0.0331967,-0.00549127,-0.00984752,0.0158407,1598537686.404072192
0.113639,-0.00840259,0.00608523,-0.00802218,-0.00357811,0.0146133,1598537686.504488960
0.0913902,0.00834099,0.0148774,-0.00879563,0.0203612,0.0234171,1598537686.604657152
0.163681,-0.0280426,-0.060031,0.00203953,-0.00615802,0.0322927,1598537686.704696576
0.0658029,0.0023069,0.018342,-0.000394311,-0.00638675,0.00990572,1598537686.804313088
0.181425,-0.0700178,-0.06529,0.0257698,0.00388373,0.0139561,1598537686.904407552
0.113978,-0.00563889,-0.00866078,0.0259754,0.0127991,0.0451479,1598537687.003885824
0.0853759,-0.008425,-0.0186535,0.0261651,0.0133646,0.0188704,1598537687.103507712
0.153972,-0.036816,0.0157747,-0.0120081,0.042422,0.00904561,1598537687.203836160
0.133369,-0.0240435,-0.0120547,-0.00788345,0.00358327,0.0195134,1598537687.303876096
0.0421211,0.0282159,0.012131,-0.0279507,-0.0404427,-0.00497861,1598537687.403861760
0.120625,-0.0403032,0.0168922,-0.0150861,-0.0504715,0.00158877,1598537687.504686080
