x,y,z,roll,pitch,yaw,time
-0.013408,0.00204234,-0.0769978,-0.0498139,0.00163554,-0.0649992,1598537681.604629760
0.12801,-0.0140214,-0.0533009,-0.000808145,0.0123693,-0.0530932,1598537681.705216768
0.026863,0.0279526,0.0235957,-0.0126267,0.0136484,-0.0242966,1598537681.804939776
0.0827226,0.000466092,-0.0548009,-0.00814805,0.000539781,-0.0432776,1598537681.904721408
-0.0146783,0.027772,0.0826533,0.00944341,-0.0102576,0.00648481,1598537682.003880704
0.044231,0.0140048,0.00405265,-0.0204367,-0.0176433,0.000566214,1598537682.103325952
0.0308752,0.0138148,0.000679723,0.00570496,-0.0298237,0.0204698,1598537682.202600960
-0.0406078,0.0340768,0.0354453,0.0314504,-0.0281577,0.0478645,1598537682.301754880
0.0425874,0.00847211,0.0179576,0.0279313,-0.0499886,0.0263613,1598537682.401594880
-0.010677,0.0100221,0.114848,0.0345292,-0.0202558,0.0336129,1598537682.501441280
-0.0259523,0.00633985,0.0719808,0.003273,-0.0140811,0.00655332,1598537682.601820160
0.0241756,0.0107104,-0.0212343,0.00414822,0.0228911,0.0350357,1598537682.702421504
0.00822952,-0.0264045,-0.0144122,-0.000592194,0.0241782,0.00778497,1598537682.802942464
0.00148172,0.00161061,-0.0131733,-0.00281874,0.0430772,0.0473716,1598537682.903083008
-0.0320092,-0.000144564,-0.0738288,-0.00332128,0.0358995,0.0434878,1598537683.003108864
-0.00676452,0.00191459,-0.074928,-0.00450003,0.0395782,0.0334404,1598537683.103367680
0.00594243,0.00442933,-0.0115629,0.0042614,0.0452858,0.0335136,1598537683.203568896
-0.00196886,0.0102956,-0.0673185,0.00805947,0.0277264,0.0386892,1598537683.303637760
-0.0894915,0.0462038,-0.00882753,0.00286743,0.0191662,0.00580531,1598537683.403665152
-0.0215784,0.073915,-0.0387511,0.00493485,0.0209989,0.000928033,1598537683.504374784
-0.0590504,0.0428331,-0.00326655,-0.0138806,0.0185,0.0187553,1598537683.604352768
-0.0172762,0.0814672,-0.0530873,-0.0021317,-0.000322822,0.0255691,1598537683.704233216
-0.0051138,0.0768671,0.0075708,-0.00607421,0.0204127,0.0622751,1598537683.803530240
0.00833896,0.082587,-0.0438526,-0.000277612,0.0192305,0.109291,1598537683.902376448
-0.024215,0.0684023,0.0519862,-0.0227963,0.00232219,0.135784,1598537684.000984064
0.0124005,0.0882949,-0.0245052,-0.0149011,-0.0155937,0.136323,1598537684.100150016
-0.0203062,0.106422,-0.0701241,-0.0021536,-0.030941,0.147649,1598537684.199559680
0.0415455,0.106226,0.00689903,0.0106162,-0.0298168,0.155557,1598537684.299474944
0.016363,0.110631,0.0309459,0.00567397,-0.0432741,0.167463,1598537684.399599872
0.118181,0.129546,-0.0801386,0.0324914,-0.0288966,0.186693,1598537684.500289792
-0.0346867,0.0947647,0.11048,0.0223575,-0.000682489,0.204802,1598537684.600199168
0.0404504,0.0954469,0.0434807,-0.020212,0.0131796,0.190311,1598537684.701149952
0.113197,0.0871734,-0.116883,-0.00387898,0.0097598,0.174315,1598537684.802343680
-0.00540125,0.100876,0.0456864,0.025562,-0.00841244,0.159232,1598537684.903285248
0.0818452,0.0906862,0.0730297,0.000510266,-0.0328212,0.129417,1598537685.004786176
0.0240086,0.0806512,0.0400124,-0.0232653,-0.0410763,0.093817,1598537685.105835776
0.143897,0.0940061,-0.0261359,-0.0203417,-0.00534419,0.132274,1598537685.206731008
0.0910372,0.0711619,-0.0659147,0.0258331,0.0201896,0.137114,1598537685.306354176
0.0684793,0.0397347,0.0154819,0.0292058,0.0117292,0.108479,1598537685.405848320
0.0952037,0.0355838,-0.0189752,0.0217742,-0.00101548,0.0829043,1598537685.505607168
0.104778,0.0563115,-0.0187943,0.013242,-0.0183706,0.0793434,1598537685.605288192
0.0916964,0.0579792,0.0213815,0.000990055,6.84468e-05,0.0765321,1598537685.704893696
0.148822,0.0248579,-0.0275504,0.000601205,-0.000838826,0.0875803,1598537685.804591360
0.0888324,0.0144812,0.0307513,0.00857424,0.0206459,0.0535936,1598537685.904205056
0.101182,0.0221985,-0.0636609,0.0211165,-0.00542363,0.0616882,1598537686.004122624
0.0912854,0.00713403,-0.0108727,0.0219109,-0.0181831,0.0618472,1598537686.103940864
0.0609239,0.0291193,-0.0223168,0.0260089,-0.0249131,0.0566603,1598537686.203778304
0.0838765,0.0180963,0.0457946,0.0200999,-0.00932261,0.0536323,1598537686.303783680
0.108412,0.0157475,0.0811151,-0.00577807,-0.00335404,0.0155649,1598537686.404072192
0.114668,-0.00135816,0.0135608,-0.00847764,-0.00241512,0.0127067,1598537686.504488960
0.0767524,0.0174093,0.00409588,-0.0122705,0.0193599,0.0211592,1598537686.604657152
0.162125,-0.0328005,-0.0500965,0.00362397,-0.0040686,0.0315335,1598537686.704696576
0.0591572,0.016597,0.00679488,0.000742482,-0.00718287,0.0087282,1598537686.804313088
0.183603,-0.0554009,-0.0701114,0.0241394,0.00370719,0.0145439,1598537686.904407552
0.115819,-0.0183203,-0.0121983,0.0225908,0.0151911,0.0439707,1598537687.003885824
0.0604909,0.00555297,0.0430386,0.0227474,0.0204019,0.0132208,1598537687.103507712
0.131208,-0.0515426,-0.0713724,-0.0160311,0.0329102,0.0109969,1598537687.203836160
0.138385,-0.0303106,-0.00373254,-0.00730352,0.00714426,0.0175523,1598537687.303876096
0.054864,0.03047,0.0646033,-0.0308068,-0.033062,-0.00548018,1598537687.403861760
0.174338,-0.0286834,0.0231251,-0.0278733,-0.0402416,-0.00605647,1598537687.504686080
0.117638,0.0132598,0.0588473,0.00284724,-0.0140802,-0.0089222,1598537687.604842752
0.0956415,-0.0116386,0.0566344,0.00660002,0.0514207,-0.00315073,1598537687.705112576
0.140435,-0.032658,-0.0684426,0.0164337,0.032994,0.00812249,1598537687.804960768
0.126208,0.0331955,-0.00849072,-0.00548404,0.00245274,0.00513487,1598537687.904417024
0.190153,-0.0870012,-0.0450169,0.0086277,-0.0083282,0.0154653,1598537688.004270336
0.0938699,0.0292851,0.0472865,0.00657677,-0.0169435,0.0401262,1598537688.103472384
0.114579,-0.0142302,0.0446055,-0.00928239,-0.00549448,-0.0152753,1598537688.203236608
0.187141,-0.0185501,-0.0297496,-0.00659784,0.0210998,0.01463,1598537688.303471872
0.108279,0.0217227,0.0355335,-0.00469583,-0.00200126,0.0207814,1598537688.403352832
0.123916,0.00797047,-0.0513941,0.0145246,-0.00620682,0.00667172,1598537688.503506944
0.15749,-0.0298659,0.0065123,0.0273933,-0.0248538,0.0011832,1598537688.603903744
0.121366,0.0180195,0.0503682,-0.00348055,0.027131,-0.0241955,1598537688.704018432
0.138317,0.0142402,-0.0632538,0.00463111,0.0115409,0.000284165,1598537688.804470528
0.14252,-0.00727111,0.0232015,0.0153955,0.00837417,0.00925816,1598537688.904568320
0.129722,0.00902426,-0.0108881,-0.00866925,0.00892651,-0.00210796,1598537689.004402944
0.117511,-0.0175769,-0.0359299,0.00350465,-0.0346129,0.00218639,1598537689.104308736
0.191164,-0.0318622,0.0857658,-0.0202499,-0.0082118,0.0262308,1598537689.203980288
0.0982775,0.068722,-0.00723477,-0.00642857,0.0109373,0.0369359,1598537689.303212032
0.147785,-0.0255698,0.0540228,-0.0276987,0.0012445,0.00519299,1598537689.403101696
0.145273,-0.00984784,0.00912084,-0.00173619,0.00508341,0.0227598,1598537689.503064320
0.074693,0.0278653,-0.0188009,0.00966117,-0.000269021,0.00816038,1598537689.602999808
0.123253,-0.0122199,0.00372357,0.016355,-0.0165559,0.00849862,1598537689.703315200
0.0961933,-0.0103305,0.0789056,-0.0288166,-0.0146511,-0.0140515,1598537689.803521280
0.182577,-0.0289314,-0.017341,-0.00777019,0.022388,-0.015618,1598537689.904045312
0.0673942,0.0651937,0.00903476,-0.00402742,0.00384889,0.00276352,1598537690.003894272
0.201555,-0.0580936,-0.04124,-0.000980863,-0.00356207,-0.0049371,1598537690.104278272
0.123167,-0.0296733,0.0178439,0.0171507,-0.000957314,0.0125568,1598537690.204011264
0.122984,0.0224559,0.0442265,-0.0358098,-0.00431413,0.0123263,1598537690.303720448
0.15206,-0.0188264,0.0119359,0.0157979,0.0217498,0.0380166,1598537690.403648512
0.104783,0.037128,-0.0759369,0.00306491,0.0111827,0.0169545,1598537690.503217664
0.201858,-0.0309508,-0.0499247,0.0215187,-0.00659336,0.0164985,1598537690.603367936
0.155989,-0.00946302,0.0945178,0.0221274,0.00924743,0.00470739,1598537690.703396608
0.177148,-0.0498006,-0.0244336,-0.000120554,-0.00191819,-0.00350259,1598537690.803601664
0.109197,0.0412359,-0.00151091,0.00802253,-0.00123908,-0.00497474,1598537690.903623424
0.130862,0.0140728,-0.00424657,0.00623533,0.0343439,-0.0261681,1598537691.004074496
0.125895,-0.0244514,0.0431209,-0.0158538,0.00485404,-0.0505492,1598537691.104701184
0.223413,-0.0525169,-0.0111206,-0.00584263,-0.00614382,-0.040296,1598537691.205323008
0.159474,-0.0243487,-0.0103885,-0.00577715,-0.0157317,-0.00768705,1598537691.305287168
0.240943,-0.029613,0.0628389,-0.00740159,-0.0183609,0.038989,1598537691.404729856
0.120268,0.0101073,0.0198349,0.00444128,-0.0188923,0.0346237,1598537691.503613952
0.115897,0.0363945,0.201782,-0.0257455,0.00320584,0.00459582,1598537691.603115008
0.114898,-0.0064269,0.0389831,-0.00868114,-0.0256229,0.0577771,1598537691.703096832
0.0355808,0.0640293,-0.0164153,0.00817422,-0.0240287,0.0340357,1598537691.802357504
0.148339,-0.0653594,-0.066818,0.00533322,-0.0378107,0.013289,1598537691.902546944
-0.0120411,0.0503694,-0.00287466,0.0281635,-0.0184969,0.0040367,1598537692.002491392
0.158143,-0.017604,0.107184,0.0211101,0.00659928,-0.0150848,1598537692.103115520
0.146004,0.00444165,0.0182107,0.0127993,0.0176651,-0.0106759,1598537692.203620864
0.0850235,0.0175334,0.0334059,-0.0187388,-0.015733,-0.00388811,1598537692.303584512
0.125817,-0.0742874,0.0256346,-0.0235655,-0.0146222,0.00102373,1598537692.403758592
0.153301,-0.0422973,0.0545951,-0.00947158,-0.0133781,0.0268387,1598537692.503445760
0.0885641,-0.0263009,-0.030696,-0.0230245,-0.00980551,0.0201487,1598537692.602852608
0.0891479,-0.0082074,-0.000853303,-0.0286244,0.00501441,-0.0134946,1598537692.702665472
0.188249,-0.113655,-0.0437198,-0.00997387,-0.00852518,0.0102889,1598537692.802945280
0.0801971,0.00285289,-0.0313653,-0.00173584,-0.00397133,0.000378154,1598537692.902639872
0.1486,-0.041908,-0.088613,0.0257827,-0.00718814,0.00575129,1598537693.002817536
-0.0978026,0.106573,0.151433,0.0310553,0.00238733,-0.0271144,1598537693.102540288
0.130128,-0.0692224,0.0997754,-0.00510519,0.0137659,-0.0497328,1598537693.203336704
0.16058,-0.0427624,-0.105554,-0.0046495,0.0212099,-0.0317817,1598537693.303886592
0.105473,-0.0558861,0.00571218,-0.00890751,-0.000918421,-0.0586482,1598537693.404139776
0.078091,-0.022208,-0.0893281,-0.00642552,-0.000191977,-0.0626608,1598537693.504451584
0.157711,-0.0325061,-0.145293,0.0255495,0.000573011,-0.0422282,1598537693.604558592
0.150782,-0.0619739,0.0430544,-0.00294956,0.027748,-0.0584322,1598537693.704345088
0.106143,-0.0111836,-0.124745,0.00860721,0.0292883,-0.0538157,1598537693.804050176
0.0694148,-0.0231703,-0.0428778,-0.0107302,0.00399441,-0.061583,1598537693.903646976
0.0317094,0.0368982,-0.0388581,-0.00361536,-0.00722511,-0.0555537,1598537694.003376640
0.0748555,0.0106968,-0.0148511,-0.00959664,-0.0195223,-0.0818255,1598537694.103339520
0.156906,-0.0193572,-0.0469503,0.00560539,-0.0231311,-0.0651289,1598537694.203521792
0.0989223,-0.0134434,0.153084,0.004687,0.00722165,-0.0876811,1598537694.303508480
0.119531,-0.0194554,-0.0612431,-0.00564898,0.0269622,-0.0754788,1598537694.403532544
0.0439779,0.0405919,-0.0404419,0.0192556,-0.000476256,-0.0607063,1598537694.503343360
0.0608643,0.0331809,0.141045,-0.00669634,0.0137519,-0.0660811,1598537694.603265792
0.214404,-0.0616861,-0.167213,-0.00479476,0.00645653,-0.0501661,1598537694.703204608
-0.0159135,0.0500417,0.130571,0.00688778,-0.0107519,-0.0486279,1598537694.802643456
0.17894,-0.017825,-0.0289266,-0.0195771,-0.0191765,-0.0621888,1598537694.902685184
-0.0010742,0.0378007,0.138252,0.000146784,-0.00713151,-0.0474114,1598537695.002489344
0.147585,-0.00507302,-0.0308633,-0.0124682,0.00996036,-0.0550327,1598537695.102608896
0.122708,0.028452,-0.0872995,0.0386418,0.0125632,-0.00486492,1598537695.202398720
0.0171629,0.0118633,0.135953,0.0154978,0.00170184,-0.0421037,1598537695.302222336
0.0517397,0.00880335,-0.0251584,0.00482661,-0.0183222,-0.057148,1598537695.402703616
0.0808384,0.00640803,-0.0121144,-0.0106919,-0.0361989,-0.0546584,1598537695.503401472
0.100449,0.00845717,0.00711921,-0.00891005,-0.0288693,-0.053303,1598537695.604009984
0.106505,-0.00541232,-0.0550945,0.000332656,0.0109687,-0.0310654,1598537695.704362240
0.0479317,0.0344623,0.068722,0.0110387,-0.00599915,-0.0249913,1598537695.804226048
0.0980684,-0.00106147,0.000838107,-0.00670823,0.00260699,-0.0390789,1598537695.904278784
0.0761438,0.0203211,-0.027046,-0.00542099,-0.0037662,-0.027333,1598537696.004132608
0.127146,-0.0366713,-0.00945229,0.019265,-0.00262049,-0.0117462,1598537696.103810304
