x,y,z,roll,pitch,yaw,time
0.0280597,0.0243633,0.0565859,-0.0348223,0.000658357,-0.0733453,1598537681.604629760
0.134474,0.0243473,-0.0440049,-0.00188248,0.0140274,-0.0500273,1598537681.705216768
0.0231904,0.0266874,0.00519108,-0.017863,0.0143867,-0.0248012,1598537681.804939776
0.0892219,0.00516917,-0.0567643,-0.00483462,-0.00222635,-0.0413417,1598537681.904721408
-0.0042544,0.034031,0.0891822,0.00850367,-0.00955341,0.00424139,1598537682.003880704
0.0435706,0.0210991,0.00100091,-0.0171074,-0.016788,0.00025236,1598537682.103325952
0.0371605,0.0114526,-0.0625398,0.00916565,-0.0363428,0.0211984,1598537682.202600960
-0.0552683,0.00637215,0.0517109,0.0309839,-0.0220451,0.0465104,1598537682.301754880
0.0908769,0.00290611,-0.0357775,0.0299126,-0.0558357,0.0317407,1598537682.401594880
-0.0472449,-0.00702648,0.106437,0.0323935,-0.0151999,0.0306141,1598537682.501441280
-0.0472469,-0.0076955,0.0661009,0.0020237,-0.00878717,0.00849167,1598537682.601820160
0.0158555,0.012385,-0.0159782,0.00261359,0.0148619,0.0322627,1598537682.702421504
0.0326016,-0.012357,-0.0132089,-0.000152857,0.0141976,0.00913856,1598537682.802942464
-0.0186378,-0.00796333,-0.0389839,-0.00889621,0.0456561,0.0457231,1598537682.903083008
-0.0145124,0.00614,-0.0674966,-0.0101329,0.0392039,0.0360926,1598537683.003108864
0.00637076,0.00819301,-0.0610218,-0.00338426,0.037683,0.0323994,1598537683.103367680
0.0110884,0.0103862,-0.052927,0.0042615,0.0295205,0.0336945,1598537683.203568896
0.000444329,0.0157346,-0.0793872,0.0102552,0.0223714,0.0381919,1598537683.303637760
-0.144398,-0.01214,0.00787258,0.00630526,0.0186577,0.0124674,1598537683.403665152
-0.0408033,0.0749641,-0.00402043,0.00155728,0.0254837,0.000587731,1598537683.504374784
-0.0389669,0.045282,-0.0564183,-0.0123712,0.00970511,0.0187029,1598537683.604352768
0.00775944,0.0738557,-0.0420282,-0.00331072,-0.00230206,0.0267137,1598537683.704233216
0.0214797,0.0185265,-0.0587437,-0.0112663,0.0177645,0.0690453,1598537683.803530240
-0.0148561,0.105944,-0.0384024,0.000903704,0.0229233,0.10688,1598537683.902376448
-0.00113431,0.0571652,-0.0110482,-0.0167375,-0.00169333,0.136178,1598537684.000984064
0.0122169,0.084208,0.102142,-0.0177533,-0.00515487,0.138581,1598537684.100150016
0.000371419,0.0821094,-0.0431541,-0.00709091,-0.0363469,0.148643,1598537684.199559680
0.0370611,0.0876236,0.0228886,0.0173187,-0.0144089,0.155777,1598537684.299474944
0.0194024,0.121961,0.0161849,0.0019586,-0.0464211,0.168134,1598537684.399599872
0.146641,0.097168,-0.0803956,0.0301752,-0.0262187,0.192198,1598537684.500289792
-0.0412377,0.0851213,-0.00258153,0.0161293,-0.0147205,0.204655,1598537684.600199168
0.0404611,0.106629,0.0506292,-0.0186219,0.0106083,0.189495,1598537684.701149952
0.0922946,0.0495495,-0.00879969,0.00721745,0.0184464,0.179385,1598537684.802343680
-0.00238782,0.130748,0.0568267,0.0240157,-0.00631702,0.155954,1598537684.903285248
0.06856,0.0869357,0.040489,0.00726286,-0.0333316,0.132104,1598537685.004786176
-0.05242,0.0570398,0.106645,-0.0251836,-0.0135443,0.0950675,1598537685.105835776
0.14282,0.0893245,-0.0864424,-0.0135412,-0.00791563,0.13473,1598537685.206731008
0.0787394,0.0802728,-0.0201003,0.0208853,0.0232164,0.138312,1598537685.306354176
0.0632972,0.0586348,-0.0192102,0.0315651,0.00815763,0.11006,1598537685.405848320
0.0959382,0.0374657,-0.0639212,0.0247828,-0.00445756,0.0820145,1598537685.505607168
