x,y,z,roll,pitch,yaw,time
-0.0289132,0.0040554,-0.0944115,-0.0503315,0.00172752,-0.0664403,1598537681.604629760
0.142802,0.00992685,-0.0671634,-0.00198562,0.0105356,-0.0516577,1598537681.705216768
0.0196989,0.0168692,0.0523108,-0.0151433,0.0172034,-0.024863,1598537681.804939776
0.0957184,-0.0103165,-0.0808796,-0.00610991,-0.00202901,-0.0414703,1598537681.904721408
-0.00991773,0.0336416,0.066546,0.00799906,-0.0098653,0.00450016,1598537682.003880704
0.0471828,0.0216505,0.00536285,-0.0164633,-0.0162739,0.000616191,1598537682.103325952
0.023093,0.0131674,-0.0261465,0.0109163,-0.0328449,0.0191609,1598537682.202600960
-0.0388225,0.0150204,0.0526894,0.0317442,-0.0261562,0.0474351,1598537682.301754880
0.0415298,0.00948087,0.0265527,0.0246349,-0.0494949,0.026668,1598537682.401594880
-0.0216461,0.0047784,0.102748,0.035574,-0.0208691,0.0339983,1598537682.501441280
-0.0189451,0.00693357,0.0718021,0.00310942,-0.0156885,0.00508623,1598537682.601820160
0.033252,0.0177818,-0.0318622,0.00369004,0.0197103,0.0339152,1598537682.702421504
0.0327484,-0.00424395,-0.0218945,-0.00172266,0.0207079,0.00712523,1598537682.802942464
-0.0105874,-0.00224995,-0.0235606,-0.00405452,0.0421364,0.0490601,1598537682.903083008
-0.0255239,-0.0048767,-0.047172,-0.00515905,0.0376446,0.0432332,1598537683.003108864
-0.0118629,0.00586984,-0.0534188,-0.00741324,0.039269,0.0323151,1598537683.103367680
-0.0257408,0.00554139,-0.142994,-0.00704692,0.0408338,0.0345082,1598537683.203568896
-0.0137245,0.0114201,-0.0345023,0.00877284,0.0324083,0.0375135,1598537683.303637760
-0.0888614,-0.0198877,-4.23621e-05,0.00585865,0.0205366,0.0142655,1598537683.403665152
-0.00754518,0.0233797,-0.0415645,0.00146224,0.0220311,0.011163,1598537683.504374784
-0.0494515,0.0392517,-0.0223,-0.0196334,0.0156993,0.0194438,1598537683.604352768
0.0234618,0.0336022,-0.0329044,0.000258034,0.00181564,0.0333631,1598537683.704233216
0.0149701,0.0331449,-0.065553,-0.0109017,0.0167909,0.0672717,1598537683.803530240
0.00670756,0.0430883,-0.0473379,-0.00180718,0.0183282,0.114592,1598537683.902376448
-0.0103247,0.0811371,0.0357133,-0.0179976,0.00450456,0.135842,1598537684.000984064
0.00334926,0.0986147,0.019922,-0.0163622,-0.014721,0.135739,1598537684.100150016
-0.00841251,0.0957527,0.00398787,-0.00436578,-0.026301,0.148764,1598537684.199559680
0.0462585,0.0768112,0.0637588,0.00698347,-0.0293595,0.156335,1598537684.299474944
-0.00229609,0.162142,0.022131,0.00340405,-0.0453696,0.164717,1598537684.399599872
0.225196,0.139525,-0.0247831,0.0317104,-0.0172747,0.188093,1598537684.500289792
-0.0571957,0.0841653,0.124695,0.0203356,-0.00332276,0.205132,1598537684.600199168
0.052652,0.100729,0.0245448,-0.0186084,0.0116226,0.189008,1598537684.701149952
0.132415,0.109613,-0.0709891,0.00348357,0.0173813,0.172271,1598537684.802343680
-0.0061478,0.0991632,0.0380469,0.0235225,-0.00755246,0.159384,1598537684.903285248
0.0701475,0.0898804,0.039734,0.00722658,-0.035285,0.12992,1598537685.004786176
0.00743134,0.0455144,0.146481,-0.0228728,-0.0358449,0.0999772,1598537685.105835776
0.156199,0.096836,-0.0510742,-0.014515,-0.00689052,0.135307,1598537685.206731008
0.104289,0.0889083,-0.0519989,0.0222342,0.0211263,0.135148,1598537685.306354176
0.0648164,0.0560689,-0.0234579,0.0304029,0.00602809,0.109557,1598537685.405848320
0.0926162,0.043544,-0.0265042,0.0224856,-0.00273474,0.0812525,1598537685.505607168
0.090823,0.0397101,-0.000615284,0.012081,-0.0163572,0.0789866,1598537685.605288192
0.0775175,0.0395737,0.0183817,0.0015181,-0.00201625,0.0775591,1598537685.704893696
0.139851,0.0352601,-0.0373358,0.000527226,-0.00261912,0.0865221,1598537685.804591360
0.0919475,0.00587554,0.0312613,0.00799522,0.0152213,0.054486,1598537685.904205056
0.100405,0.0313504,-0.0493404,0.0187161,2.04746e-05,0.0614351,1598537686.004122624
0.0975883,0.0241191,-0.0244833,0.0209271,-0.0183118,0.0571362,1598537686.103940864
0.0654143,0.0235224,-0.00610858,0.0256928,-0.0228191,0.0568504,1598537686.203778304
0.0905893,0.00672789,0.0346767,0.0221736,-0.0125994,0.0523034,1598537686.303783680
0.0989083,0.00424144,0.0615666,-0.00541909,-0.00549889,0.0163054,1598537686.404072192
0.117345,0.0101046,0.0251173,-0.00822569,-0.00273281,0.0123983,1598537686.504488960
0.076628,0.0102637,-0.00329619,-0.0121944,0.0165465,0.0210886,1598537686.604657152
