num_of_features,time
562,1598537681.504127744
355,1598537681.604629760
312,1598537681.705216768
256,1598537681.804939776
245,1598537681.904721408
232,1598537682.003880704
198,1598537682.103325952
170,1598537682.202600960
149,1598537682.301754880
116,1598537682.401594880
112,1598537682.501441280
110,1598537682.601820160
106,1598537682.702421504
99,1598537682.802942464
95,1598537682.903083008
89,1598537683.003108864
79,1598537683.103367680
69,1598537683.203568896
533,1598537683.303637760
472,1598537683.403665152
372,1598537683.504374784
295,1598537683.604352768
277,1598537683.704233216
217,1598537683.803530240
98,1598537683.902376448
57,1598537684.000984064
207,1598537684.100150016
105,1598537684.199559680
56,1598537684.299474944
28,1598537684.399599872
45,1598537684.500289792
48,1598537684.600199168
112,1598537684.701149952
93,1598537684.802343680
80,1598537684.903285248
66,1598537685.004786176
313,1598537685.105835776
220,1598537685.206731008
189,1598537685.306354176
170,1598537685.405848320
156,1598537685.505607168
130,1598537685.605288192
123,1598537685.704893696
98,1598537685.804591360
75,1598537685.904205056
73,1598537686.004122624
69,1598537686.103940864
347,1598537686.203778304
232,1598537686.303783680
177,1598537686.404072192
163,1598537686.504488960
138,1598537686.604657152
132,1598537686.704696576
124,1598537686.804313088
94,1598537686.904407552
80,1598537687.003885824
71,1598537687.103507712
66,1598537687.203836160
397,1598537687.303876096
181,1598537687.403861760
110,1598537687.504686080
103,1598537687.604842752
81,1598537687.705112576
77,1598537687.804960768
70,1598537687.904417024
62,1598537688.004270336
321,1598537688.103472384
245,1598537688.203236608
161,1598537688.303471872
150,1598537688.403352832
126,1598537688.503506944
89,1598537688.603903744
59,1598537688.704018432
397,1598537688.804470528
270,1598537688.904568320
203,1598537689.004402944
155,1598537689.104308736
132,1598537689.203980288
111,1598537689.303212032
81,1598537689.403101696
75,1598537689.503064320
64,1598537689.602999808
326,1598537689.703315200
241,1598537689.803521280
189,1598537689.904045312
167,1598537690.003894272
151,1598537690.104278272
128,1598537690.204011264
119,1598537690.303720448
107,1598537690.403648512
84,1598537690.503217664
75,1598537690.603367936
61,1598537690.703396608
488,1598537690.803601664
341,1598537690.903623424
224,1598537691.004074496
205,1598537691.104701184
172,1598537691.205323008
129,1598537691.305287168
93,1598537691.404729856
83,1598537691.503613952
69,1598537691.603115008
285,1598537691.703096832
222,1598537691.802357504
201,1598537691.902546944
186,1598537692.002491392
164,1598537692.103115520
158,1598537692.203620864
150,1598537692.303584512
141,1598537692.403758592
135,1598537692.503445760
128,1598537692.602852608
128,1598537692.702665472
111,1598537692.802945280
111,1598537692.902639872
106,1598537693.002817536
87,1598537693.102540288
85,1598537693.203336704
85,1598537693.303886592
85,1598537693.404139776
85,1598537693.504451584
84,1598537693.604558592
70,1598537693.704345088
68,1598537693.804050176
406,1598537693.903646976
312,1598537694.003376640
282,1598537694.103339520
214,1598537694.203521792
197,1598537694.303508480
139,1598537694.403532544
138,1598537694.503343360
137,1598537694.603265792
